station	latitude	code	revision	longitude	QoS
Elamanchili	17.54907	IN	2013-02-25	82.85749	good
Siegburg	50.80019	DE	2017/10/19	7.20769	excellent
Kitgum	3.27833	UG	18 Nov 2021	32.88667	maintenance
Jersey City	40.72816	US	2013/12/15	-74.07764	average
Vahdat	38.55632	TJ	27 Dec 2017	69.01354	accep
Pune	18.51957	IN	2020-12-04	73.85535	maintenance
Sukabumi	-6.91806	ID	02/12/2022, 00:00:00	106.92667	accep
Scottsdale	33.50921	US	03/18/2021, 00:00:00	-111.89903	accep
Hengshui	37.73222	CN	2014-02-01	115.70111	average
Laguna Niguel	33.52253	US	2017-10-30	-117.70755	building
Redding	40.58654	US	2014-05-07	-122.39168	good
Huntley	42.16808	US	12/05/2012, 00:00:00	-88.42814	excellent
Hrazdan	40.49748	AM	2014-04-18	44.7662	good
Sambalpur	21.46527	IN	05/28/2013, 00:00:00	83.97573	average
T’aebaek	37.1759	KR	03 Jan 2022	128.9889	good
Most	50.50301	CZ	2017/04/24	13.63617	excellent
Weimar	50.9803	DE	07 Oct 2017	11.32903	accep
Hermsdorf	52.61131	DE	2016-05-19	13.31783	average
Bisceglie	41.24264	IT	2018-07-28	16.50104	accep
Opportunity	47.64995	US	2015-08-14	-117.23991	good
Bogovinje	41.92361	MK	01/04/2014, 00:00:00	20.91361	maintenance
Yeysk	46.7055	RU	2018-03-07	38.2739	maintenance
Ina	35.82756	JP	2017-07-04	137.95378	excellent
Yonkers	40.93121	US	19 Feb 2019	-73.89875	building
Saratoga Springs	40.34912	US	2020/11/15	-111.90466	accep
Betamcherla	15.45144	IN	2015-06-13	78.14797	excellent
Port Huron	42.97086	US	17 Jun 2017	-82.42491	excellent
Deoli	25.75728	IN	2020/06/10	75.37991	average
Calauan	14.14989	PH	08/31/2018, 00:00:00	121.3152	maitennce
Skalica	48.8449	SK	2020/07/19	17.22635	maintenance
Kidodi	-7.60361	TZ	12/15/2021, 00:00:00	37.00438	accep
Kent	47.38093	US	2019-12-21	-122.23484	excellent
Clacton-on-Sea	51.78967	GB	2019/12/19	1.15597	good
Hartley	51.38673	GB	25 Nov 2012	0.30367	good
Randudongkal	-7.0981	ID	01/14/2021, 00:00:00	109.3243	accep
Burgos	15.72892	PH	19 Sep 2022	120.57224	good
Veracruz	8.88988	PA	04/10/2015, 00:00:00	-79.62603	maintenance
Gero	35.8	JP	30 Jul 2019	137.23333	good
Ozersk	55.75556	RU	2017-07-24	60.70278	excellent
Iringa	-7.76667	TZ	07/31/2015, 00:00:00	35.7	good
Kampung Ayer Molek	2.2139	MY	09/18/2017, 00:00:00	102.3278	average
Cuenca	-2.90055	EC	2018-04-02	-79.00453	accep
Covington	39.08367	US	2016-09-26	-84.50855	good
Zacoalco de Torres	20.22816	MX	2017-03-08	-103.5687	accep
Aurora	39.72943	US	06 Aug 2014	-104.83192	average
Great Wyrley	52.66277	GB	2015/07/19	-2.01111	accep
Yangambi	0.76755	CD	06/13/2022, 00:00:00	24.43973	good
Pekin	40.56754	US	2021/07/08	-89.64066	average
Shaowu	27.34089	CN	2012-10-07	117.4831	excellent
Patti	31.28092	IN	2022-03-06	74.85849	excellent
Bua Yai	15.58552	TH	2019-10-16	102.42587	accep
Guanajuato	21.01858	MX	18 Aug 2014	-101.2591	good
Diwek	-7.57897	ID	2021/07/12	112.23109	average
Barras	-4.24444	BR	2015-03-02	-42.29444	good
Jumilla	38.47917	ES	12 Mar 2018	-1.325	average
Suzaka	36.65	JP	2014-05-16	138.31667	accep
Shreveport	32.52515	US	26 Oct 2017	-93.75018	maintenance
Aistala	23.18	IN	2013/09/04	88.58	good
Strathfield	-33.88096	AU	11/07/2014, 00:00:00	151.07986	average
Memmingen	47.98372	DE	2022/01/25	10.18527	good
Poulton-le-Fylde	53.83333	GB	06/03/2016, 00:00:00	-2.98333	maitennce
Ulu Tiram	1.6	MY	08 Apr 2017	103.81667	good
Granger	41.75338	US	2022/07/01	-86.11084	average
Marseille 11	43.2907	FR	2021-11-21	5.4384	excellent
Carindale	-27.50578	AU	05 Mar 2013	153.10236	excellent
Boo	59.33333	SE	2017-07-23	18.28333	good
Larkana	27.55898	PK	17 Jul 2019	68.21204	excellent
Carnot	4.94273	CF	28 Jun 2018	15.87735	accep
Parkent	41.29444	UZ	01/30/2014, 00:00:00	69.67639	accep
Gorgonzola	45.53069	IT	2017-04-11	9.40531	building
Mokopane	-24.19436	ZA	06/20/2014, 00:00:00	29.00974	accep
