CO	warning	CH4	H2CO	C2H3NO5	PM10	CFCs	O3	Pb	NH3	longitude	SO2	PRES	PM2.5	PAHs	latitude	TEMP	NOx
6.43495	0.00000	8.29521	45.90363	2.99787	9.27326	50.84900	6.40284	51.45904	9.74794	-5.53715	1.43682	1182.08518	6.43462	4.42587	50.11861	4.23966	8.33808
6.84046	0.00000	6.44691	63.82699	0.66393	4.59463	38.98660	6.67003	41.18059	7.22033	38.12408	8.55104	1078.72713	7.04830	8.12848	53.77166	9.10243	7.95800
6.57957	0.00000	5.29164	57.77083	0.48085	3.16556	12.39128	8.27838	47.22956	8.00351	-82.42491	5.22576	1142.92268	7.42580	9.37355	42.97086	15.75414	6.39997
5.91273	0.00000	5.78621	46.48452	0.61836	6.07960	56.46845	8.75361	53.33451	8.32586	-1.29772	8.63964	1122.06939	7.38061	9.41002	50.76306	9.05284	7.17359
6.36456	0.00000	8.91461	30.16397	10.67855	10.62227	49.32548	5.77990	33.27457	10.77488	38.01667	2.48474	1114.28174	6.88183	6.63932	11.85	11.87459	5.48898
7.24205	1.00000	13.15682	61.40753	1.86081	8.51843	64.76939	10.78284	42.02952	11.02477	-1.29243	4.96966	1140.07849	5.45347	5.30745	53.49389	-0.36246	9.60606
7.81546	0.00000	7.29504	48.13698	0.30333	3.06613	57.89501	8.70747	44.89995	7.90723	-76.70944	6.68377	1178.84341	6.44520	11.48719	-11.94306	16.65669	7.44372
6.27271	0.00000	11.20767	64.59117	22.91183	11.40356	63.81035	8.95848	59.56469	8.07655	-5.22126	6.94915	1142.24977	6.13107	6.86972	33.43443	9.65122	5.03070
6.72256	1.00000	6.74158	67.57227	0.55368	6.51610	47.68628	7.58826	37.89506	3.61098	-122.2054	6.57846	1164.07398	6.67442	9.70195	47.76232	12.77974	7.94705
5.99593	1.00000	8.32445	35.40532	2.57419	8.88933	63.08655	9.55222	55.95966	7.61622	113.13148	8.54749	1158.80516	6.32490	8.36455	23.02677	25.83209	6.60483
8.25450	0.00000	7.19803	74.13641	0.58157	5.69500	53.85819	7.85343	38.45820	7.21833	9.85	10.10362	1057.09604	7.05291	6.98754	53.63333	16.88980	7.07167
7.49616	0.00000	5.97424	36.18963	0.77222	7.03263	50.13450	7.86934	70.86938	8.25845	117.63083	10.26407	1119.40395	7.24435	6.09617	35.50056	2.74877	7.61738
7.70508	1.00000	11.67244	58.35791	2.32475	8.92784	48.56269	11.41102	49.63219	8.29946	35.23388	7.61635	1076.38247	8.00739	7.55297	31.78336	29.69184	7.85041
6.93091	1.00000	8.78221	53.27822	1.80212	8.57526	66.61239	8.37231	30.58054	8.94084	-37.65	7.22083	1050.63468	5.77405	7.14095	-10.91722	18.16971	7.01484
7.07497	1.00000	10.72805	43.76132	3.51323	9.42596	57.04399	9.99544	38.92289	10.19894	9.32241	5.68139	1092.45169	7.72080	6.48927	44.31771	4.66823	7.65987
6.85306	0.00000	4.60897	49.66823	0.56856	6.29757	43.02727	9.57802	29.94979	9.09710	14.01481	7.85348	1062.93135	6.24540	9.29891	42.67164	20.07467	7.30314
7.11663	1.00000	6.94481	50.92606	0.48527	5.64661	72.05405	4.42980	29.49914	6.94764	-70.6996	8.85268	1078.63024	6.68169	9.64870	-33.59217	20.86764	6.52648
7.93003	0.00000	6.61411	39.02209	0.69225	5.83071	63.65738	8.20642	58.47381	7.75677	43.83992	9.06505	1101.29016	7.71609	8.77578	55.39485	25.33744	6.04107
6.39618	0.00000	5.33225	8.99117	0.81893	6.62296	53.63731	7.13502	51.52974	10.12562	68.11759	8.67092	1192.85923	4.76762	6.36295	26.9423	8.81397	8.54211
6.25990	0.00000	5.49894	78.97024	1.00552	7.93512	35.40092	8.43686	50.54886	9.12130	-86.99666	4.79746	1170.15835	6.54629	7.72589	33.45122	17.58548	6.98823
8.93316	1.00000	8.50026	64.17815	1.30383	7.93172	33.92578	7.89700	64.46382	7.36448	-93.08883	8.58144	1089.91576	6.26872	8.98429	45.16024	19.19968	7.47686
