station	QoS	location	latitude	longitude	revision
Volokolamsk	accep	Europe/Moscow	56.03361	35.96944	2020-03-14
Hutto	building	America/Chicago	30.5427	-97.54667	2019-06-10
Keene	average	America/New_York	42.93369	-72.27814	2017/03/28
Barracas	accep	America/Argentina/Buenos_Aires	-34.64966	-58.38341	15 Oct 2015
Heyuan	average	Asia/Shanghai	23.73333	114.68333	2016/11/16
Bothell	average	America/Los_Angeles	47.76232	-122.2054	2021/09/12
Bryn Mawr-Skyway	good	America/Los_Angeles	47.4943	-122.24092	11/26/2012, 00:00:00
Schwalmtal	excellent	Europe/Berlin	51.21667	6.26667	2020/12/05
Pleasant Prairie	accep	America/Chicago	42.55308	-87.93341	2019-06-16
Malnate	good	Europe/Rome	45.79377	8.88104	2018/10/25
Elamanchili	accep	Asia/Kolkata	17.54907	82.85749	01/21/2015, 00:00:00
Iwade	building	Asia/Tokyo	34.25	135.31667	23 Jun 2015
Clermont	good	America/New_York	28.54944	-81.77285	2020-11-25
Wittenau	building	Europe/Berlin	52.59319	13.32127	2018/11/12
Espoo	good	Europe/Helsinki	60.2052	24.6522	2019/04/19
Rafiganj	excellent	Asia/Kolkata	24.81757	84.63445	02/25/2019, 00:00:00
Thomazeau	good	America/Port-au-Prince	18.65297	-72.09391	07/23/2022, 00:00:00
Guaraciaba do Norte	good	America/Fortaleza	-4.16694	-40.7475	28 May 2014
Sainte-Catherine	average	America/Toronto	45.40008	-73.58248	10 Dec 2018
Gainsborough	average	Europe/London	53.38333	-0.76667	2016/05/19
Kovylkino	accep	Europe/Moscow	54.03876	43.91385	2017/10/06
Okahandja	excellent	Africa/Windhoek	-21.98333	16.91667	04/01/2021, 00:00:00
Montecchio Maggiore-Alte Ceccato	accep	Europe/Rome	45.50369	11.412	11/18/2013, 00:00:00
Contla	good	America/Mexico_City	19.32932	-98.1664	2019-03-08
Roi Et	average	Asia/Bangkok	16.0567	103.65309	30 Nov 2012
Neuburg an der Donau	good	Europe/Berlin	48.73218	11.18709	04 Jan 2022
Santa Maria	excellent	America/Los_Angeles	34.95303	-120.43572	2020/11/30
Tianfu	average	Asia/Shanghai	37.19723	122.05228	2020/08/07
Bachhraon	maintenance	Asia/Kolkata	28.92694	78.23456	02/28/2018, 00:00:00
Chanika	excellent	Africa/Dar_es_Salaam	-5.41667	38.01667	2020-09-29
Bhuban	accep	Asia/Kolkata	20.88197	85.83334	31 Mar 2016
Chapletown	average	Europe/London	53.46506	-1.47217	10 Jul 2016
Marseille 11	good	Europe/Paris	43.2907	5.4384	2018/10/15
Artsyz	maintenance	Europe/Kiev	45.99194	29.41824	28 Jul 2022
Onex	accep	Europe/Zurich	46.18396	6.10237	07/28/2015, 00:00:00
Leteri	good	Asia/Kolkata	24.05979	77.40858	26 Aug 2017
Thenia	average	Africa/Algiers	36.72544	3.55665	2018/04/04
Honda	excellent	America/Bogota	5.20856	-74.73584	2022-07-22
Suzaka	good	Asia/Tokyo	36.65	138.31667	11 Mar 2020
El Alia	accep	Africa/Tunis	37.16911	10.03478	23 Jun 2021
La Ligua	average	America/Santiago	-32.45242	-71.23106	2018-06-10
Hungund	accep	Asia/Kolkata	16.06213	76.0586	08 Jan 2015
Dehiwala-Mount Lavinia	excellent	Asia/Colombo	6.84019	79.87116	12 Apr 2015
Longview	good	America/Chicago	32.5007	-94.74049	10 Feb 2014
Bar-le-Duc	excellent	Europe/Paris	48.77275	5.16108	2015-03-26
Novelda	excellent	Europe/Madrid	38.38479	-0.76773	2018-05-13
Zacoalco de Torres	maintenance	America/Mexico_City	20.22816	-103.5687	10/09/2015, 00:00:00
Kent	average	America/Los_Angeles	47.38093	-122.23484	06 Jun 2013
Lesosibirsk	good	Asia/Krasnoyarsk	58.23583	92.48278	09/10/2013, 00:00:00
Kallio	average	Europe/Helsinki	60.18427	24.95034	2015/04/18
Lal Bahadur Nagar	good	Asia/Kolkata	17.34769	78.55757	09/10/2016, 00:00:00
Ulu Tiram	excellent	Asia/Kuala_Lumpur	1.6	103.81667	24 May 2022
Jizzax	good	Asia/Samarkand	40.11583	67.84222	2020-01-31
Valence	average	Europe/Paris	44.92801	4.8951	07/06/2014, 00:00:00
Martinsburg	good	America/New_York	39.45621	-77.96389	2014/02/05
Sassari	good	Europe/Rome	40.72586	8.55552	2016-02-24
