Pb	C2H3NO5	SO2	PRES	NOx	O3	CH4	PAHs	warning	PM10	CO	H2CO	longitude	latitude	NH3	CFCs	TEMP	PM2.5
53.74788	0.93969	6.86545	1181.58761	6.15521	7.52697	7.51742	6.69932	0.00000	8.98320	6.02848	55.50719	3.20639	50.74497	9.04845	57.49100	18.19142	8.70840
48.75941	0.34086	8.07801	1105.56233	6.28058	9.51570	9.02354	7.00324	0.00000	7.78251	6.47049	39.85602	-118.25508	34.14251	10.65333	55.29667	20.87697	8.50201
39.69506	0.59663	7.83192	1193.18296	6.17900	7.85218	7.03314	6.86821	1.00000	8.41744	6.53148	36.81831	68.49143	25.80565	8.97883	67.72659	22.28969	8.84948
25.21541	0.28612	8.12136	1082.04362	8.87805	6.99926	3.75689	7.37447	1.00000	6.90002	8.00461	51.62746	-60.94228	14.67751	4.65973	47.97609	20.13140	8.15615
60.66916	0.46082	6.95087	1125.06065	8.92379	9.25072	6.78307	7.57933	1.00000	8.04448	9.40539	47.77268	5.4384	43.2907	8.48477	66.73853	19.71218	6.21502
54.43887	4.27533	7.73522	1169.73397	10.56962	5.94052	11.27790	7.46893	0.00000	10.62685	10.34398	44.94656	-72.09391	18.65297	7.61042	53.36001	17.93113	7.07857
55.36579	0.25953	8.39005	1080.69789	7.49170	8.87476	6.47476	9.07958	1.00000	4.97949	8.02946	49.72305	7.36027	51.20219	3.59965	67.79171	19.51974	6.72814
36.70673	0.60770	6.50448	1154.04922	8.69436	5.89672	8.55870	7.89348	0.00000	8.23063	9.30563	49.52350	-69.08333	-16.25	5.67574	63.91933	20.96362	8.48872
47.76583	1.78763	8.88007	1165.04236	9.18842	8.19638	6.30580	6.60084	1.00000	9.67537	10.69801	44.36849	-73.81669	45.44868	10.51505	64.75323	18.31670	8.23931
46.66565	3.13639	9.98475	1118.36293	6.87076	9.38440	5.39728	5.69812	0.00000	10.30642	4.99654	39.00024	3.39467	6.45407	8.13100	48.69550	20.29379	9.30317
48.91541	0.12894	8.48535	1057.97959	6.21954	7.65013	5.79618	7.77980	1.00000	5.44419	7.78296	44.19513	103.65309	16.0567	5.14033	64.63548	19.38133	6.90104
54.44502	0.24772	6.21849	1161.99153	7.34527	7.08954	4.30955	8.20101	1.00000	6.73880	7.27676	52.22230	76.56719	24.41288	5.25245	32.68345	22.64497	6.02789
47.94898	0.47201	7.56396	1110.22447	4.14572	6.05593	8.61145	6.89930	1.00000	8.00942	2.72435	51.20078	3.55665	36.72544	7.76916	47.52633	14.69451	8.02248
38.07560	0.38599	8.28819	1077.59672	5.93977	5.34828	6.82680	6.72089	0.00000	7.98459	6.41928	25.47092	137.5	34.9	4.12425	42.17185	31.87894	5.80480
56.12784	0.46328	8.88254	1151.74596	8.47581	8.66282	6.33500	8.34328	1.00000	7.87612	9.91443	32.64884	78.55757	17.34769	8.71233	32.93420	5.73091	7.70230
