code	revision	QoS	location	longitude	latitude
RU	2014/11/08	good	Europe/Moscow	37.38115	55.63711
RU	2015/11/14	accep	Europe/Saratov	46.04833	51.40944
DE	2020-08-31	good	Europe/Berlin	9.17702	48.78232
US	10/02/2014, 00:00:00	average	America/New_York	-84.50855	39.08367
US	07/31/2014, 00:00:00	building	America/New_York	-82.07842	26.91756
GB	03 Apr 2017	good	Europe/London	-2.58736	56.56317
NG	2016-10-03	average	Africa/Lagos	4.92235	7.65649
IN	2017-06-28	good	Asia/Kolkata	86.59611	25.87498
ES	2019-04-15	building	Europe/Madrid	2.18247	41.41204
PL	2017/07/03	excellent	Europe/Warsaw	18.30056	50.5107
IT	2015/09/06	excellent	Europe/Rome	14.66737	41.55947
DE	04 Mar 2022	maintenance	Europe/Berlin	7.2278	50.64336
PK	2013-04-03	good	Asia/Karachi	68.75915	27.52948
IN	2018/03/15	building	Asia/Kolkata	73.08333	19.21667
MY	12/15/2012, 00:00:00	average	Asia/Kuala_Lumpur	103.6032	1.6561
EE	30 Jun 2018	accep	Europe/Tallinn	28.19028	59.37722
TH	03/29/2017, 00:00:00	excellent	Asia/Bangkok	99.89166	15.46063
RU	2021/01/06	accep	Asia/Krasnoyarsk	89.20083	55.54028
US	2021/11/22	maintenance	America/Los_Angeles	-121.74052	38.54491
BE	02 Feb 2013	good	Europe/Brussels	3.16667	50.8
DE	03/26/2018, 00:00:00	accep	Europe/Berlin	10.98461	48.35693
FR	03 Oct 2012	excellent	Europe/Paris	1.33467	43.61058
ZA	09 Jul 2018	accep	Africa/Johannesburg	30.79165	-27.76952
IN	2014-04-22	accep	Asia/Kolkata	79.82979	11.93381
CO	04/13/2015, 00:00:00	good	America/Bogota	-77.03116	3.8801
NG	2019-02-24	maintenance	Africa/Lagos	3.64633	6.8485
GB	04/28/2015, 00:00:00	accep	Europe/London	-1.47217	53.46506
US	2018/09/25	excellent	America/New_York	-80.22588	26.2173
KZ	07 Aug 2016	maintenance	Asia/Qyzylorda	65.50917	44.85278
RU	2019/08/25	maintenance	Asia/Yekaterinburg	65.27258	58.04254
CO	08/18/2016, 00:00:00	excellent	America/Bogota	-72.47417	7.83389
PH	2017/02/25	good	Asia/Manila	122.9666	10.7375
NL	04/06/2015, 00:00:00	accep	Europe/Amsterdam	4.47124	51.95838
RU	2021-03-19	accep	Asia/Yekaterinburg	59.4839	58.7002
JP	27 Aug 2017	excellent	Asia/Tokyo	135.21667	35.06667
NE	2016-05-17	average	Africa/Niamey	9.15013	13.70727
US	2018/11/29	good	America/New_York	-78.19444	38.91817
CA	04/08/2022, 00:00:00	maintenance	America/Vancouver	-119.27337	50.26729
IT	2020-07-23	good	Europe/Rome	12.38878	43.1122
FR	2016/06/14	excellent	Europe/Paris	5.03586	43.83125
JP	2017-05-11	excellent	Asia/Tokyo	136.61667	36.53333
NZ	29 Sep 2016	good	Pacific/Auckland	171.25364	-44.39672
CN	22 Nov 2018	excellent	Asia/Shanghai	112.9	27.85
CG	02 Nov 2020	excellent	Africa/Brazzaville	15.28318	-4.26613
BO	2021-04-09	good	America/La_Paz	-65.71875	-21.44345
NL	2017-09-19	excellent	Europe/Amsterdam	5.51978	51.44889
TR	06/09/2017, 00:00:00	average	Europe/Istanbul	34.02537	38.37255
SD	02/20/2013, 00:00:00	average	Africa/Khartoum	34.3869	11.8659
US	07 Feb 2020	average	America/New_York	-73.75513	40.60538
RU	09/14/2017, 00:00:00	accep	Europe/Moscow	30.28491	60.02427
CN	12 Mar 2020	building	Asia/Shanghai	112.9	27.85
IT	04 Aug 2016	accep	Europe/Rome	8.86374	44.89784
DZ	2013-06-11	good	Africa/Algiers	2.95924	36.76775
ES	2018/10/09	average	Europe/Madrid	-4.10734	38.68712
CL	09/18/2018, 00:00:00	accep	America/Santiago	-71.23106	-32.45242
US	02/09/2020, 00:00:00	excellent	America/Los_Angeles	-117.54866	33.93113
CL	2020-09-07	good	America/Santiago	-70.6996	-33.59217
TH	15 Nov 2014	accep	Asia/Bangkok	101.18445	13.44581
SE	2021/04/15	good	Europe/Stockholm	17.10558	61.72744
IN	2017/06/13	good	Asia/Kolkata	71.30633	21.34222
US	2016/06/20	building	America/Los_Angeles	-123.02621	44.99012
PK	2016/11/07	excellent	Asia/Karachi	70.91106	29.38242
RU	2014-06-25	maintenance	Europe/Moscow	43.91385	54.03876
CN	03 Apr 2016	good	Asia/Shanghai	116.11768	24.28859
IN	24 Jan 2018	excellent	Asia/Kolkata	75.37991	25.75728
RU	07/24/2014, 00:00:00	average	Europe/Moscow	46.10925	43.35071
IN	2017-08-15	maintenance	Asia/Kolkata	77.70636	28.98002
ES	04/12/2014, 00:00:00	building	Europe/Madrid	-8.2194	43.48961
CN	01/22/2018, 00:00:00	building	Asia/Shanghai	114.68333	23.73333
CR	2017-04-24	excellent	America/Costa_Rica	-85.43772	10.63504
CO	29 Sep 2021	excellent	America/Bogota	-74.73584	5.20856
SK	2014-09-22	accep	Europe/Bratislava	17.22635	48.8449
DE	08/03/2017, 00:00:00	accep	Europe/Berlin	9.5586	54.52156
GA	27 Nov 2020	accep	Africa/Libreville	13.58357	-1.63333
JP	2021/01/19	good	Asia/Tokyo	137.36215	36.75965
IE	2013-08-24	excellent	Europe/Dublin	-7.95	53.43333
FR	12/11/2016, 00:00:00	building	Europe/Paris	8.73812	41.91886
IT	06/30/2016, 00:00:00	good	Europe/Rome	8.55552	40.72586
GB	2018/06/16	excellent	Europe/London	-2.58736	56.56317
PH	05/03/2015, 00:00:00	good	Asia/Manila	123.33471	8.56697
RU	15 Apr 2021	accep	Asia/Yekaterinburg	76.92421	60.97944
IT	2019/06/25	excellent	Europe/Rome	8.62118	45.44694
SE	2019-10-16	excellent	Europe/Stockholm	18.28333	59.33333
DE	01/11/2018, 00:00:00	excellent	Europe/Berlin	10.98461	48.35693
AU	2020/12/20	average	Australia/Brisbane	153.10236	-27.50578
US	13 Aug 2019	average	America/Los_Angeles	-117.79394	33.76446
PE	10/03/2014, 00:00:00	accep	America/Lima	-69.08333	-16.25
EG	12 Mar 2014	maintenance	Africa/Cairo	29.91582	31.20176
CN	2019-01-16	excellent	Asia/Shanghai	120.33063	37.65181
IN	08/24/2019, 00:00:00	good	Asia/Kolkata	76.12647	32.55531
US	22 Oct 2012	good	America/New_York	-71.29144	41.54566
GB	2015-09-24	accep	Europe/London	-3.05814	53.00974
US	2018/08/19	accep	America/New_York	-78.19444	38.91817
ID	06/02/2021, 00:00:00	average	Asia/Jakarta	106.92667	-6.91806
IN	01/30/2013, 00:00:00	good	Asia/Kolkata	71.21169	21.59983
TR	2017-12-07	average	Europe/Istanbul	42.85693	39.22493
SL	05/27/2020, 00:00:00	excellent	Africa/Freetown	-13.2356	8.48714
CN	10/31/2018, 00:00:00	excellent	Asia/Shanghai	114.68333	23.73333
UG	2018/04/13	excellent	Africa/Kampala	32.88667	3.27833
FR	2015/03/20	accep	Europe/Paris	2.2469	48.90472
DE	2013/08/17	maintenance	Europe/Berlin	10.03988	53.6052
RU	03 Jul 2022	excellent	Asia/Yekaterinburg	65.27258	58.04254
DE	09/22/2015, 00:00:00	good	Europe/Berlin	7.11393	51.08468
US	09 Apr 2019	maintenance	America/New_York	-80.22588	26.2173
FR	07 Jul 2020	good	Europe/Paris	-0.59543	44.80477
PK	2019/04/27	maitennce	Asia/Karachi	71.57118	32.87533
IT	25 Jul 2018	acceptable	Europe/Rome	16.50104	41.24264
DE	2021-03-13	accep	Europe/Berlin	9.85	53.63333
RU	2016/11/13	maintenance	Europe/Moscow	38.94324	44.98901
ES	2019-01-06	good	Europe/Madrid	-1.86343	38.10558
ES	03/08/2018, 00:00:00	building	Europe/Madrid	-4.10734	38.68712
DE	09/04/2019, 00:00:00	average	Europe/Berlin	10.18527	47.98372
US	2018-01-16	good	America/New_York	-81.56929	41.55838
RU	13 Aug 2018	good	Asia/Yekaterinburg	53.47103	54.48147
IN	2016/02/04	good	Asia/Kolkata	76.32756	9.57046
BR	07/10/2014, 00:00:00	accep	America/Fortaleza	-41.45861	-4.42472
RU	12/10/2015, 00:00:00	average	Asia/Yekaterinburg	60.70278	55.75556
US	17 Oct 2014	accep	America/Los_Angeles	-122.24064	47.80527
US	04 Sep 2017	excellent	America/New_York	-73.95097	40.72371
IT	12/30/2013, 00:00:00	maintenance	Europe/Rome	16.50104	41.24264
RU	10/13/2012, 00:00:00	good	Asia/Yekaterinburg	57.3552	51.4781
TR	2020-01-03	excellent	Europe/Istanbul	27.18052	39.12074
GB	12 Jul 2022	average	Europe/London	-1.06667	53.78333
CN	2020-07-20	maintenance	Asia/Shanghai	117.33333	34.85
NG	2013/04/19	excellent	Africa/Lagos	3.39467	6.45407
UA	06/28/2013, 00:00:00	average	Europe/Kiev	29.41824	45.99194
PE	12/30/2015, 00:00:00	accep	America/Lima	-76.70944	-11.94306
IN	16 Aug 2013	average	Asia/Kolkata	74.80555	34.08565
BR	2019/08/18	excellent	America/Sao_Paulo	-47.53028	-22.45667
TW	2022-05-05	maintenance	Asia/Taipei	119.58627	23.5654
IT	2013/02/07	maintenance	Europe/Rome	13.57661	37.31065
PK	09 Feb 2017	good	Asia/Karachi	70.96699	30.46907
US	10/09/2017, 00:00:00	average	America/Los_Angeles	-122.2608	38.17492
US	2018/10/05	building	America/Chicago	-87.88754	41.15376
AU	2017-09-20	excellent	Australia/Melbourne	145.06667	-37.88333
NG	05/12/2013, 00:00:00	maintenance	Africa/Lagos	9.0027	11.86064
GB	2019/12/22	good	Europe/London	-2.12139	52.48173
MQ	11/09/2014, 00:00:00	average	America/Martinique	-60.94228	14.67751
US	2021/06/06	accep	America/Chicago	-91.06177	33.41012
