O3	latitude	PM2.5	CFCs	warning	NH3	longitude	CO	CH4	SO2	PRES	H2CO	TEMP	PAHs	C2H3NO5	Pb	PM10	NOx
6.74408	-5.41667	11.00115	50.68478	1.00000	9.64720	38.01667	9.20810	9.72117	9.40255	1069.31092	67.41401	12.68371	7.15570	2.34063	53.52105	9.16223	5.34579
6.63367	27.09978	9.33219	35.05866	1.00000	9.81853	-82.45426	10.34335	8.09060	11.23771	1186.01406	39.75288	12.15514	7.89272	3.03193	27.24715	9.40226	5.69008
6.87104	39.57582	11.49122	50.04340	1.00000	10.61246	-105.11221	8.12968	7.07959	10.46147	1182.46791	79.47897	12.90366	8.60860	3.19000	47.51593	9.39860	6.80076
6.73476	23.29549	9.66406	68.56714	0.00000	10.66992	113.82465	7.51959	9.34381	9.13811	1137.18853	33.65271	-13.84339	8.53663	3.82462	36.61258	9.64325	7.04663
9.74444	55.85	10.45100	52.76038	0.00000	9.93652	37.56667	10.06821	7.94208	9.75057	1125.21866	33.83549	21.35966	8.58030	0.68905	41.28540	7.83987	10.11576
6.85003	50.50301	9.55386	41.12603	0.00000	10.40234	13.63617	6.49809	11.61747	5.46120	1146.21916	39.63563	20.14645	9.24815	1.19807	63.24828	8.17260	8.78230
8.77453	45.50369	11.88148	43.21131	1.00000	9.95109	11.412	7.74676	6.08780	9.41246	1183.87397	52.61345	14.75538	8.69415	2.80262	60.99082	9.33110	8.04540
8.37676	-4.24444	9.51629	51.62971	0.00000	6.74877	-42.29444	6.80728	10.82882	7.56416	1187.24969	66.53840	25.14660	8.28511	1.92812	52.99567	8.93716	7.57574
10.23175	50.64336	11.92574	36.23819	1.00000	9.60293	7.2278	8.02976	8.36345	8.48946	1161.91679	34.51315	17.60730	9.97931	1.63733	61.16050	8.72977	8.41847
7.42288	43.32686	11.42720	46.47767	1.00000	8.04159	-2.98884	7.11857	8.83258	8.67893	1128.96249	44.66533	5.14913	8.89495	0.65958	49.34848	7.44604	6.84454
8.85186	50.50301	10.63138	57.66871	0.00000	8.56037	13.63617	10.14252	8.92672	7.69252	1072.53137	22.52040	16.88399	10.01578	3.67305	58.29351	9.56090	9.94514
10.56013	45.79377	11.00735	44.27273	1.00000	8.06381	8.88104	8.49489	9.56133	7.50882	1054.85189	30.79747	20.08221	8.93566	5.99494	65.42580	10.10494	8.92401
10.02289	48	10.52432	53.69405	1.00000	8.29436	-4.1	9.04013	6.28497	11.67090	1120.46941	65.31258	0.25819	8.99719	1.66413	16.34428	8.68382	9.66238
9.15183	-15.21194	10.49599	45.89118	0.00000	9.66057	-75.11028	10.06602	8.24147	7.29259	1180.90574	56.99641	9.58020	9.25385	0.73569	37.30199	7.65663	10.01504
9.18855	51.67822	9.37434	68.17923	1.00000	7.83865	33.9162	5.51990	8.11244	9.36943	1191.06334	61.13919	10.99897	8.24192	1.53584	44.70570	8.83305	9.48472
11.83495	45.50369	10.48175	44.60359	1.00000	7.66588	11.412		6.59648	8.04450	1131.16648	38.53254	6.54628	8.01518	6.94516	51.20174	10.28937	10.75957
12.91469	-31.25033	11.80714	67.02326	0.00000	6.90312	-61.4867	7.81979	4.54914	9.03613	1167.87503	60.73477	19.50541	7.66878	5.36630	53.98985	10.00314	12.59303
8.02615	-4.26613	9.55028	40.93738	1.00000	8.40430	15.28318	4.77522	8.80883	8.40419	1186.92778	23.57157	17.16295	9.65780	0.29318	45.89263	6.66982	8.21118
7.61106	34.63915	8.97595	51.60919	0.00000	9.59423	-120.45794	10.55703	9.76753	8.52511	1128.42314	48.90918	19.68689	7.02430	3.15120	43.94792	9.48775	8.14386
9.73216	-4.42472	12.31922	61.90218	0.00000	8.80866	-41.45861	12.89468	8.76082	9.79708	1112.98942	32.12641	4.80732	8.91972	0.98197	48.92869	8.18235	10.28885
9.92647	50.64336	10.19098	42.14832	0.00000	9.95909	7.2278	10.54208	6.73094	6.19233	1192.27839	69.65394	13.38987	9.41852	5.18203	60.35639	9.94876	9.61885
7.38544	48.15659	10.96318	56.38480	1.00000	8.38403	28.28489	5.43482	9.09240	8.15562	1195.19626	37.10122	5.06517	8.71502	4.03702	51.78581	9.70556	7.56544
12.39146	30.76468	13.77086	66.05565	1.00000	7.38951	74.12286	10.70559	9.51597	7.69244	1159.86629	37.10030	26.57343	7.21279	2.15217	47.94619	9.00115	7.92777
7.33477	45.40008	10.45067	83.12057	0.00000	8.32918	-73.58248	8.23642	8.81117	8.90856	1167.44200	46.77563	10.20528	10.63502	16.26257	52.18591	11.12398	5.90620
9.84081	21.28306	10.51841	29.45320	0.00000	8.14559	-89.66123	7.10984	10.37555	7.03249	1059.50307	49.14061	11.17965	8.94017	2.45484	43.73805	9.21181	6.74723
10.85805	51.88333	10.03213	49.96655	0.00000	9.61386	8.51667	9.52411	6.95373	5.44037	1177.34775	17.39342	16.99712	8.93516	6.94916	49.90590	10.24993	11.17513
12.58960	55.62047	9.76768	50.60648	1.00000		37.49338	5.89198	4.72505	11.05155	1090.67764	80.65098	23.60084	8.49885	0.50103	49.75758	7.37613	10.90836
10.73761	25.92127	11.70153	74.21418	1.00000	9.14604	86.79271	8.63183	8.60205	7.91031	1109.11511	60.03988	28.38692	8.90516	0.59947	59.95527	7.58292	8.64885
8.55131	39.57582	12.74696	77.02455	1.00000	10.68813	-105.11221	11.40300	14.07998	4.01088	1062.47930	34.74269	0.05442	10.16453	0.60226	51.98703	6.93472	6.44055
10.48273	52.4581	10.32245	54.17529	0.00000	8.86559	13.28702	9.56215	7.43073	7.21199	1155.62320	70.83038	25.50275	9.33927	1.70786	56.97784	8.93177	10.08907
9.39255	27.85	11.49534	76.15220	1.00000	7.23537	112.9	8.40046	6.38053	10.56295	1082.85246	51.35452		9.20240	1.32909	65.32540	8.48890	9.05199
8.49347	50.26729	8.41910	47.51883	0.00000	10.21196	-119.27337	9.31348	10.15715	9.05119	1062.98395	66.22556	30.22345	7.52377	1.13346	56.97167	8.25567	7.63028
11.54781	42.30865	10.24590	41.33736	1.00000	9.32842	-83.48216	11.50821	8.84021	7.96733	1079.73918	53.81216	17.82363	7.87014	1.24884	45.68801	8.50255	10.70469
10.81916	43.86682	11.18583	50.30676	0.00000	9.54214	-79.2663	9.87922	5.52440	6.80505	1055.76795	38.60244	26.49930		5.40215	53.09174	10.03730	10.67746
10.50526	44.59445	11.50426	39.72148	1.00000	9.44415	11.04979	8.91610	10.12086	7.83119	1152.18738	35.68598	18.41147	8.86095	1.45490	51.25564	8.52476	7.93538
6.15042	30.24706	9.47567	62.59345	1.00000	9.11038	115.04814	7.16859	11.21808	5.66170	1174.73811	77.91279	8.27515	9.00331	3.89752	46.57264	9.69608	8.48969
9.62967	11.84962	11.53282	61.83695	1.00000	10.15952	-86.19903	9.09401	9.01517	7.23735	1199.56338	25.04456	30.40503	11.87899	0.41186	50.97752	7.59898	8.87409
7.53881	37.73604	9.70428	60.96980	1.00000	9.38285	-120.93549	2.86958	9.63255	7.80564	1162.65391	45.00102	19.16212	8.67826	1.14536	81.79136	8.18402	9.25861
11.55812	51.67822	10.69112	49.14679	1.00000	8.85305	33.9162	8.10503	9.31517	8.08373	1080.79898	62.09983	17.97721	7.28841	0.70560	59.84196	7.51203	9.33212
7.97488	48.07667	9.57429	57.79861	1.00000	8.80284	8.64409	10.17486	7.57160	10.94935	1126.87021	77.63242	9.67935	10.65842	0.79867	80.13865	8.03137	6.58131
10.94785	43.86682	10.00392	63.72519	1.00000	9.52557	-79.2663	7.87506	8.25716	8.99044	1191.81653	47.07924	16.08915	7.36562	2.59356	47.37777	9.27401	10.14032
10.10062	39.46667	12.60943	62.49786	1.00000	9.25494	141.95	9.32367	9.80459	6.93545	1162.46791		1.42509	9.25302	2.32098	51.10150	8.99330	7.90400
4.44677	35.8	12.63108	57.76136	1.00000	8.42324	137.23333	5.13093	10.89995	5.83903	1132.36983	38.95057	30.00590	9.97444	10.44148	43.23048	10.68120	4.31326
