QoS	location	code	latitude	revision	longitude
average	Asia/Yekaterinburg	RU	56.9083	31 Dec 2021	60.8019
excellent	Asia/Yakutsk	RU	65.93381	02/01/2015, 00:00:00	111.4834
excellent	Asia/Manila	PH	16.455	26 Oct 2021	120.5875
average	Asia/Yekaterinburg	RU	56.11281	2013-12-22	69.49015
maintenance	Europe/Sofia	BG	41.57439	2020-11-19	24.71204
good	Asia/Qyzylorda	KZ	44.85278	21 Nov 2014	65.50917
building	Asia/Kolkata	IN	25.66795	25 Apr 2014	85.83636
accep	Asia/Phnom_Penh	KH	13.65805	2015/04/02	102.56365
building	Europe/Paris	FR	46.32313	2014/08/14	-0.45877
average	Europe/Berlin	DE	53.6052	08/03/2019, 00:00:00	10.03988
average	Europe/Paris	FR	43.2907	2014-02-16	5.4384
acceptable	America/Toronto	CA	45.4473	2016-09-07	-73.75335
maintenance	Asia/Shanghai	CN	34.65918	2018/10/23	109.22921
excellent	America/New_York	US	40.68066	28 Dec 2013	-73.47429
good	America/Menominee	US	46.09273	05 Sep 2013	-88.64235
excellent	Africa/Lagos	NG	7.6	10/30/2018, 00:00:00	4.18333
maintenance	America/Sao_Paulo	BR	-28.81833	2018-07-06	-52.51028
maintenance	Europe/Kiev	UA	50.75932	05/07/2016, 00:00:00	25.34244
average	Europe/Madrid	ES	37.13548	2020/03/30	-3.67029
excellent	Africa/Casablanca	MA	33.92866	2016-02-24	-6.90656
building	Europe/Rome	IT	45.78071	22 Feb 2022	12.84052
building	Europe/Moscow	RU	55.62047	2020/09/26	37.49338
average	America/New_York	US	32.54044	06/02/2022, 00:00:00	-82.90375
average	Europe/Rome	IT	45.79377	15 Apr 2020	8.88104
excellent	Europe/Madrid	ES	41.15612	08 Jun 2013	1.10687
building	America/Chicago	US	47.92526	2016/07/18	-97.03285
accep	Europe/Warsaw	PL	51.14942	2022/01/08	15.00835
accep	Asia/Shanghai	CN	32.54278	2018-05-29	111.50861
building	America/Denver	US	39.72943	23 Nov 2017	-104.83192
building	America/Sao_Paulo	BR	-21.205	12/01/2021, 00:00:00	-41.88778
good	Europe/Madrid	ES	42.8139	2018-07-26	-1.64295
accep	Asia/Shanghai	CN	36.81667	2022-08-18	117.81667
maintenance	America/Chicago	US	31.84568	2019/07/09	-102.36764
excellent	Africa/Mogadishu	SO	-0.35817	2020-03-16	42.54536
average	America/Indiana/Indianapolis	US	41.75338	2016/10/13	-86.11084
good	Asia/Kolkata	IN	11.00599	17 Mar 2014	77.5609
average	Europe/Rome	IT	37.51803	2022/09/17	15.00913
excellent	Europe/Rome	IT	43.1122	2018/03/17	12.38878
average	America/Los_Angeles	US	33.72255	2013-02-20	-116.37697
average	Europe/Rome	IT	44.59445	01 Nov 2019	11.04979
excellent	Africa/Dar_es_Salaam	TZ	-5.41667	17 Jun 2018	38.01667
average	America/New_York	US	40.93121	2015/04/26	-73.89875
excellent	Europe/Moscow	RU	57.30185	26 Jan 2018	39.85331
excellent	Europe/Rome	IT	45.44694	10/01/2014, 00:00:00	8.62118
accep	America/Argentina/Buenos_Aires	AR	-34.64167	11/24/2019, 00:00:00	-60.47389
building	Europe/Copenhagen	DK	55.67938	2018/08/06	12.53463
average	Asia/Karachi	PK	31.71667	22 Feb 2022	73.38333
excellent	Asia/Kolkata	IN	21.46527	2016/07/11	83.97573
good	Asia/Kolkata	IN	12.1277	03/07/2022, 00:00:00	78.15794
accep	America/Los_Angeles	US	33.03699	2020/01/06	-117.29198
maintenance	Europe/Rome	IT	43.78956	07 Dec 2016	7.60872
average	Pacific/Efate	VU	-17.73648	2016/08/01	168.31366
excellent	Europe/Moscow	RU	54.8421	28 Sep 2016	46.5813
excellent	America/Port-au-Prince	HT	18.57677	05/05/2017, 00:00:00	-72.22625
good	Europe/Warsaw	PL	50.5107	2017-09-08	18.30056
average	Europe/London	GB	50.76306	07/01/2018, 00:00:00	-1.29772
accep	Europe/Belgrade	RS	44.97639	16 Mar 2016	19.61222
average	Asia/Kolkata	IN	12.95629	2021-02-26	78.27539
good	Asia/Shanghai	CN	28.88162	2022/06/12	120.03308
excellent	America/New_York	US	41.16704	09/08/2021, 00:00:00	-73.20483
good	Africa/Cairo	EG	26.67319	2021-12-29	31.4976
excellent	Asia/Shanghai	CN	42.64031	06 Jul 2022	125.51176
accep	Asia/Urumqi	CN	46.51872	2018/01/06	86.00214
accep	Europe/Moscow	RU	43.35071	09 May 2020	46.10925
excellent	America/New_York	US	30.17746	2018-11-24	-81.38758
average	America/New_York	US	39.32011	2019-08-18	-76.51552
maintenance	Asia/Bangkok	TH	6.25947	2014-05-16	102.05461
