TEMP	O3	CO	CH4	NH3	C2H3NO5	warning	PAHs	H2CO	NOx	CFCs	PRES	Pb	longitude	PM10	PM2.5	SO2	latitude
7.68978	11.39150	8.28030	4.77402	8.69857	0.76711	1.00000	4.16605	30.55073	8.89806	63.82172	1126.08689	41.12984	117.33333	10.00243	4.70286	8.17954	34.85
7.49408	5.43383	7.59732	7.15364	9.50387	0.56046	0.00000	7.80716	51.70447	6.28507	53.50297	1196.13322	55.83186	0.57856	9.67842	6.13754	7.11713	40.70995
15.50279	7.10843	7.54291	7.65962	8.06803	0.08291	0.00000	4.20384	58.24760	5.85386	53.30585	1094.11389	51.05505	133.42825	6.36398	6.16253	8.55200	45.47885
22.80371	2.78068	7.35254	10.38626	10.87198	0.53718	0.00000	6.33988	53.47394	6.82725	45.86828	1116.04607	78.87513	-44.31389	9.61531	7.66338	8.17157	-19.7625
19.19287	4.76887	8.94579	11.23137	8.29002	0.07169	0.00000	2.21340	52.27595	6.81726	49.73604	1137.19806	30.46534	106.85417	5.69102	7.51705	8.20635	-6.48167
30.41227	8.77540	8.35413	5.58712	9.96011	0.16548	1.00000	4.96225	59.37285	8.88132	35.47632	1188.14833	52.59791	56.36091	8.35576	5.74137	8.09248	51.78771
16.11247	8.25320	8.68306	10.79325	5.09839	0.06451	1.00000	6.03767	52.27566	7.65111	49.94156	1071.38757	41.59701	36.25361	6.44406	6.83767	7.28792	47.48444
18.61058	9.03285	7.19572	3.89548	8.74306	0.05433	1.00000	3.02479	65.82857	9.40385	54.69628	1129.74972	45.56585	105.89333	6.57870	7.73651	8.12913	34.56861
30.48801	7.94531	8.64100	8.04763	4.71779	0.21066	1.00000	8.37903	19.08047	9.71001	36.94554	1083.09433	41.71950	31.3237	8.34717	8.12986	6.95307	52.4089
22.53436	8.16381	7.00218	5.20887	8.85751	0.23328	1.00000	6.61485	62.53779	9.04370	61.24599	1125.51085	36.94420	141.95	8.65612	7.30248	6.70057	39.46667
26.96339	10.94967	6.17692	5.78764	7.01946	0.12322	1.00000	3.24687	56.79811	6.44567	76.61660	1122.14999	45.38549	-0.36053	7.95535	9.05261	7.10269	51.64316
4.92034	6.69026	6.04990	8.76695	7.06334	0.11874	0.00000	6.65422	37.54494	5.88610	41.34287	1164.94192	41.15247	-81.24441	7.60899	7.58079	7.98721	23.15678
15.51497	4.92259	6.51586	10.55056	8.58461	0.78521	0.00000	5.51179	77.49214	6.09716	48.21356	1155.76630	49.79699	-2.12139	10.04661	7.11905	8.20804	52.48173
6.33675	11.62336	8.08640	7.60094	5.04249	0.18696	1.00000	10.02711	52.64800	9.85114	57.93864	1159.85955	41.90199	29.47306	8.41219	6.69038	5.58412	0.49113
8.60063	5.84887	6.54783	7.42550	9.65407	3.14096	0.00000		64.74293	4.98618	67.66780	1085.29377	48.48847	3.47717	11.47968	8.63374	7.67784	36.76639
