longitude	latitude	revision	QoS	station	code
114.68333	23.73333	2015/01/21	good	Heyuan	CN
3.39467	6.45407	2019/04/10	excellent	Lagos	NG
-1.29243	53.49389	10/05/2013, 00:00:00	excellent	Mexborough	GB
178.00417	-38.65333	02/14/2013, 00:00:00	building	Gisborne	NZ
-88.27205	44.27804	2019-03-12	good	Kaukauna	US
151.08057	-33.79176	2014-02-22	accep	Eastwood	AU
-87.88754	41.15376	07 Nov 2016	good	Bourbonnais	US
73	40.93333	20 May 2013	building	Jalal-Abad	KG
-5.22126	33.43443	2014/10/04	good	Azrou	MA
-73.26022	6.46838	2017/04/21	maintenance	Socorro	CO
44.53333	-22.9	30 Jul 2015	excellent	Sakaraha	MG
-121.75689	36.91023	18 Jul 2015	accep	Watsonville	US
-87.70172	41.72059	2021/07/17	average	Evergreen Park	US
20.22625	30.75545	2020/07/05	good	Ajdabiya	LY
84.63445	24.81757	09 Sep 2016	accep	Rafiganj	IN
-1.60452	42.06166	13 Apr 2017	accep	Tudela	ES
4.69889	50.56149	2020-08-27	accep	Gembloux	BE
-0.33525	53.7446	2016-11-14	average	Kingston upon Hull	GB
71.30633	21.34222	04/13/2018, 00:00:00	excellent	Kundla	IN
-67.15407	18.42745	09/08/2020, 00:00:00	average	Aguadilla	PR
-37.07167	-10.91111	2017-12-15	accep	Aracaju	BR
32.6178	46.65581	06 May 2019	accep	Kherson	UA
102.05461	6.25947	2017-03-15	excellent	Tak Bai	TH
68.21204	27.55898	2019-01-20	average	Larkana	PK
24.43973	0.76755	2015-02-24	maintenance	Yangambi	CD
-72.47417	7.83389	2018-09-12	excellent	Villa del Rosario	CO
9.15214	49.97704	2021-08-15	excellent	Aschaffenburg	DE
116.11768	24.28859	2019-02-01	average	Meizhou	CN
4.52529	50.71229	22 Apr 2021	average	Rixensart	BE
28.19028	59.37722	02/06/2014, 00:00:00	average	Narva	EE
8.52462	47.30997	12/18/2018, 00:00:00	accep	Adliswil	CH
-79.2663	43.86682	05/25/2021, 00:00:00	good	Markham	CA
9.29109	45.39402	12/04/2017, 00:00:00	good	San Giuliano Milanese	IT
-119.0376	34.21639	15 Dec 2019	average	Camarillo	US
30.4347	-1.9487	08 Aug 2020	average	Rwamagana	RW
137.02166	35.48199	2014/01/01	excellent	Minokamo	JP
-73.95097	40.72371	02/26/2014, 00:00:00	good	Greenpoint	US
-80.66756	26.68451	2014/06/30	maintenance	Belle Glade	US
-84.13722	9.92787	11/01/2016, 00:00:00	building	San Rafael	CR
-72.86843	41.27621	2019-02-15	accep	East Haven	US
27.46153	-21.44236	2022-04-06	excellent	Tonota	BW
-71.8023	42.58342	03 Dec 2019	average	Fitchburg	US
77.40858	24.05979	2021/11/09	accep	Leteri	IN
-73.86586	45.43341	30 May 2022	excellent	Beaconsfield	CA
137.95378	35.82756	10 Jan 2020	maintenance	Ina	JP
-111.90466	40.34912	09/25/2018, 00:00:00	good	Saratoga Springs	US
-73.47429	40.68066	2020-05-10	average	Massapequa	US
76.32756	9.57046	2019-01-08	average	Kalavoor	IN
19.91667	-11.78333	17 Feb 2014	good	Luena	AO
30.38167	59.80917	11/22/2021, 00:00:00	accep	Shushary	RU
-41.45861	-4.42472	06/17/2018, 00:00:00	excellent	Pedro II	BR
139.07204	36.24624	2021/08/24	accep	Fujioka	JP
55.4504	-20.88231	09/01/2020, 00:00:00	average	Saint-Denis	RE
39.28333	-10.33333	2018-06-09	excellent	Nyangao	TZ
-47.53028	-22.45667	2020-07-09	excellent	Santa Gertrudes	BR
16.43915	43.50891	04 Apr 2018	average	Split	HR
124.3697	9.6531	25 Jun 2015	average	Jagna	PH
1.00288	49.28669	2018-01-24	maintenance	Elbeuf	FR
171.25364	-44.39672	2019-10-24	good	Timaru	NZ
5.16108	48.77275	08/26/2022, 00:00:00	good	Bar-le-Duc	FR
-91.77127	37.95143	2021/03/21	building	Rolla	US
-105.36369	22.49396	2016/01/30	maintenance	Acaponeta	MX
73.38333	31.71667	2012-11-13	average	Sangla Hill	PK
111.73861	35.20889	04 Jul 2016	good	Changzhi	CN
-1.48119	53.0233	2019/05/29	accep	Belper	GB
29.26639	37.58105	04/24/2018, 00:00:00	good	Serinhisar	TR
9.15214	49.97704	2015-01-30	accep	Aschaffenburg	DE
-35.71667	-8.66667	2018-09-24	excellent	Catende	BR
-48.62789	-17.74431	2017/10/19	good	Caldas Novas	BR
-84.13722	9.92787	2013/12/25	average	San Rafael	CR
34.3869	11.8659	11/24/2012, 00:00:00	excellent	Ar Ruseris	SD
98.50893	16.68911	2012-12-27	average	Myawadi	MM
74.80555	34.08565	2022-03-28	average	Srinagar	IN
-48.52333	-0.71667	04/06/2021, 00:00:00	excellent	Soure	BR
-42.98194	-22.53722	10/30/2015, 00:00:00	building	Guapimirim	BR
86.00214	46.51872	05/31/2018, 00:00:00	average	Hoxtolgay	CN
37.73333	-4.06667	21 Mar 2016	average	Same	TZ
68.11759	26.9423	2018-12-29	accep	Tharu Shah	PK
26.97253	49.65186	2017/06/06	excellent	Krasyliv	UA
-119.48568	49.88307	2013/05/23	accep	Kelowna	CA
73.66633	25.92493	2021-10-11	maintenance	Sojat	IN
145.13643	-38.16604	09 May 2014	accep	Frankston South	AU
-80.66756	26.68451	2014/08/21	maintenance	Belle Glade	US
3.50309	34.15429	06/06/2022, 00:00:00	accep	Messaad	DZ
79.41727	12.25282	2015/12/28	accep	Gingee	IN
-77.70066	43.16547	2018-01-06	good	Gates-North Gates	US
32.88667	3.27833	2018-01-20	average	Kitgum	UG
1.33467	43.61058	08/14/2019, 00:00:00	average	Colomiers	FR
33	-2.68333	05/18/2020, 00:00:00	maintenance	Usagara	TZ
-65.61427	-27.4338	2015/12/05	accep	Aguilares	AR
5.4384	43.2907	12 Jun 2021	accep	Marseille 11	FR
13.57661	37.31065	13 Mar 2022	accep	Agrigento	IT
23.225	43.4125	2014/05/10	good	Montana	BG
5.2875	51.65333	2019-03-18	accep	Vught	NL
-70.6996	-33.59217	2013-06-15	excellent	San Bernardo	CL
-77.03116	3.8801	03/07/2020, 00:00:00	excellent	Buenaventura	CO
-80.08199	35.88264	06/20/2020, 00:00:00	average	Thomasville	US
29.65806	-4.83	08/09/2020, 00:00:00	average	Mwandiga	TZ
59.4839	58.7002	2013-02-06	accep	Kachkanar	RU
-60.94228	14.67751	2017-06-18	average	Le Robert	MQ
24.71204	41.57439	2021-05-26	average	Smolyan	BG
102.42587	15.58552	23 Oct 2014	good	Bua Yai	TH
-82.4017	23.0072	10 Jan 2019	average	Boyeros	CU
-1.29243	53.49389	2013/08/18	accep	Mexborough	GB
11.5	3.51667	07 Jun 2014	accep	Mbalmayo	CM
99.95469	13.51825	02 Mar 2021	excellent	Damnoen Saduak	TH
30.96755	49.07866	02/12/2015, 00:00:00	good	Zvenihorodka	UA
-73.89875	40.93121	21 Feb 2018	accep	Yonkers	US
77.70636	28.98002	2018-11-28	good	Meerut	IN
2.35739	41.63976	2017-12-08	maintenance	Cardedeu	ES
-0.76773	38.38479	02 Apr 2016	accep	Novelda	ES
16.54165	68.79833	21 Feb 2022	accep	Harstad	NO
6.51352	51.19139	2021-11-07	maintenance	Korschenbroich	DE
16.50104	41.24264	2013-03-06	good	Bisceglie	IT
-48.62789	-17.74431	20 Jul 2019	excellent	Caldas Novas	BR
43.63417	43.96222	10/07/2021, 00:00:00	maintenance	Novopavlovsk	RU
7.02238	52.21099	2019/04/04	maintenance	Gronau	DE
70.96699	30.46907	2018-10-06	maintenance	Kot Addu	PK
