PAHs	latitude	PM10	H2CO	longitude	PRES	O3	TEMP	SO2	Pb	CH4	NOx	C2H3NO5	CFCs	NH3	PM2.5	CO	warning
8.90260	21.34222	6.87277	40.39028	71.30633	1133.62299	7.49820	0.55840	10.34897	39.46042	5.23453	7.30598	0.06242	36.73718	6.61346	8.96938	8.09986	1.00000
7.71337	47.4943	6.67847	67.82180	-122.24092	1168.21154	9.14405	7.40591	9.48394	56.27426	9.63575	9.39240	0.06854	39.91556	7.49020	7.04891	9.34861	0.00000
8.56567	25.87498	8.39783	39.05640	86.59611	1180.97993	4.97392	4.15474	3.94288	53.76275	6.55610	7.70053	0.15319	49.62639	10.87641	6.93902	7.80548	1.00000
7.36442	-21.42917	6.31461	44.40361	-45.94722	1091.09510	10.45580	3.28255	9.56036	54.84035	6.98615	6.01744	0.04084	38.72996	6.71968	7.48393	7.08638	1.00000
8.50316	0.76755	6.73340	49.78698	24.43973	1089.77232	9.60773	22.37300	8.68188	47.60368	5.25803	7.38592	0.05365	75.22502	6.72500	6.52354	6.07327	1.00000
9.39974	51.21667	8.28504	55.61683	6.26667	1050.17015	4.61653	7.87168	4.93592	54.13399	8.69568	8.84399	0.12899	61.43030	11.62109	7.18220	7.72142	1.00000
8.53313	42.35843	9.63176	38.00303	-71.05977	1065.39816	5.70449	23.73001	7.09039	62.70561	11.45641	9.06180	0.36410	52.17369	10.42886	8.93042	9.58912	1.00000
9.23803	-19.72806	6.90599	40.67251	-50.19556	1139.16901	10.31949	5.68533	9.58808	75.15311	8.39833	7.04778	0.06525	53.84890	4.79549	7.95745	7.88395	0.00000
8.23502	-21.41222	9.38807	64.12367	-42.19667	1075.20781	7.43499	11.82064	7.80539	67.96677	6.94660	5.51216	0.29449	55.39189	7.72247	7.41946	6.01814	1.00000
7.62668	24.05979	5.53293	59.17010	77.40858	1156.15370	10.14483	16.73295	9.39138	68.14417	5.67259	7.13866	0.02402	29.37535	8.16701	7.52866	8.33489	1.00000
7.96886	53.53333	8.61467	57.30142	-7.35	1106.17823	8.93944	25.32033	6.76612	30.68456	6.29400	6.73962	0.15219	57.78087	6.90289	9.98538	9.15788	1.00000
9.35430	23.15678	10.77913	80.81818	-81.24441	1062.59014	8.41376	-2.28005	9.56820	46.46496	10.09402	10.40752	1.07735	48.77656	7.61403	6.87045	7.37391	1.00000
6.82363	50.56149	8.65048	58.41608	4.69889	1072.92131	7.00276	13.01870	9.81312	41.26934	7.89740	6.76347	0.16281	43.65425	10.66081	8.86290	8.92884	0.00000
7.05516	30.16688	10.59734	43.82609	-96.39774	1079.41419	5.21669	13.09899	8.99118	50.14936	5.66529	7.95610	0.90622	34.68274	8.17263	7.44243	6.47705	0.00000
8.13595	-2.13404	8.33416	60.60658	-79.59415	1150.60488	5.69449	25.76777	6.15502	71.07044	8.80759	9.63831	0.10864	30.74022	9.36668	6.20919	6.77315	1.00000
8.93879	52.31333	7.61900	50.59212	6.92917	1105.81262	7.78718	19.88765	12.00841	46.50065	7.02139	6.14835	0.08574	59.08202	8.05487	7.18975	8.47657	0.00000
