location	longitude	revision	QoS	latitude	station
America/Los_Angeles	-118.25508	16 Mar 2013	building	34.14251	Glendale
America/Mexico_City	-100.44843	2019/03/12	accep	20.74122	Santa Rosa Jauregui
America/Chicago	-87.882	2017/03/06	good	41.85059	Westchester
America/Sao_Paulo	-41.88778	2018-07-06	building	-21.205	Itaperuna
Europe/Moscow	36.73307	2016-11-18	average	55.38752	Naro-Fominsk
Europe/Andorra	1.53414	2020/09/24	accep	42.50729	les Escaldes
America/Sao_Paulo	-41.88778	09/13/2016, 00:00:00	maintenance	-21.205	Itaperuna
Europe/Rome	9.32241	11 Mar 2017	good	44.31771	Chiavari
America/Los_Angeles	-117.23991	2014/01/02	building	47.64995	Opportunity
Europe/Moscow	38.94324	12/14/2014, 00:00:00	accep	44.98901	Yablonovskiy
Pacific/Auckland	171.25364	03/28/2013, 00:00:00	building	-44.39672	Timaru
Asia/Shanghai	130.57211	19 Aug 2019	average	45.75279	Boli
America/New_York	-84.23381	11 Jan 2021	good	33.54428	Stockbridge
America/Montevideo	-56.52361	06/26/2018, 00:00:00	accep	-33.38056	Durazno
America/Los_Angeles	-122.24092	2016-02-29	good	47.4943	Bryn Mawr-Skyway
America/Costa_Rica	-84.13722	2015/06/07	good	9.92787	San Rafael
America/Mexico_City	-98.1664	05/23/2020, 00:00:00	average	19.32932	Contla
Europe/Moscow	30.38167	26 Jun 2013	good	59.80917	Shushary
Europe/Paris	-1.05366	2014-03-28	accep	43.71032	Dax
America/New_York	-76.88442	03/18/2013, 00:00:00	accep	40.2737	Harrisburg
America/Vancouver	-119.27337	2014-04-18	average	50.26729	Vernon
Europe/Brussels	4.21372	2016/06/05	excellent	51.12794	Temse
Europe/Kiev	33.34864	05/09/2019, 00:00:00	excellent	46.75451	Nova Kakhovka
Asia/Kolkata	76.03889	2012/11/23	average	18.18158	Osmanabad
Europe/Moscow	38.2739	05/30/2016, 00:00:00	accep	46.7055	Yeysk
Asia/Shanghai	123.17306	2015/01/14	good	41.27194	Liaoyang
America/New_York	-73.89875	09/28/2018, 00:00:00	good	40.93121	Yonkers
America/Los_Angeles	-117.23991	2021/03/07	average	47.64995	Opportunity
Europe/Moscow	34.33825	2014-08-19	building	53.59782	Dyat’kovo
Europe/London	-0.76667	15 Jun 2021	excellent	53.38333	Gainsborough
Asia/Yakutsk	111.4834	2020-12-12	average	65.93381	Aykhal
America/Santiago	-73.02841	07/01/2017, 00:00:00	average	-36.9256	Chiguayante
Europe/Berlin	9.72749	05/07/2016, 00:00:00	excellent	48.28259	Ehingen
Africa/Abidjan	-5.682	06/06/2018, 00:00:00	good	5.84752	Lakota
Europe/Moscow	32.86389	07/25/2019, 00:00:00	accep	53.95278	Roslavl’
Europe/Berlin	8.70745	04/08/2016, 00:00:00	good	49.03685	Bretten
America/Los_Angeles	-120.45794	04/11/2013, 00:00:00	good	34.63915	Lompoc
Asia/Vladivostok	140.72287	08/23/2020, 00:00:00	building	53.14657	Nikolayevsk-on-Amure
America/Havana	-80.58556	18 Jun 2017	average	22.98212	Corralillo
America/Tegucigalpa	-86.57415	2021/10/11	maintenance	15.48131	Olanchito
Europe/Moscow	38.07083	2020/09/21	excellent	54.90083	Stupino
Europe/Moscow	37.92792	11 Feb 2019	good	53.93361	Kireyevsk
Asia/Karachi	70.96699	2021/01/02	excellent	30.46907	Kot Addu
America/Los_Angeles	-117.23991	10/17/2020, 00:00:00	good	47.64995	Opportunity
America/Recife	-35.71667	05 Mar 2014	good	-8.66667	Catende
Europe/Paris	8.73812	2012/11/09	excellent	41.91886	Ajaccio
Europe/London	-0.33525	12 May 2014	average	53.7446	Kingston upon Hull
America/Managua	-86.19903	28 Oct 2019	excellent	11.84962	Jinotepe
America/Caracas	-68.30472	2019-06-12	accep	9.91861	Tinaquillo
Asia/Karachi	68.75915	14 Jul 2017	accep	27.52948	Khairpur Mir’s
Europe/Paris	2.45012	2013-05-23	average	48.90982	Bobigny
Europe/Rome	8.62118	2018-10-02	excellent	45.44694	Novara
America/New_York	-84.67837	07/13/2020, 00:00:00	excellent	34.06635	Acworth
America/Toronto	-73.86586	2012/10/19	maintenance	45.43341	Beaconsfield
America/Mexico_City	-103.42897	06/24/2022, 00:00:00	accep	20.28527	Jocotepec
Asia/Shanghai	109.22921	01/22/2021, 00:00:00	excellent	34.65918	Yanliang
America/Los_Angeles	-117.14392	2017/02/18	average	32.9156	Mira Mesa
America/Mexico_City	-96.72365	2019-07-14	accep	17.06542	Oaxaca
Asia/Tashkent	72.34424	07/30/2014, 00:00:00	average	40.78206	Andijon
America/Recife	-35.03333	2013-01-22	accep	-8.28333	Cabo
America/Mexico_City	-98.1664	2012-10-29	accep	19.32932	Contla
Asia/Makassar	116.82887	2017/12/04	excellent	-1.26753	Balikpapan
Asia/Yekaterinburg	53.47103	2013-11-20	accep	54.48147	Oktyabr’skiy
Europe/London	-1.06667	07/16/2022, 00:00:00	accep	53.78333	Selby
America/Sao_Paulo	-41.88778	03/05/2016, 00:00:00	maintenance	-21.205	Itaperuna
Europe/Istanbul	40.74357	10/22/2017, 00:00:00	good	37.31309	Mardin
Asia/Kuala_Lumpur	102.3278	2015-03-04	average	2.2139	Kampung Ayer Molek
America/New_York	-70.92866	07/23/2015, 00:00:00	good	42.52787	Peabody
America/Chicago	-88.31476	2021/01/05	accep	36.61033	Murray
Europe/Paris	4.7934	2012/10/04	accep	45.69558	Saint-Genis-Laval
Europe/Moscow	38.16694	2014/10/21	average	54.84444	Kashira
America/Los_Angeles	-122.2054	2022-04-10	maintenance	47.76232	Bothell
Europe/London	-2.1875	12/26/2013, 00:00:00	excellent	51.26	Westbury
America/Caracas	-62.64102	28 Feb 2018	maitennce	8.35122	Ciudad Guayana
Europe/Istanbul	29.26639	06/25/2022, 00:00:00	maintenance	37.58105	Serinhisar
Europe/Berlin	11.18709	04 Oct 2012	maintenance	48.73218	Neuburg an der Donau
Asia/Shanghai	117.65694	12/28/2014, 00:00:00	maintenance	36.19278	Laiwu
Europe/Belgrade	22.53083	06 Feb 2021	maintenance	44.22639	Negotin
America/Bogota	-72.47417	2016-03-24	accep	7.83389	Villa del Rosario
America/New_York	-72.27814	05/09/2013, 00:00:00	good	42.93369	Keene
Australia/Sydney	146.05093	2017/02/06	excellent	-34.28853	Griffith
Europe/Brussels	4.25633	05 Jan 2020	accep	51.21187	Beveren
Europe/Berlin	8.86704	2020-09-04	good	50.23805	Nidderau
America/New_York	-82.35176	12/20/2015, 00:00:00	average	27.71809	Sun City Center
America/Los_Angeles	-117.29198	27 Dec 2015	accep	33.03699	Encinitas
Europe/Madrid	-0.76773	2017/12/31	acceptable	38.38479	Novelda
Europe/Berlin	13.10984	12/01/2015, 00:00:00	maintenance	51.30001	Oschatz
Europe/Paris	5.16108	12 Apr 2018	good	48.77275	Bar-le-Duc
America/Bogota	-74.26419	15 Jul 2014	accep	4.73245	Madrid
America/Chicago	-91.73625	2013/10/08	good	35.25064	Searcy
Asia/Kolkata	75.96976	05/03/2021, 00:00:00	building	15.73628	Gajendragarh
Asia/Kolkata	75.96976	2017/10/13	building	15.73628	Gajendragarh
Asia/Tehran	48.26258	2016-08-09	maintenance	33.86419	Aleshtar
America/Mexico_City	-98.11889	18 Aug 2022	good	19.04222	Casa Blanca
Europe/Rome	12.84052	2017/07/13	average	45.78071	Portogruaro
Europe/Kiev	25.34244	2015/07/31	average	50.75932	Lutsk
America/Guatemala	-91.11667	2022/01/11	excellent	14.93333	Chichicastenango
Asia/Phnom_Penh	102.56365	2017/08/20	excellent	13.65805	Paoy Paet
Africa/Libreville	13.58357	04/24/2019, 00:00:00	accep	-1.63333	Franceville
Asia/Karachi	73.97117	2021-10-31	average	31.96258	Naushahra Virkan
Africa/Tunis	10.78222	2013/04/19	maintenance	36.46917	Beni Khiar
Europe/Istanbul	29.26639	2014-05-31	average	37.58105	Serinhisar
America/Maceio	-37.65	08/05/2021, 00:00:00	good	-10.91722	Lagarto
Asia/Tokyo	139.55028	2017/01/26	good	35.30889	Kamakura
America/Argentina/Buenos_Aires	-58.70072	29 Apr 2020	excellent	-34.74785	Pontevedra
Europe/Moscow	37.92792	29 Sep 2014	maintenance	53.93361	Kireyevsk
Asia/Kolkata	78.15794	28 Jul 2019	building	12.1277	Dharmapuri
Asia/Kolkata	85.83334	2013-09-26	accep	20.88197	Bhuban
America/Managua	-86.58208	04/17/2016, 00:00:00	excellent	13.48082	Somoto
America/Bogota	-75.87877	2019-11-26	average	5.6561	Andes
Europe/Istanbul	27.02444	02/26/2019, 00:00:00	good	39.59611	Edremit
America/Bogota	-74.73584	2018/02/08	average	5.20856	Honda
Africa/Kigali	30.4347	2013-07-19	average	-1.9487	Rwamagana
