PM2.5	H2CO	CH4	latitude	Pb	longitude	O3	NH3	CO	TEMP	PAHs	PM10	warning	C2H3NO5	NOx	CFCs	PRES	SO2
10.63956	73.92143	6.66967	20.88197	70.33512	85.83334	8.58202	10.39774	9.38875	8.63594	7.82031	8.22944	1.00000	0.89499	9.12906	42.10003	1078.15457	10.98088
11.15657	42.71888	7.71592	55.82737	34.02437	-4.0573	8.20622	9.57305		18.06219	11.31782	11.97868	1.00000	25.65825	7.54681	54.18587	1122.02107	9.99459
11.06821	26.56735	9.51111	51.39323	50.23831	0.47713	7.71527	9.62055	9.76481	5.99144	4.74227	9.50804	1.00000	2.46457	7.18070	54.65792	1083.52589	10.86861
10.84809	52.59261	9.09059	50.18545	52.38476	27.06365	9.78956	8.41588	9.69833	7.22120	8.67785	11.49255	0.00000	15.88242	7.78071	54.50702	1183.16480	11.30919
9.66085	52.39625	9.55522	40.94065	62.71647	-73.99681	9.21878	6.44588	11.56715	24.73733	9.64613	8.11464	0.00000	0.74656	7.49836	38.85473	1071.02720	10.23859
8.69065	58.13446	9.21766	51.44889	55.74757	5.51978	7.71080	9.87700	9.16035	14.33204	5.38331	10.14365	0.00000	4.13234	11.50113	46.14554	1173.79237	10.51419
11.57919	29.71229	9.58743	55.82737	62.84064	-4.0573	9.43120	9.17897	8.47988	8.85263	9.12141	9.53430	1.00000	2.40231	6.99449	23.59613	1095.96905	10.03341
8.88239	63.91231	8.19337	32.57756	45.38162	71.52847	10.23870	8.88419	9.35366	4.45411	10.80984	7.37773	0.00000	0.55602	8.73659	47.03576	1144.93990	10.08490
9.81416	51.38898	9.16762	46.51872	46.83756	86.00214	11.79503	8.21039	8.54994	2.42570	12.63693	12.73453	1.00000	53.85425	8.60109	56.82747	1130.48413	10.44311
10.56315	47.73230	8.77647	58.1908	46.61803	40.17171	7.20435	8.01283	10.52289	37.70429	10.69830	10.53137	1.00000	6.16688	5.18534	49.32093	1161.33722	9.68711
7.33504	29.70640	10.39143	37.51803	59.61213	15.00913	9.29348	8.34839	9.67029		9.28772	6.93528	1.00000	0.38925	8.04328	63.63427	1193.18603	11.42842
13.12104	33.25045	8.97787	-27.4338	37.07996	-65.61427	9.13130	8.23365	9.80754	30.46909	9.81200	10.81364	1.00000	8.10178	6.89507	71.71940	1060.88472	10.67013
7.73089	57.25572	10.31206	41.24255	51.37069	-82.61573	5.57978	9.01964	7.14796	18.62665	7.27612	9.67539	0.00000	2.70839	13.45361	70.77760	1144.86288	10.53790
12.94902	86.31774	8.75858	37.31309	53.48594	40.74357	10.26870	9.22896	10.20113	21.06329	8.75253	9.34572	1.00000	2.14196	7.79073	39.34511	1190.56990	10.74284
10.16774	61.51895	9.97015	41.16704	52.51898	-73.20483	8.83743	11.29088	10.52669	8.98065	6.85744	11.14911	0.00000	11.32404	9.33954	42.30648	1123.36883	11.42118
12.39010	62.33360	9.33512	34.81667	56.15908	137.4	9.91919	9.68897	9.46293	19.20107	8.83329	9.51854	1.00000	2.42082	7.08026	63.90622	1190.60346	
9.50128	65.75532	10.44899	-25.54073	58.46802	152.70493	6.73270	8.68013	10.26729	11.50378	8.15363	10.70462	0.00000	7.42126	11.47662	62.49908	1052.99194	9.83634
13.42879	44.65660	9.86939	42.55308	50.38278	-87.93341	10.41067	9.27532	9.72921	12.52097	10.46383	9.43339	1.00000	2.18243	4.42436	47.99691	1181.58938	
