revision	QoS	code	longitude	station	latitude
2015-08-04	excellent	TJ	69.01354	Vahdat	38.55632
11/17/2015, 00:00:00	good	KR	128.63083	Eisen	36.82167
2016-07-19	excellent	NG	6.26764	Yenagoa	4.92675
2022/09/26	accep	FR	-4.1	Quimper	48
17 Mar 2017	building	US	-76.99081	Chillum	38.96372
14 Jul 2017	building	RU	32.86389	Roslavl’	53.95278
23 Apr 2020	accep	AU	145.06667	Carnegie	-37.88333
2018-10-19	average	GB	-1.08593	Southsea	50.79205
2017/12/08	accep	DZ	4.62744	El Achir	36.06386
2019-09-08	average	US	-121.74052	Davis	38.54491
08/21/2017, 00:00:00	maintenance	PK	72.54064	Sillanwali	31.82539
24 Apr 2016	accep	IN	83.97573	Sambalpur	21.46527
04/02/2019, 00:00:00	average	JP	137.95378	Ina	35.82756
2015-08-12	building	IN	76.03889	Osmanabad	18.18158
2020/11/08	good	PK	71.57118	Daud Khel	32.87533
2013-05-25	average	AU	153.10236	Carindale	-27.50578
2016/11/22	excellent	IN	76.03889	Osmanabad	18.18158
2020/08/23	building	CL	-70.6996	San Bernardo	-33.59217
08/18/2017, 00:00:00	maintenance	US	-122.2054	Bothell	47.76232
03 Dec 2014	accep	CN	120.03308	Guli	28.88162
08/14/2020, 00:00:00	average	CM	9.00472	Idenao	4.2475
10/27/2016, 00:00:00	excellent	BD	91.84128	Manikchari	22.83957
2019/12/22	building	BR	-48.62789	Caldas Novas	-17.74431
03 Jul 2015	good	US	-71.06616	Malden	42.4251
2019/09/13	good	IN	78.55757	Lal Bahadur Nagar	17.34769
10/12/2012, 00:00:00	average	NG	8.2926	Kafanchan	9.58126
2016-04-05	average	IN	79.5286	Haldwani	29.22254
14 Mar 2018	good	US	-94.74049	Longview	32.5007
2021-03-09	accep	CA	-60.1831	Sydney	46.1351
01 Sep 2020	excellent	MX	-102.04897	Paracho de Verduzco	19.64745
2019-11-03	building	IT	17.58522	Francavilla Fontana	40.53123
2021-06-18	good	DE	9.85	Halstenbek	53.63333
2018/02/01	excellent	IT	8.86374	Tortona	44.89784
07/11/2018, 00:00:00	good	TH	104.64992	Kantharalak	14.64056
2013/03/14	average	DK	12.53463	Frederiksberg	55.67938
18 May 2021	excellent	PK	68.11759	Tharu Shah	26.9423
10/03/2020, 00:00:00	average	MX	-98.1664	Contla	19.32932
07/13/2019, 00:00:00	good	IQ	44.02488	Karbala	32.61603
2013-09-21	building	US	-82.61573	Norwalk	41.24255
09/17/2016, 00:00:00	accep	US	-83.55521	Toledo	41.66394
12 Aug 2018	maintenance	BR	-35.71667	Catende	-8.66667
2020/05/08	accep	RU	32.86389	Roslavl’	53.95278
2022/02/27	building	DE	7.20769	Siegburg	50.80019
2016/04/10	building	FR	1.33467	Colomiers	43.61058
16 Dec 2017	excellent	BR	-52.35558	Nova Xavantina	-14.66463
24 Feb 2019	average	ID	106.85417	Cibinong	-6.48167
2019/10/07	maintenance	US	-87.45476	Schererville	41.47892
05/30/2014, 00:00:00	excellent	GB	-2.58736	Arbroath	56.56317
15 Jan 2014	maintenance	RU	92.48278	Lesosibirsk	58.23583
02/12/2016, 00:00:00	average	PK	68.75915	Khairpur Mir’s	27.52948
2021-12-26	average	RU	60.70278	Ozersk	55.75556
20 Mar 2013	building	IN	74.83554	Sirsi	14.62072
