NH3	NOx	latitude	TEMP	O3	PM10	PRES	warning	Pb	CFCs	CO	longitude	SO2	H2CO	C2H3NO5	PM2.5	CH4	PAHs
7.81813	10.12236	-33.75881	5.03290	7.44647	9.38239	1065.65622	1.00000	62.57948	66.76524	9.96678	150.99292	7.83056	35.47552	4.19871	9.53310	11.24855	7.33749
8.31959	8.26092	43.61058	34.77013	6.31333	10.22707	1103.08403	1.00000	69.83752	67.34677	10.61946	1.33467	8.60048	36.42100	9.77619	9.34048	12.29154	5.64470
8.93126	9.46357	33.86419	9.88845	10.04531	7.41557	1112.63132	1.00000	51.69318	73.51979	10.05440	48.26258	12.02475	14.52635	0.95883	8.85352	9.14065	5.41776
9.90152	9.90497	51.03427	22.87849	8.30675	9.59707	1198.27895	1.00000	50.43578	71.23357	8.92421	5.37429	8.73038	23.01745	5.35639	10.10450	8.52688	7.51778
6.19812	9.34419	7.6	28.19136	7.37841	8.81004	1172.88735	1.00000	67.30108	78.27747	9.84908	4.18333	8.92734	39.88328	2.57356	9.18877	10.86239	7.98307
8.20808	11.67990	35.30889	16.21093	8.43930	8.24985	1081.47044	0.00000	18.10505	76.01304	7.83950	139.55028	11.50257	44.86802	1.62909	10.02062	9.49892	7.57924
8.28252	14.69841	36.33011	-2.93362	7.83180	7.49987	1120.50692	0.00000	43.59997	66.91007	9.31131	138.89585	11.66242	68.14144	1.62700	9.48098	7.66069	5.99363
	11.48645	35.21222	24.17705	9.81119	10.42761	1146.34008	0.00000	55.17947	66.63834	7.76761	2.31889	5.58394	52.06532	11.74327	9.56935	7.96933	10.60838
8.80356	8.68263	27.09978	11.24261	8.60709	8.86178	1088.93550	0.00000	31.48330	78.09271	9.44120	-82.45426	9.80905	50.90435	2.65962	9.50266	5.28133	12.48976
6.83907	9.16736	34.14251	1.10297	7.96361	9.67790	1190.82810	1.00000	42.10225	71.17176	9.21791	-118.25508	9.21504	44.69030	5.95310	8.74380	9.73221	5.58901
9.45309	11.54005	31.71667	19.84388	8.44729	9.41301	1099.81874	0.00000	44.55762	62.61347	6.06286	73.38333	8.55192	65.48203	4.50878	8.26765	7.67438	11.15065
7.02762	7.94837	53.59782	16.50680	8.67510	7.45962	1166.93196	1.00000	37.15435	57.47858	9.85811	34.33825	9.91344	41.22866	0.99081	8.89730	9.83047	4.53460
8.74638	10.69814	34.56861	18.69845	8.34451	6.21974	1179.02057	1.00000	35.12472	61.81420	8.91985	105.89333	7.65578	45.56931	0.84234	8.49068	6.85402	4.66444
8.38533	9.57769	11.12018	37.67297	8.13804	8.78590	1079.03460	0.00000	79.44690	70.81181	12.79898	76.11996	8.79096	58.64624	2.33806	10.62516	4.49148	10.27718
