station	latitude	longitude	QoS	revision	location
Pucheng	27.92333	118.53333	maintenance	11 Nov 2017	Asia/Shanghai
Canton	42.30865	-83.48216	building	09/16/2021, 00:00:00	America/Detroit
Gauting	48.06919	11.37703	excellent	2013-06-24	Europe/Berlin
Vestavia Hills	33.44872	-86.78777	good	15 Jun 2013	America/Chicago
Rwamagana	-1.9487	30.4347	excellent	08/24/2019, 00:00:00	Africa/Kigali
San Juan	26.18924	-98.15529	average	2019-09-10	America/Chicago
Mount Hagen	-5.85746	144.23058	average	10/12/2012, 00:00:00	Pacific/Port_Moresby
Aleshtar	33.86419	48.26258	excellent	29 Jan 2022	Asia/Tehran
Carindale	-27.50578	153.10236	excellent	19 May 2015	Australia/Brisbane
Contla	19.32932	-98.1664	excellent	2014/11/19	America/Mexico_City
Progreso	21.28306	-89.66123	excellent	2012-12-01	America/Merida
Qazax	41.09246	45.36561	accep	05 Jan 2020	Asia/Baku
Artur Nogueira	-22.57306	-47.1725	building	05/30/2016, 00:00:00	America/Sao_Paulo
Misterbianco	37.51803	15.00913	accep	09 May 2014	Europe/Rome
Davis	38.54491	-121.74052	excellent	26 Jul 2018	America/Los_Angeles
Abilene	32.44874	-99.73314	maintenance	30 Nov 2021	America/Chicago
Zhuangyuan	37.30553	120.82747	accep	2018/03/15	Asia/Shanghai
Bergama	39.12074	27.18052	good	2016-07-08	Europe/Istanbul
Nova Kakhovka	46.75451	33.34864	excellent	2013/03/09	Europe/Kiev
Kenda	23.1959	86.51499	excellent	01/11/2014, 00:00:00	Asia/Kolkata
Milagro	-2.13404	-79.59415	maitennce	2013-08-06	America/Guayaquil
Sassari	40.72586	8.55552	excellent	23 Apr 2016	Europe/Rome
Daud Khel	32.87533	71.57118	good	12/13/2013, 00:00:00	Asia/Karachi
Labuhan Deli	3.7278	98.6738	accep	10/05/2018, 00:00:00	Asia/Jakarta
Murray	36.61033	-88.31476	maintenance	2018/02/25	America/Chicago
Moga	30.81383	75.16878	maintenance	2017-09-14	Asia/Kolkata
Canton	42.30865	-83.48216	building	13 May 2013	America/Detroit
Colomiers	43.61058	1.33467	excellent	05/22/2013, 00:00:00	Europe/Paris
Kafanchan	9.58126	8.2926	acceptable	18 Sep 2020	Africa/Lagos
Puducherry	11.93381	79.82979	good	2017/07/16	Asia/Kolkata
Gandia	38.96667	-0.18333	accep	24 Sep 2014	Europe/Madrid
Zhoucun	36.81667	117.81667	good	2019-09-20	Asia/Shanghai
Kachkanar	58.7002	59.4839	excellent	2016/05/24	Asia/Yekaterinburg
Norwalk	41.24255	-82.61573	maintenance	10/30/2018, 00:00:00	America/New_York
Sarandi	-23.44361	-51.87389	good	15 Dec 2018	America/Sao_Paulo
Lower Earley	51.42708	-0.91979	good	26 Dec 2014	Europe/London
Parkent	41.29444	69.67639	excellent	2014-02-09	Asia/Tashkent
Kelowna	49.88307	-119.48568	acceptable	04 Jul 2015	America/Vancouver
Madhipura	25.92127	86.79271	good	2014-01-10	Asia/Kolkata
Ikalamavony	-21.15	46.58333	average	02/12/2015, 00:00:00	Indian/Antananarivo
el Camp de l'Arpa del Clot	41.41204	2.18247	maintenance	2015/08/24	Europe/Madrid
Malaut	30.21121	74.4818	good	09/16/2014, 00:00:00	Asia/Kolkata
Jambi City	-1.6	103.61667	maintenance	04/19/2015, 00:00:00	Asia/Jakarta
Kudus	-6.8048	110.8405	maintenance	2016/02/09	Asia/Jakarta
Heyuan	23.73333	114.68333	excellent	17 Feb 2014	Asia/Shanghai
Thenia	36.72544	3.55665	accep	09/30/2016, 00:00:00	Africa/Algiers
Guaraciaba do Norte	-4.16694	-40.7475	good	02/27/2019, 00:00:00	America/Fortaleza
Hofheim am Taunus	50.09019	8.4493	maitennce	06/23/2013, 00:00:00	Europe/Berlin
Andijon	40.78206	72.34424	accep	2015/10/30	Asia/Tashkent
Gonesse	48.98693	2.44892	maintenance	03/23/2016, 00:00:00	Europe/Paris
La Victoria	10.22677	-67.33122	maintenance	2019-07-27	America/Caracas
Massapequa	40.68066	-73.47429	average	06 Mar 2017	America/New_York
Glogovac	42.62833	20.89389	accep	11/17/2014, 00:00:00	Europe/Belgrade
Middletown	41.54566	-71.29144	maintenance	2019-12-24	America/New_York
Okahandja	-21.98333	16.91667	accep	2018-09-26	Africa/Windhoek
San Juan	26.18924	-98.15529	excellent	01/21/2016, 00:00:00	America/Chicago
Neuburg an der Donau	48.73218	11.18709	excellent	2022-03-27	Europe/Berlin
Sirsi	14.62072	74.83554	good	05/31/2016, 00:00:00	Asia/Kolkata
Bogoroditsk	53.77166	38.12408	average	10/29/2015, 00:00:00	Europe/Moscow
Okahandja	-21.98333	16.91667	excellent	2016/08/15	Africa/Windhoek
Somma Vesuviana	40.87329	14.43865	excellent	2021-09-25	Europe/Rome
San Lorenzo Acopilco	19.32889	-99.32556	average	2018/08/11	America/Mexico_City
Sonzacate	13.73417	-89.71472	accep	08/13/2013, 00:00:00	America/El_Salvador
Sunnyside	46.32374	-120.00865	accep	08/09/2022, 00:00:00	America/Los_Angeles
Jhol	25.95533	68.88871	good	2014/10/26	Asia/Karachi
Mechanicsville	37.60876	-77.37331	maintenance	12/30/2015, 00:00:00	America/New_York
Barinas	8.62261	-70.20749	maintenance	03/03/2018, 00:00:00	America/Caracas
Ariccia	41.72063	12.6723	excellent	2017-03-30	Europe/Rome
Thenia	36.72544	3.55665	good	2017-04-22	Africa/Algiers
Castelfranco Emilia	44.59445	11.04979	average	2021/07/16	Europe/Rome
Greenpoint	40.72371	-73.95097	average	2012-12-04	America/New_York
Vienne	45.51667	4.86667	good	25 Apr 2014	Europe/Paris
Jambi City	-1.6	103.61667	excellent	2020-09-05	Asia/Jakarta
Dawei	14.0823	98.19151	average	2014/01/02	Asia/Yangon
el Camp de l'Arpa del Clot	41.41204	2.18247	excellent	2019-05-17	Europe/Madrid
Randudongkal	-7.0981	109.3243	accep	14 Feb 2017	Asia/Jakarta
Al Jubayl	27.0174	49.62251	excellent	2020/05/23	Asia/Riyadh
Fort Washington	38.70734	-77.02303	average	2021-01-16	America/New_York
Bhuban	20.88197	85.83334	accep	2021/01/28	Asia/Kolkata
Socorro	6.46838	-73.26022	accep	2014/04/23	America/Bogota
Granger	41.75338	-86.11084	excellent	11/02/2016, 00:00:00	America/Indiana/Indianapolis
Vestavia Hills	33.44872	-86.78777	maintenance	10/22/2020, 00:00:00	America/Chicago
Bijeljina	44.75874	19.21437	building	07/19/2014, 00:00:00	Europe/Sarajevo
Leteri	24.05979	77.40858	maintenance	03/06/2015, 00:00:00	Asia/Kolkata
Most	50.50301	13.63617	average	2021-03-23	Europe/Prague
