C2H3NO5	O3	CO	TEMP	PRES	longitude	CH4	NH3	latitude	H2CO	Pb	PM10	PAHs	PM2.5	CFCs	warning	NOx	SO2
0.16226	5.95384	10.92776	31.59870	1065.61656	-88.3162	8.04865	8.01724	42.24113	48.52613	61.12320	5.87373	6.48261	5.99201	62.99788	1.00000	6.53828	6.49369
0.20613	6.81336	7.65345	-10.09452	1064.87813	5.2875	8.60871	7.17435	51.65333	52.88884	44.06243	6.93849	8.07399	7.00535	41.49503	1.00000	4.08023	3.66095
0.15971	5.74375	7.15677	32.15516	1172.55902	38.07083	5.21409	4.80531	54.90083	69.64391	53.72197	6.02287	7.52137	8.00291	64.76063	1.00000	7.55964	8.91432
0.19644	7.15151	6.79245	22.81486	1174.85762	145.18333	9.24604	7.85441	-37.9	38.60970	48.60570	6.38666	5.89137	5.94311	69.34837	1.00000	3.56723	2.45246
0.60373	7.30899	5.25122	27.74876	1090.04848	117.27583	7.04338	3.83674	35.64889	46.96883	54.11515	8.49919	6.44035	5.62685	70.00978	0.00000	8.02396	8.89021
0.11107	6.76489	7.32245	8.68378	1075.01410	-97.35992	8.09265	7.84198	19.8173	35.25449	54.51721	5.23491	5.21469	5.30660	72.25013	1.00000	5.55758	6.76908
0.27807	7.50988	6.77524	27.54660	1094.24295	-2.01111	4.11717	8.06921	52.66277	41.11252	44.15323	7.21126	8.34781	8.75878	36.86162	0.00000	11.00772	4.95592
0.22958	6.89957	8.10218	10.51239	1114.79173	105.89333	9.34535	8.08381	34.56861	25.65799	67.59621	6.51110	7.30966	6.43795	51.36043	1.00000	5.13624	5.09248
0.11281	6.38720	6.69723	24.97332	1158.15275	4.25633	5.20867	7.09337	51.21187	34.74632	59.14150	4.94841	6.33871	6.59767	63.62244	0.00000	7.50625	8.20059
1.15577	4.86824	7.36958	4.18241	1193.91357	4.47124	5.86387	8.00631	51.95838	40.06240	64.93372	9.21416	6.16498	8.07028	54.36452	0.00000	5.68939	6.78801
0.21253	6.39234	8.47909	16.08946	1128.44109	109.3243	2.84028	5.11181	-7.0981	71.61355	38.87015	4.27885	8.29776	6.76616	27.34966	1.00000	7.71065	8.65192
0.24448	5.18733	3.09333	9.00169	1162.01820	-111.89903	7.04247	9.39549	33.50921	40.26098	72.89307	7.56770	7.69190	7.55692	42.71559	0.00000	8.86709	8.12117
0.16805	6.94985	8.88879	16.61572	1180.44616	140.73667	4.36054	4.20501	41.77583	37.47367	41.30964	5.33360	6.77098	8.51518	61.42733	1.00000	5.31847	6.73010
0.21227	7.25667	8.32085	11.82670	1119.88477	-42.29444	6.42868	5.42549	-4.24444	65.66673	56.35597	6.39096	8.50204	5.65763	41.49531	1.00000	7.48688	8.09145
0.21833	5.25581	8.73458	0.60406	1187.27338	-72.09391	2.49483	6.21062	18.65297	32.57359	54.16481	6.38641	5.86940	6.72826	33.74560	1.00000	2.51503	8.12948
0.23268	5.79510	4.70845	11.70460	1195.50623	-1.4001	5.33172	8.25163	7.06273	46.12169	49.08872	7.25869	7.01862	6.35809	46.19563	0.00000	7.60602	8.26586
0.38243	7.07937	12.17131	-0.25970	1156.05815	-93.263	9.76055	9.58719	45.0408	38.69083	46.43932	7.52321	5.64761	5.45643	70.41389	1.00000	6.22643	5.36207
0.09047	6.66540	6.14108	6.05015	1145.47254	9.37082	6.79705	4.29248	36.08497	59.94826	56.49899	4.66984	5.51759	7.52242	40.95178	1.00000	9.55543	7.95670
0.12798	6.24265	10.11466	16.07728	1062.40604	32.88667	3.70764	5.70926	3.27833	51.06128	59.86855	5.75290	6.25049	9.32257	52.66216	1.00000	8.54120	8.92996
0.08705	6.43134	10.10505	7.58582	1088.43787	72.34424	5.47755	6.75451	40.78206	65.28437	43.33851	5.17830	6.59643	7.59505	40.27640	1.00000	10.52929	8.56236
