revision	code	latitude	longitude	QoS	station
2015-06-23	CD	0.49113	29.47306	good	Beni
12/03/2018, 00:00:00	DO	18.20854	-71.10077	excellent	Santa Cruz de Barahona
12/27/2012, 00:00:00	SY	35.95664	36.7138	excellent	Binnish
02/20/2014, 00:00:00	US	37.73604	-120.93549	good	Riverbank
2018-11-26	AU	-27.50578	153.10236	excellent	Carindale
2018-12-17	IT	43.78956	7.60872	accep	Ventimiglia
2016/05/09	US	47.80527	-122.24064	maintenance	Bothell West
2022-03-27	CN	41.94175	123.50266	excellent	Hushitai
09 May 2017	US	41.0051	-73.78458	accep	Scarsdale
2021/12/03	IN	18.51957	73.85535	excellent	Pune
12 Aug 2015	IN	25.49043	85.94001	accep	Teghra
2019/10/05	IN	15.45144	78.14797	maintenance	Betamcherla
2018/07/04	ES	38.10558	-1.86343	average	Caravaca
05 Oct 2012	DE	50.82709	6.9747	average	Wesseling
2021/12/03	BR	-21.41222	-42.19667	good	Miracema
2022-05-17	BR	-8.76194	-63.90389	good	Porto Velho
26 Aug 2018	BE	50.56149	4.69889	building	Gembloux
2014-07-17	US	32.35126	-95.30106	excellent	Tyler
01/22/2015, 00:00:00	RU	58.7002	59.4839	maintenance	Kachkanar
2016-12-13	US	41.9001	-71.08977	acceptable	Taunton
12/12/2021, 00:00:00	US	32.35126	-95.30106	average	Tyler
2014-01-13	IN	23.1959	86.51499	accep	Kenda
2020/10/09	RU	50.06	43.2379	building	Mikhaylovka
31 Jan 2015	FR	44.92801	4.8951	accep	Valence
03/21/2019, 00:00:00	ES	43.32686	-2.98884	good	Leioa
08 Sep 2020	TH	15.58552	102.42587	accep	Bua Yai
2014/11/27	FR	48.77644	2.29026	good	Sceaux
2020/04/24	US	42.24113	-88.3162	maintenance	Crystal Lake
2018/01/12	US	40.72371	-73.95097	average	Greenpoint
22 Apr 2018	FR	48	-4.1	building	Quimper
09 May 2013	US	40.72371	-73.95097	excellent	Greenpoint
10 Oct 2014	BR	-23.44361	-51.87389	accep	Sarandi
07/24/2020, 00:00:00	UG	3.27833	32.88667	good	Kitgum
2012-12-31	PL	54.58048	16.86194	excellent	Ustka
21 Aug 2021	PT	38.72706	-9.24671	accep	Carnaxide
11/09/2018, 00:00:00	BR	-4.24444	-42.29444	building	Barras
2022-06-30	AU	-37.9	145.18333	excellent	Wheelers Hill
2016-02-22	BR	-3.20333	-52.20639	building	Altamira
2014/07/02	FR	46.32313	-0.45877	accep	Niort
11/12/2019, 00:00:00	FR	50.75	2.25	excellent	Saint-Omer
06/14/2016, 00:00:00	IN	28.92694	78.23456	maintenance	Bachhraon
06/15/2020, 00:00:00	RU	53.14657	140.72287	excellent	Nikolayevsk-on-Amure
2018-02-16	NL	51.65333	5.2875	average	Vught
18 Jul 2021	MT	35.89972	14.51472	accep	Valletta
2019-08-26	BR	-28.24	-48.67028	building	Imbituba
06 Jun 2021	US	25.67927	-80.31727	excellent	Kendall
2016/03/21	VE	8.62261	-70.20749	average	Barinas
27 May 2021	FR	45.69558	4.7934	excellent	Saint-Genis-Laval
04/16/2022, 00:00:00	IN	28.98002	77.70636	good	Meerut
2021-06-19	AR	-31.25033	-61.4867	good	Rafaela
2015-07-08	RU	55.64776	38.02486	accep	Malakhovka
2015/03/12	BE	50.74497	3.20639	good	Mouscron
07/17/2017, 00:00:00	BR	-22.97056	-46.99583	average	Valinhos
2020-01-13	ET	6.03333	37.55	accep	Arba Minch
03/18/2018, 00:00:00	DE	52.59319	13.32127	building	Wittenau
2020/03/12	PE	-16.25	-69.08333	accep	Yunguyo
06/02/2018, 00:00:00	PE	-16.25	-69.08333	accep	Yunguyo
2015-05-04	US	41.27621	-72.86843	accep	East Haven
30 Apr 2017	PS	31.78336	35.23388	average	East Jerusalem
10/25/2012, 00:00:00	CA	53.51684	-113.3187	good	Sherwood Park
2021/05/16	US	40.81	-73.9625	accep	Morningside Heights
2013-10-18	TH	16.0567	103.65309	accep	Roi Et
2014/03/14	AZ	38.45598	48.87498	excellent	Astara
2013/06/19	MX	17.06542	-96.72365	good	Oaxaca
01/26/2019, 00:00:00	CN	23.29549	113.82465	building	Licheng
12/30/2015, 00:00:00	BR	-15.675	-38.94722	average	Canavieiras
2015/06/14	RU	53.53041	43.67663	building	Nizhniy Lomov
2019-11-07	RU	53.37596	51.3452	accep	Otradnyy
03/07/2016, 00:00:00	IN	21.34222	71.30633	accep	Kundla
2015/12/25	US	33.54428	-84.23381	average	Stockbridge
04 Oct 2017	CN	24.28859	116.11768	average	Meizhou
17 May 2014	SY	34.5624	38.28402	excellent	Tadmur
2021/04/04	ES	40.70995	0.57856	good	Amposta
2017/11/11	CM	4.96667	10.7	good	Tonga
2021/01/01	BE	51.03427	5.37429	excellent	Houthalen
2014-10-02	GB	50.75767	-1.5443	maintenance	Lymington
15 May 2021	PH	6.95194	121.96361	building	Recodo
07/21/2015, 00:00:00	GB	53.49389	-1.29243	good	Mexborough
2013/02/04	MM	17.30858	97.01124	average	Kyaikto
08/17/2018, 00:00:00	AR	-31.25033	-61.4867	maintenance	Rafaela
