PAHs	Pb	PM10	O3	C2H3NO5	TEMP	H2CO	PRES	CH4	CFCs	SO2	warning	latitude	CO	PM2.5	NOx	NH3	longitude
11.62161	46.61285	8.42710	4.53843	5.76573	2.15137	37.20561	1129.14387	6.44919	83.35162	8.93490	1.00000	36.82167	10.37418	7.83491	8.20542	7.91788	128.63083
9.15181	47.19633	8.90708	6.31386	8.74987	19.15168	51.85558	1177.84333	7.21783	67.82372	6.62176	1.00000	35.48199	9.52009	5.79374	8.52353	5.66681	137.02166
11.44053	57.26976	7.46096	9.17035	2.68699	23.41289	44.59391	1125.60157	5.97455	73.90632	6.17809	1.00000	18.65297	9.92656	9.70540	6.69547	6.50278	-72.09391
10.35829	46.85323	6.61284	7.44864	2.10490	21.67443	33.27581	1056.83640	8.74163		7.13937	1.00000	54.8421	9.27328	9.34620	8.17592	6.95455	46.5813
8.74986	40.17794	6.39937	5.65872	3.46082	-0.22431	63.30755	1114.88205	6.97702	75.71344	8.13191	1.00000	36.61954	5.96640	8.80127	10.60707	6.48066	4.08282
7.90212	52.00491	8.19514	7.84803	5.51969	10.45128	40.00697	1164.02032	5.55866	64.53347	8.85538	1.00000	41.91738	8.96223	8.77500	9.54817	7.08453	3.1631
7.94383	25.39452	8.95915	10.36925	9.82355	14.21218	27.00899	1182.17810	7.70148	64.02112	6.56105	1.00000	18.57677	8.41815	8.91028	11.49875	4.35072	-72.22625
7.83429	48.98378	8.36888	6.12540	6.52011	18.63590	40.25240	1076.55127	6.35344	78.40033	6.21022	0.00000	20.88098	6.85398	8.49499	6.64245	8.03375	75.11937
8.71977	52.20020	6.36684	7.67532	1.48309	13.64914	37.95308	1097.82353	6.97022	66.67058	5.90863	0.00000	55.67938	9.10751	4.18994	6.11624	3.74612	12.53463
10.06734	59.08338	7.61925	10.63600	3.92323	14.63501	54.43569	1159.26859	6.55931	82.33296	7.40977	1.00000	41.15612	9.29793	7.92336	6.89773	4.63047	1.10687
8.17849	32.74508	7.61834	6.40809	3.56668	25.29520	47.07006	1166.09369	7.28796	69.33433	8.60458	1.00000	36.06523	7.43968	5.01673	8.12988	6.90558	-119.01677
4.50449	60.41653	6.87300	13.17424	2.77482	17.59190	32.42029	1109.68640	7.32098	77.33738	8.45408	0.00000	53.83333	6.14561	9.37705	4.65582	6.71689	-2.98333
7.05722	36.95756	8.01289	6.73291	4.89603	2.14965	52.59900	1117.55315	7.38132	63.40976	6.06942	1.00000	50.72043	8.15119	7.40152	8.42003	7.40810	11.34046
7.41609	41.27140	6.61484	9.61366	2.54938	17.85997	57.88101	1156.95653	7.62216	60.12451	7.50918	0.00000	48.35693	7.28145	9.34186	4.76178	7.31645	10.98461
10.64460	64.79980	7.92703	7.68285	5.12384	26.15659	52.96614	1065.40413	7.79084	67.93980	6.94951	1.00000	-27.50578	7.22232	8.34912	8.46589	6.41637	153.10236
8.27992	32.38328	6.31372	8.76223	2.85318	4.42645	30.40073	1084.67178	6.39243	75.41960	8.12282	1.00000	45.75279	9.07104	9.70786	8.03079	3.73928	130.57211
6.97045	24.36771	7.48390	8.37658	3.61181	23.83495	40.34679	1166.54199	5.36863	73.45294	5.72997	1.00000	-54.8	10.03571	9.09483	12.03558	6.68506	-68.3
9.68945	42.65654	4.90668	5.38166	1.37843	17.09222	20.96477	1183.78326	8.30278	78.78422	7.15674	1.00000	43.96222	8.27981	5.81000	7.91484	6.85385	43.63417
8.06784	55.23771	6.00620	8.69229	1.69694	22.25696	45.48513	1176.53440	7.87440	74.59375	7.55245	0.00000	47.4943	6.89706	5.21213	6.66757	4.71889	-122.24092
7.21225	53.04136	5.96927		2.05755	4.05017	44.14391	1168.36988	7.84973	74.94317	5.70501	0.00000	16.75973	6.03784	5.58007	8.17007	4.48192	-93.11308
12.13066	61.69833	7.39209	7.82118	2.41750	24.82306	49.72953	1130.11220	7.31410	72.32249	8.03099	1.00000	45.47885	10.67783	8.09388	7.86784	8.32111	133.42825
9.88495	29.30361	6.30481	8.68951	2.90051	10.97986	73.02254	1152.73912	7.82871	73.75136	6.04049	1.00000	20.14298	6.49239	7.47136	7.82750	7.72061	-77.43532
7.72806	46.84603	8.94940	7.50640	10.59906	24.98757	44.36584	1083.44665	8.13841	72.18668	6.19262	1.00000	48.35149	7.38210	8.35722	11.30407	7.46969	8.96317
5.97536	53.35134	7.30538	7.10132	5.00057	7.60373	49.18745	1159.44045	7.89606	65.53937	6.83460	1.00000	42.52787	9.61568	8.55676	12.41166	6.85847	-70.92866
8.28203	28.17596	6.22849	9.46295	3.13373	18.63170	63.93022	1197.68572	9.89738	83.33994	8.89612	1.00000	43.41949	8.31409	9.36442	8.95705	2.81753	77.0202
10.91188	54.22888	6.54444	8.59692	1.70773	28.43344	57.15194	1061.09766	7.96750	87.10465	7.44574	1.00000	33.44872	6.44111	8.91463	7.14908	9.14518	-86.78777
8.34595	58.66391	7.48414	6.50572	3.69841	25.63815	22.27586	1174.27669	6.60266	80.94422	6.63796	1.00000	36.06386	8.92204	5.53055	8.20146	5.68995	4.62744
6.05489	44.74439	6.72407	6.59446	1.75423	14.03401	24.10818	1131.47645	5.35916	78.82010	6.67434	0.00000	24.96334	14.23089	8.44686	9.75359	10.28853	10.18003
3.58693	49.69927	7.32702	9.93692	3.08122	5.25519	47.18603	1197.61788	7.63405	63.34351	5.99798	0.00000	57.47908	11.34863	8.05096	8.77315	9.48111	-4.22398
10.05310	30.14545	7.07100	3.72789	3.97967	14.78523	44.69734	1131.07481	6.88258	60.56239	8.41063	1.00000	34.09668	8.13338	3.97176	7.56572	5.27594	-117.71978
6.59625	57.15829	8.06920	6.23846	4.64380	23.93528	52.35433	1162.87364	6.52760	74.63254	9.25995	1.00000	22.19303	9.71742	5.08649	10.25455	3.98043	88.18466
8.39674	63.08375	6.20425	8.79915	2.08182	9.38850	48.16270	1164.35115	6.95294	72.88814	6.90014	1.00000	22.19303	9.66097	8.94331	9.05969	6.31985	88.18466
9.60798	54.25192	7.37497	7.81290	4.03484	0.36181	34.45067	1164.07953	8.94634	51.76750	6.73234	0.00000	41.57439	7.31694	6.18719	5.91169	6.22428	24.71204
8.72888	55.24703	6.80118	9.41031	3.04638	10.11653	32.61784	1150.09745	7.16055	81.76658	9.28831	0.00000	-31.25033	6.65622	6.60837	7.14986	6.95352	-61.4867
9.58444	61.23052	5.29560	9.04485	1.22919	10.63793	36.79547	1080.11900	7.70726	78.58958	7.25394	1.00000	44.22639	7.12739	7.70082	5.69548	5.30448	22.53083
9.56520	51.81097	6.51353	7.08394	1.90349	9.08585	34.43596	1123.79099	8.10047	70.91565	8.46546	1.00000	41.41204	9.06942	8.47122	9.07741	6.97293	2.18247
8.17179	38.31958	6.01181	9.19582	2.17629	18.07255	70.08758	1106.50938	6.57633	65.94932	7.35086	1.00000	46.75451	7.86079	8.80704	10.67921	7.61332	33.34864
8.45961	37.88821	8.55956	10.40941	7.38682	0.89245	42.33824	1057.86883	5.85239	68.69048	7.59010	1.00000	15.58552	9.09521	7.95726	7.69755	6.15291	102.42587
7.78513	55.12550	7.82065	9.54500	4.12333	6.36455	55.48168	1187.35132	7.20717	78.96560	6.54081	0.00000	40.87329	3.04448	8.06717	8.03265	6.08080	14.43865
4.99006	43.12431	7.74617	9.05212	4.83797	13.80302	44.71512	1166.08813	8.96627	65.38934	9.29788	0.00000	41.8542	9.97524	8.28101	7.51133	9.78141	-87.66561
8.50816	46.30784	8.58607	9.12686	6.36787	2.27816	39.32989	1120.12603	8.30643	61.35818	6.44457	0.00000	16.75973	5.52226	5.22779	4.30015	6.55624	-93.11308
6.86621	35.97383	7.79743	11.34240	3.19766	-2.56517	58.36271	1170.42458	6.54224	67.10721	8.22374	0.00000	35.06544	3.14124	5.79169	5.18465	8.48478	1.04945
8.10814	46.06575	8.30049	10.00233	5.80164	21.08943	39.50482	1077.63673	8.61403	64.53373	7.97458	0.00000	12.97389	6.96291	10.03849	3.70332	7.25592	123.99333
9.23297	27.01151	7.88624	8.43711	4.11010	10.21518	27.42609	1193.70366	7.50137	63.85380	6.41524	1.00000	-32.45242	7.74778	9.70305	10.37104	5.31970	-71.23106
8.84432	54.36919	6.11328	7.98950	1.46314	12.67786	82.46288	1052.99044	7.54414	67.65506	7.93104	1.00000	45.53929	9.64773	9.91707	8.76121	7.20166	-122.38731
7.96617	51.85416	7.94086	7.45568	4.79855	15.66270	39.13158	1086.57059	8.76630	76.61296	6.72461	1.00000	5.27247	9.11952	7.44985	8.82409	5.81175	-3.59625
6.58991	44.49586	7.83746	7.69082	4.36946	5.90504	50.58861	1124.62546	8.94900	74.52094	6.69856	0.00000	8.56697	9.01408	8.67746	5.96408	8.97319	123.33471
6.73192	38.52117	7.94734	5.57922		25.26825	46.08541	1197.40828	8.90842	69.49708	5.82812	1.00000	55.64776	6.54910	4.50690	8.41087	5.13822	38.02486
5.54047	31.88199	7.41145	8.70726	2.72151	8.23738	60.08717	1091.99633	7.18480	75.66891	7.19130	0.00000	49.41029	9.73232	9.39092	5.70073	8.96869	38.15035
