station	latitude	revision	QoS	longitude	code
Greenpoint	40.72371	2017/02/15	building	-73.95097	US
Les Olives	43.32393	2017-04-25	excellent	5.4584	FR
Karlovy Vary	50.23271	11 Jul 2022	average	12.87117	CZ
Fujioka	36.24624	30 Mar 2018	good	139.07204	JP
Ferrol	43.48961	30 Aug 2020	accep	-8.2194	ES
Yonkers	40.93121	2021-10-06	maintenance	-73.89875	US
Leyland	53.69786	01/09/2014, 00:00:00	building	-2.68758	GB
Bhuban	20.88197	2014/06/14	maintenance	85.83334	IN
Okahandja	-21.98333	12/27/2014, 00:00:00	good	16.91667	NA
San Gabriel	34.09611	05/05/2016, 00:00:00	good	-118.10583	US
Reus	41.15612	12/25/2014, 00:00:00	accep	1.10687	ES
Rwamagana	-1.9487	2022/04/11	average	30.4347	RW
Olupona	7.6	06/06/2020, 00:00:00	accep	4.18333	NG
Espoo	60.2052	2016/03/11	accep	24.6522	FI
Sterling	39.00622	19 Mar 2021	accep	-77.4286	US
Timaru	-44.39672	02/21/2020, 00:00:00	accep	171.25364	NZ
Manikchari	22.83957	08/19/2022, 00:00:00	average	91.84128	BD
Media Luna	20.14298	04/13/2018, 00:00:00	maintenance	-77.43532	CU
Hrazdan	40.49748	03/19/2017, 00:00:00	good	44.7662	AM
Sector 6	44.43579	2019/05/23	maintenance	26.01649	RO
Inawashiro	37.56667	2019/01/18	average	140.11667	JP
Barinas	8.62261	2013-03-25	maintenance	-70.20749	VE
Shalqar	47.83333	07/31/2020, 00:00:00	good	59.6	KZ
Sinhyeon	34.8825	2020/07/02	accep	128.62667	KR
Dongdu	35.85	28 Mar 2017	building	117.7	CN
Cowes	50.76306	02/17/2016, 00:00:00	average	-1.29772	GB
East Haven	41.27621	2013/01/20	average	-72.86843	US
Parola	20.88098	2016/12/28	accep	75.11937	IN
Laiwu	36.19278	14 Jan 2016	good	117.65694	CN
Olanchito	15.48131	2021-06-15	excellent	-86.57415	HN
Middletown	41.54566	09/20/2021, 00:00:00	maintenance	-71.29144	US
