PM2.5	PAHs	CH4	NOx	latitude	O3	warning	H2CO	PRES	SO2	longitude	CFCs	TEMP	NH3	CO	PM10	C2H3NO5	Pb
9.22408	7.75751	6.10643	6.19992	-1.26753	6.38211	0.00000	41.58324	1164.43029	7.70188	116.82887	56.25291	29.40072	8.26489	8.55190	10.54048	5.96127	42.50477
7.65023	8.33027	8.30638	9.39542	48.06919	8.72007	1.00000	38.87194	1118.00751	10.11713	11.37703	27.10462	15.34893	6.23399	8.80938	5.19561	0.30318	51.64810
6.83772	6.45768	7.73479	8.06009	22.19303	9.17064	0.00000	35.07089	1116.01675	10.19281	88.18466	42.56969	25.43927	8.94739	9.01334	6.30350	0.19876	58.53320
9.54047	9.31864	8.43434	5.53013	38.96372	6.91645	0.00000	51.44515	1071.33988	6.55338	-76.99081	63.42352	17.15324	8.34241	7.11476	10.17051	4.20656	56.03804
8.86053	9.57398	6.91232	9.55098	38.45598	7.30715	1.00000	58.01928	1151.13949	8.16632	48.87498	73.53355	21.83197	9.39223	9.01355	8.50251	1.00479	33.54064
5.45541	8.57745	7.95672	5.58913	26.67319	11.95440	0.00000	66.00775	1107.63260	8.67697	31.4976	49.38985	4.13731	11.31339	8.55840	7.89296	0.67829	54.39619
6.83876	8.07389	9.70452	11.75549	6.8485	5.45762	1.00000	55.12867	1127.22811	9.50083	3.64633	48.66685	38.33120	9.52810	8.66574	6.93326	0.29055	66.22505
7.68007	8.33167	7.87784	8.96038	23.02677	4.76017	1.00000	14.25482	1144.63835	9.57068	113.13148	50.26596	15.64713	10.90639	8.08261	10.14362	4.06507	42.15614
8.53820	8.06066	8.49985	4.64642	27.92333	6.74136	0.00000	37.05799	1184.32079	8.24219	118.53333	48.87329	3.31788	5.99442	9.33445	8.14361	0.72883	44.30974
5.21646	6.91900	7.62211	5.74668	-8.05389	11.43738	0.00000	57.67153	1078.80672	9.09668	-34.88111	45.76674	19.58063	10.51676	8.58852	7.45559	0.45283	72.25300
5.91369	8.76074	7.17028	9.82252	40.78206	12.17589	1.00000	41.89969	1112.38337	6.83829	72.34424	54.52422	27.15681	6.86733	8.92114	6.41838	0.31241	62.05560
5.13153	10.45569	7.48351	9.26184	40.81	8.19845	1.00000	49.66579	1146.35335	11.65952	-73.9625	58.43837	16.54251	10.22062	6.50011	3.92461	0.16487	41.19612
4.55170	9.78500	7.14866	7.66841	45.53929	10.60991	1.00000	53.72251	1131.31306	9.89413	-122.38731	42.81112	16.87841	7.77362	7.94488	9.79502	2.98727	50.25359
7.86611	8.13251	6.86573	7.70155	45.53929	9.70600	1.00000	69.85630	1091.44725	5.16147	-122.38731	49.34175	17.78697	6.95022	6.29677	6.46494	0.32901	22.97895
5.91874	9.24408	8.30433	9.62146	40.94065	9.15897	0.00000	51.47234	1074.69952	11.07992	-73.99681	54.00120	21.32696	8.37363	7.57793	5.27006	0.21234	44.06851
7.53203	8.43289	9.21224	8.68429	-24.19436		1.00000	40.96218	1160.65191	4.86815	29.00974	83.11286	6.20592	10.03951	7.75264	9.93378	3.36755	59.94259
3.60471	8.87656	8.61612	7.34006	10.63504	9.88218	1.00000	46.96948	1172.47653	8.48405	-85.43772	58.02042	29.34886	3.76030	5.69821	6.52987	0.36586	60.20905
7.57439	8.17667	8.06669	4.23535	29.69221	8.95787	0.00000	54.24434	1102.75241	8.55444	72.54566	51.95080	10.16820	8.62401	6.71322	7.96850	0.68928	45.95208
8.82793	6.26068	8.75225	7.99910	37.65181	7.53408	0.00000	53.87841	1198.63409	6.35064	120.33063	45.66253	15.95496	7.09617	8.32548	8.59795	1.04138	47.08847
6.54432	9.04810	6.00414	9.02418	36.20829	6.89637	1.00000	39.16854	1084.43044	7.55169	-115.98391	57.71814	4.43117	8.78103	7.58808	7.29576	0.35340	42.51110
5.33391	9.03160	8.29286	8.59300	51.42708	6.06538	1.00000	54.53285	1160.14476	13.40614	-0.91979	40.22420	10.62294	11.29716	9.62396	6.34348	0.33977	44.98426
7.51701	8.70889	5.82427	4.41581	26.2649	6.81915	0.00000	49.81756	1063.54996	6.68879	81.54855	44.75978	17.31993	5.95266	7.11647	5.96299	0.30835	50.38971
6.58374	7.97196	9.75146	5.57940	16.06213	7.58364	1.00000	60.93874	1084.81366	6.62959	76.0586	52.73716	30.84015	5.61779	9.18511	6.53520		39.15420
6.56072	10.53897	6.86815	6.39516	-2.90055	6.74632	0.00000	59.44579	1168.34211	7.70403	-79.00453	57.71722	13.80687	8.03979	9.04734	7.45350	0.57754	27.34071
8.25145	10.40650	9.24756	9.99625	58.63667	4.28944		68.74606	1150.72495	9.04130	59.80222	57.49417	-4.95536	10.07396	8.25568	9.84733	3.11145	65.93634
5.26206	8.22158	8.36025	7.34693	22.19303	9.47256	1.00000	63.73240	1166.42906	7.65267	88.18466	61.91340	27.69442	5.61522	7.36019	6.35151	0.31338	60.34737
5.85362	8.90150	9.03402	3.40117	53.93361	6.72156	1.00000	35.99838	1131.51459	7.37666	37.92792	64.16501	4.95295	3.15026	7.19414	5.53123	0.32963	43.93812
5.44647	9.79204	8.78545	6.40241	42.06166	10.72030	0.00000	70.07881	1187.37934	10.29047	-1.60452	59.22273	3.62417	10.00893	7.60045	7.41053	0.52982	83.19056
7.64626	8.60526	7.17226	6.79461	48.77275	9.63025	1.00000	41.79469	1194.28321	5.28828	5.16108	47.02596	33.49384	5.43212	7.37772	5.04650	0.34464	21.22991
9.39819	8.17665	9.25463	4.59481	-13.7804	6.74993	0.00000	71.04822	1100.81432	7.53762	34.4587	33.08200	25.69528	6.95626	8.91476	8.64295		61.94746
7.90617	7.67030	7.95828	10.71884	24.96334	6.59197	1.00000	69.88803	1190.88853	10.47197	10.18003	52.45418	19.00307	7.25415	8.33825	6.36053	0.45410	46.43899
3.31734	10.20306	7.79110	8.27091	37.74615	10.46686	1.00000	55.49604	1169.40357	10.84220	-25.66689	44.80249	-2.18783	7.54253	7.05874	9.94538	3.45370	37.46137
11.84951	8.30352	7.74707	3.89127	37.30553	5.46940	0.00000	61.39201	1141.74300	6.09710	120.82747	57.15134	13.65659	6.98182	9.00671	9.59441	2.45336	40.72591
5.93105	6.73649	9.99576	10.27590	18.51957	13.37631	1.00000	36.42797	1098.87102	7.80122	73.85535	51.54095	10.09904	8.71165	8.70657	9.12179	1.50144	23.80965
4.83995	7.79255	7.24500	9.46603	35.85	11.08614	1.00000	60.46366	1087.96188	7.10297	117.7	27.22540	12.07336	5.27729	8.28228	5.43727	0.34894	65.54643
8.08559	8.95693	8.20119	5.86164	48.15659	8.75785	1.00000	50.60861	1159.36192	5.43375	28.28489	33.87474	24.49366		8.97944	4.55595	0.38483	58.25124
8.20578	8.03086	8.44056	7.46700	-15.21194	8.27967	0.00000	22.81642	1053.37136	8.05526	-75.11028	83.41716	-1.90166	6.21559	9.56697	9.42418	2.01865	56.59146
9.67423	8.65675	8.99404	7.68832	33.52253	7.09849	0.00000	37.41793	1055.74838	5.47143	-117.70755	58.57194	20.17321	7.52405	9.72154	9.90269	3.29854	31.12599
7.09497	8.10773		5.24342	58.63667	7.91527	1.00000	57.33236	1074.50929	8.15994	59.80222	60.98885	21.49320	7.85415	9.09916	7.37849	0.54019	57.09321
7.73390	8.71124	8.61398	6.30965	8.88649	9.48418	0.00000	51.78287	1181.06867	7.75654	2.59753	50.20097	11.02971	10.76803	7.93727	6.63365	0.40899	38.82535
9.56951	8.03641	6.98417	3.93814	40.72586	4.87200	1.00000	37.93293	1187.14240	9.82323	8.55552	47.86802	31.31930	6.50954	8.44791	9.54098	2.36354	41.51304
8.15638	8.20278	7.81945	6.77672	20.21322	9.22224	1.00000	61.12500	1105.58204	5.06303	-100.88023	57.97666	27.74566	6.93721	8.92222	7.05910	0.40976	64.41698
8.77717	7.70386	7.54373	6.84170	34.31	9.29822	1.00000	31.22743	1105.97400	5.09724	-2.16	52.82727	27.26820	7.22527	8.96278	5.51357	0.23477	67.58479
6.68136	8.22642	7.94304	8.93296	36.46917	7.09827	1.00000	19.57393	1101.33520	11.82609	10.78222	51.59829	25.46854	9.19730	8.34193	5.48182	0.24836	46.18719
7.30071	6.73550	6.50722	8.52452	-8.66667	9.63960	0.00000	18.33289	1142.24196	8.51900	-35.71667	61.83285	34.12244	9.51374	8.25629	5.96810	0.34323	56.72827
7.16578	8.42386	7.72511	5.95163	49.13645	7.99295	0.00000	32.44485	1129.96265	10.39255	8.91229	28.40351	4.39062	7.58354	8.29250	6.97760	0.44861	39.30807
7.43801	9.18943	8.63166	9.34524	42.55308	6.23478	1.00000	42.00264	1061.38793	11.21814	-87.93341	31.52450	9.37215	8.75298	7.96125	7.11537	0.31796	47.34506
5.15527	9.80242	7.04842	6.60860	34.21639	7.95881	1.00000	45.83757	1093.08445	7.09304	-119.0376	62.24979	9.32421	4.40048	8.38494	5.47481	0.11328	44.72934
9.22883	7.82560	7.92699	6.04983	43.2907	7.13552	0.00000	38.95553	1188.77433	7.09248	5.4384	35.36815	22.81092	6.60310	6.32830	8.84072	1.16183	65.61762
