latitude	longitude	code	location	revision	QoS
41.82143	41.77921	GE	Asia/Tbilisi	2018-03-01	excellent
57.14369	-2.09814	GB	Europe/London	09 Oct 2021	accep
42.67164	14.01481	IT	Europe/Rome	03 Aug 2015	accep
39.96348	-4.83076	ES	Europe/Madrid	27 Dec 2021	accep
45.39402	9.29109	IT	Europe/Rome	01 Oct 2015	average
-4.42472	-41.45861	BR	America/Fortaleza	26 Jun 2020	building
-19.65	47.31667	MG	Indian/Antananarivo	07/05/2015, 00:00:00	excellent
4.73245	-74.26419	CO	America/Bogota	02/18/2021, 00:00:00	maintenance
-5.85746	144.23058	PG	Pacific/Port_Moresby	2019/03/30	accep
42.30865	-83.48216	US	America/Detroit	24 May 2021	building
19.30157	72.85107	IN	Asia/Kolkata	05/22/2017, 00:00:00	excellent
-28.44917	-52.2	BR	America/Sao_Paulo	2019-01-13	good
41.84364	-87.71255	US	America/Chicago	2017-11-19	accep
10.29085	105.75635	VN	Asia/Ho_Chi_Minh	01 May 2022	accep
37.08819	-8.2503	PT	Europe/Lisbon	21 May 2015	maintenance
-22.53722	-42.98194	BR	America/Sao_Paulo	2020-09-28	building
39.09112	-94.41551	US	America/Chicago	16 Aug 2015	accep
44.92934	37.99117	RU	Europe/Moscow	06/15/2014, 00:00:00	accep
39.72943	-104.83192	US	America/Denver	2016/08/09	maitennce
33.50921	-111.89903	US	America/Phoenix	2021-05-20	maintenance
6.45407	3.39467	NG	Africa/Lagos	2015-10-01	excellent
2.41669	30.98551	UG	Africa/Kampala	27 Mar 2019	good
14.37395	100.48528	TH	Asia/Bangkok	2012-12-02	accep
47.64995	-117.23991	US	America/Los_Angeles	03/21/2014, 00:00:00	excellent
45.75279	130.57211	CN	Asia/Shanghai	11 Jan 2019	excellent
30.16688	-96.39774	US	America/Chicago	2018/04/24	excellent
43.31667	-2.68333	ES	Europe/Madrid	2016/12/08	average
8.88649	2.59753	BJ	Africa/Porto-Novo	23 Sep 2019	excellent
38.13708	41.00817	TR	Europe/Istanbul	2019-03-14	accep
53.14657	140.72287	RU	Asia/Vladivostok	04 Apr 2020	good
33.76446	-117.79394	US	America/Los_Angeles	08/31/2014, 00:00:00	average
5.84752	-5.682	CI	Africa/Abidjan	26 May 2021	good
30.75545	20.22625	LY	Africa/Tripoli	06/10/2020, 00:00:00	good
12.1277	78.15794	IN	Asia/Kolkata	03/27/2021, 00:00:00	good
-34.28853	146.05093	AU	Australia/Sydney	2022/08/09	average
33.92866	-6.90656	MA	Africa/Casablanca	2015/05/05	accep
23.73333	114.68333	CN	Asia/Shanghai	02/28/2020, 00:00:00	building
53.00974	-3.05814	GB	Europe/London	27 Jul 2015	good
11.8659	34.3869	SD	Africa/Khartoum	2014-05-24	excellent
8.62261	-70.20749	VE	America/Caracas	15 Feb 2021	average
41.16704	-73.20483	US	America/New_York	11/08/2015, 00:00:00	accep
53.59337	9.47629	DE	Europe/Berlin	2013-09-29	average
41.6764	-91.58045	US	America/Chicago	2012-12-21	excellent
25.67927	-80.31727	US	America/New_York	28 Mar 2017	excellent
36.33011	138.89585	JP	Asia/Tokyo	2018-09-07	building
