H2CO	CH4	PM10	NOx	PRES	PM2.5	CO	O3	PAHs	latitude	C2H3NO5	Pb	warning	CFCs	TEMP	SO2	longitude	NH3
37.77408	9.86288	10.51219	11.99325	1121.52546	12.03816	7.06047	8.92572	9.28509	28.15112	0.18743	51.09606	0.00000	58.77840	24.09912	8.05310	-82.46148	8.25608
60.91682	10.79156	13.14678	8.87717	1068.57691	6.89106	5.50306	9.44027	9.18723	6.8485	2.52166	70.56181	1.00000	68.83855		9.09034	3.64633	7.66519
76.47159	10.93756	10.41156	6.51211	1192.94090	8.13069	7.64368	9.41187	9.14297	3.7278	0.16726	35.29822	0.00000	63.49709	29.60877	10.49709	98.6738	11.14296
40.84229	10.22310	8.66236	11.50214	1097.18498	8.64068	8.69879	10.61850	9.69518	-37.9	0.03642	67.73198	0.00000	39.06948	23.10419	8.79259	145.18333	10.23092
34.32268	10.04645	11.93547	10.20316	1067.11305	8.22886	7.18183	9.65620	8.52958	50.88506	0.75619	35.39336	1.00000	41.91189	4.83652	10.77633	4.07601	8.75404
31.86053	4.88380	11.17118	8.57064	1077.87358	9.45398	5.76534	11.75296	9.62457	40.72816	0.35021	49.98409	0.00000	51.86302	6.40185	8.53907	-74.07764	10.00460
55.68384	8.00586	10.97506	8.24089	1103.43371	11.89178	6.20387	11.00662	10.69764	48.49144	0.29390	68.18225	1.00000	43.33630	10.77701	9.87042	9.20427	8.60485
51.98499	9.07190	10.69736	12.18027	1174.54013	10.83483	6.40045	9.76886	9.70117	-7.81667	0.22106	64.25909	0.00000	53.16819	34.18099	8.79340	112.01667	11.26220
50.15095	9.44670	9.11289	11.63341	1105.71984	10.43948	8.36681	9.18169	8.76300	43.96222	0.04633	61.23004	0.00000	62.28218	42.00436	8.93136	43.63417	8.96792
49.87656	10.68599	10.44038	9.54232	1128.90610	11.35787	8.89046	8.72519	8.89065	43.2907	0.17336	51.12747	0.00000	52.98489	10.42116	7.70446	5.4384	7.46376
64.87068	10.21530	9.75322	9.81997	1094.05558	8.58518	8.39432	9.58862	7.83595	41.80753	0.08620	61.57504	1.00000	68.31810	27.08706	8.44374	-87.65644	8.54046
45.50161	8.22136	11.05338	9.85906	1160.36502	7.61022	9.63692	11.15836	8.40945	44.73941	0.31587	51.44191	1.00000	47.95076	17.69988	8.15671	-93.12577	8.05715
39.67921	9.72009	11.08022	9.60870	1093.38398	6.60008	8.39280	9.47606	8.40428	47.56494	0.32015	39.24540	1.00000	35.37111	-7.71773	9.56681	31.33078	10.74067
38.29046	10.63480	11.38253	8.42703	1073.98550	6.24737	8.27768	7.90070	7.18568	41.55815	0.43470	45.57520	1.00000	30.29228	9.99699	9.93612	-73.0515	8.15285
