latitude	QoS	location	station	revision	longitude
39.12074	excellent	Europe/Istanbul	Bergama	2018-11-28	27.18052
59.33333	accep	Europe/Stockholm	Boo	07/26/2013, 00:00:00	18.28333
31.84568	excellent	America/Chicago	Odessa	01/03/2019, 00:00:00	-102.36764
16.0438	accep	Asia/Manila	Manaoag	01/21/2020, 00:00:00	120.4861
58.7002	accep	Asia/Yekaterinburg	Kachkanar	2016-12-01	59.4839
37.60876	excellent	America/New_York	Mechanicsville	06/15/2022, 00:00:00	-77.37331
31.12406	accep	America/Chicago	Copperas Cove	16 Jul 2015	-97.90308
53.59782	maintenance	Europe/Moscow	Dyat’kovo	2016-11-15	34.33825
6.03333	average	Africa/Addis_Ababa	Arba Minch	10/16/2019, 00:00:00	37.55
-22.45667	accep	America/Sao_Paulo	Santa Gertrudes	08 Dec 2018	-47.53028
37.74615	building	Atlantic/Azores	Ponta Delgada	2019-04-06	-25.66689
1.6	accep	Asia/Kuala_Lumpur	Ulu Tiram	07/13/2019, 00:00:00	103.81667
25.66795	accep	Asia/Kolkata	Dalsingh Sarai	04 Apr 2015	85.83636
45.39402	accep	Europe/Rome	San Giuliano Milanese	2017-05-18	9.29109
8.48714	excellent	Africa/Freetown	Freetown	2017-11-03	-13.2356
51.39323	excellent	Europe/London	Strood	2013-09-10	0.47713
55.85	accep	Europe/Moscow	Likhobory	06 Mar 2013	37.56667
51.88333	good	Europe/Berlin	Verl	07/17/2014, 00:00:00	8.51667
-12.91667	good	America/Bahia	Muritiba	2019-08-15	-39.25
-4.83	excellent	Africa/Dar_es_Salaam	Mwandiga	2013-06-08	29.65806
15.58552	good	Asia/Bangkok	Bua Yai	03 Dec 2019	102.42587
40.87363	accep	Europe/Rome	Volla	04/14/2013, 00:00:00	14.34085
33.93113	accep	America/Los_Angeles	Norco	2016-04-03	-117.54866
-7.60361	accep	Africa/Dar_es_Salaam	Kidodi	2013/05/25	37.00438
52.2	accep	Europe/Berlin	Kirchlengern	2014/03/12	8.63333
49.5099	average	Europe/Berlin	Losheim	2018-04-26	6.74549
50.72043	excellent	Europe/Berlin	Rudolstadt	04 Jan 2021	11.34046
3.7278	excellent	Asia/Jakarta	Labuhan Deli	2019-07-20	98.6738
36.20829	average	America/Los_Angeles	Pahrump	03/09/2015, 00:00:00	-115.98391
51.955	good	Europe/Amsterdam	Culemborg	10/27/2012, 00:00:00	5.22778
15.73628	excellent	Asia/Kolkata	Gajendragarh	2018/08/13	75.96976
4.88441	average	Asia/Kuala_Lumpur	Gua Musang	05 Jan 2021	101.96857
53.63333	excellent	Europe/Berlin	Halstenbek	2021/01/13	9.85
14.62072	excellent	Asia/Kolkata	Sirsi	04/04/2018, 00:00:00	74.83554
-21.98333	good	Africa/Windhoek	Okahandja	17 Dec 2019	16.91667
-37.9	good	Australia/Melbourne	Wheelers Hill	09/17/2017, 00:00:00	145.18333
28.90054	maintenance	America/New_York	Deltona	12 May 2015	-81.26367
34.95303	average	America/Los_Angeles	Santa Maria	13 Jul 2022	-120.43572
50.64336	excellent	Europe/Berlin	Bad Honnef	04/19/2020, 00:00:00	7.2278
43.11667	average	Europe/Paris	Pamiers	12 May 2017	1.6
53.53041	excellent	Europe/Moscow	Nizhniy Lomov	2020/05/14	43.67663
51.38673	accep	Europe/London	Hartley	2012-10-28	0.30367
40.1675	excellent	Europe/Istanbul	Sungurlu	2019/03/02	34.37389
23.73333	average	Asia/Shanghai	Heyuan	03 Mar 2016	114.68333
50.71229	excellent	Europe/Brussels	Rixensart	2015/08/08	4.52529
33.35283	accep	America/Phoenix	Gilbert	05/29/2022, 00:00:00	-111.78903
40.72586	average	Europe/Rome	Sassari	2021-09-04	8.55552
42.50729	excellent	Europe/Andorra	les Escaldes	30 Jul 2017	1.53414
23.07492	average	Asia/Kolkata	Pandua	2013/04/22	88.28637
45.44694	average	Europe/Rome	Novara	2016-10-11	8.62118
41.77583	building	Asia/Tokyo	Hakodate	17 May 2013	140.73667
13.70727	accep	Africa/Niamey	Mirriah	15 Mar 2015	9.15013
47.4943	excellent	America/Los_Angeles	Bryn Mawr-Skyway	2021-12-28	-122.24092
57.30185	excellent	Europe/Moscow	Gavrilov-Yam	2017/01/23	39.85331
27.85	accep	Asia/Shanghai	Xiangtan	06/13/2015, 00:00:00	112.9
44.27804	acceptable	America/Chicago	Kaukauna	08 Feb 2018	-88.27205
38.47917	accep	Europe/Madrid	Jumilla	2012-11-10	-1.325
41.57439	maintenance	Europe/Sofia	Smolyan	2017/09/28	24.71204
38.91817	excellent	America/New_York	Front Royal	19 Jul 2013	-78.19444
46.7055	excellent	Europe/Moscow	Yeysk	2015/12/13	38.2739
-10.91722	accep	America/Maceio	Lagarto	10/29/2019, 00:00:00	-37.65
50.76306	building	Europe/London	Cowes	2017/01/28	-1.29772
25.92127	accep	Asia/Kolkata	Madhipura	2022/02/17	86.79271
43.54072	excellent	America/Boise	Nampa	2016-08-31	-116.56346
38.58894	accep	America/Chicago	Fairview Heights	01 Oct 2017	-89.99038
53.7446	excellent	Europe/London	Kingston upon Hull	08 Dec 2017	-0.33525
51.38673	average	Europe/London	Hartley	30 Dec 2016	0.30367
41.9001	building	America/New_York	Taunton	2018/12/19	-71.08977
41.72059	good	America/Chicago	Evergreen Park	2016/05/10	-87.70172
9.6531	average	Asia/Manila	Jagna	12/24/2015, 00:00:00	124.3697
43.48961	good	Europe/Madrid	Ferrol	2013-12-06	-8.2194
31.92923	accep	Asia/Jerusalem	Ramla	18 May 2017	34.86563
42.52787	average	America/New_York	Peabody	01/20/2013, 00:00:00	-70.92866
19.64745	maintenance	America/Mexico_City	Paracho de Verduzco	18 Dec 2015	-102.04897
-30.60106	building	America/Santiago	Ovalle	02 Aug 2022	-71.19901
51.78967	average	Europe/London	Clacton-on-Sea	21 Feb 2019	1.15597
38.96667	good	Europe/Madrid	Gandia	12/10/2012, 00:00:00	-0.18333
51.65	good	Europe/London	Barnet	10/23/2015, 00:00:00	-0.2
-22.57306	average	America/Sao_Paulo	Artur Nogueira	05/18/2022, 00:00:00	-47.1725
34.08565	maintenance	Asia/Kolkata	Srinagar	08/31/2019, 00:00:00	74.80555
51.168	excellent	Europe/Berlin	Finnentrop	2014/08/23	7.973
-3.5403	average	Asia/Makassar	Majene	2022/06/21	118.9707
54.39635	excellent	Europe/Vilnius	Alytus	2013/07/13	24.04142
-2.90055	maintenance	America/Guayaquil	Cuenca	12/16/2018, 00:00:00	-79.00453
34.21639	excellent	America/Los_Angeles	Camarillo	2020-02-03	-119.0376
