PM10	PAHs	O3	CO	PM2.5	H2CO	SO2	CFCs	NOx	latitude	CH4	TEMP	PRES	NH3	warning	Pb	longitude	C2H3NO5
8.44387	9.23731	10.91391	9.92375	9.94654	46.64876	7.21823	44.03467	8.50308	59.37722	8.50386	3.82853	1137.45940	7.35887	0.00000	47.30978	28.19028	0.01148
8.07479	6.53134	6.75069	10.36101	12.45780	50.45712	8.82050	44.13490	10.42634	30.75545	9.05982	15.62289	1073.95174	11.38717	1.00000	46.39108	20.22625	0.00795
8.79679	7.61778	6.28690	11.15077	10.40096	41.40983	9.52478	52.21721	10.15148	12.74482	10.07261	15.55019	1182.52346	8.97762	0.00000	39.22435	4.52514	0.01662
7.23683	11.35526	12.66741	9.57971	10.23041	59.13336	8.47467	51.67613	8.41414	10.7375	7.30350	14.69881	1057.82750	7.76474	1.00000	39.51167	122.9666	0.00533
8.06959	11.91472	12.74609	12.89121	9.38186	59.38335	6.39904	46.26638	9.26158	17.34769	7.18046	6.17777	1052.65003	11.68575	1.00000	42.82155	78.55757	0.00886
7.36575	10.51457	11.96605	9.59244	9.88356	43.96224	7.04480	57.14322	10.74484	-21.98333	10.13204	11.04874	1082.92842	7.80982	1.00000	35.04085	16.91667	0.00721
7.97659	6.85977	11.21699	10.79652	8.97047	63.30817	6.15588	62.74575	8.50614	32.5007	9.29368	17.92960	1085.74609	6.47533	0.00000	61.26160	-94.74049	0.00980
11.36137	8.33039	8.72315	6.50357	7.48700	46.95519	11.61677	34.24578	10.09054	50.75767	7.65950	11.55242	1147.27558	10.48612	0.00000	53.26826	-1.5443	0.16857
9.82764	7.77347	7.40087	7.03801	8.55591	47.34225	10.11008	60.40772	8.65919	-29.2975	9.80976	18.39406	1126.99541	11.46809	1.00000	27.34484	-51.50361	0.03925
9.00872	8.15500	8.74592	8.41098	8.76540	66.38894	8.62946	42.09580	7.09738	32.54278	8.28130	4.82628	1195.60519	5.72901	1.00000	35.38306	111.50861	0.01890
