code	revision	longitude	latitude	station	QoS
IN	14 Nov 2018	73.08333	19.21667	Dombivli	average
PH	11 Jan 2019	120.97844	14.8361	Guyong	excellent
CD	09/27/2019, 00:00:00	24.43973	0.76755	Yangambi	accep
JP	05/13/2017, 00:00:00	137.02166	35.48199	Minokamo	good
BR	2016-06-30	-37.07167	-10.91111	Aracaju	good
MA	2014-07-10	-6.90656	33.92866	Temara	accep
BE	2018-04-10	4.52529	50.71229	Rixensart	average
HN	2016/02/12	-86.57415	15.48131	Olanchito	average
US	11 Nov 2014	-69.96533	43.91452	Brunswick	excellent
FR	2014/03/01	2.61667	48.98333	Mitry-Mory	good
IT	2012-10-19	13.44275	38.07789	Villabate	average
ES	2021-07-04	-15.58602	27.76056	Maspalomas	maintenance
PH	26 Nov 2021	123.89071	10.31672	Cebu City	building
US	10 Feb 2019	-120.93549	37.73604	Riverbank	excellent
IN	2017-08-30	74.4818	30.21121	Malaut	average
IN	10/26/2017, 00:00:00	86.79271	25.92127	Madhipura	average
US	11/10/2021, 00:00:00	-117.54866	33.93113	Norco	average
US	29 Aug 2015	-93.12577	44.73941	Rosemount	maintenance
RU	15 Aug 2013	46.5813	54.8421	Alatyr’	building
US	11 Mar 2020	-70.92866	42.52787	Peabody	good
FR	12 Sep 2016	2.2469	48.90472	La Garenne-Colombes	maintenance
RU	2016/05/19	140.72287	53.14657	Nikolayevsk-on-Amure	average
IN	08/27/2016, 00:00:00	78.14797	15.45144	Betamcherla	maintenance
CA	2014-08-29	-79.2663	43.86682	Markham	good
MN	29 Dec 2012	106.88324	47.90771	Ulan Bator	building
NI	2014-05-12	-86.58208	13.48082	Somoto	good
CO	2015/06/09	-74.73584	5.20856	Honda	accep
MY	2022-04-25	101.02083	4.02219	Teluk Intan	average
MZ	2016/09/16	35.34722	-23.85972	Maxixe	maintenance
US	2015/10/26	-75.60804	39.96097	West Chester	average
IT	2013/05/23	11.04979	44.59445	Castelfranco Emilia	average
CN	2020-04-24	130.57211	45.75279	Boli	good
RU	2013/06/03	38.12408	53.77166	Bogoroditsk	good
CO	01/24/2013, 00:00:00	-73.9614	10.15031	El Copey	good
JP	08/30/2021, 00:00:00	130.94098	33.3213	Hita	building
RU	2018/09/15	37.56667	55.85	Likhobory	good
UZ	12/06/2013, 00:00:00	72.34424	40.78206	Andijon	excellent
MX	07 Jun 2021	-101.2591	21.01858	Guanajuato	maintenance
NG	2021-02-08	12.19458	10.61285	Biu	accep
IN	2017-04-28	88.58	23.18	Aistala	maintenance
IN	2014-09-28	79.41727	12.25282	Gingee	average
TH	28 Jan 2022	104.64992	14.64056	Kantharalak	accep
DE	09/28/2018, 00:00:00	9.5926	52.86147	Walsrode	building
DE	04/24/2020, 00:00:00	13.10984	51.30001	Oschatz	excellent
VU	07/22/2013, 00:00:00	168.31366	-17.73648	Port-Vila	excellent
IR	24 Apr 2022	51.0193	35.6803	Shahre Jadide Andisheh	average
ID	12 Oct 2021	109.05389	-7.51611	Wangon	average
US	2020/02/07	-118.03917	33.95015	South Whittier	good
US	03/27/2021, 00:00:00	-93.263	45.0408	Columbia Heights	accep
UY	2014/11/08	-56.52361	-33.38056	Durazno	building
TH	2014/02/12	103.65309	16.0567	Roi Et	maintenance
LY	25 Jan 2013	20.22625	30.75545	Ajdabiya	average
CI	2019/07/20	-3.59625	5.27247	Bonoua	building
US	20 Dec 2017	-74.15987	40.82232	Nutley	good
IN	2013-10-05	85.83636	25.66795	Dalsingh Sarai	good
FR	14 Jan 2020	5.4384	43.2907	Marseille 11	good
GB	02 Jan 2022	-5.53715	50.11861	Penzance	accep
VU	2014-08-27	168.31366	-17.73648	Port-Vila	accep
DE	2018-10-14	6.51352	51.19139	Korschenbroich	accep
PH	25 Jan 2013	123.89071	10.31672	Cebu City	accep
DE	2021/05/23	7.02238	52.21099	Gronau	average
DZ	2014/11/17	1.04945	35.06544	Frenda	average
FI	2018-12-26	24.6522	60.2052	Espoo	good
BR	2016-12-17	-48.67028	-28.24	Imbituba	good
GB	2013/01/06	-1.32471	51.40148	Newbury	excellent
BR	12 Oct 2014	-52.51028	-28.81833	Soledade	accep
IN	02/27/2013, 00:00:00	72.68533	22.75218	Kheda	excellent
DE	2020/04/10	9.5586	54.52156	Schleswig	maitennce
US	09/27/2019, 00:00:00	-104.83192	39.72943	Aurora	maintenance
RU	2021/03/03	59.80222	58.63667	Lesnoy	good
CH	2015/03/02	8.52462	47.30997	Adliswil	excellent
IN	2022/07/08	86.79271	25.92127	Madhipura	maintenance
PH	07/12/2022, 00:00:00	120.5875	16.455	La Trinidad	maintenance
MA	15 May 2018	-5.22126	33.43443	Azrou	building
US	10/27/2020, 00:00:00	-117.54866	33.93113	Norco	maintenance
US	2014/02/06	-83.55521	41.66394	Toledo	excellent
AF	2021-10-22	65.93249	36.21544	Sar-e Pul	accep
IL	06/25/2016, 00:00:00	34.8732	32.05971	Ganei Tikva	maitennce
US	2016/06/30	-83.48216	42.30865	Canton	average
GB	2017-02-13	1.15597	51.78967	Clacton-on-Sea	average
US	2018-04-14	-71.06616	42.4251	Malden	building
IT	16 Oct 2014	13.39954	43.62558	Falconara Marittima	average
ID	2013-03-04	98.6738	3.7278	Labuhan Deli	excellent
IT	2016/07/12	12.6723	41.72063	Ariccia	average
EC	08/09/2021, 00:00:00	-79.00453	-2.90055	Cuenca	good
CN	14 Dec 2014	115.70111	37.73222	Hengshui	excellent
US	2013-01-28	-117.79394	33.76446	North Tustin	excellent
