O3	C2H3NO5	NH3	PM2.5	CFCs	PAHs	PM10	CH4	warning	longitude	CO	Pb	PRES	NOx	latitude	H2CO	TEMP	SO2
2.98885	5.79727	9.51730	6.34268	84.18294	8.61863	5.75609	7.70974	1.00000	-93.12577	4.80714	51.41086	1144.54375	8.97294	44.73941	40.12141	21.71907	8.44230
3.98610	4.47905	5.97023	7.13575	69.77198	7.53881	5.44460	5.59946	1.00000	-120.00865	3.62756	42.71377	1071.90900	5.39436	46.32374	52.24913	24.46143	6.17362
9.81173	7.76007	4.51474	6.31451	69.45040	4.64391	6.18614	5.57167	1.00000	109.05389	8.53155	41.93810	1183.66893	3.27137	-7.51611	25.69550	4.30565	5.40519
7.23398	16.59531	8.42175	6.57226	15.91962	4.53159	8.36597	6.72213	0.00000	24.95034	7.84539	48.57725	1184.95911	8.44447	60.18427	56.58743	24.77965	8.25898
5.17976	3.63841	7.28133	6.64139	42.39292	5.32267	5.71915	4.84269	1.00000	-122.39168	8.42924	43.81897	1096.20548	5.77042	40.58654	41.87944	10.65042	6.14545
5.83147	9.81855	9.23084	6.60087	49.39700	7.91942	7.52015	5.98362	1.00000	5.74861	2.16354	15.36416	1094.02090	7.72033	52.71083	26.03025	30.28033	6.44385
5.55570	7.01576	7.62142	7.14899	52.17573	2.77379	6.09294	7.42270	0.00000	-115.98391	5.48233	46.32790	1145.72946	6.43467	36.20829	37.18381	19.09458	6.72023
8.21008	4.97518	5.89261	7.51162	33.38942	4.77249	5.46891	8.08039	1.00000	139.55028	8.35506	59.00556	1081.05394	4.35254	35.30889	52.42094	16.32604	5.76089
4.86545	6.87321	9.91458	5.48841	52.03241	6.54631	6.55016	6.75294	0.00000	14.43865	5.45944	38.55189	1051.65689	9.86504	40.87329	44.59646	33.46056	3.26957
6.47106	5.06805	7.73482	7.35059	48.50483	7.53854		5.99025	1.00000	27.25	4.33288	38.57393	1055.40904	8.25231	42.7	51.54594	4.02129	6.77017
7.34170	4.61667	6.52999	6.09908	48.74545	4.95321	6.54682	6.85044	1.00000	85.37752	10.06832	60.51890	1127.27135	3.05037	22.10194	35.70844	23.99320	5.75760
6.55465	2.97336	10.22641	7.64836	45.13470	6.20225	5.35851	6.02870	0.00000	-5.682	3.48494	50.21921	1184.38989	8.59038	5.84752	52.76367	9.68430	4.48912
4.27082	5.22874	7.91046	5.28020	55.12111	7.06516	6.23110	4.22890	1.00000	43.2379	5.60686	50.24310	1096.24951	7.84286	50.06	39.46706	17.75625	8.38635
5.62524	7.67529	6.11814	5.65381	82.23275	7.50527	6.22193	4.88566	1.00000	124.3697	7.20393	50.86699	1105.73342	8.43129	9.6531	51.55633	24.13410	7.41131
3.14577	10.48874	7.72370	7.02887	20.33678	6.94080	7.85517	6.06869	1.00000	-99.73314	4.29716	53.54512	1171.28908	7.47495	32.44874	58.41063	17.98549	5.79644
8.89513	6.48409	2.64582	7.07581	43.24341	5.42439	6.49200	5.80013	1.00000	-122.23484	6.72764	53.48403	1159.31916	4.72265	47.38093	49.07788	15.17469	3.50872
5.46043	6.21496	9.01264	6.09059	46.13893	7.72760	5.83901	6.26474	1.00000	48.41667	4.36875	55.66780	1088.91137	8.28181	-17.83333	62.46391	15.18051	7.66742
6.64441	6.20460	5.27180	8.62814	73.81071	4.91330	5.71512	5.75893	1.00000	74.4818	7.15667	52.81755	1070.86763	6.16213	30.21121	33.14968	9.59796	5.00853
5.08864	6.48299	4.05602	9.06850	64.12004	5.06674	7.35160	5.88640	0.00000	33.72798	6.21039	58.25571	1053.57557	5.51870	53.53395	50.40930	-1.83714	5.99867
3.90624	5.81304	10.29361	8.52458	51.30374	6.96536	5.39867	7.13904	1.00000	4.92235	2.70893	38.27787	1149.88369	8.40203	7.65649	76.95338	14.50970	6.85417
1.60650	6.35551	8.64192	8.11648	16.53613	4.85575	6.69582	7.41805	1.00000	10.30215	4.90566	45.76945	1195.74568	6.75611	53.94313	59.05922	19.25701	10.22589
4.89836	2.64770	7.52848	6.29749	44.08362	4.70893	6.28755	6.48840	0.00000	31.3237	11.47685	52.04098	1125.07731	6.39224	52.4089	40.04609	20.43197	5.81038
8.08725	3.30106	10.69493	6.55131	45.81568	3.28952	5.00590	7.07729	0.00000	-1.29243	4.73022	28.28305	1169.06006	6.49501	53.49389	50.02987	2.19100	6.00920
11.30773	4.09692	10.38387	5.98208	48.80764	6.16813	6.22911	6.08035	0.00000	-93.12577	4.04913	66.06947	1176.63658	7.89981	44.73941	41.99242	11.98390	8.72735
7.22452	6.71746	6.39655	4.80517	55.73393	4.33740	7.05914	9.12260	0.00000	-1.86343	7.44430	31.12766	1189.69443	7.82861	38.10558	28.34362	21.29446	7.28399
3.52326	7.12204	7.86452	8.25702	69.82054	5.21097	5.93984	5.77035	1.00000	118.53333	4.16456	53.46667	1138.40124	6.05187	27.92333	53.92878	12.27017	8.56710
6.08221	6.31489	9.98663	5.31132	64.56024	9.73004	4.51469	6.02074	1.00000	-1.06667	2.30424	52.35497	1067.49694	8.73302	53.78333	42.36661	15.25221	6.81626
5.45495	7.02740	6.15165	6.20854	61.85795	8.33419	7.31871	5.93566	1.00000	-48.59278	5.71207	67.70907	1191.17035	8.01017	-23.7975	53.36768	13.05065	6.00124
6.82256	13.52537	7.93246	6.42156	73.45933	10.74777	8.40608	6.95853	1.00000	-38.79084	5.85929	48.44174	1180.79117	9.08151	-10.95817	50.35648	11.48734	8.68212
8.13975	4.85727	4.79106	7.25071	54.19814	4.85754	5.98605	6.29437	1.00000	74.3092	6.18746	40.75228	1185.78902	5.94755	33.37526	29.91761	19.83306	6.08963
8.91397	9.08616	10.13930	6.62133	59.60557	5.07281	7.40470	6.25708	0.00000	11.37703	7.28665	28.02034	1064.60571	7.23532	48.06919		23.67710	6.91648
4.86242	6.45504	9.05440	7.90180	28.63599	7.41729	5.80227	6.47786	1.00000	76.03889	3.02615	57.35502	1141.42880	9.04707	18.18158	27.62225	25.62093	
5.54434	6.03836	5.94050	4.84566	36.84424	5.58882	6.22549	8.69254	0.00000	75.11937	5.62280	63.11974	1166.38252	6.01425	20.88098	34.86942	32.10782	5.52128
4.98916	12.55149	5.61413	5.47342	63.96824	4.67427	8.31763	6.01668	0.00000	-117.79394	5.30655	33.43441	1197.81603	5.70444	33.76446	23.51418	14.85568	6.45274
4.33018	5.50877	6.92470	6.73270	18.95346	9.36607	6.33721	6.75217	1.00000	-58.38341	5.41777	33.14883	1198.84253	6.60397	-34.64966	52.79331	17.01407	8.96722
8.15228	6.20392	10.39361	6.61337	49.98641	6.74131	6.90055	6.14188	0.00000	-120.00865	4.02756	38.23203	1192.00769	7.35679	46.32374	57.20974	21.17149	4.18667
3.40245	4.73661	8.36773	6.63137	46.98567	6.48009	6.03139	7.65690	1.00000	-73.49484	5.02783	57.65179	1117.42877	8.06811	41.14676	58.17319	14.42655	7.70248
3.20919	5.78430	6.19350	5.04548	41.06356	7.05424	5.47289	6.92261	1.00000	77.656	5.10194	55.19011	1055.50482	6.04527	28.71271	74.00207	27.31128	7.67595
8.99465	4.76592	8.97385	6.06899	66.36292	5.64488	5.93883	6.32991	0.00000	104.1451	7.15360	38.35495	1082.46333	7.39562	15.79408	47.08334	12.09178	8.92825
5.53038	3.72746	8.24516	7.71398	40.67615	6.35828	5.62499	6.59941	0.00000	-37.07167	4.88042	55.37062	1154.33575	8.08156	-10.91111	33.28510	18.32463	4.47077
5.25971	4.00660	8.98202	5.77393	37.06277	5.54338	6.46556	4.52137	1.00000	6.74549	4.29432	49.72255	1195.62254	8.25662	49.5099	18.47389	33.44083	7.12464
5.42935	4.02226	7.91875	6.59805	25.14824	6.89524	5.71134	5.23568	1.00000	91.00632	5.86360	42.33570	1179.64120	8.93526	26.32293	36.00284	24.60776	7.36498
6.82656	12.17778	10.74097	6.88980	59.37125	5.51445	8.34103	4.88278	0.00000	111.4834	6.58186	29.41870	1154.56333	7.90068	65.93381	36.28439	8.17475	3.17431
6.72135	7.84526	4.51508	5.65112	45.26837	3.62709	7.72233	6.16764	0.00000	117.4831	8.24761	51.43542	1114.07821	6.73599	27.34089	38.83435	20.41529	4.97333
3.76541	4.57420	7.81339	5.94112	13.46550	7.78877	4.30422	5.53650	1.00000	123.17306	4.89704	50.58993	1107.16109	7.68552	41.27194	41.33418	12.65086	8.26101
7.82228	4.99680	6.40845	6.36015	44.20774	5.29504	5.05901	6.11980	1.00000	111.4834	7.74337	37.32493	1053.14511	5.90806	65.93381	37.71126	12.13124	5.46344
6.62644	3.81367	8.11086	7.42480	57.78245	7.00884	5.53463	6.92078	1.00000	-76.78319	4.09164	59.48574	1093.70308	8.22661	18.00747	71.61283	7.59934	6.09875
3.39400	6.34770	7.21082	7.40680	44.16214	7.24089	7.13785	7.33463	1.00000	3.39467	6.44741	50.52034	1132.78349	6.07427	6.45407	42.78928	1.77517	10.96230
