longitude	latitude	location	station	revision	QoS
11.34046	50.72043	Europe/Berlin	Rudolstadt	2017-05-05	average
-46.99583	-22.97056	America/Sao_Paulo	Valinhos	03/26/2018, 00:00:00	good
11.18709	48.73218	Europe/Berlin	Neuburg an der Donau	2014-06-06	average
37.99117	44.92934	Europe/Moscow	Krymsk	2018/08/27	good
17.8031	48.43174	Europe/Bratislava	Hlohovec	21 Dec 2021	accep
86.59509	26.11527	Asia/Kolkata	Supaul	23 Apr 2017	average
99.96667	8.43333	Asia/Bangkok	Nakhon Si Thammarat	2021/09/22	good
77.70636	28.98002	Asia/Kolkata	Meerut	06/11/2021, 00:00:00	building
130.57211	45.75279	Asia/Shanghai	Boli	2020-06-06	accep
72.68533	22.75218	Asia/Kolkata	Kheda	06/22/2021, 00:00:00	good
-87.882	41.85059	America/Chicago	Westchester	2019-02-21	excellent
120.03308	28.88162	Asia/Shanghai	Guli	2014-11-16	good
-81.23621	33.98154	America/New_York	Lexington	09/15/2021, 00:00:00	average
0.47713	51.39323	Europe/London	Strood	11/28/2021, 00:00:00	maintenance
-6.03731	37.35813	Europe/Madrid	San Juan de Aznalfarache	2022/01/20	excellent
-82.46148	28.15112	America/New_York	Lutz	2013-05-27	excellent
97.01124	17.30858	Asia/Yangon	Kyaikto	12/08/2012, 00:00:00	accep
86.00214	46.51872	Asia/Urumqi	Hoxtolgay	05 Sep 2014	excellent
70.91106	29.38242	Asia/Karachi	Alipur	2022/09/11	average
33.72798	53.53395	Europe/Moscow	Zhukovka	2013/10/05	good
-48.52333	-0.71667	America/Belem	Soure	2017/10/16	average
7.20769	50.80019	Europe/Berlin	Siegburg	28 Sep 2013	average
117.81667	36.81667	Asia/Shanghai	Zhoucun	09/04/2020, 00:00:00	maintenance
43.38531	9.89206	Africa/Mogadishu	Baki	11/06/2013, 00:00:00	excellent
77.70636	28.98002	Asia/Kolkata	Meerut	2018/02/02	average
29.24152	-26.93366	Africa/Johannesburg	Standerton	2022-09-22	good
-121.75689	36.91023	America/Los_Angeles	Watsonville	2018/05/11	average
65.93249	36.21544	Asia/Kabul	Sar-e Pul	04/12/2013, 00:00:00	building
13.57661	37.31065	Europe/Rome	Agrigento	11/27/2016, 00:00:00	good
-1.29772	50.76306	Europe/London	Cowes	2013-12-26	accep
-73.9625	40.81	America/New_York	Morningside Heights	2020-11-02	average
-81.56929	41.55838	America/New_York	Collinwood	25 Apr 2018	good
65.27258	58.04254	Asia/Yekaterinburg	Tavda	2016-09-10	excellent
86.79271	25.92127	Asia/Kolkata	Madhipura	2018-03-31	accep
2.59753	8.88649	Africa/Porto-Novo	Tchaourou	2021/01/17	accep
146.05093	-34.28853	Australia/Sydney	Griffith	2018/11/15	excellent
34.11169	0.46005	Africa/Nairobi	Busia	05/09/2019, 00:00:00	accep
8.2926	9.58126	Africa/Lagos	Kafanchan	2014-06-20	excellent
103.6032	1.6561	Asia/Kuala_Lumpur	Kulai	2019/08/08	maintenance
-0.33525	53.7446	Europe/London	Kingston upon Hull	08 Nov 2020	average
86.68363	23.49668	Asia/Kolkata	Adra	2019-10-29	maintenance
36.25361	47.48444	Europe/Zaporozhye	Polohy	2013-06-23	good
137.5	34.9	Asia/Tokyo	Shinshiro	10/24/2016, 00:00:00	maintenance
