PAHs	PM10	C2H3NO5	O3	NH3	Pb	PRES	CFCs	longitude	SO2	latitude	NOx	warning	CO	CH4	PM2.5	H2CO	TEMP
7.22628	9.07079	2.63533	9.95652	9.21864	29.98802	1093.16157	67.38361	144.23058	9.89682	-5.85746	10.31364	0.00000	8.36810	9.75090	10.19732	59.16382	1.58478
10.39372	8.25541	1.19707	8.98772	9.82297	47.15361	1063.43896	69.62954	2.59753	8.29285	8.88649	10.26103	0.00000	8.47772	9.60717	7.09990	65.37280	13.19832
9.56441	8.43278	1.32137	4.43270	8.08426	47.94224	1111.55551	77.84035	76.35484	8.42276	10.10649	6.11983	1.00000	8.97045	8.89398	8.22953	47.62991	3.92248
10.78799	9.80691	5.28964	6.23420	8.38204	72.85236	1156.28181	59.70907	-59.13316	5.84252	-37.32167	8.65345	1.00000	7.03998	11.94774	9.47408	68.73458	18.35811
5.64192	9.36108	3.44736	12.02213	8.93778	45.68778	1185.27302	67.19246	14.39024	12.57778	42.22718	10.49590	1.00000	9.06782	6.62910	6.62591	56.52691	30.99446
8.85417	8.74449	2.02734	6.87685	10.42699	44.91126	1107.94958	82.06156	101.18445	9.80206	13.44581	10.85030	0.00000	7.45805	10.18056	7.50955	42.84540	5.25342
12.15710	10.50247	10.96401	11.27056	9.06338	42.72213	1119.60034	71.53133	-41.25528	6.41393	-19.32556	10.33538	0.00000	9.37636	9.74784	6.94295	78.23410	20.09264
8.70570	9.69720	4.96768	10.02363	8.82149	40.82549	1127.66134	67.98274	4.25633	13.74427	51.21187	11.15438	1.00000	8.27170	5.47974	8.53822	55.79576	27.91026
9.24581	9.66586	4.55671	10.71520	7.95545	42.68630	1171.63100	76.61669	151.07986	9.73556	-33.88096	9.97925	0.00000	8.37019	11.15774	11.00866	35.74196	18.63596
11.50466	10.80804	14.61408	7.69996	10.61938	76.87254	1135.79071	68.11733	137.95378	7.99128	35.82756	5.63005	1.00000	6.75989	8.34507	6.81439	37.19715	13.93669
9.40470	7.38663	0.71395	7.16779	8.95193	52.84801	1068.43447	60.90583	-77.70066	5.74361	43.16547	8.26369	0.00000	7.67984	9.77681	9.84883	50.84490	5.61399
8.88199	9.24074	3.20558	10.89227	8.35716	48.81817	1090.19688	65.73061	-80.22588	7.35138	26.2173	9.20641	0.00000	10.39682	12.53462	7.23462	35.27477	23.12654
3.73195	9.02946	2.38118	9.66731	8.01109	48.52310	1151.52024	72.62102	104.1451	10.61072	15.79408	10.70731	1.00000	10.40505	6.07142	6.22296	24.61311	7.97646
	8.64757	1.97653	8.70928	9.35302	63.16896	1125.78049	67.25402	-82.32483	8.15825	29.65163	9.53380	0.00000	9.98803	11.68806	7.32440	51.27883	18.93185
6.17070	8.51507	1.52840	10.18834	8.44027	53.19565	1151.62955	66.84844	-78.87836	10.93888	35.05266	9.74645	1.00000	8.70043	7.86271	8.20044	28.13109	13.07893
10.43282	8.23839	1.22669	6.83534	8.36340	75.37239	1056.47646	66.49568	-7.95	8.36911	53.43333	9.02808	0.00000	9.48404	9.36081	7.93016	56.37887	24.34716
7.33547	9.19337	3.09697	10.29906	9.65779	42.16922	1106.94745	84.95629	-50.00639	10.79938	-25.42944	11.41471	1.00000	9.72356	6.58664	6.57471	52.42620	10.77271
10.39956	9.49635	3.91787	11.64706	8.81517	35.77523	1174.89205	73.49056	73.97117	8.43942	31.96258	10.02812	0.00000	9.46724	9.44229	7.40950	28.94896	24.02893
