station	latitude	code	revision	QoS	longitude
Vahdat	38.55632	TJ	2020-05-10	building	69.01354
Clermont	28.54944	US	2022/02/16	excellent	-81.77285
Teziutlan	19.8173	MX	07/16/2018, 00:00:00	average	-97.35992
Sinhyeon	34.8825	KR	2015/03/23	good	128.62667
Corralillo	22.98212	CU	13 Feb 2017	excellent	-80.58556
Ukmerge	55.25	LT	02/22/2014, 00:00:00	building	24.75
Kolomyagi	60.02427	RU	2014/06/24	accep	30.28491
Weimar	50.9803	DE	2021/02/11	accep	11.32903
Ngemplak	-7.54972	ID	2017-12-31	accep	110.71639
Barmbek-Nord	53.6052	DE	2020-11-12	good	10.03988
Malden	42.4251	US	2019/03/20	good	-71.06616
Andes	5.6561	CO	2019/12/27	excellent	-75.87877
Veracruz	8.88988	PA	2016-09-01	accep	-79.62603
Sarandi	-23.44361	BR	11 Apr 2013	building	-51.87389
High Wycombe	51.62907	GB	11/18/2017, 00:00:00	accep	-0.74934
Devizes	51.35084	GB	2021-12-03	excellent	-1.99421
Catania	37.49223	IT	19 Aug 2017	building	15.07041
Hueytown	33.45122	US	2022-02-07	average	-86.99666
Paoy Paet	13.65805	KH	19 Sep 2021	accep	102.56365
Culemborg	51.955	NL	2017-12-23	accep	5.22778
Bibiani	6.46346	GH	12/02/2015, 00:00:00	excellent	-2.31938
Diwek	-7.57897	ID	01/11/2019, 00:00:00	accep	112.23109
Lebanon	39.43534	US	2019-04-05	excellent	-84.20299
Roseto degli Abruzzi	42.67164	IT	2013/01/25	excellent	14.01481
Hartley	51.38673	GB	02 Jun 2014	accep	0.30367
Columbia Heights	45.0408	US	2018/05/22	building	-93.263
Iwade	34.25	JP	2017-07-11	accep	135.31667
Kyzylorda	44.85278	KZ	2013-04-23	average	65.50917
Taozhuang	34.85	CN	2013-08-11	average	117.33333
Gainesville	29.65163	US	01/04/2021, 00:00:00	good	-82.32483
Encinitas	33.03699	US	2017/10/08	good	-117.29198
Sukabumi	-6.91806	ID	2016/01/26	excellent	106.92667
Cowes	50.76306	GB	2020-02-21	excellent	-1.29772
Leioa	43.32686	ES	2015-02-05	maintenance	-2.98884
Magomeni	-6.8	TZ	04/19/2019, 00:00:00	average	39.25
Ushuaia	-54.8	AR	2013-10-25	average	-68.3
Krymsk	44.92934	RU	09/23/2022, 00:00:00	average	37.99117
Suzaka	36.65	JP	06/30/2018, 00:00:00	good	138.31667
Glogovac	42.62833	XK	2019/01/29	good	20.89389
Iringa	-7.76667	TZ	12/27/2012, 00:00:00	accep	35.7
Sainte-Catherine	45.40008	CA	2015-07-18	maintenance	-73.58248
Gauting	48.06919	DE	08 Nov 2012	building	11.37703
Visitacion Valley	37.71715	US	2020-09-08	maintenance	-122.40433
Gingee	12.25282	IN	06/30/2019, 00:00:00	excellent	79.41727
Collinwood	41.55838	US	28 Nov 2021	good	-81.56929
Valletta	35.89972	MT	10 Jan 2018	average	14.51472
Stade	53.59337	DE	11/03/2013, 00:00:00	excellent	9.47629
Muskogee	35.74788	US	17 Mar 2016	good	-95.36969
Norwalk	41.24255	US	04 Jan 2015	accep	-82.61573
Francavilla Fontana	40.53123	IT	09/18/2018, 00:00:00	excellent	17.58522
Fontenay-aux-Roses	48.79325	FR	2019-12-07	accep	2.29275
Reus	41.15612	ES	2020/06/28	average	1.10687
Zaozhuang	34.86472	CN	01/04/2016, 00:00:00	excellent	117.55417
Ariccia	41.72063	IT	28 May 2016	average	12.6723
Sicklerville	39.71734	US	2015-12-02	excellent	-74.96933
Hengshui	37.73222	CN	2016-02-18	average	115.70111
Rutland	43.61062	US	08/20/2022, 00:00:00	excellent	-72.97261
Budva	42.28639	ME	2013/04/01	average	18.84
Markham	43.86682	CA	2012-11-22	average	-79.2663
Blackpool	53.81667	GB	2019-03-09	maintenance	-3.05
Zhoushan	29.98869	CN	09/11/2017, 00:00:00	accep	122.20488
Carlos Barbosa	-29.2975	BR	2021/06/14	excellent	-51.50361
Denderleeuw	50.88506	BE	2017-04-20	good	4.07601
Sar-e Pul	36.21544	AF	2018/06/02	average	65.93249
Gainesville	29.65163	US	2016/05/03	good	-82.32483
Nonsan	36.20389	KR	07/13/2015, 00:00:00	good	127.08472
Alipur	29.38242	PK	2021/10/31	excellent	70.91106
Viewpark	55.82737	GB	12/09/2014, 00:00:00	maintenance	-4.0573
Meerut	28.98002	IN	2017/07/02	excellent	77.70636
Camayenne	9.535	GN	2015/05/12	building	-13.68778
Kobuleti	41.82143	GE	2014/04/25	accep	41.77921
Gariadhar	21.53889	IN	09/03/2017, 00:00:00	maintenance	71.57737
Maasin	10.13361	PH	2013-05-19	excellent	124.84472
Parola	20.88098	IN	2020-02-05	excellent	75.11937
Aberdeen	57.14369	GB	21 Feb 2019	average	-2.09814
Ciudad Guayana	8.35122	VE	2021-02-10	accep	-62.64102
Casa Blanca	19.04222	MX	2015-11-20	excellent	-98.11889
Frankston South	-38.16604	AU	2020-03-11	accep	145.13643
Martinsburg	39.45621	US	2017-04-19	maintenance	-77.96389
Brzeg	50.86079	PL	18 Mar 2015	excellent	17.4674
Rolla	37.95143	US	2012-10-04	average	-91.77127
Tonga	4.96667	CM	26 Mar 2016	excellent	10.7
North Lauderdale	26.2173	US	2019-08-20	average	-80.22588
Gilbert	33.35283	US	06 Nov 2013	excellent	-111.78903
Grand Forks	47.92526	US	10/30/2021, 00:00:00	average	-97.03285
Bridgeport	41.16704	US	06/03/2013, 00:00:00	accep	-73.20483
Dongdu	35.85	CN	26 Apr 2014	accep	117.7
Ilopango	13.70167	SV	02/24/2017, 00:00:00	average	-89.10944
Daud Khel	32.87533	PK	05 May 2020	excellent	71.57118
Kireyevsk	53.93361	RU	21 Aug 2022	excellent	37.92792
Lagos	6.45407	NG	2015-04-30	building	3.39467
Davis	38.54491	US	10/29/2016, 00:00:00	maintenance	-121.74052
Dyat’kovo	53.59782	RU	06/29/2018, 00:00:00	building	34.33825
Barbil	22.10194	IN	2012/11/03	maintenance	85.37752
Covington	39.08367	US	24 Jun 2018	excellent	-84.50855
Talipparamba	12.04161	IN	15 Aug 2019	good	75.35927
Gauting	48.06919	DE	07/07/2022, 00:00:00	good	11.37703
Nyangao	-10.33333	TZ	25 Mar 2013	accep	39.28333
Honda	5.20856	CO	05/08/2014, 00:00:00	good	-74.73584
San Bernardo	-33.59217	CL	2021-01-13	excellent	-70.6996
Troutdale	45.53929	US	12/04/2017, 00:00:00	good	-122.38731
Argungu	12.74482	NG	15 Jun 2016	excellent	4.52514
Longgang	37.65181	CN	17 Aug 2018	maintenance	120.33063
Frankston South	-38.16604	AU	31 Jul 2015	average	145.13643
Gilbert	33.35283	US	05/17/2021, 00:00:00	excellent	-111.78903
Middle River	39.33427	US	05 Oct 2015	accep	-76.43941
Fayetteville	35.05266	US	2021-01-07	building	-78.87836
Nkpor	6.15038	NG	03 Aug 2015	maintenance	6.83042
Hoxtolgay	46.51872	CN	19 Aug 2022	average	86.00214
Kamakura	35.30889	JP	13 Jun 2019	average	139.55028
Kyzylorda	44.85278	KZ	09/29/2020, 00:00:00	average	65.50917
Calangute	15.5439	IN	06/02/2019, 00:00:00	accep	73.7553
Mokopane	-24.19436	ZA	2018/01/02	maintenance	29.00974
Cardedeu	41.63976	ES	10/21/2019, 00:00:00	accep	2.35739
Custoias	41.1053	PT	07/21/2018, 00:00:00	accep	-7.32097
Troutdale	45.53929	US	18 Dec 2012	good	-122.38731
Chacabuco	-34.64167	AR	06/27/2021, 00:00:00	accep	-60.47389
Andijon	40.78206	UZ	30 Jun 2020	excellent	72.34424
Malden	42.4251	US	2021/05/11	building	-71.06616
Salvatierra	20.21322	MX	2020/04/29	accep	-100.88023
Vryheid	-27.76952	ZA	11/02/2018, 00:00:00	average	30.79165
Damnoen Saduak	13.51825	TH	09/05/2021, 00:00:00	excellent	99.95469
Canavieiras	-15.675	BR	12/13/2013, 00:00:00	good	-38.94722
San Carlos	8.79577	CO	2020-05-30	building	-75.69947
Cavaillon	43.83125	FR	2016/07/09	accep	5.03586
An Muileann gCearr	53.53333	IE	2019/06/29	building	-7.35
Taunton	41.9001	US	2021/08/11	good	-71.08977
Pontevedra	-34.74785	AR	24 Sep 2017	average	-58.70072
Parola	20.88098	IN	2014/10/09	average	75.11937
Mount Hagen	-5.85746	PG	26 Sep 2019	average	144.23058
Rajaori	33.37526	IN	2016-07-31	excellent	74.3092
Pekanbaru	0.51667	ID	07 Jan 2018	accep	101.44167
Sassari	40.72586	IT	07/28/2016, 00:00:00	excellent	8.55552
Jersey City	40.72816	US	09/08/2016, 00:00:00	excellent	-74.07764
East Haven	41.27621	US	10/30/2020, 00:00:00	average	-72.86843
Same	-4.06667	TZ	2018-05-11	maintenance	37.73333
Sinhyeon	34.8825	KR	04/14/2014, 00:00:00	building	128.62667
Antipolo	14.62578	PH	21 Jun 2017	average	121.12251
San Fernando de Henares	40.42386	ES	25 Mar 2022	excellent	-3.53261
Harstad	68.79833	NO	29 Jan 2016	maintenance	16.54165
Okegawa	36	JP	14 Oct 2013	excellent	139.55722
Jais	26.2649	IN	2013-12-01	average	81.54855
Pameungpeuk	-7.01833	ID	11 Dec 2018	average	107.60389
Ajdabiya	30.75545	LY	07/15/2015, 00:00:00	excellent	20.22625
Chillum	38.96372	US	22 Sep 2021	building	-76.99081
Igbara-Odo	7.50251	NG	04/05/2015, 00:00:00	excellent	5.06258
Kamakura	35.30889	JP	01 Aug 2016	good	139.55028
La Trinidad	16.455	PH	2015-12-21	good	120.5875
Camayenne	9.535	GN	2022-04-15	building	-13.68778
Guaraciaba do Norte	-4.16694	BR	07 May 2016	average	-40.7475
Norco	33.93113	US	2017-09-14	average	-117.54866
Sungurlu	40.1675	TR	04 Jul 2015	accep	34.37389
Vryheid	-27.76952	ZA	12/11/2012, 00:00:00	average	30.79165
Tonota	-21.44236	BW	08/27/2021, 00:00:00	good	27.46153
Custoias	41.1053	PT	12/14/2017, 00:00:00	excellent	-7.32097
San Carlos	8.79577	CO	2017/12/01	accep	-75.69947
Oulmes	33.42585	MA	2022/06/20	good	-6.00137
Montana	43.4125	BG	2017-12-20	average	23.225
Petrozavodsk	61.78491	RU	06/12/2016, 00:00:00	average	34.34691
Francavilla Fontana	40.53123	IT	2018-11-08	building	17.58522
Beni Khiar	36.46917	TN	04 Apr 2022	accep	10.78222
Tsuen Wan	22.37066	HK	2017/09/14	accep	114.10479
Exeter	50.7236	GB	12/03/2013, 00:00:00	maintenance	-3.52751
Roseto degli Abruzzi	42.67164	IT	2020/12/15	accep	14.01481
Kherson	46.65581	UA	17 Jul 2017	average	32.6178
Nidderau	50.23805	DE	2018-10-19	excellent	8.86704
Qadirpur Ran	30.29184	PK	2020-02-04	accep	71.67164
El Alia	37.16911	TN	2016-04-06	good	10.03478
Pucheng	27.92333	CN	30 Mar 2022	excellent	118.53333
Kherson	46.65581	UA	26 Jul 2017	accep	32.6178
Qadirpur Ran	30.29184	PK	29 Oct 2016	average	71.67164
Chanika	-5.41667	TZ	03/28/2013, 00:00:00	building	38.01667
Wittenau	52.59319	DE	2013-09-25	good	13.32127
Oktyabr’skiy	54.48147	RU	06 Aug 2022	accep	53.47103
Camarillo	34.21639	US	11/27/2017, 00:00:00	maintenance	-119.0376
Kudus	-6.8048	ID	2016-01-20	maintenance	110.8405
Mirriah	13.70727	NE	2015/03/02	average	9.15013
Covington	39.08367	US	15 Jan 2017	excellent	-84.50855
Custoias	41.1053	PT	2014/06/20	average	-7.32097
Oaxaca	17.06542	MX	2015/08/29	accep	-96.72365
Saraktash	51.78771	RU	05/31/2020, 00:00:00	accep	56.36091
Cheraga	36.76775	DZ	2019/03/04	good	2.95924
Novara	45.44694	IT	21 Nov 2012	excellent	8.62118
Wangon	-7.51611	ID	22 Aug 2013	good	109.05389
Montpellier	43.61092	FR	2018/08/05	average	3.87723
Alwaye	10.10649	IN	30 May 2021	average	76.35484
Bang Ban	14.37395	TH	22 May 2013	accep	100.48528
Canavieiras	-15.675	BR	2017/05/25	good	-38.94722
Jalal-Abad	40.93333	KG	2022/04/26	accep	73
Brighton Beach	40.57788	US	2020/10/10	building	-73.95958
Tonota	-21.44236	BW	2018/02/05	accep	27.46153
Claremont	34.09668	US	02 Apr 2014	maintenance	-117.71978
Cheraga	36.76775	DZ	04/21/2017, 00:00:00	excellent	2.95924
Greenfield	39.78504	US	12/15/2020, 00:00:00	good	-85.76942
Budva	42.28639	ME	2014/10/19	accep	18.84
Karbala	32.61603	IQ	01/08/2018, 00:00:00	excellent	44.02488
Hueytown	33.45122	US	2017-09-23	excellent	-86.99666
Majene	-3.5403	ID	2016-10-24	maintenance	118.9707
Kanganpur	30.76468	PK	31 Dec 2015	excellent	74.12286
Palafrugell	41.91738	ES	2022/05/06	excellent	3.1631
Aloha	45.49428	US	2013/07/06	accep	-122.86705
Tyoply Stan	55.62047	RU	2018-11-19	building	37.49338
Surbiton	51.39148	GB	07/02/2018, 00:00:00	accep	-0.29825
Muskogee	35.74788	US	2014/09/02	maintenance	-95.36969
Karben	50.23019	DE	23 Oct 2013	accep	8.77155
Lal Bahadur Nagar	17.34769	IN	02 Dec 2017	good	78.55757
El Achir	36.06386	DZ	19 Feb 2019	excellent	4.62744
Palmeira	-25.42944	BR	2015/07/20	excellent	-50.00639
Afragola	40.92298	IT	2014/05/13	good	14.30935
Cuenca	-2.90055	EC	26 Apr 2021	average	-79.00453
Kearns	40.65995	US	06/07/2015, 00:00:00	average	-111.99633
Oaxaca	17.06542	MX	12 Nov 2019	accep	-96.72365
La Victoria	10.22677	VE	2017-06-09	maintenance	-67.33122
Schererville	41.47892	US	2020/05/06	good	-87.45476
Carnaxide	38.72706	PT	21 Mar 2020	good	-9.24671
Gaya	11.86064	NG	2016-05-17	maintenance	9.0027
Winsford	53.19146	GB	16 Sep 2017	average	-2.52398
Tadmur	34.5624	SY	03 Aug 2019	excellent	38.28402
Annaka	36.33011	JP	2022-01-09	average	138.89585
Itabirito	-20.25333	BR	2020/07/30	excellent	-43.80139
Kearns	40.65995	US	2015-02-11	average	-111.99633
Uran	18.87813	IN	2015-12-08	good	72.93924
New Canaan	41.14676	US	04/12/2015, 00:00:00	average	-73.49484
Haicheng	40.85158	CN	2019-06-19	average	122.74754
Valence	44.92801	FR	05/27/2016, 00:00:00	excellent	4.8951
Vernon	50.26729	CA	2021/08/25	accep	-119.27337
Gernika-Lumo	43.31667	ES	26 Jan 2016	maintenance	-2.68333
Rafiganj	24.81757	IN	2021-10-15	accep	84.63445
Emmeloord	52.71083	NL	10/25/2017, 00:00:00	accep	5.74861
Denderleeuw	50.88506	BE	2013/02/16	acceptable	4.07601
San Gabriel	34.09611	US	2013-07-21	average	-118.10583
Rudolstadt	50.72043	DE	13 Oct 2013	good	11.34046
South Lawndale	41.84364	US	07 Dec 2019	maintenance	-87.71255
Nyahururu	0.03813	KE	2019/12/10	good	36.36339
Aschaffenburg	49.97704	DE	13 Mar 2022	average	9.15214
Puertollano	38.68712	ES	2018/01/27	accep	-4.10734
Lino Lakes	45.16024	US	2022/08/15	accep	-93.08883
Siegburg	50.80019	DE	2018/06/03	good	7.20769
Kanganpur	30.76468	PK	06/23/2016, 00:00:00	accep	74.12286
Hakodate	41.77583	JP	2020-09-06	excellent	140.73667
Alatyr’	54.8421	RU	03 Oct 2013	excellent	46.5813
Devizes	51.35084	GB	2017-01-21	average	-1.99421
Troutdale	45.53929	US	2021/11/28	excellent	-122.38731
Palafrugell	41.91738	ES	15 Mar 2017	average	3.1631
Jaruco	23.04419	CU	20 Jul 2020	good	-82.00919
Ksar Chellala	35.21222	DZ	2013/08/26	average	2.31889
Dehiwala-Mount Lavinia	6.84019	LK	2019-07-02	accep	79.87116
Corralillo	22.98212	CU	2022-08-18	excellent	-80.58556
Zaozhuang	34.86472	CN	2013/07/10	average	117.55417
Chanika	-5.41667	TZ	2018/12/06	accep	38.01667
Bordj Zemoura	36.27462	DZ	27 Jul 2016	good	4.85668
Ariccia	41.72063	IT	2016/09/14	average	12.6723
Meizhou	24.28859	CN	01/10/2015, 00:00:00	excellent	116.11768
Beaconsfield	45.43341	CA	2021/09/28	excellent	-73.86586
Tupelo	34.25807	US	2020-01-27	accep	-88.70464
Aytos	42.7	BG	09 Oct 2019	building	27.25
Palm Desert	33.72255	US	2020/09/14	excellent	-116.37697
