SO2	C2H3NO5	CH4	NH3	O3	H2CO	TEMP	PM10	warning	PRES	Pb	PM2.5	CFCs	PAHs	latitude	longitude	CO	NOx
8.74197	1.32109	7.70763	9.26694	8.99498	62.05669	2.43471	10.74995	1.00000	1149.70473	36.03947	7.00849	76.49036	8.62253	3.8801	-77.03116	7.98782	7.13899
7.54483	0.15394	8.34680	8.26979	5.89135	69.98349	6.15760	8.35240	1.00000	1099.69522	37.41925	9.72216	36.96178	9.50392	39.00622	-77.4286	9.20466	8.93597
6.00018	0.16126	11.55781	6.69037	7.14524	30.65247	20.67956	8.34952	0.00000	1052.66718	24.30060	9.05923	32.71960	7.81029	43.62558	13.39954	10.70907	8.37563
10.23558	1.74384	3.23278	9.92411	13.29257	56.40359	12.31522	11.03530	0.00000	1072.62125	23.78262	11.07319	54.53141	9.72068	33.3213	130.94098	9.22163	8.58405
8.15311	0.19617	9.43165	8.90778	9.49830	67.23133	11.72864	8.53096	1.00000	1173.62008	50.67987	10.13581	62.99418	10.08947	3.3285	99.1625	7.52777	8.51011
5.41415	0.19017	10.52290	10.94354	9.14913	75.27671	18.16086	8.38148	1.00000	1074.02888	49.28613	6.58414	47.16034	7.71930	41.6764	-91.58045	9.51426	7.49701
7.39952	0.40663	9.42108	5.12010	6.08773	46.09876	3.50894	9.46193	0.00000	1193.59916	36.36234	8.40037	30.20335	10.53918	37.51803	15.00913	5.95614	9.14276
10.13219	0.07709	7.93078	7.18156	7.66178	55.37915	30.23110	6.50297	0.00000	1164.20236	65.53152	12.14314	45.21746	9.80424	41.24264	16.50104	8.17463	8.78398
3.77929	5.60264	13.81322	7.31863	7.42383	56.81870	16.16919	12.21708	0.00000	1145.79929	48.69498	6.91174	43.19234	9.88551	42.93369	-72.27814	8.43675	8.92723
5.98409	0.08269	9.45979	9.48030	6.55432	48.64136	10.28305	7.65158	1.00000	1097.03250	56.72572	9.97994	42.25168	7.11919	37.49223	15.07041	6.92841	7.56463
9.31552	0.05359	8.00702	7.91445	7.93733	51.13700	1.45586	4.64995	0.00000	1084.81616	48.13702	11.81628	60.44575	10.56544	23.5654	119.58627	7.80562	10.12590
8.94324	0.30225	6.92624	9.61675	10.30904	60.49911	12.49506	9.05660	0.00000	1094.80434	41.91584	10.26082	46.37272	11.05976	56.03361	35.96944	9.24627	10.31024
