station	longitude	QoS	location	latitude	revision
Calangute	73.7553	maintenance	Asia/Kolkata	15.5439	2018-01-26
Albstadt	9.02596	average	Europe/Berlin	48.21644	12/08/2019, 00:00:00
San Juan de Aznalfarache	-6.03731	good	Europe/Madrid	37.35813	2014/11/18
Aurora	-104.83192	average	America/Denver	39.72943	2014/06/22
Gonesse	2.44892	accep	Europe/Paris	48.98693	16 Apr 2014
Landshut	12.16179	maintenance	Europe/Berlin	48.52961	2016-11-26
Ponta Delgada	-25.66689	average	Atlantic/Azores	37.74615	2016/06/10
Sishui	117.27583	average	Asia/Shanghai	35.64889	2018-09-08
Jais	81.54855	excellent	Asia/Kolkata	26.2649	28 Jul 2022
Volokolamsk	35.96944	accep	Europe/Moscow	56.03361	2021-02-01
Parola	75.11937	average	Asia/Kolkata	20.88098	12 Jun 2022
Mouscron	3.20639	good	Europe/Brussels	50.74497	01 Nov 2018
Chapletown	-1.47217	accep	Europe/London	53.46506	06 Apr 2022
Paidha	30.98551	maintenance	Africa/Kampala	2.41669	2018/06/19
Cavaillon	5.03586	excellent	Europe/Paris	43.83125	05/04/2020, 00:00:00
Markham	-79.2663	average	America/Toronto	43.86682	2013-01-14
Masbate	123.62494	good	Asia/Manila	12.37169	03/03/2016, 00:00:00
Chharra	78.40102	good	Asia/Kolkata	27.9247	04 Mar 2022
Gavrilov-Yam	39.85331	average	Europe/Moscow	57.30185	2014-01-31
Aurora	-104.83192	good	America/Denver	39.72943	2022/05/04
Naushahra Virkan	73.97117	building	Asia/Karachi	31.96258	10 Dec 2020
Minokamo	137.02166	accep	Asia/Tokyo	35.48199	02/06/2017, 00:00:00
Croix-des-Bouquets	-72.22625	maintenance	America/Port-au-Prince	18.57677	2015/09/21
Bourbonnais	-87.88754	good	America/Chicago	41.15376	04 Feb 2018
Coralville	-91.58045	acceptable	America/Chicago	41.6764	03/20/2014, 00:00:00
Ferrol	-8.2194	accep	Europe/Madrid	43.48961	2018-05-03
Sankt Peter	15.46667	maintenance	Europe/Vienna	47.05	2020-06-24
Muritiba	-39.25	excellent	America/Bahia	-12.91667	2014-04-15
Hofheim am Taunus	8.4493	good	Europe/Berlin	50.09019	09/16/2017, 00:00:00
High Wycombe	-0.74934	average	Europe/London	51.62907	2013/07/20
Parola	75.11937	maintenance	Asia/Kolkata	20.88098	2020-11-25
Shahre Jadide Andisheh	51.0193	good	Asia/Tehran	35.6803	08/06/2017, 00:00:00
Loanda	-53.13722	good	America/Sao_Paulo	-22.92306	01 Aug 2022
Hoxtolgay	86.00214	good	Asia/Urumqi	46.51872	2022/03/21
Negotin	22.53083	accep	Europe/Belgrade	44.22639	2015/12/31
Aguilares	-65.61427	good	America/Argentina/Tucuman	-27.4338	07/24/2019, 00:00:00
Bobigny	2.45012	good	Europe/Paris	48.90982	07/09/2014, 00:00:00
Carlsbad	-104.22884	accep	America/Denver	32.42067	02 Feb 2019
Claremont	-117.71978	accep	America/Los_Angeles	34.09668	03 Mar 2013
Ikalamavony	46.58333	excellent	Indian/Antananarivo	-21.15	03/28/2017, 00:00:00
Lagos	3.39467	good	Africa/Lagos	6.45407	2012/11/09
Betamcherla	78.14797	average	Asia/Kolkata	15.45144	2015-09-27
Willetton	115.88782	excellent	Australia/Perth	-32.05251	2013/06/10
Dobrush	31.3237	accep	Europe/Minsk	52.4089	2018-04-19
Saint-Genis-Laval	4.7934	good	Europe/Paris	45.69558	06/23/2018, 00:00:00
Paredes	-8.33147	maintenance	Europe/Lisbon	41.20485	04/29/2020, 00:00:00
Iwade	135.31667	excellent	Asia/Tokyo	34.25	2013-03-03
Lesnoy	59.80222	accep	Asia/Yekaterinburg	58.63667	2013/08/02
Ganei Tikva	34.8732	accep	Asia/Jerusalem	32.05971	25 Nov 2013
Malaut	74.4818	building	Asia/Kolkata	30.21121	04/23/2013, 00:00:00
Bordj Zemoura	4.85668	average	Africa/Algiers	36.27462	2019-12-16
Madrid	-74.26419	average	America/Bogota	4.73245	06/24/2014, 00:00:00
Sathyamangalam	77.23826	average	Asia/Kolkata	11.50526	2019-03-16
Al Jubayl	49.62251	maintenance	Asia/Riyadh	27.0174	07/19/2015, 00:00:00
Bad Segeberg	10.30215	accep	Europe/Berlin	53.94313	2017-07-15
Columbia Heights	-93.263	accep	America/Chicago	45.0408	2016/08/18
Scarsdale	-73.78458	good	America/New_York	41.0051	2016/06/19
Hasilpur	72.54566	good	Asia/Karachi	29.69221	24 Mar 2019
Chapletown	-1.47217	building	Europe/London	53.46506	07 Jan 2022
Daud Khel	71.57118	excellent	Asia/Karachi	32.87533	15 Nov 2018
Chiguayante	-73.02841	good	America/Santiago	-36.9256	06 Apr 2021
Alwaye	76.35484	maintenance	Asia/Kolkata	10.10649	06/06/2015, 00:00:00
Lymington	-1.5443	accep	Europe/London	50.75767	2017-11-16
Lakota	-5.682	accep	Africa/Abidjan	5.84752	2019/08/28
Kingston upon Hull	-0.33525	good	Europe/London	53.7446	02/24/2021, 00:00:00
Thenia	3.55665	good	Africa/Algiers	36.72544	11 Jun 2021
Aykhal	111.4834	maintenance	Asia/Yakutsk	65.93381	2018-06-22
Bisceglie	16.50104	building	Europe/Rome	41.24264	04/29/2013, 00:00:00
Lebanon	-84.20299	average	America/New_York	39.43534	03/30/2021, 00:00:00
Riverbank	-120.93549	good	America/Los_Angeles	37.73604	10/09/2015, 00:00:00
Guapimirim	-42.98194	average	America/Sao_Paulo	-22.53722	07 Nov 2012
Exeter	-3.52751	accep	Europe/London	50.7236	2019-12-30
Qadirpur Ran	71.67164	average	Asia/Karachi	30.29184	01 Sep 2021
Dehiwala-Mount Lavinia	79.87116	accep	Asia/Colombo	6.84019	18 Jul 2019
Liberia	-85.43772	accep	America/Costa_Rica	10.63504	2017-08-14
Punta Gorda Isles	-82.07842	accep	America/New_York	26.91756	2017/03/18
Puerto Colombia	-74.95472	average	America/Bogota	10.98778	18 Oct 2013
Dorval	-73.75335	good	America/Toronto	45.4473	2019/02/24
Isfahan	51.67462	average	Asia/Tehran	32.65246	2022/01/12
Hakodate	140.73667	excellent	Asia/Tokyo	41.77583	2022/02/21
Buynaksk	47.1192	maintenance	Europe/Moscow	42.819	2014/10/07
Dombivli	73.08333	maintenance	Asia/Kolkata	19.21667	01/29/2016, 00:00:00
Custoias	-7.32097	average	Europe/Lisbon	41.1053	09 Oct 2016
Kovylkino	43.91385	maintenance	Europe/Moscow	54.03876	2020/03/23
Kulai	103.6032	building	Asia/Kuala_Lumpur	1.6561	09 Jun 2022
Qazax	45.36561	good	Asia/Baku	41.09246	2012-11-23
Valletta	14.51472	average	Europe/Malta	35.89972	17 Sep 2021
Sar-e Pul	65.93249	accep	Asia/Kabul	36.21544	11 Jan 2018
Itabirito	-43.80139	building	America/Sao_Paulo	-20.25333	17 Apr 2019
Kidodi	37.00438	average	Africa/Dar_es_Salaam	-7.60361	2013-02-27
Chosica	-76.70944	excellent	America/Lima	-11.94306	19 Feb 2014
Middletown	-71.29144	accep	America/New_York	41.54566	07/23/2022, 00:00:00
Albstadt	9.02596	good	Europe/Berlin	48.21644	26 Aug 2021
Lagos	3.39467	excellent	Africa/Lagos	6.45407	30 Jan 2014
Boli	130.57211	maitennce	Asia/Shanghai	45.75279	2021-03-24
Nampa	-116.56346	accep	America/Boise	43.54072	2018/04/05
Charlottenburg-Nord	13.29371	excellent	Europe/Berlin	52.53048	2017-04-08
Perth	115.8614	accep	Australia/Perth	-31.95224	09/18/2018, 00:00:00
Denderleeuw	4.07601	good	Europe/Brussels	50.88506	2014-10-08
Otradnyy	51.3452	accep	Europe/Samara	53.37596	2013/05/26
West Chester	-75.60804	maintenance	America/New_York	39.96097	2014-07-02
Okegawa	139.55722	maintenance	Asia/Tokyo	36	2017-07-01
Yauco	-66.8499	excellent	America/Puerto_Rico	18.03496	08/07/2017, 00:00:00
Leioa	-2.98884	building	Europe/Madrid	43.32686	2014-10-23
Guapimirim	-42.98194	excellent	America/Sao_Paulo	-22.53722	2015-09-01
Bang Ban	100.48528	maintenance	Asia/Bangkok	14.37395	27 Jan 2018
Nidderau	8.86704	maintenance	Europe/Berlin	50.23805	29 Nov 2020
Sukabumi	106.92667	good	Asia/Jakarta	-6.91806	11/14/2016, 00:00:00
Talence	-0.59543	good	Europe/Paris	44.80477	11 Nov 2013
Great Wyrley	-2.01111	maintenance	Europe/London	52.66277	09/16/2015, 00:00:00
Herblay	2.1699	maintenance	Europe/Paris	48.98994	13 Feb 2019
Hendala	79.883	average	Asia/Colombo	6.9909	2022/09/01
Dublin	-82.90375	average	America/New_York	32.54044	2020/10/08
Cebu City	123.89071	good	Asia/Manila	10.31672	2017-12-26
Pontevedra	-58.70072	building	America/Argentina/Buenos_Aires	-34.74785	11/06/2015, 00:00:00
Privolzhskiy	46.04833	maintenance	Europe/Saratov	51.40944	2018/02/12
Grand Forks	-97.03285	accep	America/Chicago	47.92526	28 Oct 2019
Bushey	-0.36053	accep	Europe/London	51.64316	2014-06-07
Norwalk	-82.61573	good	America/New_York	41.24255	06 Dec 2014
Elamanchili	82.85749	building	Asia/Kolkata	17.54907	03 Nov 2021
