Pb	H2CO	warning	C2H3NO5	CFCs	CO	PM10	NOx	SO2	PM2.5	PAHs	CH4	longitude	NH3	PRES	O3	latitude	TEMP
33.74612	51.66025	0.00000	2.31175	70.44624	8.09317	7.67857	3.64490	6.92831	5.00817	8.78092	7.92153	71.57118	9.13243	1057.24590	8.51981	32.87533	10.64233
49.38964	32.78767	0.00000	13.74059	82.43953	10.85088	9.54680	10.25051	7.77041	9.08578	9.97394	7.22784	-8.33147	8.74247	1073.45688	8.86292	41.20485	17.94893
53.87588	43.69693	1.00000	2.74742	77.19354	4.81797	7.50608	5.78654	9.70740	8.58119	8.25518	9.52356	109.05389	6.11350	1151.00308	7.82420	-7.51611	-5.16284
33.78675	49.97272	1.00000	1.53737	82.33479	6.44403	7.51309	6.46681	11.01836	7.63660	8.75328	8.89101	-88.3162	6.06375	1194.54924	10.24909	42.24113	10.00603
46.68277	48.70172	1.00000	1.64619	76.05326	8.58179	5.34641	11.27299	7.72736	10.91144	7.03383	9.49519	-1.325	10.50960	1094.18023	7.22580	38.47917	16.92451
39.11747	58.23453	1.00000	8.54516	73.98287	11.24490	9.14987	9.31607	5.48146	8.08660	7.63674	8.47911	135.21667	7.75923	1135.42938	6.41002	35.06667	12.77055
41.64013	60.70960	0.00000	6.85681	74.05024	6.42572	8.82801	5.71428	7.41864	6.89700	8.09650	10.31912	2.12213	9.57294	1107.62534	5.61873	48.8222	14.54562
66.14198	52.31684	0.00000	2.41817	69.52034	6.92585	7.42444	9.21174	9.90010	9.49340	7.97672	8.98719	144.09638	8.73352	1119.62832	11.22053	43.82634	5.48895
39.16979	52.58144	1.00000	6.37422	75.53447	8.24927	8.66540	8.77765	7.63959	8.43017	7.77579	5.53901	-117.71978	11.56236	1067.99586	7.09689	34.09668	-9.92959
63.41718	57.35378	1.00000	1.59724	73.25503	10.20555	6.90990	8.83857	7.64926	7.72047	7.72705	8.33460	30.2049	10.19618	1128.25677	6.50420	55.1904	9.96817
64.03594	76.11886	1.00000	3.32192	71.64068	11.78128	8.26766	11.60350	7.75947	8.96981	9.30444	7.17601	32.88667	8.68039	1192.24771	6.95097	3.27833	20.06451
38.55627	29.13215	0.00000	11.09046	71.32102	4.91133	9.38898	6.71575	6.00046	9.20426	8.06578	9.00125	-88.42814	8.15431	1088.86033	6.03798	42.16808	21.40508
20.59772	49.42361	1.00000	38.69533	69.49490	9.03540	10.63217	8.05742	8.01766	9.99768	7.73104	8.27983	137.36215	11.21850	1074.22603	6.60137	36.75965	28.25057
46.64499	36.31992	0.00000	9.73407	82.86524	9.51883	9.21516	8.83868	5.58290	4.77244	7.74382	9.61941	-61.51889	10.96083	1075.41861	6.95837	10.66668	19.22946
58.34204	52.16752	0.00000	2.52493	84.13392	6.71463	7.78763	3.80456	5.64715	7.17936	7.77933	7.64423	-84.23381	9.39052	1075.21333	7.66717	33.54428	15.38443
40.68605	54.95486	1.00000	3.21945	78.47735	6.21449	8.18157	7.11110	9.27550	7.89782	8.30153	9.38912	-82.35176	5.99119	1150.10243	9.90552	27.71809	8.44674
49.05518	49.73652	0.00000	2.41108	84.65299	5.17027	7.51933	7.26766	7.13993	8.71535	6.14844	9.91851	19.27498	9.08169	1191.04747	7.08590	50.20528	11.44944
28.45379	65.77221	0.00000	3.90597	76.18020	9.86928	8.13745	8.02875	10.68609	11.23123	9.11468	7.86767	35.96944	9.83802	1096.08187	8.82496	56.03361	14.20575
37.45358	58.17068	0.00000	2.43896	77.75947	5.97624	7.34895	7.34308	8.35449	6.82939	7.80103	8.71040	136.51667	8.80523	1073.89240	5.20714	35	13.40646
49.17364	39.54571	1.00000	17.36754	72.03113	7.82729	9.81429	6.79177	9.49507	7.08155	7.36250	7.98110	0.30367	5.72264	1054.44358	10.19660	51.38673	11.01665
25.97165	41.47665	0.00000	4.84984	66.54048	4.61636	8.48772	9.71951	6.61890	9.78874	8.80984	7.53173	86.68363	7.82410	1074.45719	6.20044	23.49668	13.32136
28.08492	55.38675	0.00000	4.14682	80.42552	9.20446	7.98203	6.84532	8.89348	3.28960	7.90796	7.60270	9.0027	10.67810	1055.02629	6.32517	11.86064	3.16407
55.45787	61.01958	1.00000	2.45250	72.53220	8.92785	7.93826	8.86304	5.23667	9.29989	6.80380	8.09797	-77.70066	8.52772	1167.83076	6.91629	43.16547	23.91719
51.40465	45.76179	1.00000	5.59996	78.83291	6.27780	8.42941	5.24602	11.58613	5.23595	9.47464	8.21208	117.33333	7.19169	1124.64914	8.23946	34.85	14.97980
36.56923	35.89700	1.00000	0.88433	69.72814	7.04820	6.93828	8.66545	8.16945	6.52084	7.19812	9.84575	10.30215	6.74354	1166.26229	11.62968	53.94313	14.63011
34.20592	41.25876	1.00000	3.88182	66.54407	4.93337	8.03026	6.30259	10.24686	6.94737	8.83324	9.36521	-47.1725	7.08550	1123.62372	8.71711	-22.57306	11.77924
28.53856	57.43160	1.00000	6.73706	73.43145	9.57798	8.66955	9.51965	6.87003	7.65746	7.92767	8.91262	19.91667	11.48736	1125.70920	7.14401	-11.78333	24.02004
49.22665	47.65514	0.00000	5.53966	72.44588	7.77875	8.57937	5.53553	6.45554	5.22906	6.41437	10.32812	168.31366	8.05889	1062.67482	7.81303	-17.73648	21.77559
54.40300	63.67166	0.00000	2.57489	80.16500	8.75319	7.56782	8.52699	8.58203	10.55582	7.48472	8.86410	5.16108	8.84231	1154.37799	10.68805	48.77275	16.32042
30.39891	64.48454	1.00000	2.42927	68.00495	7.76089	7.73066	8.92624	8.66869	8.29490	8.30619	9.02224	-82.07842	7.26217	1074.52902	11.64558	26.91756	19.32597
34.04297	58.09632	1.00000	3.35613	73.20723	9.46479	7.99347	8.82183	9.21125	10.64122	9.05357	7.85505	40.74357	10.29292	1196.63040	5.91162	37.31309	31.48868
49.49921	46.19420	1.00000	1.52175	67.85029	9.92634	6.42831	7.00158	8.19884	9.16818	8.14371	7.08586	34.11169	8.44191	1167.51967	5.21128	0.46005	20.04005
75.68643	63.00748	0.00000	1.77907	70.07315	8.49029	7.44582	8.59770	6.37418	6.33295	7.03091	9.72196	9.15013	12.57705	1162.20261	7.32898	13.70727	20.12640
48.19096	35.35434	1.00000	2.27136	83.58301	7.02189	7.43717	6.74250	8.76526	5.92193	9.84902	7.67087	38.15035	6.71865	1123.60135	8.63149	49.41029	13.60994
64.55843	41.06964	0.00000	5.40984	78.64545	6.51400	8.64908	5.85617	5.51035	8.17350	8.24686	10.67957	-68.30472	10.45005	1179.13049	9.67882	9.91861	10.08721
22.29260	28.98866	0.00000	3.81279	67.96443	7.21692	8.35360	7.59594	7.67466	6.70161	7.83069	7.64120	68.49143	11.04440	1198.80412	7.20849	25.80565	22.58473
60.42969	40.25924	0.00000	2.65035	74.83941	9.33501	7.84491	10.17798	7.92205	9.79017	7.78777	9.02709	-2.58736	9.24004	1160.39655	8.80002	56.56317	25.67971
56.05933	42.21146	1.00000	13.75288	69.38513	9.84770	9.51472	6.95126	5.38478	5.55873	8.29785	8.80823	15.87735	9.93253	1126.12620	6.30857	4.94273	5.97713
38.07461	42.70153	1.00000	5.44838	67.81641	8.07613	8.58576	9.09599	10.38113	13.32216	8.99202	5.90895	35.7	10.18153	1095.39230	6.24214	-7.76667	-2.42084
42.77756	53.05904	1.00000	2.83547	71.69468	8.58059	7.57799	7.39711	5.80342	7.84083	7.72431	8.00646	120.03308	10.99736	1052.27658	7.17329	28.88162	33.84203
52.59379	40.16418		5.81519	77.28092	9.40853	8.38442	7.06297	6.90562	9.57980	8.23048	9.36792	-80.22588	11.27758	1126.77539	6.18724	26.2173	15.93045
34.93105	51.37697	1.00000	2.08892	68.89697	9.25487	7.62518	10.44234	6.41316	10.67741	7.17793	7.26368	-8.33147	9.18255	1185.47017	7.49564	41.20485	9.75974
