longitude	location	station	latitude	revision	QoS
5.4584	Europe/Paris	Les Olives	43.32393	02/22/2014, 00:00:00	good
-0.36053	Europe/London	Bushey	51.64316	2014-02-12	building
73	Asia/Bishkek	Jalal-Abad	40.93333	04 May 2019	average
-78.04471	America/New_York	Leland	34.25628	2014-06-24	excellent
85.94001	Asia/Kolkata	Teghra	25.49043	26 May 2021	excellent
-117.79394	America/Los_Angeles	North Tustin	33.76446	2019-03-23	accep
144.09638	Asia/Tokyo	Motomachi	43.82634	2020-11-24	average
1.26738	Europe/London	Walton-on-the-Naze	51.84819	03/03/2017, 00:00:00	accep
-59.13316	America/Argentina/Buenos_Aires	Tandil	-37.32167	2020/05/03	accep
-7.35	Europe/Dublin	An Muileann gCearr	53.53333	2014-01-03	average
-97.54667	America/Chicago	Hutto	30.5427	2017-03-18	acceptable
117.7	Asia/Shanghai	Dongdu	35.85	09/23/2019, 00:00:00	average
77.0202	Asia/Almaty	Otegen Batyra	43.41949	24 Oct 2014	excellent
68.75915	Asia/Karachi	Khairpur Mir’s	27.52948	2019/12/31	average
4.52529	Europe/Brussels	Rixensart	50.71229	2013/05/01	accep
-82.61573	America/New_York	Norwalk	41.24255	2015-10-31	accep
8.64409	Europe/Berlin	Trossingen	48.07667	2021/02/01	excellent
-156.47432	Pacific/Honolulu	Kahului	20.88953	2019/02/09	average
14.72443	Europe/Rome	Ragusa	36.92574	07/10/2019, 00:00:00	excellent
19.21437	Europe/Sarajevo	Bijeljina	44.75874	2016/05/16	accep
-118.25508	America/Los_Angeles	Glendale	34.14251	2020-08-29	accep
-69.08333	America/Lima	Yunguyo	-16.25	2022-04-15	good
-70.92866	America/New_York	Peabody	42.52787	2014-07-26	excellent
-95.63079	America/Chicago	Palestine	31.76212	2019-03-11	accep
137.02166	Asia/Tokyo	Minokamo	35.48199	06/27/2022, 00:00:00	excellent
117.33333	Asia/Shanghai	Taozhuang	34.85	2015-11-06	building
-52.51028	America/Sao_Paulo	Soledade	-28.81833	2012/10/03	accep
-65.71875	America/La_Paz	Tupiza	-21.44345	2013-12-20	average
-63.13414	America/Halifax	Charlottetown	46.23899	2013/07/16	average
-79.62098	America/Panama	Chilibre	9.15093	09 Aug 2015	average
13.58357	Africa/Libreville	Franceville	-1.63333	31 Aug 2013	good
