PAHs	O3	Pb	CO	latitude	PRES	longitude	C2H3NO5	PM10	CFCs	NOx	SO2	PM2.5	NH3	warning	TEMP	CH4	H2CO
7.60195	8.78762	58.73579	4.25109	10.12268	1090.48901	77.54372	18.64951	9.01105	81.05126	8.09606	6.84872	5.29250	6.49728	0.00000	12.21758	9.41564	18.74371
8.91360	8.99186	43.80985	6.18057	11.84962	1138.16902	-86.19903	6.52991	7.58927	66.18705	7.51909	7.16323	5.13074	6.70473	0.00000	-1.89510	8.35118	49.57396
9.01419	4.46132	50.08768	6.37518	38.72706	1052.84795	-9.24671	4.30583	6.68347	81.84250	5.53639	9.35529		8.09510	1.00000	26.15185	8.18983	56.28933
5.27409	8.84873	58.30071	5.55739	44.92934	1084.38432	37.99117	4.97587	5.50592	64.15560	6.32109	5.72915	9.68889	7.15703	1.00000	5.27529	8.21688	62.73273
6.55125	2.67819	72.10393	4.09496	-15.21194	1060.92658	-75.11028	3.96419	7.03586	80.62176	6.42387	8.10727	5.75252	7.44892	1.00000	0.28730	7.32342	27.80739
9.48711	6.69310	44.40608	7.10152	16.75973	1131.86491	-93.11308	2.80771	6.01245	67.15463	8.05695	7.60761	6.08924	6.62714	0.00000	31.99225	7.34384	43.48667
7.23077	4.98717	44.83169	4.79508	56.85836	1157.44400	35.90057	5.77555	7.28440	67.79608	8.09911	6.02337	6.59003	7.33044	0.00000	19.15087	8.63599	68.82813
10.59585	11.14205	53.75690	8.76954	28.98002	1153.69756	77.70636	3.92661	4.92565	50.42988	6.55239	6.41236	4.64956	8.67347	0.00000	17.89431	8.06061	46.62769
8.68448	9.18490	59.94331	3.88841	49.5099	1137.07180	6.74549	9.16591	8.18959	58.29988	10.90875	5.99292	4.98674	5.90036	0.00000	8.76435	9.13925	52.27635
7.33232	9.53031	29.26450	3.56573	-3.14306	1140.31076	-58.44417	3.79437	6.31108	69.66609	6.99485	5.70421	5.39433	8.30680	1.00000	8.48309	8.07916	63.41179
10.33863	7.63466	21.60089	6.39808	26.67319	1123.97723	31.4976	3.94543	6.90186	73.68928	8.47994	7.63540	4.67520	5.48698	0.00000	0.29650	7.36782	66.32405
5.93209	6.61684	73.24381	5.51156	-6.8048	1124.96110	110.8405	7.61049	7.52707	71.98216	7.79690	5.43570	8.09009	4.98710	1.00000	-15.19467	8.56635	70.06944
6.98096	7.09413	50.51105	6.39537	-17.73648	1147.88456	168.31366	8.12678	8.00617	75.52584	6.76398	7.55604	5.61340	6.58082	1.00000	9.79777	9.77087	45.65485
7.23685	3.26595	38.45728	3.15801	26.68451	1137.58976	-80.66756	7.29956	7.55511	55.82447	6.47367	7.28043	5.30994	7.26560	1.00000	22.92924	7.46080	53.61680
5.62266	9.36797	48.10319	5.99608	45.44868	1073.86918	-73.81669	8.08542	7.81933	78.08705	8.10650	7.72520	5.85424	8.13144	1.00000	6.98834	9.64310	70.97588
7.05892	6.69968	44.93767	4.43222	48.98994	1178.04725	2.1699	6.77703	7.40014	61.24364	7.26143	6.07576	3.33135	7.36175	1.00000	16.32616	10.57889	65.24427
6.06616	6.30670	54.45773	6.61208	53.69786	1104.98666	-2.68758	4.35480	5.38706	58.84489	10.19963	7.39468	10.25425	7.07314	1.00000	11.30392	8.63935	69.99262
4.93061	6.37840	27.20907	4.91244	37.73222	1160.22106	115.70111	3.73763	7.32761	63.40394	7.76561	7.23609	9.18283	6.57092	1.00000	14.13268	5.94934	65.35697
6.10363	10.30124	42.55861	4.21970	34.15429	1099.19347	3.50309	8.37365	7.98713	62.65330	8.02728	7.79287	6.44735	5.63808	1.00000	9.83006	7.32713	55.60438
3.31103	5.95150	71.61661	6.86489	37.56667	1177.77663	140.11667	5.18540	7.50837	70.66070	7.72045	7.40945	9.03236	7.40254	1.00000	20.54518	7.13517	47.29759
9.58703	7.60665	52.23501	5.80311	-36.9256	1144.21312	-73.02841	3.67248	6.26220	66.04049	5.37805	6.97133	4.18782	8.58967	1.00000	34.75453	9.21873	67.31069
9.01241	9.69746	42.93141	6.23377	25.87498	1072.14148	86.59611	17.52252	9.06012	75.56938	6.99658	7.25660	6.51720	6.80306	0.00000	7.05166	8.13836	49.79463
6.04040	6.66938	57.12691	5.64304	35.8	1189.87609	137.23333	3.80813	4.71582	73.75390	7.34640	5.15699	9.68810	6.77209	1.00000	8.79519	8.30660	40.66381
5.33360	8.38146	57.64931	5.73252	41.63976	1162.29949	2.35739	6.34525	7.17042	68.66957	8.90549	6.67458	7.44853	6.85000	1.00000	5.96694	8.20205	47.77592
7.71835	4.18490	53.97890	4.05856	3.11988	1164.97547	35.59642	10.95278	8.28053	65.91823	7.19529	6.43923	4.41982	6.88107	1.00000	19.52666	8.62096	63.13687
5.89667	9.38087	35.75420	5.42061	53.5942	1065.98387	25.8191	6.33845	7.33068	68.49418	7.89169	6.53184	5.73962	8.57087	1.00000	26.93889	9.08974	48.01065
10.86535	7.88559	48.54914	5.84555	-22.45667	1136.06105	-47.53028	4.36953	6.39801	73.78075	6.14243	5.82789	7.82367	8.31558	0.00000	27.39914	8.84223	58.74000
6.29163	9.85414	35.99835	5.04793	32.17629	1095.62215	75.06583	2.75416	5.65006	70.73608	8.29753	7.48554	8.32237	6.61442	1.00000	13.63385	8.01125	41.84548
8.28036	7.92356	39.20082	5.56317	55.62047	1055.65195	37.49338	6.37920	7.27765	73.44867	8.59426	5.07777	3.47694	7.22750	0.00000	24.19659	5.91489	43.96740
5.87724	9.49390	52.45372	5.01176	40.49748	1109.47697	44.7662	14.36219	8.72724	68.72470	6.86435	7.62741	8.55650	7.18696	1.00000	0.57732	8.23803	62.01290
5.49960	8.91769	38.34247	5.15354	41.91886	1173.32054	8.73812	3.01341	4.66848	72.17235	9.22206	8.89995	7.46921	6.89924	1.00000	9.25659	7.17003	46.89524
6.55356	6.65809	63.60146	6.39434	36.24624	1082.36409	139.07204	4.35935	6.88451	72.80013	9.21685	7.25900	11.56743	5.67970	1.00000	25.07389	8.96740	72.86931
6.69722	4.77329	62.90426	4.28323	45.53929	1108.23503	-122.38731	4.08732	6.88873	65.38646	9.78133	7.37339	9.05800	7.70329	0.00000	-2.77666	11.75363	56.81750
6.12118	9.22411	43.44186	4.71695	55.85	1184.69691	37.56667	9.14583	7.97704	77.14336	7.38744	7.88918	7.64418	8.15514	1.00000	25.92337	7.93189	59.07709
9.59832	7.95439	53.56647	6.97895	30.29184	1161.42097	71.67164	5.59976	6.71070	56.26017	6.59123	7.20263	6.22362	5.88277	0.00000	17.42719	6.72366	55.86946
6.66897	6.44196	52.68398	5.83522	41.15376	1133.02765	-87.88754	5.74511	7.30721	58.38106	8.54848	7.13192	6.50073	7.18220	0.00000	-9.50530	10.04459	58.64488
