location	revision	latitude	longitude	QoS	station
Europe/Paris	15 Mar 2014	44.80477	-0.59543	maintenance	Talence
Europe/London	2018/07/03	51.64316	-0.36053	maitennce	Bushey
America/Chicago	2013-04-02	30.5427	-97.54667	excellent	Hutto
Europe/Prague	2018/10/27	50.23271	12.87117	accep	Karlovy Vary
Africa/Windhoek	2014/02/20	-21.98333	16.91667	average	Okahandja
Europe/Copenhagen	14 Mar 2016	55.67938	12.53463	building	Frederiksberg
Asia/Jakarta	07/16/2021, 00:00:00	-7.01833	107.60389	excellent	Pameungpeuk
Asia/Tokyo	2020/03/26	36.75965	137.36215	average	Namerikawa
America/Bogota	2014/09/29	10.15031	-73.9614	good	El Copey
Asia/Shanghai	07/06/2019, 00:00:00	36.19278	117.65694	maintenance	Laiwu
Asia/Jakarta	2022/05/30	-7.54972	110.71639	excellent	Ngemplak
Europe/Paris	02 Nov 2021	43.11667	1.6	excellent	Pamiers
Europe/Paris	05/07/2016, 00:00:00	43.67681	4.63031	average	Arles
America/Bogota	28 Mar 2017	5.20856	-74.73584	maintenance	Honda
America/Santiago	2015/01/31	-30.60106	-71.19901	excellent	Ovalle
Europe/London	11 Oct 2021	51.42708	-0.91979	average	Lower Earley
Europe/London	22 Jul 2018	57.47908	-4.22398	excellent	Inverness
Europe/Paris	2020/12/06	41.91886	8.73812	accep	Ajaccio
America/Toronto	13 Aug 2018	45.43341	-73.86586	average	Beaconsfield
Africa/Lagos	28 Feb 2022	7.62789	4.74161	building	Ilesa
Europe/London	2020/02/14	50.7236	-3.52751	average	Exeter
Europe/Vienna	2020-12-30	47.05	15.46667	excellent	Sankt Peter
Asia/Manila	2016-09-06	10.13361	124.84472	building	Maasin
Asia/Kolkata	2018-02-23	21.46527	83.97573	maintenance	Sambalpur
America/Vancouver	2014/04/01	49.88307	-119.48568	good	Kelowna
Africa/Dar_es_Salaam	06/05/2013, 00:00:00	-2.68333	33	average	Usagara
Africa/Cairo	03/24/2013, 00:00:00	26.67319	31.4976	excellent	Juhaynah
Africa/Bangui	2016-11-13	4.94273	15.87735	maitennce	Carnot
America/Caracas	2021-02-02	9.91861	-68.30472	average	Tinaquillo
Europe/Brussels	2017-08-20	50.71229	4.52529	good	Rixensart
Europe/Berlin	12/22/2021, 00:00:00	48.35149	8.96317	good	Hechingen
Europe/Malta	2017/05/26	35.89972	14.51472	good	Valletta
Africa/Freetown	2018-04-23	8.48714	-13.2356	building	Freetown
Asia/Tokyo	2019/09/21	34.4833	136.84186	good	Toba
Africa/Ndjamena	2013/09/15	12.18441	18.69303	excellent	Mongo
Europe/Bratislava	2013-07-24	48.43174	17.8031	average	Hlohovec
Asia/Kolkata	09/22/2020, 00:00:00	20.88197	85.83334	excellent	Bhuban
Asia/Kolkata	04 Apr 2020	12.04161	75.35927	good	Talipparamba
Australia/Melbourne	2019/08/29	-37.88333	145.06667	average	Carnegie
Europe/Istanbul	2020-03-16	40.98894	28.67582	excellent	Yakuplu
America/Boise	2018-10-03	43.54072	-116.56346	excellent	Nampa
Asia/Kolkata	10/08/2020, 00:00:00	22.75218	72.68533	excellent	Kheda
Africa/Dar_es_Salaam	2019/02/01	-10.33333	39.28333	building	Nyangao
Asia/Samarkand	12 May 2017	40.11583	67.84222	average	Jizzax
Europe/Moscow	2014-08-16	55.63711	37.38115	building	Solntsevo
Asia/Jakarta	2016/03/19	-6.91806	106.92667	accep	Sukabumi
Asia/Aden	03/03/2013, 00:00:00	14.53767	46.83187	accep	Ataq
Asia/Tehran	2018-03-02	33.14447	47.3799	average	Darreh Shahr
Asia/Vladivostok	05/09/2016, 00:00:00	45.47885	133.42825	maintenance	Lesozavodsk
Europe/Paris	06/02/2013, 00:00:00	48.98994	2.1699	excellent	Herblay
Asia/Kolkata	22 Dec 2021	12.04161	75.35927	accep	Talipparamba
America/New_York	01/05/2018, 00:00:00	43.61062	-72.97261	good	Rutland
America/Fortaleza	28 Feb 2018	-4.24444	-42.29444	average	Barras
America/Mexico_City	24 Oct 2013	19.04222	-98.11889	accep	Casa Blanca
Africa/Lagos	2012/11/18	11.86064	9.0027	building	Gaya
Europe/Madrid	05 Oct 2015	42.06166	-1.60452	average	Tudela
Asia/Karachi	2021-02-03	25.95533	68.88871	excellent	Jhol
Asia/Kolkata	2014-05-02	16.06213	76.0586	average	Hungund
Asia/Yekaterinburg	18 Feb 2019	56.9083	60.8019	building	Beryozovsky
America/Costa_Rica	2013-03-14	10.63504	-85.43772	excellent	Liberia
Asia/Jakarta	12/05/2021, 00:00:00	3.7278	98.6738	accep	Labuhan Deli
Africa/Lagos	05/08/2013, 00:00:00	4.92675	6.26764	average	Yenagoa
Europe/Moscow	2014-04-03	55.63711	37.38115	accep	Solntsevo
Asia/Kolkata	02/03/2021, 00:00:00	16.06213	76.0586	accep	Hungund
Asia/Taipei	14 Mar 2020	23.5654	119.58627	accep	Magong
Europe/Moscow	2021-10-22	56.03361	35.96944	average	Volokolamsk
America/Santo_Domingo	2013/05/21	18.20854	-71.10077	average	Santa Cruz de Barahona
America/Havana	2015-10-20	23.04419	-82.00919	average	Jaruco
America/Sao_Paulo	18 Mar 2022	-17.74431	-48.62789	accep	Caldas Novas
Asia/Bishkek	12/24/2015, 00:00:00	40.93333	73	good	Jalal-Abad
America/Chicago	2022/03/28	26.18924	-98.15529	building	San Juan
Europe/Moscow	2015/08/16	56.03361	35.96944	excellent	Volokolamsk
Asia/Tokyo	31 Aug 2014	35.815	139.6853	good	Shimotoda
America/Mexico_City	02/23/2015, 00:00:00	19.8173	-97.35992	average	Teziutlan
Asia/Shanghai	2015-11-10	27.34089	117.4831	good	Shaowu
