TEMP	O3	C2H3NO5	CFCs	CH4	Pb	NOx	SO2	PRES	latitude	CO	warning	PAHs	NH3	PM2.5	PM10	longitude	H2CO
17.18986	7.28051	0.22584	33.04569	6.69821	69.78489	7.61310	7.39353	1166.07296	41.27194	8.11621	1.00000	7.27816	6.68310	7.42419	7.09970	123.17306	43.46430
12.67141	8.08898	0.11334	62.80768	6.48490	55.51277	8.03158	6.25207	1115.41363	11.50526	10.39545	1.00000	4.44721	8.82909	8.57528	5.21402	77.23826	71.47738
14.90724	5.04693	0.37595	52.49309	6.98724	71.65461	7.11490	7.05939	1051.28441	4.94273	6.91241	0.00000	8.61388	8.99749	9.54581	8.21574	15.87735	64.76620
12.76030	8.08459	0.21208	38.14352	6.29596	81.99274	10.12666	6.89672	1143.20188	-3.14306	11.19841	0.00000	5.65158	6.82702	8.38353	5.24709	-58.44417	67.19703
22.59596	6.93886	0.10792	36.81454	5.99958	56.35480	6.55490	6.80819	1093.07561	41.72063	7.82863	1.00000	6.25406	7.99071	7.77293	5.08250	12.6723	59.03571
17.48128	7.01498	0.27962	57.79326	7.90172	55.61773	7.35631	5.90137	1122.94890	43.67681	9.68906	1.00000	7.26883	8.41526	8.86663	7.64313	4.63031	38.22130
-1.26462	7.41241	0.12547	33.89663	6.36689	44.19656	6.45677	6.52295	1070.83243	48.46458	8.20048	1.00000	6.22628	8.82022	9.98886	5.66789	9.22796	47.87328
1.24085	7.66578	0.66330	62.59476	10.08075	63.23150	8.30897	5.67601	1156.43864	43.16547	14.13149	0.00000	6.73829	9.75345	6.69683	8.98467	-77.70066	37.13779
15.34659	6.43755	0.31563	42.15919	8.57595	79.57160	8.66700	5.83246	1074.28359	58.04254	6.21742	1.00000	7.61195	6.45304	6.02104	8.01948	65.27258	50.64365
4.70342	7.26636	0.51718	55.73982	9.29725	53.41915	6.82929	6.39466	1107.11708	48.8222	8.70985	0.00000	8.61112	8.05399	8.61708	8.59955	2.12213	65.80067
29.22438	6.28841	5.33934	61.63831	7.82837	42.08050	8.05929	7.07609	1093.39352	3.3285	6.17036	0.00000	8.60943	6.55645	7.56860	11.18003	99.1625	51.12760
15.69265	6.77965	2.70194	58.28524	7.26710	82.53029	7.87378	7.87759	1160.09775	50.18545	8.79555	1.00000	7.62702	5.31225	8.52395	10.47355	27.06365	37.51295
