station	code	revision	QoS	latitude	longitude
Novopavlovsk	RU	07/25/2014, 00:00:00	accep	43.96222	43.63417
Kamina	CD	2019/02/23	average	-8.73508	24.99798
Gembloux	BE	05/20/2021, 00:00:00	excellent	50.56149	4.69889
Porterville	US	2018-04-24	building	36.06523	-119.01677
Mount Hagen	PG	2014/08/23	excellent	-5.85746	144.23058
Tarakan	ID	12/28/2015, 00:00:00	excellent	3.31332	117.59152
Kensington	US	2017/05/14	building	40.64621	-73.97069
Estelle	US	2020-06-15	average	29.84576	-90.10674
El Achir	DZ	2021-08-06	building	36.06386	4.62744
Tudela	ES	2014/02/27	accep	42.06166	-1.60452
Hita	JP	2013-07-12	building	33.3213	130.94098
Larkana	PK	20 Nov 2012	average	27.55898	68.21204
Jackson	US	2014/11/06	good	35.61452	-88.81395
Shinshiro	JP	2022/09/12	accep	34.9	137.5
Schleswig	DE	06 Dec 2014	good	54.52156	9.5586
Lal Bahadur Nagar	IN	24 Dec 2012	excellent	17.34769	78.55757
Isfahan	IR	08/06/2019, 00:00:00	good	32.65246	51.67462
Brighton Beach	US	02/13/2017, 00:00:00	accep	40.57788	-73.95958
Nidderau	DE	2013/10/14	building	50.23805	8.86704
Marseille 11	FR	2022-06-06	average	43.2907	5.4384
Huntley	US	2014/05/29	building	42.16808	-88.42814
Houthalen	BE	2018/01/08	maintenance	51.03427	5.37429
Tyoply Stan	RU	23 Nov 2017	accep	55.62047	37.49338
Nyahururu	KE	03/21/2022, 00:00:00	excellent	0.03813	36.36339
Sunnyside	US	05/19/2020, 00:00:00	building	46.32374	-120.00865
Gingee	IN	2018-11-12	good	12.25282	79.41727
Komono	JP	2012-11-05	good	35	136.51667
Chharra	IN	2014-07-04	building	27.9247	78.40102
Ikalamavony	MG	05/24/2013, 00:00:00	accep	-21.15	46.58333
Aistala	IN	2014/03/31	accep	23.18	88.58
Boli	CN	2019/08/24	average	45.75279	130.57211
Surbiton	GB	02/29/2020, 00:00:00	good	51.39148	-0.29825
Nonsan	KR	17 Dec 2016	accep	36.20389	127.08472
Edremit	TR	19 Jan 2021	average	39.59611	27.02444
Recife	BR	2020/10/10	excellent	-8.05389	-34.88111
