NH3	NOx	CO	warning	O3	PM2.5	PM10	latitude	PRES	CFCs	longitude	TEMP	PAHs	C2H3NO5	CH4	SO2	Pb	H2CO
7.61011	6.36873	7.06155	1.00000	6.26066	6.74337	9.02295	50.9803	1175.22540	62.97936	11.32903	-11.44986	7.57899	0.65065	9.89296	9.39439	53.33846	42.24114
4.84544	5.38643	8.75536	0.00000	7.31544	5.12125	7.03688	51.168	1051.32721	52.38279	7.973	11.02403	7.96063	0.21241	5.93913	6.61171	76.25174	40.26252
3.97803	9.38045	7.57632	1.00000	7.11705	10.32091	5.94288	48.07667	1198.08607	62.47560	8.64409	11.78291	7.31039	0.13032	7.27522	8.08694	55.18490	53.41723
9.75971	7.42018	8.46626	0.00000	6.64053	11.41653	6.42294	47.83333	1084.06846	38.00817	59.6	16.72881	7.90116	0.13989	8.96881	8.16185	26.35789	49.91764
9.45775	6.08281	6.40683	1.00000	9.87538	6.77981	2.58453	19.04222	1137.24442	55.97437	-98.11889	4.09412	8.34992	0.10716	6.95651	8.92933	56.07326	30.13269
7.90687	7.57741	7.58845	1.00000	7.21211	7.44561	7.45908	41.77583	1141.26000	45.20514	140.73667		7.05825	0.19357	8.54737	7.67146	34.28877	38.75994
10.14820	5.50086	5.44289	0.00000	6.29525	10.71418	5.61566	34.31	1167.73055	38.14179	-2.16	12.61315	7.16602	0.17607	9.16673	7.93265	73.88623	49.22253
1.96191	6.84626	8.17981	1.00000	6.33350	9.62757	3.62868	49.13645	1174.13193	62.65176	8.91229	17.24087	8.53904	0.13129	7.93203		63.75869	34.61787
6.72481	7.44750	8.79218	1.00000	8.47757	8.51033	6.44089	27.0174	1112.60519	39.79049	49.62251	27.41499	6.87814	0.15756	5.76145	8.71897	49.91442	47.30416
7.50335	6.07767	7.16559	1.00000	9.19727	5.82882	5.99375	7.62789	1068.66282	55.51336	4.74161	23.87456	6.05827	0.14339	8.83635	5.98459	59.46800	46.96412
6.51017	6.55168	7.73941	1.00000	7.68272	7.56512	6.20017	-11.78333	1166.50440	54.17070	19.91667	5.62331	7.90476	0.09218	9.19268	7.55313	46.72401	52.02187
4.82259	4.67629	7.22114	0.00000	9.52007	4.39091	6.15456	39.71734	1105.24680	49.86102	-74.96933	16.18323	6.30944	0.11610	4.43161	7.21977	71.16891	46.43596
7.40648	5.36138	6.94743	1.00000	9.95790	5.26218	5.37151	26.11527	1144.00174	47.46307	86.59509	22.43706	7.38428	0.11424	6.98627	7.45913	26.89946	30.19874
8.77115	7.55927	8.43840	0.00000	8.47708	8.88852	6.03153	6.9909	1124.95263	63.19078	79.883	21.43140	9.25777	0.14577	9.10666	8.42013	62.16805	49.57159
6.51205	4.73639	8.52708	0.00000	6.93703	8.46533	10.03538	40.72586	1180.73656	77.38018	8.55552	24.01101	6.75493	1.52947	6.52193	7.36487	69.80021	31.14228
7.58386	5.46302	6.52941	1.00000	7.34160	8.26103	3.45456	55.25	1114.03998	61.10744	24.75	2.47543	7.22198	0.11475	4.80367	7.82513	49.49277	25.74982
7.05036	9.43551	7.44387	1.00000	5.90225	9.90040	10.49019	49.5099	1122.83666	50.63416	6.74549	12.41274	8.12976	2.33773	6.45248	7.08895	57.63953	30.19403
9.90064	7.12991	6.71600	1.00000	6.67328	6.62083	5.12091	45.50369	1141.67414	64.72442	11.412	21.17102	7.01764	0.16524	8.79472	7.92796	40.00919	38.64661
7.38848	9.84195	9.19205	1.00000	6.18463	7.75329	4.77361	1.6561	1098.69119	70.01464	103.6032	21.58412	6.03254	0.09729	4.33804	8.39496	59.42672	59.95435
10.09331	8.51357	7.52990	0.00000	7.74463	7.34280	4.99884	6.46346	1133.46089	49.06194	-2.31938	18.43331	6.86742	0.10021	9.49915	8.13015	62.40839	63.80544
6.95846	5.10008	6.46477	1.00000	6.61797	5.07679	6.80969	48.28259	1137.58881	59.61528	9.72749	17.43996	6.32814	0.15074	8.03515	7.39514	53.27006	23.73117
10.64275	8.22064	6.71904	0.00000	8.51123	9.98154	6.37537	35.95664	1181.03642	48.17318	36.7138	17.61294	5.58450	0.23527	6.77427	9.68472	58.79040	23.61498
8.63335	5.86994	7.39816	1.00000	8.39818	4.95390	6.57138	53.43333	1191.77987	55.85562	-7.95	6.19737	8.92104	0.14389	10.49199	6.89907	28.96721	34.70468
4.90384	6.95183	8.42618	1.00000	7.42704	10.00187	9.39732	40.87363	1183.77863	75.39713	14.34085	6.24140	7.50811	0.80568	7.18047	8.70210	51.38788	52.54178
7.23590	6.24859	7.46212	1.00000	7.69119	7.43563	4.60756	50.75932	1055.49292	33.02582	25.34244	1.81383	6.53589	0.07533	5.01029	9.90986	44.23263	43.20297
7.81986	6.66929	6.43742	1.00000	6.46506	7.71146	3.47554	5.30383	1133.53451	58.77829	-1.98956	36.30249	7.07109	0.10743	4.55766	8.82804	63.96905	32.21425
5.24506	7.69553	7.68886	1.00000	6.50979	7.35048	6.15960	35.48199	1158.22496	63.86563	137.02166	7.51522	7.14397	0.15102	6.88457	11.47408	55.74061	52.73374
8.59670	5.34455	8.66586	1.00000	7.26812	4.55161	8.89105	-1.6	1182.64618	73.30684	103.61667	14.27303	5.93434	0.52203	9.52573	9.35413	49.37674	52.63058
9.11224	6.15321	8.07483	0.00000	8.38349	5.68837	5.50921	31.12406	1128.77470	41.36077	-97.90308	34.90013	8.14412	0.06793	8.33083	7.88195	34.45812	53.90558
9.22919	7.88865	7.35763	0.00000	6.73866	9.57667	5.94334	55.64776	1155.08735	31.06632	38.02486	33.94058	7.85458	0.12793	9.46873	8.63870	83.21571	39.84064
9.05546	6.41877	6.19656	1.00000	7.17359	7.66147	6.29246	26.11527	1180.50096	36.44396	86.59509	23.37782	6.57890	0.06545	9.51860	11.14888	51.72808	62.39777
3.77350	9.43806	6.59356	1.00000	7.04821	10.36506	7.59046	51.03427	1099.68296	44.52507	5.37429	13.38599	6.70643	0.25209	7.86193	7.89937	78.15875	61.31446
8.22533	10.38569	8.27622	0.00000	8.06052	7.53476	6.86414	29.38242	1187.12736	30.66247	70.91106	29.90287	8.07966	0.14147	6.39596	10.24904	45.25018	45.64558
7.34960	9.10610	5.78449	1.00000	7.14669	6.68408	3.37432	37.05944	1192.68279	59.48703	37.3825	30.21095	5.78903	0.15561	5.04128	9.69622	52.74210	51.34939
5.45993	6.13143	6.90114	0.00000	8.82318	4.93216	7.38484	4.73245	1177.64310	61.47746	-74.26419	-1.58798	7.37031	0.22466	5.40541	6.16304	57.95029	36.51812
7.08693	7.15456	7.00704	0.00000	6.38730	7.88107	5.25116	-11.78333	1131.77354	71.24690	19.91667	13.60181	7.10004	0.15154	9.64299	6.54965	80.13567	53.39771
6.14154	5.15654	7.66105	1.00000	8.58145	5.77176	6.26018	26.44931	1158.11932	40.74937	91.61356	15.53431	7.41665	0.13104	8.13076	7.93783	39.61480	45.93065
11.12245	9.12383	8.72330	0.00000	6.26617	11.36146	6.89675	38.38479	1112.92569	39.36679	-0.76773	19.04366	7.73996	0.16350	5.13751	11.33566	56.07312	44.07606
7.33115	11.01897	6.65473	1.00000	8.52118	6.29301	3.90516	-10.91722	1164.11206	67.12116	-37.65	7.62827	8.91740	0.05790	4.34820	8.91007	62.83497	49.92081
