latitude	revision	station	code	QoS	longitude
27.85	13 Nov 2019	Xiangtan	CN	good	112.9
8.35122	2021-06-11	Ciudad Guayana	VE	good	-62.64102
29.84576	04/08/2014, 00:00:00	Estelle	US	building	-90.10674
-0.35817	02 Mar 2022	Kismayo	SO	good	42.54536
6.03333	2020-09-20	Arba Minch	ET	good	37.55
22.37066	09/23/2015, 00:00:00	Tsuen Wan	HK	accep	114.10479
-22.97056	15 Sep 2018	Valinhos	BR	accep	-46.99583
4.96667	08/27/2017, 00:00:00	Tonga	CM	good	10.7
-1.6	2014/06/23	Jambi City	ID	maintenance	103.61667
45.9836	2016/03/23	Cordenons	IT	accep	12.70038
52.61131	2017-07-26	Hermsdorf	DE	excellent	13.31783
40.68066	17 Jul 2013	Massapequa	US	good	-73.47429
51.35084	01/14/2015, 00:00:00	Devizes	GB	average	-1.99421
50.11861	2016-05-16	Penzance	GB	maintenance	-5.53715
5.27247	10/18/2015, 00:00:00	Bonoua	CI	building	-3.59625
-10.33333	11 Oct 2021	Nyangao	TZ	accep	39.28333
42.64685	2021/07/03	Villaquilambre	ES	excellent	-5.55835
4.96667	12/26/2012, 00:00:00	Tonga	CM	good	10.7
38.40917	08 Aug 2013	Xinzhou	CN	building	112.73333
40.94065	2022/09/24	Dumont	US	good	-73.99681
30.76468	2019/02/14	Kanganpur	PK	average	74.12286
11.8659	2020-11-26	Ar Ruseris	SD	accep	34.3869
27.09978	11 Jul 2022	Venice	US	good	-82.45426
43.67681	2013/03/09	Arles	FR	excellent	4.63031
-8.66667	06/30/2014, 00:00:00	Catende	BR	good	-35.71667
41.14676	2018/04/11	New Canaan	US	excellent	-73.49484
-6.25	2018/10/13	Mvomero	TZ	accep	38.66667
14.46693	2014-11-17	Davangere	IN	accep	75.92694
11.93381	02/25/2017, 00:00:00	Puducherry	IN	excellent	79.82979
34.15429	12/18/2013, 00:00:00	Messaad	DZ	maintenance	3.50309
41.47892	2020-10-13	Schererville	US	good	-87.45476
30.21121	08 Nov 2017	Malaut	IN	good	74.4818
6.15038	05/30/2020, 00:00:00	Nkpor	NG	average	6.83042
-24.19436	03 Mar 2021	Mokopane	ZA	accep	29.00974
-8.28333	05/17/2013, 00:00:00	Cabo	BR	excellent	-35.03333
50.82709	2020-08-12	Wesseling	DE	average	6.9747
42.64031	2012-12-12	Dongfeng	CN	maintenance	125.51176
