CFCs	SO2	O3	PAHs	C2H3NO5	latitude	H2CO	Pb	CH4	NOx	PRES	PM10	TEMP	PM2.5	warning	NH3	longitude	CO
38.91310	6.52798	6.94547	9.41587	0.09422	18.20854	29.51331	58.67423	6.98377	8.00160	1097.76186	6.47295	25.50558	8.30234	0.00000	9.28539	-71.10077	5.37371
39.95270	5.67848	10.18104	8.41400	0.09749	30.76468	44.40023	53.53921	8.04327	6.07977	1153.74335		13.87535	10.16239	1.00000	9.71923	74.12286	9.73883
18.98504	7.39759	8.20246	6.61783	0.29472	41.09822	55.42522	50.60910	7.20516	7.44852	1164.64116	8.74681	14.58524	7.64110	1.00000	6.34342	120.74792	8.22453
39.61832	5.07564	6.74012	5.11451	1.73370	35.25064	33.14506	51.56770	8.68355	6.19515	1161.80977	10.70397	30.34396	8.26628	0.00000	6.07325	-91.73625	7.04341
31.20016	7.86463	8.70048	6.20457	0.35127	25.95533	52.29772	51.13025	7.07001	7.62656	1191.88128	8.87356	1.36174	9.15672	1.00000	6.42805	68.88871	6.88836
43.43088	8.48177	8.03151	9.74486	0.08315	34.08565	41.90676	60.80868	7.68221	8.67780	1104.30777	6.38237	17.97371	8.95748	1.00000	9.01023	74.80555	9.85373
37.23656	10.33190	7.06443	8.40219	0.09463	42.16808	50.76966	62.70619	8.08496	5.75383	1164.17815	5.80214	-4.89524	8.61857	1.00000	10.24069	-88.42814	6.32633
21.82124	5.29491	6.91792	6.37952	3.51093	51.30001	65.51960	49.07191	8.14534	7.15224	1059.28180	11.40635	17.71470	8.18615	0.00000	7.32298	13.10984	5.74128
51.26861	7.61144	8.49344	7.72018	1.56454	29.69221	73.68101	57.70639	9.13239	6.11340	1177.70602	10.58604	0.71175	7.87377	1.00000	5.35636	72.54566	8.40248
59.33007	7.71039	7.44710	8.38661	0.07604	45.40008	54.47369	20.36281	8.65964	6.84750	1174.25614	6.28947	-3.53087	5.46089	1.00000	8.99626	-73.58248	8.74190
40.29811	6.59518	7.17040	4.19931	0.10802	55.75556	58.30646	77.72616	8.82240	7.77034	1072.19071	7.73187	-6.01080	7.54582	1.00000	7.23883	60.70278	7.00899
44.84436	7.27714	6.58239	6.81097	0.19086	30.76468	55.10326	66.55069	9.17286	7.15760	1065.50855	8.16365	6.58815	10.57227	1.00000	5.96054	74.12286	8.21416
45.94549	8.77436	6.79854	9.97940	0.08183	15.72892	37.81172	58.43680	7.07110	6.76717	1170.51189	5.70262	-7.23060	9.36824	0.00000	8.52168	120.57224	3.74816
59.31974	7.17059	9.42567	11.45164	0.27695	14.8361	42.68013	77.31455	9.72646	8.77307	1094.14300	8.66823	23.82434	5.69378	1.00000	8.27850	120.97844	10.68740
45.93272	7.35645	7.46337	9.23957	0.09941	34.75856	49.97368	82.22702	5.57380	6.38231	1091.24728	6.17134	8.56776	7.87988	1.00000	8.50784	136.13108	10.97268
38.02614	7.73984	7.24467	7.92641	0.09207	54.39635	54.38055	50.95528	8.34165	7.61272	1165.16375	5.69707	18.89157	6.18811	0.00000	10.60385	24.04142	6.95245
