longitude	station	location	latitude	revision	QoS
-69.96533	Brunswick	America/New_York	43.91452	07 Aug 2014	average
12.1369	Zeitz	Europe/Berlin	51.04962	03 Nov 2021	excellent
-89.71472	Sonzacate	America/El_Salvador	13.73417	2017/06/23	excellent
5.2875	Vught	Europe/Amsterdam	51.65333	01/02/2021, 00:00:00	excellent
4.62744	El Achir	Africa/Algiers	36.06386	2019/06/12	building
-37.93278	Rio Real	America/Bahia	-11.48472	2018/04/17	building
84.13864	Jashpurnagar	Asia/Kolkata	22.88783	2016-09-01	excellent
67.84222	Jizzax	Asia/Samarkand	40.11583	2015-03-02	good
-3.67029	Las Gabias	Europe/Madrid	37.13548	04/26/2013, 00:00:00	excellent
-71.08977	Taunton	America/New_York	41.9001	2022-08-04	accep
-93.08883	Lino Lakes	America/Chicago	45.16024	2016-07-27	average
36.25361	Polohy	Europe/Zaporozhye	47.48444	2018-02-23	accep
8.61839	Bensheim	Europe/Berlin	49.68369	2016-12-14	accep
-84.23381	Stockbridge	America/New_York	33.54428	2019-10-31	average
-3.67029	Las Gabias	Europe/Madrid	37.13548	05 Feb 2014	good
74.12286	Kanganpur	Asia/Karachi	30.76468	2020/08/15	excellent
-65.71875	Tupiza	America/La_Paz	-21.44345	07/23/2019, 00:00:00	accep
60.70278	Ozersk	Asia/Yekaterinburg	55.75556	10/23/2015, 00:00:00	average
0.47713	Strood	Europe/London	51.39323	2018/05/24	accep
-93.75018	Shreveport	America/Chicago	32.52515	06 Jan 2020	accep
-51.50361	Carlos Barbosa	America/Sao_Paulo	-29.2975	2018-10-06	excellent
44.53333	Sakaraha	Indian/Antananarivo	-22.9	29 Jan 2016	excellent
69.49015	Ishim	Asia/Yekaterinburg	56.11281	08/11/2022, 00:00:00	average
123.33471	Dipolog	Asia/Manila	8.56697	23 Mar 2022	building
74.80555	Srinagar	Asia/Kolkata	34.08565	27 Mar 2017	excellent
-0.33525	Kingston upon Hull	Europe/London	53.7446	13 May 2016	excellent
-122.2608	American Canyon	America/Los_Angeles	38.17492	13 Jul 2018	good
1.15597	Clacton-on-Sea	Europe/London	51.78967	10/15/2020, 00:00:00	excellent
3.1631	Palafrugell	Europe/Madrid	41.91738	2019-09-26	accep
-5.55835	Villaquilambre	Europe/Madrid	42.64685	2020/09/19	excellent
