PAHs	warning	H2CO	SO2	O3	CO	TEMP	PM2.5	NH3	longitude	Pb	NOx	PM10	latitude	C2H3NO5	PRES	CFCs	CH4
6.61649	0.00000	39.00350	6.96069	6.52620	8.89956	11.71342	4.75694	9.53802	-89.71472	65.66761	9.42265	6.36165	13.73417	2.51971	1083.04146	72.25774	5.25766
9.40120	1.00000	49.09902	4.52170	8.53813	7.31651	17.75544	4.76156	12.19325	72.68533	48.96795	6.98767	9.60626	22.75218	17.82093	1132.64473	66.49314	7.89000
8.05673	1.00000	61.67500	5.84498	9.28131	6.06384	8.00727	5.54703	10.95633	-94.41551	71.86427	6.93714	9.53800	39.09112	16.56560	1112.23128	62.70561	8.18824
7.92062	0.00000	55.50618	8.45317	5.16866	8.41466		4.94344	5.63322	-4.21376	44.12168	9.33361	7.76899	55.82885	4.32212	1073.58646	64.69710	6.20196
8.40239	0.00000	52.15251	6.23665	6.22950	8.36660	5.83737	7.03985	9.09547	20.91361	35.99704	9.11759	7.19756	41.92361	2.09836	1196.94862	65.53409	5.89012
10.20650	1.00000	68.71418	7.57652	8.08763	9.89331	10.04267	9.60562	7.61761	73	50.05115	7.57319	7.41742	40.93333	3.87631	1079.61776	66.40313	7.21923
8.30933	1.00000	77.19557	7.46545	6.61699	7.58247	21.26942	9.98384	6.60932	121.06761	36.31715	8.04104	7.93535	12.35275	4.66337	1175.41336	67.61623	6.95767
8.24209	1.00000	63.23155	7.68371	10.77314	6.82687	5.25649	6.51098	9.75343	33.34864	42.47814	6.12465	7.14869	46.75451	2.45122	1130.07213	62.13749	7.18738
7.91705	0.00000	43.99145	9.79940	5.43803	7.57092	24.01036	7.47926	7.29027	75.37991	37.67301	6.77199	7.59787	25.75728	2.60579	1120.98034	73.12092	7.73643
9.51703	1.00000	52.39850	7.32868	5.70640	8.94938	25.85788	9.44105	7.88689	84.63445	67.39836	9.65308	7.83947	24.81757	3.89899	1052.88063	72.76832	8.84895
8.71978	1.00000	65.43766	6.33055	7.10181	9.86911	14.18219	11.71927	5.19909	-75.11028	21.10353	7.25715	5.97896	-15.21194	1.68015	1128.91554	63.53453	8.35665
9.06993	1.00000	61.33155	5.26342	8.19501	10.51748	25.60461	5.88887	7.11290	-61.51889	58.97265	9.19980	9.34348	10.66668	13.49756	1079.48036	63.19054	13.26668
8.62412	1.00000	50.28660	9.26110	7.03780	12.52183	3.42805	8.44167	8.15825	128.62667	58.59210	7.70079	7.24262	34.8825	2.85649	1129.03140	64.03028	6.40919
7.35892	0.00000	38.46362	7.50524	5.03274	6.92368	21.51885	6.93575	10.43822	-122.39168	56.29070	7.14194	7.26050	40.58654	2.76294	1172.48267	79.90328	7.32497
