QoS	longitude	code	location	latitude	revision
good	33	TZ	Africa/Dar_es_Salaam	-2.68333	18 Jun 2017
average	-87.66561	US	America/Chicago	41.8542	2020-06-02
accep	128.9889	KR	Asia/Seoul	37.1759	07 Nov 2016
accep	-2.77259	ES	Europe/Madrid	37.49073	04 Jun 2022
building	4.21372	BE	Europe/Brussels	51.12794	06/12/2014, 00:00:00
good	-101.2591	MX	America/Mexico_City	21.01858	11/15/2018, 00:00:00
maitennce	-1.06667	GB	Europe/London	53.78333	2019/10/15
excellent	-70.20749	VE	America/Caracas	8.62261	2020/10/22
good	9.47629	DE	Europe/Berlin	53.59337	25 May 2018
building	112.19028	CN	Asia/Shanghai	30.35028	2022/05/19
maintenance	8.55552	IT	Europe/Rome	40.72586	2022-03-11
accep	-113.3187	CA	America/Edmonton	53.51684	2014/06/20
excellent	9.17702	DE	Europe/Berlin	48.78232	11/30/2014, 00:00:00
average	128.9889	KR	Asia/Seoul	37.1759	02/11/2016, 00:00:00
accep	0.75	GB	Europe/London	52.41667	2015-01-25
excellent	-87.70172	US	America/Chicago	41.72059	06 Jan 2015
average	-93.08883	US	America/Chicago	45.16024	19 Feb 2020
average	120.14278	CN	Asia/Shanghai	32.50611	08/04/2017, 00:00:00
average	129.96972	JP	Asia/Tokyo	33.4425	2013-11-21
excellent	-74.38987	US	America/New_York	40.65538	2022-08-23
accep	47.3799	IR	Asia/Tehran	33.14447	2021-09-17
average	72.34424	UZ	Asia/Tashkent	40.78206	01/23/2019, 00:00:00
good	-86.77917	US	America/Chicago	36.02506	30 Oct 2017
accep	-104.83192	US	America/Denver	39.72943	2017-11-30
average	1.53414	AD	Europe/Andorra	42.50729	2020-04-25
building	72.54566	PK	Asia/Karachi	29.69221	2021/09/29
accep	1.6	FR	Europe/Paris	43.11667	27 Feb 2018
accep	145.13643	AU	Australia/Melbourne	-38.16604	06/29/2018, 00:00:00
average	11.37703	DE	Europe/Berlin	48.06919	2017/12/17
good	8.96317	DE	Europe/Berlin	48.35149	03 Oct 2021
good	-74.28459	US	America/New_York	40.5576	05/06/2013, 00:00:00
average	-5.55835	ES	Europe/Madrid	42.64685	04/13/2021, 00:00:00
good	-81.26367	US	America/New_York	28.90054	02/15/2014, 00:00:00
accep	14.01481	IT	Europe/Rome	42.67164	2015/08/01
accep	-122.38731	US	America/Los_Angeles	45.53929	12/02/2015, 00:00:00
average	76.11996	IN	Asia/Kolkata	11.12018	04/01/2016, 00:00:00
average	-98.15529	US	America/Chicago	26.18924	2016/10/31
maintenance	24.75	LT	Europe/Vilnius	55.25	2017/11/15
excellent	-79.00453	EC	America/Guayaquil	-2.90055	21 Jul 2022
good	4.08282	DZ	Africa/Algiers	36.61954	28 Nov 2018
building	-75.60804	US	America/New_York	39.96097	17 Dec 2012
maintenance	46.58333	MG	Indian/Antananarivo	-21.15	18 Feb 2015
excellent	38.66667	TZ	Africa/Dar_es_Salaam	-6.25	2020/09/07
excellent	69.49015	RU	Asia/Yekaterinburg	56.11281	24 Mar 2018
good	13.10984	DE	Europe/Berlin	51.30001	2014-05-04
excellent	-118.25508	US	America/Los_Angeles	34.14251	12/31/2016, 00:00:00
accep	-0.33525	GB	Europe/London	53.7446	09/14/2021, 00:00:00
good	68.88871	PK	Asia/Karachi	25.95533	30 Aug 2014
good	2.08333	FR	Europe/Paris	48.86667	03 Jun 2014
good	-119.27337	CA	America/Vancouver	50.26729	2021/10/31
good	35.23388	PS	Asia/Hebron	31.78336	2018-02-03
average	107.60389	ID	Asia/Jakarta	-7.01833	2016-07-02
excellent	-35.03333	BR	America/Recife	-8.28333	10 Aug 2016
building	65.93249	AF	Asia/Kabul	36.21544	2018/02/23
average	-76.51552	US	America/New_York	39.32011	08/29/2019, 00:00:00
excellent	-77.43532	CU	America/Havana	20.14298	30 Nov 2020
excellent	-122.2054	US	America/Los_Angeles	47.76232	2020-11-25
maintenance	-119.01677	US	America/Los_Angeles	36.06523	05/17/2020, 00:00:00
building	135.31667	JP	Asia/Tokyo	34.25	25 Jun 2014
average	107.60627	RU	Asia/Irkutsk	51.82721	11/17/2014, 00:00:00
accep	42.54536	SO	Africa/Mogadishu	-0.35817	2015/07/19
average	-58.44417	BR	America/Manaus	-3.14306	2022-09-16
excellent	121.06761	PH	Asia/Manila	12.35275	2016-03-17
good	-111.78903	US	America/Phoenix	33.35283	12/01/2015, 00:00:00
excellent	120.56528	PH	Asia/Manila	14.66	03/31/2022, 00:00:00
excellent	34.86563	IL	Asia/Jerusalem	31.92923	03/22/2018, 00:00:00
good	78.15794	IN	Asia/Kolkata	12.1277	30 Apr 2013
average	-79.62603	PA	America/Panama	8.88988	2013-07-13
good	-73.49484	US	America/New_York	41.14676	19 Feb 2019
accep	-1.08593	GB	Europe/London	50.79205	2015/02/04
excellent	71.52847	PK	Asia/Karachi	32.57756	06/17/2020, 00:00:00
excellent	113.13148	CN	Asia/Shanghai	23.02677	2016-05-05
good	78.27539	IN	Asia/Kolkata	12.95629	2014/02/16
building	-4.1	FR	Europe/Paris	48	2016/10/29
accep	115.88782	AU	Australia/Perth	-32.05251	2022-07-17
excellent	168.31366	VU	Pacific/Efate	-17.73648	03/24/2022, 00:00:00
accep	33.34864	UA	Europe/Kiev	46.75451	2014/09/21
excellent	-117.23991	US	America/Los_Angeles	47.64995	2014-02-09
excellent	40.74357	TR	Europe/Istanbul	37.31309	07/27/2013, 00:00:00
average	8.55552	IT	Europe/Rome	40.72586	04/07/2014, 00:00:00
good	105.89333	CN	Asia/Shanghai	34.56861	28 Sep 2014
accep	101.44167	ID	Asia/Jakarta	0.51667	08/16/2015, 00:00:00
accep	33	TZ	Africa/Dar_es_Salaam	-2.68333	2022-04-07
maintenance	17.10558	SE	Europe/Stockholm	61.72744	2017/02/04
maintenance	-1.29772	GB	Europe/London	50.76306	06/15/2018, 00:00:00
good	75.35927	IN	Asia/Kolkata	12.04161	2013-11-10
accep	-70.20749	VE	America/Caracas	8.62261	2016/01/27
building	84.63445	IN	Asia/Kolkata	24.81757	2015-07-30
maintenance	-83.55521	US	America/New_York	41.66394	25 Jun 2017
good	1.26738	GB	Europe/London	51.84819	06/20/2021, 00:00:00
building	-3.52751	GB	Europe/London	50.7236	2018/08/15
excellent	11.32903	DE	Europe/Berlin	50.9803	13 Nov 2015
average	137.23333	JP	Asia/Tokyo	35.8	2012/10/10
good	-60.47389	AR	America/Argentina/Buenos_Aires	-34.64167	2015-08-02
good	48.26258	IR	Asia/Tehran	33.86419	25 Mar 2014
excellent	-52.2	BR	America/Sao_Paulo	-28.44917	2021/03/16
accep	12.6723	IT	Europe/Rome	41.72063	06/28/2019, 00:00:00
maintenance	120.89694	PH	Asia/Manila	14.95472	2018/06/21
average	11.5	CM	Africa/Douala	3.51667	10 Dec 2012
maintenance	2.12213	FR	Europe/Paris	48.8222	2021-12-02
good	-87.88754	US	America/Chicago	41.15376	2013/11/10
excellent	86.68363	IN	Asia/Kolkata	23.49668	04 Mar 2015
building	-93.12577	US	America/Chicago	44.73941	11/26/2018, 00:00:00
maintenance	-48.52333	BR	America/Belem	-0.71667	02 Nov 2019
excellent	-37.93278	BR	America/Bahia	-11.48472	2022/02/05
accep	-82.35176	US	America/New_York	27.71809	2014-03-01
excellent	-82.90375	US	America/New_York	32.54044	09 Sep 2022
excellent	33	TZ	Africa/Dar_es_Salaam	-2.68333	07/03/2020, 00:00:00
accep	78.23456	IN	Asia/Kolkata	28.92694	12/15/2015, 00:00:00
accep	74.4818	IN	Asia/Kolkata	30.21121	2022-03-14
good	86.59509	IN	Asia/Kolkata	26.11527	2013-07-19
good	49.62251	SA	Asia/Riyadh	27.0174	28 Jan 2014
excellent	31.33078	UA	Europe/Kiev	47.56494	03/06/2018, 00:00:00
average	19.61222	RS	Europe/Belgrade	44.97639	2015/07/25
excellent	73.38333	PK	Asia/Karachi	31.71667	27 Jun 2022
excellent	145.13643	AU	Australia/Melbourne	-38.16604	17 Feb 2015
average	74.80555	IN	Asia/Kolkata	34.08565	2013/06/23
excellent	106.92667	ID	Asia/Jakarta	-6.91806	2015/05/16
average	139.6853	JP	Asia/Tokyo	35.815	07/16/2013, 00:00:00
excellent	137.95378	JP	Asia/Tokyo	35.82756	10 Nov 2017
average	6.9747	DE	Europe/Berlin	50.82709	2019/01/07
average	13.57661	IT	Europe/Rome	37.31065	07 Dec 2014
average	71.67164	PK	Asia/Karachi	30.29184	15 Sep 2016
building	20.22625	LY	Africa/Tripoli	30.75545	19 Jun 2013
good	78.55757	IN	Asia/Kolkata	17.34769	02/24/2022, 00:00:00
average	74.4818	IN	Asia/Kolkata	30.21121	2016/10/05
average	24.6522	FI	Europe/Helsinki	60.2052	2021-01-03
building	-113.3187	CA	America/Edmonton	53.51684	06 Nov 2021
maintenance	51.49621	IR	Asia/Tehran	36.64852	07/04/2020, 00:00:00
average	-74.96933	US	America/New_York	39.71734	06/02/2017, 00:00:00
average	40.74357	TR	Europe/Istanbul	37.31309	11/30/2020, 00:00:00
average	-2.68758	GB	Europe/London	53.69786	2020-04-07
maintenance	30.96755	UA	Europe/Kiev	49.07866	12/29/2013, 00:00:00
good	-3.67029	ES	Europe/Madrid	37.13548	02/27/2021, 00:00:00
good	15.07041	IT	Europe/Rome	37.49223	2015-02-12
good	77.5609	IN	Asia/Kolkata	11.00599	2015-06-28
average	-115.98391	US	America/Los_Angeles	36.20829	20 Jun 2018
accep	-42.29444	BR	America/Fortaleza	-4.24444	06/10/2015, 00:00:00
excellent	138.31667	JP	Asia/Tokyo	36.65	08/18/2021, 00:00:00
excellent	51.0193	IR	Asia/Tehran	35.6803	27 Nov 2017
good	10.03988	DE	Europe/Berlin	53.6052	2019/01/24
average	99.1625	ID	Asia/Jakarta	3.3285	13 May 2022
average	14.51472	MT	Europe/Malta	35.89972	10/28/2018, 00:00:00
maintenance	-73.95958	US	America/New_York	40.57788	21 Feb 2017
accep	122.20488	CN	Asia/Shanghai	29.98869	08 Jan 2013
building	-116.56346	US	America/Boise	43.54072	2016/05/04
