PM10	TEMP	NH3	PAHs	SO2	latitude	H2CO	C2H3NO5	Pb	CFCs	NOx	O3	PRES	PM2.5	warning	longitude	CH4	CO
7.56896	0.03511	7.44317	6.42997	6.10445	6.95194	44.59564	2.34212	51.27381	61.08050	9.23054	9.99736	1096.66189	5.57173	0.00000	121.96361	5.19983	9.53297
9.22930	6.29723	8.04455	6.83815	8.28927	29.21399	58.13579	6.90802	75.49643	79.84568	7.65803	12.07032	1194.42890	9.46095	1.00000	78.95693	9.83758	7.04439
9.20488	7.60216	11.41111	7.87079	7.75322	40.64621	31.75100	6.51190	54.38636	62.45691	7.10792	10.66134	1167.25229	6.35073	1.00000	-73.97069	11.52289	6.78997
8.71149	12.92917	7.94317	10.49423	8.79527	25.92127	36.54151	4.69816	39.65162	71.34514	7.00393	12.20847	1184.80649	8.23611	1.00000	86.79271	13.17447	6.88934
7.27228	37.24553	7.18283	8.04997	9.33285	32.52515	49.34598	1.35620	77.68111	62.48072	9.17393	8.51433	1118.94416	6.28281	1.00000	-93.75018	6.22014	6.53090
8.59669	19.32760	7.70716	5.06388	7.66993	40.87363	43.88091	4.44964	40.45384	62.21106	3.53489	4.68185	1178.01332	8.35954	1.00000	14.34085	5.74132	9.18633
9.21556	25.89837	8.20684	8.86286	8.62730	40.42386	37.27452	7.46057	51.13717	72.49415	9.34122	8.42549	1182.59829	8.99745	0.00000	-3.53261	10.25766	9.03370
7.45381	13.64015	4.75144	7.61744	7.54016	7.6	55.78308	1.98155	38.67385	60.29484	7.43385	9.43983	1165.02550	4.56887	1.00000	4.18333	6.13309	9.67708
9.32371	20.48904		6.23774	8.74300	42.28639	45.48843	7.44209	35.81135	66.98419	7.92539	7.01946	1127.45034	7.17903	0.00000	18.84	8.07757	10.28915
8.26926	39.22904	7.32434	7.23410	7.38495	-33.75881	49.84950	3.37288	47.31944	77.20819	8.70440	7.15996	1143.79411	4.23995	0.00000	150.99292	6.90346	9.13278
