location	latitude	QoS	revision	longitude	code
Africa/Johannesburg	-24.19436	building	2013/12/19	29.00974	ZA
Asia/Kolkata	32.55531	accep	2020/11/25	76.12647	IN
Europe/Madrid	38.96667	excellent	07/05/2014, 00:00:00	-0.18333	ES
Europe/Madrid	38.38479	excellent	07/31/2017, 00:00:00	-0.76773	ES
America/New_York	26.91756	good	2013/02/28	-82.07842	US
Europe/Moscow	54.84444	building	2021-11-08	38.16694	RU
Asia/Kolkata	24.05979	average	07/08/2019, 00:00:00	77.40858	IN
Europe/Rome	41.72063	building	2019/09/15	12.6723	IT
Asia/Kolkata	22.75218	building	2019/01/18	72.68533	IN
Europe/Moscow	59.80917	accep	2022-09-01	30.38167	RU
Asia/Krasnoyarsk	58.23583	excellent	27 May 2013	92.48278	RU
Africa/Algiers	35.06544	good	2020/06/06	1.04945	DZ
Asia/Yekaterinburg	58.63667	good	2017/08/14	59.80222	RU
Asia/Shanghai	34.85	excellent	2017-09-14	117.33333	CN
America/Bogota	8.79577	building	2013-06-08	-75.69947	CO
Asia/Tehran	33.86419	good	2021-09-09	48.26258	IR
Asia/Kolkata	30.21121	average	25 Oct 2018	74.4818	IN
Africa/Ndjamena	12.18441	good	2015-09-11	18.69303	TD
Asia/Kolkata	25.92127	excellent	2022/02/18	86.79271	IN
Africa/Lagos	7.6	good	26 Jan 2018	4.18333	NG
Europe/Berlin	48.21644	excellent	01 Mar 2016	9.02596	DE
Europe/Berlin	52.47774	excellent	10/17/2016, 00:00:00	10.5511	DE
Asia/Shanghai	45.35	excellent	08 Sep 2015	126.28333	CN
Africa/Algiers	36.76639	average	10 Apr 2013	3.47717	DZ
Europe/Madrid	38.96667	average	13 Jul 2013	-0.18333	ES
Africa/Dar_es_Salaam	-5.41667	excellent	2019/12/12	38.01667	TZ
Africa/Algiers	36.61954	good	26 Dec 2018	4.08282	DZ
Europe/Berlin	48.78232	average	2015-05-07	9.17702	DE
Pacific/Auckland	-38.65333	excellent	03/24/2014, 00:00:00	178.00417	NZ
America/Los_Angeles	38.17492	average	2022-09-17	-122.2608	US
Asia/Shanghai	34.85	excellent	28 Jan 2014	117.33333	CN
Europe/Berlin	50.80019	accep	15 Mar 2013	7.20769	DE
America/Boise	43.54072	good	06 Jun 2017	-116.56346	US
America/Los_Angeles	38.54491	accep	06/19/2021, 00:00:00	-121.74052	US
Europe/Moscow	55.85	building	23 Sep 2015	37.56667	RU
America/Los_Angeles	47.80527	good	2021/10/23	-122.24064	US
