PM10	warning	NOx	NH3	Pb	H2CO	O3	CO	TEMP	PM2.5	CH4	SO2	C2H3NO5	latitude	CFCs	PAHs	longitude	PRES
8.10313	0.00000	5.63258	5.66976	49.94216	40.43722	9.01640	8.72765	10.69510	5.56490	5.26718	6.80758	5.43898	50.23271	61.81095	7.16769	12.87117	1139.58096
8.50100	1.00000	5.74234	8.85494	53.67746	46.04951	7.20249	9.08781	29.15961	8.00697	8.97749	7.94340	7.84413	68.79833	25.41782	7.11169	16.54165	1085.09981
7.61081	1.00000	6.56427	8.29940	57.84044	26.78545	9.83085	8.21549	21.45425	8.41365	7.47679	9.64893	4.75413	52.57583	47.30715	6.97730	6.61944	1100.63721
8.12303	0.00000	7.84002	3.98487	56.85347	42.98716	7.23866	7.98047	27.58545	7.15847	5.85911	6.18925	6.91373	34.56861	51.92510	7.74433	105.89333	1088.99801
7.83280	1.00000	7.69714	8.81923	62.51291	52.26234	6.16611	6.18565	-1.61124	6.18843	8.02993	9.35214	4.89842	40.68066	47.37210	6.67287	-73.47429	1140.88074
6.48509	1.00000	5.78918	9.63013	73.15231	55.13004	7.39673	6.47767	11.94009	8.60293	8.19889	5.98017	1.58125	44.31771	26.86230	6.78415	9.32241	1124.54156
6.53864	1.00000	4.28239	9.65748	69.33004	54.53694	5.88205	6.47748	10.83041	8.15545	9.02239	7.06738	1.27800	49.03685	38.94667	7.22382	8.70745	1057.91809
6.60846	1.00000	6.22734	9.50139	61.83417	57.88521	7.20903	8.75824	24.66883	6.47243	9.02261	8.24341	2.93751	40.93333	60.44227	6.66857	73	1177.77196
9.10490	0.00000	10.66588	7.79735	56.14820	68.28489	9.15024	8.30277	35.24401	8.56926	7.49896	2.54833	12.92755	48.77275	61.65414	8.42488	5.16108	1178.90663
8.42437	1.00000	7.87469	8.31250	61.30261	62.41313	7.18485	6.50421	15.84778	7.51459	8.63705	11.20542	7.61247	21.53889	61.96696	8.51467	71.57737	1196.86208
7.24280	0.00000	7.27143	5.07433	49.51320	41.37476	7.21161	7.94259	12.49825	8.72121		7.82560	2.87119	49.41029	41.42839		38.15035	1141.75217
6.51313	1.00000	6.61374	8.20609	53.52734	60.70328	8.04810	2.95737	23.63595	6.98576	9.35458	8.12665	1.52465	55.38752	50.56380	8.38849	36.73307	1067.38551
9.44305	1.00000	4.81041	7.89895	53.25268	36.23519	6.30739	4.62714	17.78692	7.77675	11.44200	8.52203	18.52347	18.42745	34.42822	6.72945	-67.15407	1142.55937
7.24117	0.00000	8.72095	7.25546	37.79626	18.07847	8.70513	8.33226	16.72692	7.11373	9.38368	6.30257	3.77193	35.88264	60.03691	7.64414	-80.08199	1112.58362
9.26981	1.00000	6.34892	9.75755	70.80069	37.61436	9.84918	7.78698	18.77812	6.69536	9.14698	6.35133	15.90399	-19.65	56.96021	7.07216	47.31667	1050.26258
9.45206	0.00000	6.31328	5.89298	52.76155	67.04129	8.31118	9.91000	-0.24552	7.04972	4.48362	8.49096	18.14882	59.33333	72.34769	7.79953	18.28333	1137.09902
5.49524	1.00000	4.81613	7.88365	73.86002	47.89895	8.20467	9.95643	8.34318	8.09842	9.98274	8.29768	3.08391	48.43174	68.03658	6.81710	17.8031	1199.61606
6.22922	0.00000	6.65490	7.21943	36.61832	60.43793	11.66859	9.62911	13.85655	6.78689	6.72088	6.16394	1.11314	43.62558	59.86014	7.79546	13.39954	1176.47347
8.03536	1.00000	8.13646	8.37031	41.95793	60.86243	7.29094	6.34453	11.86508	7.44812	9.01719	10.12878	5.97674	35	37.71992	8.10497	136.51667	1163.70661
7.89048	1.00000	6.49759	8.94179	63.38570	61.65072	8.00407	8.68185	11.00429	5.39126	8.74654	8.53792	4.51900	53.77166	57.80989	5.74114	38.12408	1114.44529
7.84565	0.00000	5.37004	7.71800	52.90466		10.60053	9.01613	12.81865	6.52429	7.23547	4.24745	5.60928	-34.28853	50.60277	6.57071	146.05093	1114.11556
8.34120	1.00000	5.48221	7.44987	54.44541	25.29247	6.93056	5.34992	8.97878	7.85563	11.40089	10.83433	6.78984	-21.15	38.65294	8.40574	46.58333	1146.23443
7.91272	1.00000	4.31732	9.43166	48.10200	45.55438	3.58698	8.22258	13.29665	7.88273	8.69289	7.27068	5.23431	40.58654	63.57537	6.98542	-122.39168	1132.26157
6.72285	0.00000	9.15552	6.17094	31.82442	43.48784	9.24624	9.41652	25.17913	6.12883	8.39564	5.81338	3.87529	42.52787	83.45418	7.44819	-70.92866	1151.12048
7.07277	1.00000	6.58718	8.95364	60.61486	65.53989	8.83945	9.20944	1.88787	6.42073	9.14202	8.87595	4.57781	45.51667	39.49782	8.39350	4.86667	1118.10432
9.27564	1.00000	5.58115	9.62943	47.19001	41.64418	5.86148	11.14835	6.17148	7.24381	12.49936	5.63238	15.36713	10.20898	54.97076	6.59031	123.758	1138.88433
7.56540	1.00000	3.42623	6.90771	56.29106	44.53937	8.55155	9.21019	6.31461	8.38540	9.41678	6.97263	4.89331	27.71809	46.93753	8.55480	-82.35176	1141.65099
6.82039	0.00000	6.13802	6.87655	52.73296	39.64232	9.28203	8.84360	3.53958	7.42063	6.90407	6.81558	2.58027	37.08819	42.71261	7.26086	-8.2503	1110.61625
