longitude	QoS	latitude	station	code	revision
44.7662	excellent	40.49748	Hrazdan	AM	05/02/2017, 00:00:00
-73.0515	average	41.55815	Waterbury	US	2018/10/29
74.4818	maintenance	30.21121	Malaut	IN	2014-03-25
18.28333	excellent	59.33333	Boo	SE	03/04/2022, 00:00:00
79.41727	average	12.25282	Gingee	IN	01/21/2013, 00:00:00
120.14278	excellent	32.50611	Jiangyan	CN	2017/09/26
5.74861	excellent	52.71083	Emmeloord	NL	2021-08-05
-121.75689	accep	36.91023	Watsonville	US	2013/05/24
46.83187	maintenance	14.53767	Ataq	YE	2015-10-05
4.82313	excellent	51.24197	Lille	BE	03 Jul 2017
0.75	excellent	52.41667	Thetford	GB	12 May 2022
10.98461	average	48.35693	Friedberg	DE	2014/03/19
-1.47217	good	53.46506	Chapletown	GB	2018/09/15
140.73667	maintenance	41.77583	Hakodate	JP	2017/11/05
11.37703	building	48.06919	Gauting	DE	26 Jan 2014
36.36339	average	0.03813	Nyahururu	KE	03 Jul 2022
115.88782	excellent	-32.05251	Willetton	AU	2021/02/23
7.02238	excellent	52.21099	Gronau	DE	2018-02-12
78.25795	average	9.82564	Tiruppuvanam	IN	08/27/2016, 00:00:00
-82.90375	accep	32.54044	Dublin	US	11 Jan 2021
-74.38987	accep	40.65538	Scotch Plains	US	04/26/2013, 00:00:00
38.28402	good	34.5624	Tadmur	SY	07/27/2022, 00:00:00
145.06667	maintenance	-37.88333	Carnegie	AU	08/27/2014, 00:00:00
116.11768	maintenance	24.28859	Meizhou	CN	04/01/2017, 00:00:00
74.85849	average	31.28092	Patti	IN	15 Mar 2020
27.25	good	42.7	Aytos	BG	21 Jan 2016
49.62251	accep	27.0174	Al Jubayl	SA	11 Jan 2019
12.1369	accep	51.04962	Zeitz	DE	23 Nov 2012
19.61222	good	44.97639	Sremska Mitrovica	RS	2018/12/05
137.02166	accep	35.48199	Minokamo	JP	2021-03-22
150.60036	excellent	-34.88422	Nowra	AU	14 Mar 2018
36.36339	excellent	0.03813	Nyahururu	KE	02 Mar 2020
-38.94722	building	-15.675	Canavieiras	BR	2018/10/19
-67.15407	accep	18.42745	Aguadilla	PR	2018-01-20
74.83554	average	14.62072	Sirsi	IN	2015/02/28
102.05461	average	6.25947	Tak Bai	TH	28 Apr 2014
38.2739	building	46.7055	Yeysk	RU	2015-11-21
2.08333	good	48.86667	Marly-le-Roi	FR	2018/01/22
85.37752	maintenance	22.10194	Barbil	IN	2013-05-31
69.67639	maintenance	41.29444	Parkent	UZ	2016-05-17
117.63083	average	35.50056	Pingyi	CN	19 Apr 2013
-3.05	good	53.81667	Blackpool	GB	11/27/2012, 00:00:00
-71.8023	average	42.58342	Fitchburg	US	2016-02-29
13.10984	good	51.30001	Oschatz	DE	08/23/2019, 00:00:00
83.97573	excellent	21.46527	Sambalpur	IN	2013/12/10
34.4587	accep	-13.7804	Salima	MW	05/15/2016, 00:00:00
-102.36764	excellent	31.84568	Odessa	US	26 Mar 2017
20.89389	accep	42.62833	Glogovac	XK	2015/02/21
44.7662	excellent	40.49748	Hrazdan	AM	04/08/2017, 00:00:00
43.2379	building	50.06	Mikhaylovka	RU	2017/08/27
29.91582	good	31.20176	Alexandria	EG	2014-08-15
110.8405	excellent	-6.8048	Kudus	ID	2020/07/16
49.62251	maintenance	27.0174	Al Jubayl	SA	11/13/2014, 00:00:00
29.26639	average	37.58105	Serinhisar	TR	2019/02/04
-0.2	accep	51.65	Barnet	GB	07/28/2017, 00:00:00
1.04945	excellent	35.06544	Frenda	DZ	08 Feb 2018
30.4347	accep	-1.9487	Rwamagana	RW	2022/09/03
72.85107	good	19.30157	Bhayandar	IN	2015/01/09
76.0586	average	16.06213	Hungund	IN	06/30/2016, 00:00:00
-113.3187	average	53.51684	Sherwood Park	CA	29 Apr 2019
119.58627	excellent	23.5654	Magong	TW	17 Jun 2022
6.51352	maintenance	51.19139	Korschenbroich	DE	11 Aug 2019
85.83636	average	25.66795	Dalsingh Sarai	IN	13 Apr 2013
-2.98333	acceptable	53.83333	Poulton-le-Fylde	GB	30 May 2014
-104.83192	excellent	39.72943	Aurora	US	04/01/2021, 00:00:00
86.59509	accep	26.11527	Supaul	IN	24 May 2015
-73.75513	excellent	40.60538	Far Rockaway	US	2022/07/02
37.92792	average	53.93361	Kireyevsk	RU	10 Nov 2018
12.1369	maintenance	51.04962	Zeitz	DE	2022-07-16
119.58627	good	23.5654	Magong	TW	2021/07/08
38.15035	average	49.41029	Svatove	UA	03/26/2016, 00:00:00
-119.27337	excellent	50.26729	Vernon	CA	13 Dec 2013
120.57224	good	15.72892	Burgos	PH	06 Dec 2016
-73.95097	good	40.72371	Greenpoint	US	2017-07-08
101.18445	excellent	13.44581	Phanat Nikhom	TH	2018-09-11
86.59509	excellent	26.11527	Supaul	IN	2020-10-28
5.51978	average	51.44889	Tongelre	NL	08/11/2016, 00:00:00
2.59753	maitennce	8.88649	Tchaourou	BJ	2013-07-01
18.28333	accep	59.33333	Boo	SE	2019/06/24
4.47124	excellent	51.95838	Schiebroek	NL	19 Aug 2018
-3.52751	excellent	50.7236	Exeter	GB	10/06/2014, 00:00:00
77.23826	average	11.50526	Sathyamangalam	IN	2017/01/30
-1.29772	good	50.76306	Cowes	GB	12/17/2021, 00:00:00
11.5	good	3.51667	Mbalmayo	CM	2022-07-11
122.22833	good	40.66482	Yingkou	CN	2017-04-15
111.50861	accep	32.54278	Danjiangkou	CN	2015/11/30
84.63445	average	24.81757	Rafiganj	IN	09/28/2020, 00:00:00
-76.70944	accep	-11.94306	Chosica	PE	07/20/2013, 00:00:00
-0.2	building	51.65	Barnet	GB	05/02/2017, 00:00:00
117.7	maintenance	35.85	Dongdu	CN	2019/05/03
-80.22588	maintenance	26.2173	North Lauderdale	US	24 Sep 2017
76.11996	average	11.12018	Manjeri	IN	08/06/2014, 00:00:00
104.64992	good	14.64056	Kantharalak	TH	01/12/2017, 00:00:00
-111.78903	accep	33.35283	Gilbert	US	2020/01/15
43.91385	accep	54.03876	Kovylkino	RU	2021-12-10
-1.4001	excellent	7.06273	Mampong	GH	2022/08/16
-120.43572	accep	34.95303	Santa Maria	US	04/15/2016, 00:00:00
-117.71978	average	34.09668	Claremont	US	2018-01-02
-77.55777	average	37.52487	Bon Air	US	24 May 2015
-5.55835	excellent	42.64685	Villaquilambre	ES	27 May 2014
-2.68758	average	53.69786	Leyland	GB	03/02/2017, 00:00:00
145.13643	average	-38.16604	Frankston South	AU	04/17/2014, 00:00:00
-61.4867	accep	-31.25033	Rafaela	AR	15 Oct 2017
77.9129	accep	25.6439	Narwar	IN	05/13/2018, 00:00:00
9.5926	good	52.86147	Walsrode	DE	2019/02/24
-76.43941	good	39.33427	Middle River	US	2021/05/13
12.38878	maintenance	43.1122	Perugia	IT	07 Jul 2019
110.8405	maintenance	-6.8048	Kudus	ID	2018-08-22
73.7553	average	15.5439	Calangute	IN	05/23/2022, 00:00:00
30.28491	maintenance	60.02427	Kolomyagi	RU	11/25/2019, 00:00:00
5.2875	average	51.65333	Vught	NL	10/30/2012, 00:00:00
82.85749	good	17.54907	Elamanchili	IN	2018/04/08
-66.8499	good	18.03496	Yauco	PR	08/26/2016, 00:00:00
99.95469	average	13.51825	Damnoen Saduak	TH	30 Apr 2021
10.18527	building	47.98372	Memmingen	DE	05/07/2015, 00:00:00
37.73333	maintenance	-4.06667	Same	TZ	30 Mar 2013
-79.2663	maintenance	43.86682	Markham	CA	2018-01-17
-86.78777	good	33.44872	Vestavia Hills	US	2013-04-12
150.60036	building	-34.88422	Nowra	AU	2016/04/03
8.86704	good	50.23805	Nidderau	DE	07/11/2013, 00:00:00
123.17306	maintenance	41.27194	Liaoyang	CN	01/05/2018, 00:00:00
-73.9614	maintenance	10.15031	El Copey	CO	2015/09/22
-104.83192	excellent	39.72943	Aurora	US	2020/04/15
73	good	40.93333	Jalal-Abad	KG	07 Mar 2013
-72.86843	excellent	41.27621	East Haven	US	2019/01/30
122.22833	good	40.66482	Yingkou	CN	2016/08/31
72.54566	accep	29.69221	Hasilpur	PK	2022-03-12
51.3452	excellent	53.37596	Otradnyy	RU	06/23/2021, 00:00:00
120.82747	excellent	37.30553	Zhuangyuan	CN	2015-01-22
33.34864	average	46.75451	Nova Kakhovka	UA	09/30/2019, 00:00:00
99.96667	maintenance	8.43333	Nakhon Si Thammarat	TH	2013/12/29
26.97253	good	49.65186	Krasyliv	UA	01/24/2016, 00:00:00
10.7	average	4.96667	Tonga	CM	10/21/2019, 00:00:00
-41.88778	excellent	-21.205	Itaperuna	BR	05/24/2019, 00:00:00
-2.58736	maintenance	56.56317	Arbroath	GB	04/30/2022, 00:00:00
3.16667	building	50.8	Wevelgem	BE	03/28/2015, 00:00:00
-35.03333	good	-8.28333	Cabo	BR	2021-11-11
-78.19444	maintenance	38.91817	Front Royal	US	2013/06/05
-1.29772	excellent	50.76306	Cowes	GB	2019-08-29
-2.98333	excellent	53.83333	Poulton-le-Fylde	GB	2020/12/15
26.01649	accep	44.43579	Sector 6	RO	2017/01/11
68.49143	excellent	25.80565	Bhit Shah	PK	06/01/2015, 00:00:00
12.16179	excellent	48.52961	Landshut	DE	07/11/2018, 00:00:00
-2.16	accep	34.31	Jerada	MA	12 Mar 2018
17.80774	excellent	40.55851	Mesagne	IT	2022-09-19
-25.66689	maintenance	37.74615	Ponta Delgada	PT	10/09/2017, 00:00:00
-117.54866	excellent	33.93113	Norco	US	07/27/2020, 00:00:00
86.68363	good	23.49668	Adra	IN	2013-09-09
-2.09814	average	57.14369	Aberdeen	GB	22 Aug 2018
122.22833	good	40.66482	Yingkou	CN	07 Jan 2021
37.99117	building	44.92934	Krymsk	RU	19 Feb 2020
-70.6996	building	-33.59217	San Bernardo	CL	2014-06-19
77.70636	average	28.98002	Meerut	IN	2021/05/16
-1.5443	excellent	50.75767	Lymington	GB	09 Sep 2018
-78.19444	maintenance	38.91817	Front Royal	US	2017-12-01
-77.03116	average	3.8801	Buenaventura	CO	2021-06-20
-116.37697	maintenance	33.72255	Palm Desert	US	2017-08-26
115.70111	accep	37.73222	Hengshui	CN	2021/12/10
10.98461	good	48.35693	Friedberg	DE	2014-12-08
6.26667	maintenance	51.21667	Schwalmtal	DE	2014-08-30
33	maintenance	-2.68333	Usagara	TZ	2018-09-09
-101.2591	average	21.01858	Guanajuato	MX	2016/09/17
27.46153	average	-21.44236	Tonota	BW	2017/02/16
-82.46148	building	28.15112	Lutz	US	24 Feb 2014
-97.03285	good	47.92526	Grand Forks	US	2014/08/11
135.21667	accep	35.06667	Sasayama	JP	22 Mar 2021
-1.64295	accep	42.8139	Segundo Ensanche	ES	2021-10-25
122.22833	good	40.66482	Yingkou	CN	27 Nov 2014
-13.2356	good	8.48714	Freetown	SL	2021-11-01
-78.04471	building	34.25628	Leland	US	08/21/2017, 00:00:00
-1.4001	accep	7.06273	Mampong	GH	2018-02-07
-111.78903	average	33.35283	Gilbert	US	2022/02/25
-100.88023	good	20.21322	Salvatierra	MX	12 Mar 2014
-120.93549	excellent	37.73604	Riverbank	US	2019-12-11
-82.90375	building	32.54044	Dublin	US	31 May 2013
-73.75513	average	40.60538	Far Rockaway	US	12 Jan 2014
-61.51889	excellent	10.66668	Port of Spain	TT	2019/05/03
-2.68758	excellent	53.69786	Leyland	GB	03/01/2022, 00:00:00
-72.86843	average	41.27621	East Haven	US	01/27/2014, 00:00:00
51.3452	accep	53.37596	Otradnyy	RU	18 Dec 2013
144.23058	good	-5.85746	Mount Hagen	PG	26 Jul 2014
