CH4	C2H3NO5	PAHs	PM10	latitude	PM2.5	PRES	Pb	TEMP	NH3	SO2	CO	NOx	O3	longitude	CFCs	H2CO	warning
7.57530	1.03085	7.27387	10.79693	18.42745	9.02167	1171.15294	50.38262	11.44976	3.90174	9.32749	7.61422	10.39917	7.66388	-67.15407	45.79103	58.17270	1.00000
4.94552	0.83566	8.52065	10.56748	4.96667	10.21489	1118.13310	32.51241	11.20478	8.65550	6.06412	7.72744	8.29429	7.91883	10.7	15.77540	68.94691	1.00000
9.40365	0.12172	8.74241	8.25452	-21.205	6.05608	1141.61129	39.79884	6.32645	7.14017	8.59432	7.81559	5.87014	5.14675	-41.88778	71.12374	64.28564	0.00000
5.30605	0.04666	8.36397	6.61354	35.74788	6.41528	1155.00067	41.12481	15.65233	8.88078	8.09093	7.59082	11.86763	8.99047	-95.36969	34.39536	61.45545	0.00000
7.44034	0.04276	8.64483	7.05079	7.6	7.28111	1094.35040	34.78038	30.18171	9.45265	7.83149	9.04486	8.68880	9.69732	4.18333	52.48804	34.51588	0.00000
6.83118	0.18040	8.13630	9.02882	-6.25	9.12817	1180.30410	46.22774	12.96246	7.92610	8.37415	8.89846	9.71060	8.42857	38.66667	45.87917	64.82455	1.00000
8.92741	0.10221	7.56055	8.05005	44.75874	8.11706	1181.72442	52.69117	10.77432	6.91810	8.80484	8.69934	5.49138	6.93132	19.21437	46.54234	66.46957	1.00000
4.83931	0.30075	7.03321	9.47467	37.65181	8.47427	1197.33269	47.67726	13.14505	8.21383	9.17166	7.76507	8.06796	8.21950	120.33063	55.74965	38.47221	1.00000
5.36997	0.28633	8.44724	9.43427	43.82634	7.53240	1192.78265	58.20050	8.69303	9.72025	7.83149	8.54097	9.23608	7.69973	144.09638	48.96157	68.66384	1.00000
10.06412	0.87265	9.40064	10.62955	35.85	10.67506	1173.48484	69.51583	16.77658	4.10588	7.18129	6.80775	8.35411	9.58247	117.7	59.23280	60.34354	1.00000
7.67997	0.44057	8.06754	9.91609	30.75545	9.28682	1137.14641	38.89592	17.20195	10.45314	8.54682	6.45321	9.83830	4.99260	20.22625	59.68394	56.02253	1.00000
11.06328	0.12247	8.44074	8.48104	39.71734	9.97865	1051.48879	63.04031	32.37220	8.91460	7.28411	7.14173	4.57582	11.67985	-74.96933	63.41283	42.93443	1.00000
7.92405	0.14755	9.40327	8.51492	49.03685	12.40000	1153.35104	53.92785	26.59421	9.18915	9.78936	7.71804	9.14097	8.53527	8.70745	39.64981	43.80128	1.00000
9.48804	0.86737	7.29581	10.63204	15.46063	9.94810	1112.08304	52.48198	27.10352	6.83178	5.73993	7.68796	8.62378	8.80096	99.89166	30.50617	25.99620	0.00000
7.83569	0.90372	8.53959	10.68876	47.05	8.97905	1176.93398	27.75365	3.28822	4.75699	8.61817	10.57897	6.07728	6.73299	15.46667	56.57190	74.14634	0.00000
4.75028	0.04427		6.51476	19.21667	6.27673	1156.80669	31.89895	12.21757	9.74771	5.86513	7.72826	11.94218	8.32360	73.08333	49.79124	74.93552	0.00000
5.90533	0.03849	8.20138	6.16300	34.08565	5.22375	1141.03061	44.62428	22.57433	8.49431	6.31760	8.18452	9.63929	11.16446	74.80555	70.39752	28.21593	0.00000
6.35409	0.22477	7.96048	9.13630	53.38333	8.16015	1122.78639	51.23511	10.88327	10.66330	7.70940	7.99506	9.85239	7.24699	-0.76667	53.91503	60.08815	1.00000
10.32776	0.09259	8.61905	8.20122	-19.7625	7.78922	1139.45934	63.07761	13.11068	7.65825	8.70308	8.02769	7.39390	7.51585	-44.31389	64.44235	49.83524	0.00000
9.20906	0.02599	8.01519	6.03509	-21.15	7.89918	1155.46373	59.44543	16.20272	6.26322	7.01982	9.39355	7.78968	6.61359	46.58333	49.81309	51.76484	1.00000
8.75674	0.59486	8.50138	10.23796	47.46657	7.13430	1149.48637	46.04534	4.30962	5.84277	9.01100	9.02246	6.44897	6.13924	84.87144	42.01734	53.91583	0.00000
10.68933	0.27834	7.65137	9.49979	-2.90055	8.30061	1140.86094	49.25772	25.08137	6.58843	8.48578	6.82140	8.47050	9.49186	-79.00453	60.49496	47.89736	0.00000
9.28606	0.29273	8.59606	9.53126	22.75218	5.42649	1108.77668	26.39118	20.78744	9.13670	8.75984	8.17071	6.89860	6.43804	72.68533	35.56694	58.68787	0.00000
9.65771	2.16339	8.50819	11.57133	36.21544	9.64833	1131.41176	32.36880	21.15551	7.65699	8.99517	9.70138	6.56504	8.79788	65.93249	58.62313	42.11051	1.00000
7.83119	0.95291	7.47754	10.75069	41.27194	10.91749	1137.77818	24.16522	20.44599	10.70362	8.16060	10.00795	10.77359	4.97845	123.17306	58.47620	75.63626	1.00000
10.24725	0.80101	8.67787	10.54121	38.17492	10.19597	1146.49803	35.87566	11.91181	7.30436	9.33125	8.30838	7.85200	9.96382	-122.2608	49.04828	60.89365	1.00000
7.39773	0.40418	8.86029	9.79166	48.73218	7.01281	1195.35608		19.54183	8.27086	8.85502	7.91861	11.50964	6.24700	11.18709	38.09408	61.55956	1.00000
7.84165	0.40800	8.36916	9.80435	35.82756	8.55629	1194.62366	38.60612	11.26999	2.55535	8.41613	7.53588	11.17550	6.04017	137.95378	57.98870	44.79413	1.00000
8.43387	0.05411	8.72657	7.06077	47.48444	8.23247	1186.48023	56.05954	24.74281	9.77612	8.76903	7.58469	8.48451	9.12435	36.25361	26.06102	41.32908	0.00000
6.89492	0.05342	9.79860	7.23192	40.70995	7.35897	1072.65991	49.02759	30.59332	10.31032	7.24796	8.91428	9.12821	8.59263	0.57856	41.07514	59.01602	0.00000
8.75193	0.03661	7.62628	5.92731	52.48173	7.35499	1107.12656	86.67431	13.29628	7.17318	8.44114	7.51807	6.41002	5.84731	-2.12139	56.09705	43.15025	1.00000
8.36034	0.04216	9.65164	5.12325	34.25	8.17342	1130.01862	28.63509	19.33425	5.14651	8.88475	6.82931	7.28168	9.83443	135.31667	57.24723	47.69191	1.00000
7.25443	3.34822	9.05656	12.00735	54.60528	8.71142	1110.77024	37.05530	3.31890	11.82938	8.75088	8.06267	10.01099	1.83556	18.34717	60.79561	52.26382	1.00000
10.61859	0.14835	9.36300	8.55689	-11.48472	9.66032	1066.46331	50.26064	31.41202	8.79714	6.94658	9.11929	5.29034	10.14271	-37.93278	62.88934	53.30449	1.00000
6.63650	0.15075	6.86563	8.81859	54.48147	8.85220	1155.54527	31.78459	5.11857	9.61933	7.30261	9.50033	8.62797	6.77206	53.47103	52.91098	55.86690	1.00000
9.38161	0.07821	8.68598	7.72105	59.33333	5.21640	1099.28622	39.61375	12.57768	7.33240	7.82373	8.41830	5.06736	7.72062	18.28333	72.78863	50.46385	0.00000
9.57434	0.13896	8.10656	8.63565	56.11281	10.29432	1155.22187	36.95797	1.41494	6.00767	8.01384	8.39277	7.24623	12.52197	69.49015	40.41872	50.17283	1.00000
