latitude	longitude	revision	code	QoS	location
18.57677	-72.22625	2014-12-16	HT	average	America/Port-au-Prince
53.53395	33.72798	07/25/2017, 00:00:00	RU	average	Europe/Moscow
-19.7625	-44.31389	2017/03/27	BR	average	America/Sao_Paulo
40.57788	-73.95958	2017/11/27	US	building	America/New_York
19.64745	-102.04897	2022-04-23	MX	building	America/Mexico_City
43.50891	16.43915	19 Aug 2014	HR	accep	Europe/Zagreb
-24.19436	29.00974	2017/02/10	ZA	average	Africa/Johannesburg
53.38333	-0.76667	07/31/2021, 00:00:00	GB	excellent	Europe/London
34.25628	-78.04471	19 Apr 2015	US	average	America/New_York
49.5099	6.74549	2019-11-18	DE	average	Europe/Berlin
49.28669	1.00288	04/22/2013, 00:00:00	FR	average	Europe/Paris
59.33333	18.28333	2015/10/25	SE	building	Europe/Stockholm
25.13915	73.06784	2013-06-03	IN	excellent	Asia/Kolkata
-15.675	-38.94722	10/01/2015, 00:00:00	BR	excellent	America/Bahia
6.03333	37.55	2017-06-05	ET	good	Africa/Addis_Ababa
52.66277	-2.01111	2018-08-31	GB	average	Europe/London
40.58654	-122.39168	2021/06/29	US	excellent	America/Los_Angeles
-33.38056	-56.52361	07/03/2015, 00:00:00	UY	average	America/Montevideo
40.98894	28.67582	2021-09-10	TR	good	Europe/Istanbul
27.55898	68.21204	11 Jan 2014	PK	excellent	Asia/Karachi
43.67681	4.63031	2022/03/16	FR	good	Europe/Paris
51.42708	-0.91979	2014/10/21	GB	excellent	Europe/London
65.93381	111.4834	2020-10-06	RU	excellent	Asia/Yakutsk
46.23899	-63.13414	2014/10/01	CA	building	America/Halifax
40.64621	-73.97069	2014-10-10	US	accep	America/New_York
48.07667	8.64409	2014/07/22	DE	average	Europe/Berlin
39.72943	-104.83192	03/01/2016, 00:00:00	US	good	America/Denver
44.92801	4.8951	2013/03/09	FR	excellent	Europe/Paris
26.76628	83.36889	01 Jan 2020	IN	good	Asia/Kolkata
30.24706	115.04814	2014/03/20	CN	maintenance	Asia/Shanghai
26.76628	83.36889	24 Mar 2014	IN	average	Asia/Kolkata
61.78491	34.34691	21 Sep 2022	RU	good	Europe/Moscow
27.92333	118.53333	11/24/2016, 00:00:00	CN	accep	Asia/Shanghai
36.61033	-88.31476	2017/01/14	US	accep	America/Chicago
-33.38056	-56.52361	2017-11-04	UY	building	America/Montevideo
42.22718	14.39024	2020/07/27	IT	accep	Europe/Rome
51.62907	-0.74934	12/19/2020, 00:00:00	GB	accep	Europe/London
39.09112	-94.41551	2020-10-29	US	maintenance	America/Chicago
-21.98333	16.91667	04/30/2016, 00:00:00	NA	average	Africa/Windhoek
19.32932	-98.1664	29 Apr 2017	MX	average	America/Mexico_City
30.81383	75.16878	2018/06/07	IN	accep	Asia/Kolkata
-7.54972	110.71639	2022-04-22	ID	maintenance	Asia/Jakarta
13.70167	-89.10944	30 Sep 2018	SV	accep	America/El_Salvador
33.43443	-5.22126	2014/10/08	MA	excellent	Africa/Casablanca
11.50526	77.23826	2014/01/03	IN	good	Asia/Kolkata
50.18545	27.06365	2016/05/12	UA	excellent	Europe/Kiev
-19.7625	-44.31389	03/31/2014, 00:00:00	BR	excellent	America/Sao_Paulo
-23.85972	35.34722	2018/07/15	MZ	good	Africa/Maputo
-5.41667	38.01667	2015-10-24	TZ	good	Africa/Dar_es_Salaam
35.74788	-95.36969	2019-05-09	US	excellent	America/Chicago
21.53889	71.57737	2016/11/30	IN	average	Asia/Kolkata
65.93381	111.4834	04 Nov 2020	RU	good	Asia/Yakutsk
41.16704	-73.20483	2016-06-05	US	excellent	America/New_York
36.24624	139.07204	11/16/2017, 00:00:00	JP	accep	Asia/Tokyo
45.35	126.28333	19 Nov 2017	CN	accep	Asia/Shanghai
51.95838	4.47124	11/17/2018, 00:00:00	NL	building	Europe/Amsterdam
13.70167	-89.10944	22 Apr 2015	SV	maintenance	America/El_Salvador
32.17629	75.06583	2014-03-12	PK	good	Asia/Karachi
45.73333	4.91667	2016-05-31	FR	accep	Europe/Paris
57.14369	-2.09814	2014-03-28	GB	excellent	Europe/London
43.48961	-8.2194	2017/11/06	ES	average	Europe/Madrid
26.67319	31.4976	2014/03/05	EG	good	Africa/Cairo
35.05266	-78.87836	2021-06-07	US	accep	America/New_York
