PRES	TEMP	latitude	PAHs	Pb	PM10	PM2.5	O3	NH3	warning	SO2	CO	H2CO	C2H3NO5	NOx	longitude	CH4	CFCs
1135.61436	21.14572	53.49389	7.33681	63.22815	5.79091	7.83201	6.99098	6.12102	0.00000	7.86703	8.09318	35.89913	0.09140	12.04796	-1.29243	9.08587	41.88017
1146.51723	8.32508	-7.60361	5.94384	39.82749	9.36485	8.61604	8.31663	5.89317	1.00000	6.86894	7.06343	40.90858	0.62362	8.45494	37.00438	7.97528	61.16533
1136.54587	17.09122	51.38673	7.15684	63.61698	10.62617	7.97370	9.51089	9.30681	1.00000	6.88028	7.57975	48.43464	1.89563	9.28823	0.30367	7.38565	63.96348
1140.42491	21.48888	24.81757	8.13146	29.30886	9.86233	9.34983	7.02746	6.16200	0.00000	7.42936	8.05859		0.91137	9.42539	84.63445	8.25337	56.13056
1159.33484	34.95253	33.4425	6.88290	70.60545	11.41029	9.91702	7.95894	7.98561	1.00000	6.79066	6.61567	52.21694	4.05446	8.60948	129.96972	8.03853	39.11883
1108.19165	21.08978	17.54907	6.34383	51.81782	9.16273	9.52319	8.10911	6.59199	1.00000	5.99757	9.16510	45.80857	0.52335	8.08757	82.85749	8.54456	55.52179
1198.27712	19.92936	50.09019	5.35618	44.23928	6.81835	6.13277	4.11659	5.59382	1.00000	5.63935	7.91400	33.11898	0.13918	10.37695	8.4493	6.24928	58.97237
1090.32616	15.62208	14.8361	7.16901	65.03623	9.36573	10.54442	8.18172	6.84990	1.00000	5.35199	9.57712	40.77292	0.62031	8.58822	120.97844	6.94758	73.55210
1137.71042	11.57503	41.77583	9.25067	56.54683	11.22540	9.49224	8.05476	8.15397	1.00000	7.66791	7.81608	50.44580	3.38218	9.01906	140.73667	6.89208	52.92133
1080.58493	28.25437	46.7055	6.68125	61.64817	5.71945	5.90518	6.47905	7.79037	1.00000	5.82418	7.64548	63.88749	0.09992	7.44500	38.2739	8.09324	63.29396
1080.56758	15.15074	28.54944	6.52415	43.94091	8.44497	9.21258	8.33364	6.71201	1.00000	6.20850	7.14751	30.30479	0.28348	8.17630	-81.77285	9.11122	46.33288
1078.19286	17.08276	18.20854	7.05398	62.74697	8.31917	8.00368	10.06156	5.29782	1.00000	6.44583	6.84850	53.23717	0.25723	10.43941	-71.10077	9.14358	49.26669
1081.57697	18.10503	20.88953	5.08399	49.60086	5.65276	7.10646	9.73448	6.55836	0.00000	10.56568	7.76223	31.23605	0.07195	8.50575	-156.47432	8.71890	57.60269
1106.64288	-3.49614	3.27833	5.69450	51.00091	5.67656	6.20199	6.34319	9.40612	1.00000	6.50315	7.04740	80.86070	0.08442	7.03558	32.88667	8.73878	25.88476
1170.38069	8.32206	19.32889	6.64511	29.56577	7.46502	6.69309	6.68000	7.75848	0.00000	9.90969	7.18763	44.50943	0.18111	9.52730	-99.32556	7.73538	50.27293
1081.60383	11.35785	41.48199	7.15976	67.05619	7.81467	10.27567	8.33144	7.77480	1.00000	6.75116	7.61549	28.05213	0.13939	7.83225	-81.79819	5.77175	59.51813
1096.43702	-4.27828	26.91756	7.06320	42.48957	4.31312	6.41064	10.73620	8.21405	0.00000	8.46107	7.26056	30.05196	0.08760	10.29840	-82.07842	8.19120	44.31506
1160.66851	25.61064	13.48082	6.92566	48.00727	8.67158	8.44870	8.63585	7.01710	1.00000	5.89006	9.00802	34.90104	0.33760	10.19842	-86.58208	7.30658	38.69835
1118.38765	3.94993	-38.16604	8.56901	56.98883	4.27525	5.65279	5.81432	7.73179	1.00000	6.22059	8.44364	67.33187	0.07518	11.12014	145.13643	5.35990	55.47788
1120.92271	16.02514	18.18158	7.13390	50.97394	9.92250	9.46575	8.33796	7.97628	1.00000	5.45578	5.34318	34.24165	0.99091	10.10330	76.03889	7.21585	41.29962
1134.86443	33.13116	34.09611	6.01392	61.91426	9.36218	8.42018	6.02729	6.77971	0.00000	10.16803	7.18525	43.70243	0.56484	8.65018	-118.10583	7.96249	31.03652
1106.92817	8.59349	27.52948	7.47565	40.17260	6.21973	5.60795	9.88782	5.96189	0.00000	9.23451	8.73310	46.73351	0.08605	10.14514	68.75915	8.15741	65.32103
1129.32869	2.61082	25.6439	7.00562	64.83008	6.44477	5.03305	8.60445	6.59944	1.00000	5.11550	7.71237	40.32007	0.07860	6.88216	77.9129	7.17849	54.87300
1196.67201	15.74005	44.99012	8.25245	45.62014	5.91056	5.99960	8.63914	8.25653	1.00000	6.38658	8.42105	66.76548	0.08639	8.85212	-123.02621	7.87695	65.36363
1096.14632	22.19243	42.8139	6.64205	54.37153	10.70346	9.29905	7.96423	7.15416	1.00000	6.09522	8.26649	44.61489	2.02973	9.84413	-1.64295	8.47887	29.27838
1178.31019	14.78673	55.1904	7.40969	55.44433	8.20968	8.27451	9.31835	7.39584	1.00000	5.90903	6.92212	50.86249	0.25225	10.73126	30.2049	7.99172	34.89043
1058.08343	9.16814	45.79377	8.40871	67.76308	4.88944	5.78324	6.92339	6.84894	1.00000	6.08614	6.97162	44.59267	0.11155	9.46927	8.88104	7.36361	46.51723
1186.26990	24.78398	27.09978	6.92217	48.69653	9.63702	8.90378	9.86415	7.05141	1.00000	6.43224	8.37664	30.51380	0.74861	10.23156	-82.45426	6.00951	47.05265
1167.11558	10.36542	50.06	5.98631	54.36090	8.84043	11.03430	5.49250	7.94491	0.00000	9.19117	7.86931	39.94532	0.38809	9.74613	43.2379	7.47526	70.29751
1102.30093	17.01602	24.41288	7.53478	56.22760	4.84411	5.10936	6.80465	8.77863	1.00000	5.58440	7.98161	69.10252	0.05488	8.52594	76.56719	8.02742	38.95487
1197.83020	26.02011	42.97086	6.52982	58.72590	6.28836	5.98434	7.31323	7.70399	1.00000	5.91542	6.26138	55.13983	0.12103	7.09590	-82.42491	7.57085	53.99711
1082.86399	-5.28281	38.45598	6.90401	34.15304	4.74763	7.26831	5.17092	7.73851	1.00000	7.89921	8.59309	37.35165	0.04890	10.31641	48.87498	7.82518	62.13895
1066.04454	12.08761	34.09611	6.10997	24.00154	7.27295	9.23433	5.89052	8.36975	0.00000	9.43293	6.60161	63.02188	0.14942	8.41510	-118.10583	7.93474	33.85975
1073.47133	12.60961	25.92493	7.53164	77.34951	10.30583	9.34074	8.14212	6.61781	0.00000	7.98524	7.41207	30.21375	1.41156	8.79370	73.66633	7.43772	48.29008
1171.05486	32.49862	-38.16604	5.24988	30.53093	8.95217	5.22207	7.76774	5.75018		10.12137	7.39803	17.07456	0.40314	7.13582	145.13643	6.17248	30.77632
1180.94386	12.07068	-4.16694	6.65156	41.23806	9.32167	10.11735	4.93545	9.61635	0.00000	8.83966	7.85886	59.43064	0.56381	9.07156	-40.7475	7.76353	51.74681
1199.67646	-0.74944	36.27462	6.11328	54.36322	7.73510	5.49812	8.86474	6.77927	0.00000	11.12482	6.33500	60.44207	0.14941	6.92613	4.85668	8.87008	35.24301
1172.77931	0.91372	46.1351	7.02587	41.93628	6.02531	6.93506	8.23523	7.48611	0.00000	10.28353	8.20446	66.48782	0.16517	10.00415	-60.1831	9.64750	61.68969
1149.57184	14.88094	38.06084	7.22763	39.08079	9.65927	7.16130	10.09397	6.72220	1.00000	7.13692	5.70147	37.27342	0.80906	10.81155	-97.92977	7.73274	70.05299
1194.69696	6.52419	38.37255	6.04722	56.12257	8.28832	9.48988	7.11878	6.70792	0.00000	8.35539	7.68951	32.05204	0.24247	9.56578	34.02537	8.90388	46.04797
1084.87147	-2.56920	-12.91667	6.09767	66.63801	8.86434	8.90618	9.57194	8.39137	1.00000	6.27727	8.34855	48.69422	0.40754	8.58577	-39.25	8.06155	72.57232
1178.30557	19.27254	29.38242	6.04919	52.57611	10.17086	9.16691	8.25594	5.56057	1.00000	6.21498	7.99033	50.03400	1.22283	9.53365	70.91106	8.00824	65.30150
1183.39386	11.85666	40.11583	7.32952	60.77654	8.32787	9.16846	8.91938	7.63293	1.00000	6.65920	7.68017	55.47871	0.22011	8.71582	67.84222	9.89374	56.93051
1064.93238	33.62510	-10.33333	6.17751	85.04058	5.42900	9.17511	9.30419	8.68993	1.00000	5.08310	7.32224	75.37639	0.05259	9.32443	39.28333	5.70111	54.30207
1152.36562	12.98525	50.80019	4.80698	68.73434	9.59466	9.55872	8.02321	6.75390	1.00000	7.63170	8.36127	34.52453	0.76281	5.89802	7.20769	7.02849	55.75761
1173.99041	12.92784	64.5635	6.69493	66.12340	9.56195	7.47242	9.66039	6.42419	1.00000	6.13431	7.65793	45.92616	0.71531	10.82393	39.8302	9.45642	30.58086
1090.24566	7.45380	29.65163	5.31834	51.53586	5.11584	8.92790	8.31840	7.73976	1.00000	5.74714	9.12111	44.88792	0.07614	7.60655	-82.32483	7.64119	28.84100
1068.69349	5.53396	64.5635	6.87367	51.17154	6.18861	6.39879	8.55474	8.01694	0.00000	9.27186	7.69696	71.30175	0.11228	11.35685	39.8302	6.93655	66.94624
1079.86151	37.56016	36.76775	6.62164	51.49998	7.58826	8.52439	10.69953	8.42036	1.00000	4.88639	9.76646	78.28145	0.15936	10.23268	2.95924	6.74364	49.14625
1054.63138	23.48387	3.31332	5.40551	36.22709	8.58600	9.43420	4.98304	6.44083	0.00000	9.23685	8.33654	53.48803	0.28100	9.18135	117.59152	6.94020	42.18114
1124.38873	6.70895	41.91886	7.08383	35.44334	9.25822	9.22885	8.09576	6.95278	1.00000	5.14877	6.90731	59.13280	0.55853	9.63824	8.73812	6.38009	55.15278
1124.62788	30.31643	36.82167	5.15849	42.96504	7.98562	6.38544	9.20870	7.66639	0.00000	10.35462	8.25453	49.60775	0.15957	6.42386	128.63083	7.58298	61.17609
1070.73522	23.32327	48.73218	6.25468	52.50069	6.35769	5.83763	9.46466	7.90539	0.00000	9.27845	8.01159	47.84054	0.10925	8.81509	11.18709	9.02824	47.96358
1087.90604	10.84579	34.31	5.85614	53.20807	9.24141	9.33612	7.26667	7.08262	0.00000	9.33865	8.12903	52.39647	0.54543	8.39307	-2.16	9.11665	40.42992
1055.19196	19.86112	26.18924	4.72512	64.52596	7.96571	5.54023	7.97439	8.95989	0.00000	9.33348	8.15223	52.79331	0.19801	6.96901	-98.15529	8.63865	34.85275
1088.20544	28.78805	50.88506	3.59768	100.00000	7.03553	9.71002	8.41537	7.39159	1.00000	5.41289	6.67430	43.31355	0.11559	6.75611	4.07601	7.94325	47.10533
1196.51116	18.63392	55.85	9.13439	53.36754	8.94043	9.23423	7.37207	8.39089	0.00000	7.75993	7.50051	31.64509	0.42129	8.47213	37.56667	6.85273	30.68430
1193.99917	25.81975	6.33444	6.81398	51.33151	9.38304	8.86321	7.55807	5.72101	0.00000	7.47440	6.67621	46.31683	0.60649	9.59469	124.95278	7.18406	42.72070
1193.75104	7.90299	27.52948	6.70056	42.75667	8.09082	8.77316	5.44514	6.54835	0.00000	8.68809	6.81894	68.26822	0.22030	9.20938	68.75915	6.88926	31.59194
1156.32889	23.58241	40.93121	7.73048	36.64580	11.11327	8.45106	7.91951	7.61607	0.00000	8.99166	6.00930	72.42606	3.04644	8.41509	-73.89875	6.07133	33.24528
1165.21820	3.83375	-36.9256	7.66666	71.07361	10.63871	8.03770	6.68698	9.40347	0.00000	8.81193	7.29626	53.82198	1.94891	8.95121	-73.02841	8.81414	49.41601
1174.20188	21.47184	51.12794	5.27096	47.18649	7.44378	8.12800	4.86534	7.40094	0.00000	8.21061	7.85227	47.63411	0.16012	9.32367	4.21372	7.48247	56.33790
1100.62039	21.26030	3.11988	7.49196	55.86556	7.12097	6.60471	8.37457	7.74760	0.00000	8.74927	8.10069	59.54125	0.14305	10.26086	35.59642	6.82662	38.18400
1071.25694	13.13613	21.53889	7.08295	61.77876	10.17336	7.50582	5.52472	6.69337	0.00000	9.85854	8.24230	67.08537	1.24967	8.46475	71.57737	7.35234	28.62173
1096.27957	10.31167	-15.21194	5.84457	49.55496	6.83378	6.15348	9.45247	10.90564	0.00000	9.39745	9.00987	67.09643	0.09897	5.78915	-75.11028	7.56908	55.43605
1068.12985	9.68407	50.8	5.43588	51.89356	6.70052	8.20140	10.61403	8.20369	1.00000	6.79942	8.55387	57.02013	0.10069	9.22702	3.16667	8.21878	52.13360
1141.68374	14.85630	14.8361	8.69406	65.04697	9.58263	9.24783	6.82623	7.70775	0.00000	8.50832	7.89644	53.68530	0.70363	8.55841	120.97844	7.05807	55.32788
