revision	code	longitude	station	latitude	QoS
2020-02-24	US	-122.23484	Kent	47.38093	accep
13 Aug 2016	KG	73	Jalal-Abad	40.93333	average
27 Feb 2021	BR	-42.29444	Barras	-4.24444	accep
06/10/2013, 00:00:00	PH	120.97844	Guyong	14.8361	building
16 Oct 2021	PK	74.12286	Kanganpur	30.76468	excellent
2013/07/14	IN	74.80555	Srinagar	34.08565	average
2018/03/26	US	-76.43941	Middle River	39.33427	excellent
28 Sep 2021	RU	43.67663	Nizhniy Lomov	53.53041	excellent
08/23/2021, 00:00:00	BR	-51.50361	Carlos Barbosa	-29.2975	average
12/10/2018, 00:00:00	TJ	69.01354	Vahdat	38.55632	excellent
05/08/2015, 00:00:00	US	-120.93549	Riverbank	37.73604	good
2016-09-16	TZ	38.01667	Chanika	-5.41667	accep
22 Sep 2021	MA	-2.16	Jerada	34.31	building
2015/02/22	GB	-0.91979	Lower Earley	51.42708	accep
08/10/2022, 00:00:00	TH	99.89166	Thap Than	15.46063	average
2016-03-16	CM	10.7	Tonga	4.96667	maintenance
14 Dec 2018	FR	5.16108	Bar-le-Duc	48.77275	average
2019/04/20	JP	136.84186	Toba	34.4833	maintenance
08/26/2022, 00:00:00	US	-119.0376	Camarillo	34.21639	average
12 Apr 2020	UA	38.15035	Svatove	49.41029	excellent
18 Oct 2020	IN	75.92694	Davangere	14.46693	excellent
2022/07/21	ES	-0.18333	Gandia	38.96667	average
03/26/2016, 00:00:00	IT	15.07041	Catania	37.49223	excellent
29 May 2021	BG	24.71204	Smolyan	41.57439	average
2018-05-02	IN	85.83636	Dalsingh Sarai	25.66795	good
2020/10/30	IT	15.00913	Misterbianco	37.51803	average
2022-09-10	IN	86.79271	Madhipura	25.92127	maintenance
2021/07/04	DZ	4.62744	El Achir	36.06386	accep
12/06/2015, 00:00:00	US	-98.15529	San Juan	26.18924	good
05/08/2016, 00:00:00	IT	8.88104	Malnate	45.79377	average
27 Jul 2013	FR	2.45012	Bobigny	48.90982	accep
11/12/2020, 00:00:00	RS	19.61222	Sremska Mitrovica	44.97639	excellent
24 May 2020	DE	11.32903	Weimar	50.9803	good
2017/04/26	US	-75.60804	West Chester	39.96097	average
2015/03/22	KH	102.56365	Paoy Paet	13.65805	accep
2020-04-16	TH	103.65309	Roi Et	16.0567	average
2020-09-08	US	-76.72803	Woodlawn	39.32288	average
2015/09/05	DE	9.5926	Walsrode	52.86147	maintenance
2018-11-21	CD	24.99798	Kamina	-8.73508	average
29 Oct 2015	US	-74.13653	Port Richmond	40.63316	excellent
2022-06-16	US	-75.23266	Utica	43.1009	accep
2019/08/01	ID	98.6738	Labuhan Deli	3.7278	average
30 Aug 2018	CU	-81.24441	Varadero	23.15678	accep
12/18/2019, 00:00:00	ID	98.6738	Labuhan Deli	3.7278	average
15 Oct 2020	US	-116.97725	Beaumont	33.92946	average
04/08/2021, 00:00:00	IN	79.41727	Gingee	12.25282	building
2019/05/11	IN	82.85749	Elamanchili	17.54907	good
04/07/2018, 00:00:00	BW	27.46153	Tonota	-21.44236	excellent
25 May 2014	CF	15.87735	Carnot	4.94273	average
03 Nov 2020	ES	-4.10734	Puertollano	38.68712	excellent
07/17/2016, 00:00:00	US	-88.64235	Iron River	46.09273	good
05/25/2018, 00:00:00	ID	117.59152	Tarakan	3.31332	building
2014/03/10	PE	-69.08333	Yunguyo	-16.25	excellent
2016-12-24	IN	74.3092	Rajaori	33.37526	good
2012/12/17	PH	124.84472	Maasin	10.13361	accep
2016-05-03	KZ	59.6	Shalqar	47.83333	average
12/14/2015, 00:00:00	US	-84.62081	Waverly	42.7392	excellent
03/26/2015, 00:00:00	NL	5.22778	Culemborg	51.955	building
10/07/2012, 00:00:00	RU	38.2739	Yeysk	46.7055	good
09/03/2014, 00:00:00	BR	-52.67056	Pato Branco	-26.22861	average
11/20/2019, 00:00:00	IN	88.28637	Pandua	23.07492	good
2015/02/11	PH	120.4861	Manaoag	16.0438	good
2021-06-18	RU	60.70278	Ozersk	55.75556	good
2022/06/24	PT	-7.32097	Custoias	41.1053	excellent
2021/01/21	AR	-68.3	Ushuaia	-54.8	good
08/29/2014, 00:00:00	TZ	39.28333	Nyangao	-10.33333	excellent
2018/01/14	DZ	4.08282	Beni Douala	36.61954	average
2021/10/25	US	-122.2608	American Canyon	38.17492	accep
07/02/2017, 00:00:00	FI	24.95034	Kallio	60.18427	excellent
04/16/2013, 00:00:00	FR	2.18967	Rueil-Malmaison	48.8765	accep
2021/04/10	RU	47.1192	Buynaksk	42.819	good
19 Sep 2017	NG	4.18333	Olupona	7.6	average
04/21/2014, 00:00:00	AR	-68.3	Ushuaia	-54.8	average
12 Nov 2016	CN	117.63083	Pingyi	35.50056	maintenance
01/10/2021, 00:00:00	CO	-74.26419	Madrid	4.73245	excellent
02/02/2013, 00:00:00	BY	30.2049	Vitebsk	55.1904	average
12/21/2013, 00:00:00	IT	9.32241	Chiavari	44.31771	maintenance
2019-08-24	US	-73.75513	Far Rockaway	40.60538	average
2013/03/25	RU	69.49015	Ishim	56.11281	excellent
27 Dec 2012	SO	42.54536	Kismayo	-0.35817	average
2019-12-01	CD	24.43973	Yangambi	0.76755	excellent
2018-09-22	RU	35.90057	Tver	56.85836	accep
2020/12/10	JP	137.4	Toyokawa	34.81667	good
29 Dec 2015	JP	141.95	Yamada	39.46667	average
02/23/2022, 00:00:00	BR	-40.7475	Guaraciaba do Norte	-4.16694	accep
2019-06-11	US	-82.07842	Punta Gorda Isles	26.91756	accep
04 Jul 2022	FR	8.73812	Ajaccio	41.91886	excellent
2018/06/18	RU	43.2379	Mikhaylovka	50.06	average
30 Nov 2019	CN	114.51667	Wacheng	33.78333	accep
