NOx	warning	H2CO	NH3	O3	PM2.5	longitude	CH4	SO2	PRES	CFCs	PM10	C2H3NO5	Pb	latitude	TEMP	CO	PAHs
6.75865	1.00000	78.26429	7.39094	9.04382	6.33355	48.87498	8.15882	8.05686	1057.71724	59.04408	5.94596	2.22447	52.56215	38.45598	23.17399	12.54898	4.79568
6.66821	1.00000	66.01850	10.13661	8.88692	8.59615	137.23333	7.29003	8.16132	1135.26056	66.13546	4.93988	1.11192	44.35328	35.8	1.38072	5.92137	4.01902
6.83596	1.00000	42.45587	7.39122	8.93348	5.48226	151.07986	8.80694	7.79605	1141.25011	67.94456	6.35605	1.83734	64.66049	-33.88096	28.24051	7.49925	4.86657
6.67487	0.00000	28.17814	9.23628	6.84922	9.25915	4.18333	7.00279	7.99639	1117.67391	63.29361	9.49356	11.58949	51.93394	7.6	19.16850	9.55299	6.45053
7.44545	1.00000	31.91390	9.27780	8.38911	9.07552	4.91667	8.76457	7.14871	1118.73188	51.65117	5.05662	0.80017	48.66921	45.73333	10.57698	6.83516	5.60826
3.97676	1.00000	45.51947	7.79798	6.99880	2.58441	4.25633	8.63406	7.49772	1112.75055	58.34379	7.24621	2.30139	19.81636	51.21187	11.53259	12.81457	4.66273
6.26165	0.00000	67.12731	4.79781	5.32301	6.98744	-66.8499	6.43006	6.50089	1189.76645	68.44027	6.33570	2.02159	51.44284	18.03496	-1.69814	3.99965	8.82940
7.47072	1.00000	49.92492	9.11381	8.08684	6.08754	47.31667	5.95038	9.96670	1068.47090	75.32977	7.57771	2.75545	29.14167	-19.65	23.04886	9.26015	7.41904
8.93114	0.00000	38.11240	9.20325	9.19992	9.14006	36.73307	7.12458	7.21393	1194.46656	53.14479	4.55268	1.60840	66.55101	55.38752	17.75695	7.78490	6.82508
7.13401	0.00000	66.22892	7.49380	6.68857	8.37148	8.63333	6.40923	8.53856	1144.90508	72.30055	4.43249	1.84387	43.41651	52.2	20.27684	8.82159	8.47706
4.01939	0.00000	29.90856	7.55149	4.82906	9.31232	-45.94722	7.84896	9.03885	1180.89906	62.10890	10.30422	24.14951	33.20904	-21.42917	16.90197	11.79712	5.36093
6.77909	1.00000	38.80201	5.62848	8.39293	5.99168	32.88667	6.86803	4.70104	1182.70105	75.89704	6.66730	2.13427	38.81454	3.27833	16.10146	8.27439	7.87262
7.35052	0.00000	50.34432	11.26394	8.36217	9.42137	26.97253	8.00565	6.74473	1146.40626	53.88899	6.78541	2.77706	34.15690	49.65186	29.00341	9.32412	9.90380
5.20266	0.00000	44.68742	6.48458	8.34821	8.82665	109.3243	7.58960	7.97576	1146.59147	77.63828	6.81455	2.30706	51.68678	-7.0981	7.71313	8.91648	8.27907
9.58104	0.00000	48.30603	8.32708	7.40402	6.89460	-60.93173	6.97610	8.34426	1136.91736	70.76762	5.60288	1.74333	54.36000	-31.4488	19.44634	7.41267	8.49774
8.41656	0.00000	66.39844	8.59251	7.94012	7.38656	33.2525	7.10361	6.62051	1168.84877	68.78799	3.32618	1.18816	71.14603	57.97472	27.69038	6.41202	10.92079
