code	QoS	latitude	revision	station	longitude
BE	accep	51.24197	04/12/2018, 00:00:00	Lille	4.82313
CN	average	32.50611	2021/01/27	Jiangyan	120.14278
US	accep	20.88953	08/26/2019, 00:00:00	Kahului	-156.47432
CN	accep	35.85	26 Dec 2013	Dongdu	117.7
CN	accep	34.65918	13 Sep 2014	Yanliang	109.22921
DE	accep	50.23019	2017/11/04	Karben	8.77155
US	excellent	42.58342	04/07/2019, 00:00:00	Fitchburg	-71.8023
NL	good	52.14	06/17/2021, 00:00:00	Barneveld	5.58472
UA	good	50.75932	08/21/2017, 00:00:00	Lutsk	25.34244
IN	average	30.81383	2017/09/02	Moga	75.16878
NG	good	7.50251	03 Feb 2013	Igbara-Odo	5.06258
GB	accep	51.65	11/02/2018, 00:00:00	Barnet	-0.2
AU	good	-25.54073	2013-01-26	Maryborough	152.70493
JP	average	34.61667	13 Sep 2021	Yao	135.6
US	good	38.91817	2013/07/13	Front Royal	-78.19444
NI	excellent	11.84962	29 Aug 2021	Jinotepe	-86.19903
PH	building	16.455	03/03/2019, 00:00:00	La Trinidad	120.5875
CM	accep	4.2475	02 Mar 2017	Idenao	9.00472
RU	excellent	51.82721	05/11/2017, 00:00:00	Ulan-Ude	107.60627
US	average	34.09611	02/04/2016, 00:00:00	San Gabriel	-118.10583
US	excellent	34.14251	2016/05/02	Glendale	-118.25508
AO	average	-11.78333	2022-05-22	Luena	19.91667
AR	excellent	-31.25033	01/20/2013, 00:00:00	Rafaela	-61.4867
CN	average	29.98869	2017/11/21	Zhoushan	122.20488
BR	maintenance	-3.14306	2022/02/19	Itacoatiara	-58.44417
IN	average	21.34222	12/12/2017, 00:00:00	Kundla	71.30633
CD	excellent	0.49113	02 Feb 2021	Beni	29.47306
CN	average	46.08333	02/22/2019, 00:00:00	Ulanhot	122.08333
PH	good	9.6531	2014-03-06	Jagna	124.3697
US	accep	40.68066	2021/12/16	Massapequa	-73.47429
PH	building	9.3337	30 Jul 2019	Santa Catalina	122.8637
ES	accep	41.41204	2020-05-11	el Camp de l'Arpa del Clot	2.18247
RU	good	61.78491	25 Aug 2013	Petrozavodsk	34.34691
PE	average	-3.74912	2015-08-18	Iquitos	-73.25383
TN	good	36.46917	2018-09-11	Beni Khiar	10.78222
NL	accep	51.65333	08/20/2019, 00:00:00	Vught	5.2875
DE	excellent	51.168	2019-12-31	Finnentrop	7.973
BR	excellent	-14.66463	08/26/2021, 00:00:00	Nova Xavantina	-52.35558
GB	average	53.49389	10/19/2019, 00:00:00	Mexborough	-1.29243
GB	accep	53.49389	02 Jun 2014	Mexborough	-1.29243
ES	building	43.32686	10/05/2014, 00:00:00	Leioa	-2.98884
JP	accep	34.25	2018-12-09	Iwade	135.31667
DE	building	52.21099	15 Oct 2012	Gronau	7.02238
ID	accep	-7.54972	2020-11-04	Ngemplak	110.71639
ET	accep	11.85	2019-10-24	Debre Tabor	38.01667
BR	good	-22.57306	06/16/2019, 00:00:00	Artur Nogueira	-47.1725
NZ	average	-38.65333	2018-09-14	Gisborne	178.00417
BR	maintenance	-20.87306	31 Mar 2015	Viradouro	-48.29694
PK	building	25.80565	2022-07-06	Bhit Shah	68.49143
ES	maintenance	43.32686	07/04/2019, 00:00:00	Leioa	-2.98884
DZ	good	36.27462	2021/05/03	Bordj Zemoura	4.85668
GB	building	51.62907	2019/10/12	High Wycombe	-0.74934
BD	average	22.83957	05/29/2019, 00:00:00	Manikchari	91.84128
XK	good	42.62833	2017/02/14	Glogovac	20.89389
AR	accep	-31.4488	09 Sep 2019	Esperanza	-60.93173
ES	average	40.42386	2019/07/10	San Fernando de Henares	-3.53261
ES	excellent	41.63976	2014/10/15	Cardedeu	2.35739
IN	average	24.81757	2022/07/18	Rafiganj	84.63445
US	good	34.06635	2018/08/10	Acworth	-84.67837
TR	good	39.22493	09/08/2013, 00:00:00	Patnos	42.85693
US	excellent	34.25807	07/11/2018, 00:00:00	Tupelo	-88.70464
CU	accep	23.04419	03 Oct 2016	Jaruco	-82.00919
NG	accep	7.62789	12/18/2017, 00:00:00	Ilesa	4.74161
ZA	good	-26.93366	2017/10/03	Standerton	29.24152
RU	average	43.35071	09 Oct 2017	Gudermes	46.10925
RU	maintenance	53.53395	06/28/2016, 00:00:00	Zhukovka	33.72798
US	excellent	28.15112	28 Feb 2015	Lutz	-82.46148
ES	building	39.96348	05/07/2021, 00:00:00	Talavera de la Reina	-4.83076
BG	building	43.4125	07 Nov 2019	Montana	23.225
NG	average	7.62789	18 Nov 2015	Ilesa	4.74161
JP	excellent	36.65	03/04/2017, 00:00:00	Suzaka	138.31667
DE	good	50.9803	10/29/2015, 00:00:00	Weimar	11.32903
US	building	39.32011	01 Jun 2016	Rosedale	-76.51552
CA	good	46.23899	08/07/2015, 00:00:00	Charlottetown	-63.13414
BE	excellent	50.71229	04/06/2021, 00:00:00	Rixensart	4.52529
IN	accep	15.45144	23 Aug 2020	Betamcherla	78.14797
PH	good	10.20898	2012-10-03	Naga	123.758
IN	accep	23.07492	10/28/2013, 00:00:00	Pandua	88.28637
CL	excellent	-33.59217	2019/02/16	San Bernardo	-70.6996
BR	excellent	-25.42944	06/25/2015, 00:00:00	Palmeira	-50.00639
UA	average	49.65186	2017/08/23	Krasyliv	26.97253
ID	building	3.31332	2013-07-12	Tarakan	117.59152
MY	building	5.90702	03 Jun 2016	Donggongon	116.10146
CN	maintenance	35.64889	2018/03/02	Sishui	117.27583
NL	maintenance	51.44889	09/18/2021, 00:00:00	Tongelre	5.51978
DE	excellent	52.2	2022-09-10	Kirchlengern	8.63333
US	good	42.16808	2017-12-29	Huntley	-88.42814
ES	average	41.91738	27 Dec 2014	Palafrugell	3.1631
JP	average	35.8	06 Jun 2019	Gero	137.23333
RU	maintenance	51.82721	2022-07-24	Ulan-Ude	107.60627
IT	maintenance	43.1122	06/18/2018, 00:00:00	Perugia	12.38878
FR	good	41.91886	2020/03/15	Ajaccio	8.73812
KR	average	36.20389	2013/12/16	Nonsan	127.08472
US	average	33.7207	22 Sep 2015	Indio	-116.21677
MK	maintenance	41.92361	04 Apr 2022	Bogovinje	20.91361
CN	maintenance	36.19278	01/31/2020, 00:00:00	Laiwu	117.65694
RU	average	43.96222	2016/11/28	Novopavlovsk	43.63417
IT	building	36.92574	04/11/2021, 00:00:00	Ragusa	14.72443
GB	good	51.64316	2013/05/07	Bushey	-0.36053
PE	average	-11.94306	2017/03/03	Chosica	-76.70944
IT	excellent	42.22718	10/15/2020, 00:00:00	Lanciano	14.39024
RU	maintenance	55.38752	2014-01-21	Naro-Fominsk	36.73307
US	maintenance	40.93121	2017/02/15	Yonkers	-73.89875
PH	average	14.62578	03 May 2013	Antipolo	121.12251
IN	excellent	9.82564	2019/10/07	Tiruppuvanam	78.25795
IQ	accep	32.61603	02/03/2015, 00:00:00	Karbala	44.02488
NZ	average	-38.65333	2019-06-01	Gisborne	178.00417
MM	accep	14.0823	2019-03-25	Dawei	98.19151
US	building	42.52787	03/29/2014, 00:00:00	Peabody	-70.92866
US	good	34.14251	2019/07/23	Glendale	-118.25508
CD	building	0.49113	02 Jun 2013	Beni	29.47306
CO	accep	10.98778	01/24/2015, 00:00:00	Puerto Colombia	-74.95472
IT	average	36.92574	2017-10-24	Ragusa	14.72443
US	good	43.91452	2014/06/06	Brunswick	-69.96533
PH	excellent	6.33444	2021-02-25	Tupi	124.95278
CN	maintenance	23.02677	2014/03/23	Foshan	113.13148
ES	excellent	37.13548	13 Nov 2012	Las Gabias	-3.67029
IN	maintenance	10.12268	2014-12-24	Periyakulam	77.54372
CN	good	41.27194	03/16/2016, 00:00:00	Liaoyang	123.17306
IN	good	23.1959	2015/04/02	Kenda	86.51499
UA	average	49.65186	2021-02-23	Krasyliv	26.97253
FR	average	45.51667	19 Jun 2013	Vienne	4.86667
RU	average	54.39304	01/29/2020, 00:00:00	Bavly	53.26023
MW	excellent	-13.7804	06 Aug 2020	Salima	34.4587
CF	good	4.94273	12/05/2020, 00:00:00	Carnot	15.87735
US	excellent	34.25628	07/16/2022, 00:00:00	Leland	-78.04471
NG	average	7.6	02 Jun 2014	Olupona	4.18333
IN	good	12.04161	13 Feb 2013	Talipparamba	75.35927
BY	accep	55.1904	2018-10-17	Vitebsk	30.2049
DE	acceptable	52.21099	22 Jan 2016	Gronau	7.02238
BG	average	43.4125	11/09/2017, 00:00:00	Montana	23.225
AU	accep	-38.16604	2013-01-02	Frankston South	145.13643
FR	average	43.11667	2020-11-29	Pamiers	1.6
GB	excellent	52.66277	2017/11/15	Great Wyrley	-2.01111
MG	excellent	-19.65	10/20/2015, 00:00:00	Antanifotsy	47.31667
US	excellent	47.38093	2018/03/18	Kent	-122.23484
PL	accep	50.20528	2013-04-28	Jaworzno	19.27498
IN	maintenance	9.82564	2014/10/01	Tiruppuvanam	78.25795
DO	good	18.20854	01 Feb 2021	Santa Cruz de Barahona	-71.10077
UY	accep	-33.38056	2017/02/09	Durazno	-56.52361
JP	average	35.30889	09/09/2019, 00:00:00	Kamakura	139.55028
GB	average	50.75767	2019/05/15	Lymington	-1.5443
PK	average	29.69221	2015/01/09	Hasilpur	72.54566
MM	building	17.30858	12/28/2018, 00:00:00	Kyaikto	97.01124
ES	maintenance	38.38479	18 Sep 2013	Novelda	-0.76773
TH	excellent	13.44581	11 Oct 2012	Phanat Nikhom	101.18445
VE	excellent	8.35122	2016/10/19	Ciudad Guayana	-62.64102
IN	excellent	16.06213	2017/08/12	Hungund	76.0586
