PRES	latitude	longitude	PAHs	warning	TEMP	C2H3NO5	CH4	PM10	Pb	CO	PM2.5	O3	NH3	SO2	NOx	H2CO	CFCs
1166.30465	-28.24	-48.67028	7.84276	1.00000	-1.65290	2.60925	7.70735	5.41992	40.47278	8.56226	9.14491	7.79346	7.45628	5.47980	5.48451	76.78307	64.13273
1158.52739	-4.42472	-41.45861	5.41486	0.00000	19.29436	2.51505	7.39792	5.15831	40.50352	6.31464	7.45116	7.27048	6.84120	7.50970	6.31384	62.29559	66.30722
1076.64004	8.43333	99.96667	6.00833	1.00000	10.96341	2.13070	7.92861	5.64193	55.92947	5.11809	9.06075	6.13126	6.03879	8.02404	6.66320	34.48296	65.57440
1137.58634	41.50343	-74.01042	6.02235	1.00000	20.39599	3.36988	8.63249	3.50667	69.64414	4.78578	7.33507	5.45773	6.46208	7.23083	6.04212	65.13361	64.83697
1143.68226	-22.53722	-42.98194	5.74894	0.00000	7.53566	2.85682	7.82386	5.24956	47.18092	7.87786	8.35699	7.87948	6.30383	8.80137	8.63936	66.71638	60.56390
1101.87126	-14.66463	-52.35558	7.91753	1.00000	30.74549	3.66093	8.43858	7.21599	39.96315	6.48673	9.12513	6.36066	8.40700	3.26450	5.19005	50.42084	64.62631
1185.55293	46.23899	-63.13414	10.05041	1.00000	21.39743	1.88016	5.95971	5.61019	57.27617	5.23105	9.25715	7.62310	8.33958	4.54473	5.76404	59.18240	68.55661
1125.16106	10.31672	123.89071	7.99349	1.00000	19.89004	1.70229	8.99910	4.05361	48.69897	3.44902	7.23878	5.81734	8.90788	6.52972	5.07970	53.09358	65.38245
1170.57159	50.9803	11.32903	7.28991	0.00000	7.85030	2.50755	9.12288	5.16139	48.10178	11.98360	6.64808	7.74469	6.90091	10.55010	6.25953	70.42951	63.92247
1106.38414	-31.25033	-61.4867	6.12973	1.00000	16.96363	3.09206	9.56052	2.75138	29.25502	4.85067	7.03538	5.70785	7.12454	6.97568	6.83521	52.74923	49.13098
1186.40066	41.1053	-7.32097	7.81214	1.00000	14.31653	2.72685	9.95071	5.44722		9.21132	6.06220	5.00501	8.78938	6.80698	7.76802	57.39164	41.16523
1088.55999	38.47917	-1.325	7.06070	0.00000	23.79859	4.08466	4.16116	7.07127	60.61624	9.76361	5.72105	7.31051	5.31278	7.27093	4.63450	41.77724	67.65845
1090.20544	45.0408	-93.263	3.41411	0.00000	10.59602	3.37454	7.25175	4.98056	65.91480	5.35614	6.97209	5.67514	7.51242	6.53146	6.53344	71.89718	65.88943
1182.67943	41.94175	123.50266	6.10848	0.00000	16.11784	3.22643	6.85447	4.06566	37.66183	8.06470	4.18513	5.64937	6.75852	7.50499	6.06482	65.87343	52.47197
1144.42725	44.97639	19.61222	7.25077	0.00000	9.11726	3.71978	9.74884	6.90151	43.76404	8.69398	7.13237	7.12810	8.24678	4.48245	6.69267	45.07106	52.18414
1167.47369	37.58105	29.26639	7.96937	1.00000	23.63306	3.49719	8.93869	6.78868	33.09089	7.50930	7.93638	4.98068	7.78661	4.86077	6.22881	60.02183	49.72246
1101.51378	34.25628	-78.04471	7.30286	1.00000	23.17141	2.98321	7.56383	6.26960	47.62675	8.49958	7.16205	8.92409	6.53903	3.53464	7.75959	55.98433	62.04887
1199.03318	35.74788	-95.36969	9.92591	0.00000	11.05043	2.14022	5.93328	5.03652	27.67846	9.41597	6.26158	6.40364	6.65087	7.66708	6.59226	82.36297	68.56980
1158.83896	48.52961	12.16179	6.30282	0.00000	19.28056	2.53161	9.25092	4.05882	12.97382	9.00811	5.85865	7.15994	6.69883	9.06211	5.77195	45.20816	49.38524
1143.34757	31.78336	35.23388	7.82744	1.00000	10.98830	2.19729	9.73174	5.85543	23.28346	5.64540	8.10414	6.63210	5.64335	4.71178	6.07010	34.01381	62.56714
1162.53282	-1.9487	30.4347	9.52802	1.00000	19.76120	2.94165	5.86537	6.12211	47.38279	5.50800	9.07210	6.81874	8.19134	3.08008	6.59068	56.33095	86.24187
1065.51839	49.03685	8.70745	6.04075	0.00000	-2.13814	2.01710	8.16647	5.99552	41.21729	9.71852	8.15788	6.19703	7.09143	8.12597	4.81454	53.54179	53.52475
1132.18994	14.67751	-60.94228	8.23515	0.00000	27.47816	2.41020	6.34800	2.29202	67.51214	8.36681	6.68363	5.20226	6.85773	6.63743	6.51810	58.02355	70.21999
1185.66291	44.85278	65.50917	11.93021	0.00000	0.18086	2.06729	5.57188	5.75175	72.74193	6.59141	5.83536	6.19785	7.03909	10.47323	7.63925	48.09026	61.24142
1139.83224	40.87363	14.34085	8.61327	1.00000	13.98172	2.32951	9.14161	4.47327	21.96936	3.06946	9.31951	6.73195	7.96573	7.80368	7.17195	38.48723	39.75530
1122.46781	45.43341	-73.86586	5.35879	0.00000	12.74474	2.93813	8.02240	3.84355	53.52166	5.57204	6.26662	6.03812	6.00592	8.29779	7.28992	65.35004	79.75458
1139.63315	41.15612	1.10687	4.36880	0.00000	4.25344	1.30256	8.15738	2.35300	56.67298	6.61026	6.19712	7.48362	6.63865	10.12942	6.35453	62.11535	77.29523
1163.59379	-14.66463	-52.35558	9.45144	1.00000	9.42959	2.64174	7.82591	6.71344	48.62755	7.36764	9.43984	4.97227	7.44118	6.00761	6.37872	39.67639	63.51783
1186.06098	-19.7625	-44.31389	4.83998	0.00000	25.77701	2.07338	8.37068	5.97352	67.82117	7.42116	7.48478	9.26555	5.99875	6.70436	5.35959	67.66148	51.93837
1189.17826	41.1053	-7.32097	5.22516	0.00000	6.59824	2.74078	8.68472	3.94966	33.30269	8.65250	6.36320	6.35709	8.53481	9.09128	7.00676	89.72230	44.19871
1097.15982	16.0567	103.65309	5.03422	0.00000	27.70597	1.95287	7.71258	6.09756	56.10443	6.83297	7.16537	8.04110	5.70588	7.24393	5.48823	56.79832	61.83128
1126.87060	-22.92306	-53.13722	7.50379		31.86755	2.84809	8.52045	5.15349	44.08547	8.38619	10.09986	6.71947	8.35062	6.40533	7.18762	46.98345	56.89059
1050.33135	11.12018	76.11996	3.67189	1.00000	5.98780	2.39813	8.04345	3.97221	47.28609	6.12717	7.62910	5.23761	5.52095	8.44618	5.13302	54.80687	68.35368
1077.54176	11.93381	79.82979	5.31423	1.00000	23.31783	2.55840	8.38215	4.26661	56.71736	5.90387	7.92620	5.87824	6.58159	7.18677	7.42049	39.72460	44.30075
1050.06019	50.79205	-1.08593	8.69064	0.00000	6.81423	3.19534	5.26173	6.18385	37.66397	7.93909	5.00380	7.53873	6.83340	8.73475	8.10142	53.08034	67.22201
1181.26427	56.11281	69.49015	8.48717	1.00000	2.01857	2.62912	8.99377	5.48964	55.93145	8.34543	7.18178	6.01042	6.73595	6.65158	6.90362	65.48545	71.65852
1140.64725	44.97639	19.61222		1.00000	14.44452	3.30518	9.24430	7.34147	51.80095	4.71483	10.04043	6.76149	8.79338	7.01754	8.92294	60.02231	50.02038
1105.98653	53.49389	-1.29243	7.33019	0.00000	7.26638	2.06678	5.80016	3.25139	66.55084	7.52961	5.49025	6.39484	5.23359	6.82101	4.86762	59.46335	55.41878
1069.52259	36	139.55722	5.10988	1.00000	0.29284	1.94653	9.73674	3.08523	67.34772	10.48354	6.03407	7.29014	5.43036	6.52003	7.51558	31.96930	58.95146
1098.02530	50.7236	-3.52751	7.93035	1.00000	6.09664	2.67353	8.10102	5.73783	51.27409	5.90019	10.01877	7.13764	7.05232	5.61995	5.14147	69.47087	51.04329
1160.16739	52.66277	-2.01111	1.49933	1.00000	10.89126	1.69032	5.61951	4.50056	34.97530	6.38587	7.65501	6.72099	5.85231	11.31102	6.49840	50.06941	48.76081
1129.06641	38.17492	-122.2608	3.99137	1.00000	20.05602	2.63752	7.81487	4.61903	44.84778	5.04191	7.88076	5.37510	8.75517	9.54151	6.43092	64.25179	62.11072
1172.22286	34.4833	136.84186	6.27683	0.00000	13.77910	2.19213	2.69047	4.67900	51.21641	5.94205	5.89805	7.33937	7.91251	6.94416	4.40080		58.40845
1113.46263	41.57439	24.71204	4.77021	0.00000	30.70711	3.07972	4.76936	4.18153	53.71907	9.81355	5.05143	5.64612	8.41045	5.92549	5.71301	23.59891	60.63609
