longitude	code	latitude	revision	station	QoS
35.23388	PS	31.78336	03 Jan 2014	East Jerusalem	maintenance
112.19028	CN	30.35028	07/01/2013, 00:00:00	Jingzhou	good
-0.76773	ES	38.38479	01/28/2021, 00:00:00	Novelda	good
-37.03861	BR	-10.90889	2021-04-16	Barra dos Coqueiros	accep
114.33333	ID	-8.43333	09 Jul 2019	Muncar	good
101.18445	TH	13.44581	2017/12/08	Phanat Nikhom	average
5.4584	FR	43.32393	12/27/2019, 00:00:00	Les Olives	good
-8.2503	PT	37.08819	27 Oct 2020	Albufeira	accep
-76.43941	US	39.33427	2019-12-09	Middle River	average
77.656	IN	28.71271	2012/11/16	Pilkhua	excellent
24.14662	FI	65.84811	11 Oct 2012	Tornio	excellent
75.92694	IN	14.46693	2022/02/10	Davangere	accep
-85.43772	CR	10.63504	2017/05/25	Liberia	accep
-87.88754	US	41.15376	2018-02-24	Bourbonnais	average
-79.59415	EC	-2.13404	02/10/2017, 00:00:00	Milagro	average
55.4504	RE	-20.88231	02/15/2020, 00:00:00	Saint-Denis	maintenance
7.2278	DE	50.64336	2012-12-03	Bad Honnef	good
48.41667	MG	-17.83333	14 May 2016	Ambatondrazaka	excellent
-89.99038	US	38.58894	06/17/2021, 00:00:00	Fairview Heights	accep
-74.28459	US	40.5576	30 Jul 2020	Woodbridge	maintenance
-97.92977	US	38.06084	2015-07-24	Hutchinson	maintenance
-115.98391	US	36.20829	2020-06-17	Pahrump	excellent
73.66633	IN	25.92493	12/16/2017, 00:00:00	Sojat	building
33.2525	RU	57.97472	2017/11/06	Valday	excellent
-97.92977	US	38.06084	2015/04/27	Hutchinson	excellent
99.1625	ID	3.3285	2019-06-02	Tebingtinggi	good
-119.0376	US	34.21639	2012-12-16	Camarillo	excellent
-73.86586	CA	45.43341	2022/08/01	Beaconsfield	building
111.4834	RU	65.93381	2014-06-24	Aykhal	good
-73.89125	US	40.67705	2022/03/27	Cypress Hills	good
5.74861	NL	52.71083	13 Jun 2017	Emmeloord	average
-2.58736	GB	56.56317	14 Jan 2022	Arbroath	average
-79.2663	CA	43.86682	2014-06-28	Markham	excellent
116.82887	ID	-1.26753	11 Jan 2015	Balikpapan	average
9.02596	DE	48.21644	03 Apr 2015	Albstadt	accep
139.55722	JP	36	2020-08-12	Okegawa	building
-69.08333	PE	-16.25	07/09/2018, 00:00:00	Yunguyo	maintenance
10.18003	LY	24.96334	12/07/2016, 00:00:00	Ghat	good
30.2049	BY	55.1904	2018/11/29	Vitebsk	accep
117.59152	ID	3.31332	2013/09/03	Tarakan	building
-1.05366	FR	43.71032	2014/09/15	Dax	excellent
117.59152	ID	3.31332	2021/04/08	Tarakan	good
-116.97725	US	33.92946	12/26/2017, 00:00:00	Beaumont	average
-73.97069	US	40.64621	10/15/2021, 00:00:00	Kensington	building
-83.55521	US	41.66394	07/14/2014, 00:00:00	Toledo	maintenance
29.26639	TR	37.58105	2017-12-16	Serinhisar	building
19.61222	RS	44.97639	13 Mar 2022	Sremska Mitrovica	average
43.38531	SO	9.89206	2019/04/19	Baki	accep
24.71204	BG	41.57439	22 Oct 2020	Smolyan	good
-9.24671	PT	38.72706	10/30/2020, 00:00:00	Carnaxide	average
15.28318	CG	-4.26613	2016/04/24	Brazzaville	good
-88.42814	US	42.16808	29 Jul 2016	Huntley	accep
110.8405	ID	-6.8048	08/03/2017, 00:00:00	Kudus	excellent
102.3278	MY	2.2139	2022/06/05	Kampung Ayer Molek	building
-93.12577	US	44.73941	2015-05-05	Rosemount	excellent
38.12408	RU	53.77166	10 Sep 2021	Bogoroditsk	building
146.05093	AU	-34.28853	09/30/2012, 00:00:00	Griffith	good
10.7	CM	4.96667	14 Jun 2021	Tonga	accep
136.84186	JP	34.4833	14 May 2016	Toba	excellent
-1.29772	GB	50.76306	2015-03-25	Cowes	good
-79.00453	EC	-2.90055	05/01/2021, 00:00:00	Cuenca	good
-68.3	AR	-54.8	09 Dec 2014	Ushuaia	good
30.2049	BY	55.1904	04 Apr 2020	Vitebsk	excellent
-89.64066	US	40.56754	2019/05/17	Pekin	average
-122.24064	US	47.80527	2016-03-27	Bothell West	accep
13.29371	DE	52.53048	02 Sep 2013	Charlottenburg-Nord	accep
122.20488	CN	29.98869	19 Mar 2022	Zhoushan	accep
-98.11889	MX	19.04222	2016/01/31	Casa Blanca	excellent
-68.3	AR	-54.8	04 Dec 2016	Ushuaia	excellent
-93.71133	US	41.57721	10/11/2014, 00:00:00	West Des Moines	maintenance
-25.66689	PT	37.74615	05/11/2017, 00:00:00	Ponta Delgada	accep
104.1451	TH	15.79408	04/09/2019, 00:00:00	Yasothon	building
-86.78777	US	33.44872	06 May 2022	Vestavia Hills	average
146.05093	AU	-34.28853	2017/02/01	Griffith	good
78.27539	IN	12.95629	2017-01-28	Robertsonpet	excellent
43.91385	RU	54.03876	06/10/2022, 00:00:00	Kovylkino	good
-116.56346	US	43.54072	2014-01-27	Nampa	maintenance
117.59152	ID	3.31332	09/12/2014, 00:00:00	Tarakan	accep
53.26023	RU	54.39304	05 Apr 2013	Bavly	good
65.50917	KZ	44.85278	2020-10-05	Kyzylorda	average
69.01354	TJ	38.55632	11/11/2013, 00:00:00	Vahdat	accep
102.42587	TH	15.58552	10/22/2021, 00:00:00	Bua Yai	accep
17.58522	IT	40.53123	28 Jul 2019	Francavilla Fontana	maintenance
-123.02621	US	44.99012	12 Aug 2018	Keizer	building
-41.45861	BR	-4.42472	2018-06-08	Pedro II	good
100.48528	TH	14.37395	09/09/2015, 00:00:00	Bang Ban	good
32.88667	UG	3.27833	10 Jun 2019	Kitgum	building
120.89694	PH	14.95472	2016/05/03	Baliuag	good
145.18333	AU	-37.9	2014/11/19	Wheelers Hill	excellent
79.5286	IN	29.22254	2016-12-09	Haldwani	average
-81.23621	US	33.98154	17 Dec 2015	Lexington	good
-48.59278	BR	-23.7975	2017/10/27	Buri	excellent
104.09701	ID	-1.26424	16 Dec 2012	Simpang	good
13.39954	IT	43.62558	2017-07-02	Falconara Marittima	average
9.40531	IT	45.53069	06/12/2015, 00:00:00	Gorgonzola	accep
-3.05814	GB	53.00974	2020/10/31	Rhosllanerchrugog	excellent
10.58082	TN	35.72917	05/27/2020, 00:00:00	Msaken	excellent
12.87117	CZ	50.23271	20 Jul 2019	Karlovy Vary	accep
2.25	FR	50.75	16 Mar 2022	Saint-Omer	good
-81.77285	US	28.54944	08 Nov 2012	Clermont	maintenance
19.61222	RS	44.97639	2015/07/05	Sremska Mitrovica	accep
-37.07167	BR	-10.91111	2022/07/06	Aracaju	good
-71.23106	CL	-32.45242	08/17/2016, 00:00:00	La Ligua	excellent
-76.72803	US	39.32288	2013/11/15	Woodlawn	good
-86.99666	US	33.45122	2014-12-16	Hueytown	accep
0.75	GB	52.41667	10 May 2013	Thetford	building
20.89389	XK	42.62833	07/29/2021, 00:00:00	Glogovac	good
3.64633	NG	6.8485	07/31/2017, 00:00:00	Shagamu	excellent
-8.33147	PT	41.20485	30 Sep 2015	Paredes	excellent
115.04814	CN	30.24706	16 Jan 2014	Huangshi	average
136.61667	JP	36.53333	23 Jun 2013	Nonoichi	maintenance
-3.59625	CI	5.27247	01 Feb 2014	Bonoua	average
101.44167	ID	0.51667	2018-01-31	Pekanbaru	good
-94.91386	MX	17.94979	28 Aug 2013	Acayucan	excellent
7.973	DE	51.168	14 Jun 2016	Finnentrop	maintenance
-73.95097	US	40.72371	04 Aug 2019	Greenpoint	building
-72.09391	HT	18.65297	2017/08/09	Thomazeau	good
-79.00453	EC	-2.90055	2021/07/24	Cuenca	average
27.25	BG	42.7	2012-12-23	Aytos	building
1.6	FR	43.11667	2014-12-21	Pamiers	excellent
37.3825	TR	37.05944	2014/05/13	Gaziantep	average
37.00438	TZ	-7.60361	2017/07/20	Kidodi	accep
-95.30106	US	32.35126	2021/09/05	Tyler	good
2.29275	FR	48.79325	12 Aug 2020	Fontenay-aux-Roses	good
115.88782	AU	-32.05251	2020-10-21	Willetton	average
56.36091	RU	51.78771	2014-07-09	Saraktash	accep
138.31667	JP	36.65	10/29/2014, 00:00:00	Suzaka	building
9.85	DE	53.63333	26 Apr 2013	Halstenbek	good
6.8625	DE	51.47805	2021/12/02	Oberhausen	building
-78.19444	US	38.91817	2016/07/05	Front Royal	good
-4.0573	GB	55.82737	22 Nov 2017	Viewpark	good
75.11937	IN	20.88098	23 May 2019	Parola	average
107.60627	RU	51.82721	24 Jul 2016	Ulan-Ude	good
-3.53261	ES	40.42386	2020-03-26	San Fernando de Henares	average
-71.05977	US	42.35843	03/06/2018, 00:00:00	Boston	average
-99.32556	MX	19.32889	10/03/2015, 00:00:00	San Lorenzo Acopilco	accep
78.95693	IN	29.21399	12 Aug 2022	Kashipur	good
76.56719	IN	24.41288	12 Jul 2022	Aklera	building
-122.38731	US	45.53929	23 Sep 2019	Troutdale	building
116.11768	CN	24.28859	2018/04/26	Meizhou	accep
-38.79084	BR	-10.95817	2014/01/04	Tucano	average
125.51176	CN	42.64031	2021-06-29	Dongfeng	good
-70.6996	CL	-33.59217	14 Jun 2022	San Bernardo	average
-94.74049	US	32.5007	2014-12-27	Longview	accep
6.51352	DE	51.19139	31 Aug 2022	Korschenbroich	excellent
10.78222	TN	36.46917	2012-10-28	Beni Khiar	building
11.32903	DE	50.9803	21 Aug 2018	Weimar	maintenance
-2.01111	GB	52.66277	2022-04-10	Great Wyrley	excellent
-83.2321	US	33.08014	07 May 2022	Milledgeville	accep
71.67164	PK	30.29184	07 Oct 2017	Qadirpur Ran	excellent
-61.4867	AR	-31.25033	2017/12/11	Rafaela	average
118.53333	CN	27.92333	2019/02/04	Pucheng	good
46.04833	RU	51.40944	27 Nov 2013	Privolzhskiy	average
7.60872	IT	43.78956	2013/04/11	Ventimiglia	building
15.28318	CG	-4.26613	2022/02/02	Brazzaville	excellent
144.23058	PG	-5.85746	10/18/2012, 00:00:00	Mount Hagen	building
59.4839	RU	58.7002	2021-04-28	Kachkanar	excellent
48.41667	MG	-17.83333	10/23/2012, 00:00:00	Ambatondrazaka	maintenance
-82.35176	US	27.71809	2018-09-15	Sun City Center	maintenance
84.13864	IN	22.88783	2022/08/16	Jashpurnagar	accep
-37.03861	BR	-10.90889	24 Jan 2019	Barra dos Coqueiros	average
12.53463	DK	55.67938	03/31/2013, 00:00:00	Frederiksberg	accep
103.81667	MY	1.6	09 Dec 2012	Ulu Tiram	excellent
9.40531	IT	45.53069	2017-12-19	Gorgonzola	accep
75.11937	IN	20.88098	2020/02/19	Parola	average
-73.49484	US	41.14676	12/05/2021, 00:00:00	New Canaan	excellent
14.01481	IT	42.67164	21 Jan 2022	Roseto degli Abruzzi	average
76.11996	IN	11.12018	14 Dec 2018	Manjeri	good
-48.52333	BR	-0.71667	2020-07-16	Soure	good
42.85693	TR	39.22493	2018-06-21	Patnos	building
69.49015	RU	56.11281	30 May 2013	Ishim	good
-119.0376	US	34.21639	2021-10-06	Camarillo	excellent
38.07083	RU	54.90083	24 Dec 2021	Stupino	excellent
-52.2	BR	-28.44917	09/13/2021, 00:00:00	Marau	accep
-88.70464	US	34.25807	12 Oct 2013	Tupelo	excellent
-82.42491	US	42.97086	17 Jul 2020	Port Huron	accep
-2.98333	GB	53.83333	14 Apr 2016	Poulton-le-Fylde	building
-87.93341	US	42.55308	02/25/2022, 00:00:00	Pleasant Prairie	maintenance
99.96667	TH	8.43333	29 Mar 2019	Nakhon Si Thammarat	good
-122.2054	US	47.76232	2013-02-05	Bothell	maintenance
-99.32556	MX	19.32889	16 Jan 2020	San Lorenzo Acopilco	average
-121.74052	US	38.54491	2018/08/30	Davis	good
103.65309	TH	16.0567	2013/06/23	Roi Et	average
102.3278	MY	2.2139	2020-10-28	Kampung Ayer Molek	excellent
-72.27814	US	42.93369	12/14/2019, 00:00:00	Keene	good
77.656	IN	28.71271	2018-09-11	Pilkhua	good
30.96755	UA	49.07866	07/17/2013, 00:00:00	Zvenihorodka	good
-52.51028	BR	-28.81833	08/31/2018, 00:00:00	Soledade	good
116.10146	MY	5.90702	2013/12/07	Donggongon	average
-88.3162	US	42.24113	18 Jul 2022	Crystal Lake	excellent
117.33333	CN	34.85	05/30/2022, 00:00:00	Taozhuang	average
37.56667	RU	55.85	06/18/2018, 00:00:00	Likhobory	accep
-119.27337	CA	50.26729	08 Oct 2021	Vernon	excellent
39.25	TZ	-6.8	09/30/2014, 00:00:00	Magomeni	excellent
120.4861	PH	16.0438	2015/09/17	Manaoag	accep
13.39954	IT	43.62558	08/25/2013, 00:00:00	Falconara Marittima	good
-72.09391	HT	18.65297	11 May 2016	Thomazeau	building
2.95924	DZ	36.76775	21 Mar 2017	Cheraga	average
44.53333	MG	-22.9	10/03/2017, 00:00:00	Sakaraha	accep
34.3869	SD	11.8659	2015-03-12	Ar Ruseris	average
-37.65	BR	-10.91722	01/22/2014, 00:00:00	Lagarto	average
77.24779	IN	10.58806	2014-11-20	Udumalaippettai	accep
-51.87389	BR	-23.44361	06 Feb 2016	Sarandi	accep
99.89166	TH	15.46063	28 Jun 2022	Thap Than	maintenance
-73.9614	CO	10.15031	2019/05/26	El Copey	good
-73.9625	US	40.81	2021/06/23	Morningside Heights	average
5.06258	NG	7.50251	01 Sep 2014	Igbara-Odo	good
34.8732	IL	32.05971	08/04/2015, 00:00:00	Ganei Tikva	building
10.03988	DE	53.6052	09/09/2022, 00:00:00	Barmbek-Nord	average
4.07601	BE	50.88506	2017/09/20	Denderleeuw	accep
-1.99421	GB	51.35084	09/09/2016, 00:00:00	Devizes	good
92.48278	RU	58.23583	2013-07-13	Lesosibirsk	good
51.3452	RU	53.37596	2015-05-27	Otradnyy	maintenance
13.57661	IT	37.31065	01 Apr 2021	Agrigento	average
-35.71667	BR	-8.66667	2013/10/21	Catende	excellent
-47.53028	BR	-22.45667	2019/11/10	Santa Gertrudes	excellent
-111.89903	US	33.50921	10/10/2015, 00:00:00	Scottsdale	building
4.92235	NG	7.65649	2019/06/07	Efon-Alaaye	maitennce
-1.08593	GB	50.79205	2021-03-10	Southsea	average
-74.96933	US	39.71734	02/24/2013, 00:00:00	Sicklerville	maintenance
-122.2608	US	38.17492	2018-10-27	American Canyon	accep
