SO2	longitude	PAHs	TEMP	CH4	C2H3NO5	PM2.5	latitude	PM10	NH3	warning	H2CO	NOx	Pb	PRES	O3	CO	CFCs
9.92788	-97.54667	9.07239	6.78799	7.95577	0.14716		30.5427	5.48738	6.64788	0.00000	45.46301	8.72772	52.04302	1178.75816	6.91184	9.23319	81.70092
8.31553	85.94001	10.53906	8.20372	6.54662	0.12003	10.16448	25.49043	4.82745	8.36365	1.00000	42.16151	8.85095	46.34509	1146.97637	10.72871	7.92694	84.31243
11.41750	150.99292	5.39007	20.60111	7.54178	0.17493	10.17531	-33.75881	4.27651	8.06640	0.00000	40.24128	7.75963	49.04108	1085.42163	5.17090	5.37413	83.30505
5.63534	28.28489	7.22059	11.47163	5.61488	0.15031	7.46996	48.15659	5.85746	6.36794	1.00000	50.16557	6.74250	58.43679	1094.56715	7.25264	7.85069	82.88790
6.48171	-47.53028	9.45902	9.35293	6.50888	0.21591	6.90792	-22.45667	5.15860	7.78301	1.00000	44.38132	8.76087	57.34349	1087.85015	9.06754	6.48992	70.43562
6.86560	38.01667	8.17708	23.96421	6.50179	0.10576	4.42633	-5.41667	4.72319	8.34599	0.00000	15.71283	7.26552	49.93480	1192.12408	10.62367	8.94633	70.39382
6.31496	29.47306	5.94122	6.87172	9.88905	0.75078	5.35978	0.49113	8.73774	6.67142	1.00000	47.46600	7.90828	53.24642	1133.86405	5.19332	7.13978	79.03164
4.70040	-86.99666	4.15905	20.12686	10.89902	1.44708	6.44344	33.45122	9.59967	7.59490	1.00000	41.99130	7.53645	61.93935	1059.22638	4.69907	8.36263	75.02883
4.64367	79.82979	6.07347	15.67096	6.59097	1.00493	5.38935	11.93381	9.19547	5.10447	1.00000	57.20889	7.54419	31.78045	1143.26810	5.83272	7.98948	75.60152
6.82251	-111.89903	4.66203	20.61035	9.41584	0.43214	8.35378	33.50921	8.01830	6.26999	0.00000	52.18486	7.13782	41.33214	1079.82053	7.48548	7.89127	81.14892
7.88659	4.92235	6.14138	11.85697	8.96730	0.25033	7.01438	7.65649	6.32951	10.07446	0.00000	34.40134	8.51005		1162.30008	6.10498	6.38835	72.80689
9.04729	28.88222	9.12181	15.48938	7.34246	0.14901	5.76667	40.37528	5.28125	6.60339	0.00000	67.25951	7.43091	48.50222	1166.74382	9.06132	8.46084	88.16323
6.67229	-1.325	5.76861	11.89082	9.70969	0.31500	5.80657	38.47917	7.49007	7.01197	1.00000	38.78106	6.64114	62.17267	1192.11556	5.90440	6.89864	76.99260
7.56647	76.32756	9.97359	-5.06541	5.31445	3.94355	1.78205	9.57046	10.67830	7.22664	1.00000	45.55178	8.57325	31.96387	1193.13569	9.47050	6.31760	68.03915
6.59930	118.9707	5.73385	3.92163	9.47036	0.22762	8.33603	-3.5403	6.97757	7.41298	1.00000	60.52989	7.90168	61.20798	1193.31407	6.13935	7.10220	93.58804
8.92867	6.26764	9.62844	9.40515	4.07796	0.21172	6.49362	4.92675	6.86476	6.57803	0.00000	32.38580	7.37712	47.16599	1192.94559	6.65269	8.72418	74.78322
10.36777	4.47124	7.22104	21.32932	6.25608	0.25042	7.44517	51.95838	6.69210	6.97514		40.93597	8.97214	51.08114	1094.18917	8.66521	7.28006	81.63907
6.02038	-4.10734	7.03049	-6.13947	6.03086	0.10466	7.33844	38.68712	5.34559	7.06881	1.00000	55.27877	6.97798	55.46124	1196.35321	6.64511	8.30084	78.34766
6.21115	43.38531	10.19968	7.62462	9.36438	0.29166	10.31720	9.89206	7.61341	8.16789	1.00000	55.44306	8.02221	80.28920	1165.79371	9.05156	7.96603	76.04653
