station	code	QoS	longitude	latitude	revision
Rutland	US	excellent	-72.97261	43.61062	2016/11/07
Arua	UG	maintenance	30.91105	3.02013	19 Jun 2020
Majene	ID	good	118.9707	-3.5403	2019/09/23
Novelda	ES	average	-0.76773	38.38479	10/05/2016, 00:00:00
Vienne	FR	good	4.86667	45.51667	2019-05-25
Beni	CD	good	29.47306	0.49113	31 Oct 2014
Mudanya	TR	excellent	28.88222	40.37528	19 Aug 2013
Khairpur Mir’s	PK	maintenance	68.75915	27.52948	25 Jan 2022
Dorval	CA	excellent	-73.75335	45.4473	17 Mar 2014
Cheraga	DZ	average	2.95924	36.76775	02/08/2022, 00:00:00
Nizhniy Lomov	RU	accep	43.67663	53.53041	04/07/2019, 00:00:00
Gronau	DE	maintenance	7.02238	52.21099	2019/05/27
Tandil	AR	average	-59.13316	-37.32167	25 Oct 2017
Kendall	US	excellent	-80.31727	25.67927	27 Apr 2016
Rosedale	US	good	-76.51552	39.32011	2018/12/22
Yashkino	RU	maintenance	85.4265	55.8736	11/09/2014, 00:00:00
Sathyamangalam	IN	accep	77.23826	11.50526	2013/08/19
Kalavoor	IN	building	76.32756	9.57046	12 Jan 2020
Poulton-le-Fylde	GB	building	-2.98333	53.83333	2015-10-15
West Chester	US	excellent	-75.60804	39.96097	2018-12-09
Puertollano	ES	accep	-4.10734	38.68712	12 Jul 2015
Udumalaippettai	IN	accep	77.24779	10.58806	2017-07-02
Mirriah	NE	excellent	9.15013	13.70727	2021/12/02
San Fernando de Henares	ES	good	-3.53261	40.42386	12/15/2013, 00:00:00
Artur Nogueira	BR	accep	-47.1725	-22.57306	12/04/2013, 00:00:00
Glendale	US	building	-118.25508	34.14251	21 Feb 2020
Guaraciaba do Norte	BR	good	-40.7475	-4.16694	2013-03-29
Albstadt	DE	average	9.02596	48.21644	2015-03-29
Talence	FR	good	-0.59543	44.80477	2020/02/17
Deltona	US	excellent	-81.26367	28.90054	07/11/2019, 00:00:00
Shinshiro	JP	maintenance	137.5	34.9	21 Sep 2016
Covington	US	accep	-84.50855	39.08367	06/06/2016, 00:00:00
Kyaikto	MM	average	97.01124	17.30858	2014/12/03
Burscheid	DE	average	7.11393	51.08468	2016-06-07
Bhit Shah	PK	excellent	68.49143	25.80565	11/07/2012, 00:00:00
Rosemount	US	accep	-93.12577	44.73941	04/13/2022, 00:00:00
Kenda	IN	accep	86.51499	23.1959	2022/01/26
South Lawndale	US	accep	-87.71255	41.84364	2016/06/12
Sojat	IN	excellent	73.66633	25.92493	2013/04/02
Port Richmond	US	average	-74.13653	40.63316	2014/08/19
Stockbridge	US	accep	-84.23381	33.54428	2015-02-02
Danilov	RU	excellent	40.17171	58.1908	27 Dec 2020
Gisborne	NZ	accep	178.00417	-38.65333	2021/02/19
Kheda	IN	good	72.68533	22.75218	2016-07-17
Puertollano	ES	maintenance	-4.10734	38.68712	02 Jun 2015
Pekin	US	good	-89.64066	40.56754	10/06/2017, 00:00:00
Crystal Lake	US	accep	-88.3162	42.24113	2017-09-30
Nova Xavantina	BR	good	-52.35558	-14.66463	13 Dec 2015
Pato Branco	BR	good	-52.67056	-26.22861	30 Sep 2013
Woodlawn	US	excellent	-76.72803	39.32288	04 Apr 2015
