PRES	PM10	PAHs	PM2.5	O3	Pb	warning	NH3	CO	SO2	longitude	CH4	NOx	CFCs	H2CO	TEMP	C2H3NO5	latitude
1138.41622	5.81681	9.87821	6.03566	6.36864	34.32263	0.00000	9.85118	9.72845	6.62689	7.2278	8.97237	8.34448	57.94709	42.48101	15.10211	1.68951	50.64336
1199.38630	6.17963	4.62829	6.37223	10.20956	48.67061	1.00000	5.82490	10.07904	7.61134	-88.42814	4.25568	9.69614	71.19184	65.84000	22.78476	2.27464	42.16808
1122.61130	7.62185	8.34206	7.62058	5.66207	49.63493	0.00000	8.26440	9.28352	6.79714	139.6853	8.32150	8.73544	48.26905	60.13945	30.76882	3.32990	35.815
1089.22223	8.41999	6.29772	7.66580	7.57526	44.65768	1.00000	4.43747	11.31430	7.82241	68.11759	5.95608	8.20412	66.08576	31.11086	19.02351	7.71300	26.9423
1090.40809	7.59045	7.80801	8.20353	4.63079	70.82724	0.00000	5.96953	9.19583	8.63732	-76.51552	5.88907	11.01849	63.20789	28.81532	0.29007	4.65567	39.32011
1122.02826	7.25912	6.18091	8.49122	9.93617	45.22110	1.00000	5.91416	7.78225	7.62929	65.50917	6.22662	9.51072	54.50074	35.59961	0.59419	3.79209	44.85278
1077.17913	6.96110	6.73995	8.82476	8.56158	48.79100	1.00000	7.85918	7.75678	7.95233	-76.51552	9.34410	9.39680	48.87216	53.18351	7.47965	3.02349	39.32011
1142.70045	8.21336	9.87606	5.82720	11.29498	55.70960	1.00000	8.79926	7.46822	7.42033	-2.98884	12.62521	6.73891	57.59791	39.24463	15.42534		43.32686
1095.63028	7.45424	4.76228	7.27718	8.84034	55.81892	1.00000	6.73652	8.60133	8.04126	7.11393	5.66155	7.54722	46.24544	41.12706	14.79201	4.52962	51.08468
1100.89537	8.02988	8.05166	8.16671	10.47300	76.74237	1.00000	7.21268	7.43576	6.79757	51.67462	5.86461	7.81011	62.31736	44.88880	26.76799	6.21657	32.65246
1125.48223	8.98495	6.38971	7.45633	5.18715	57.20061	0.00000	6.38853	7.24753	7.00359	15.87735	7.03230	9.83676	42.53437	24.84588	33.91755	14.46628	4.94273
1169.58453	7.65330	5.39106	6.92614	8.65101	90.92622	1.00000	5.70871	5.78812	7.22819	28.19028	7.79522	8.77847	49.62228	62.23153	7.71501	4.82887	59.37722
1163.95113	6.98109	5.44306	5.64689	10.45275	64.58028	1.00000	6.33387	8.80792	7.43144	16.4	3.32458	11.42754	63.40922	48.91417	13.46774	3.25552	48.25
1061.17908	7.42796	4.78878	6.46174	9.50262	44.72843	1.00000	5.28298	8.39889	7.52204	86.59611	6.76642	9.48475	57.20229	32.08627	4.09146	5.45659	25.87498
1186.94718	7.20636	4.13931	7.10280	7.75591	59.68786	1.00000	1.92922	3.05536	7.94851	-71.29144	7.54255	10.34694	33.66950	66.59417	6.47680	4.52841	41.54566
1072.03068	8.13140	7.45100	8.55125	8.05667	77.38052	1.00000	7.27144	7.32773	5.84249	-87.66561	6.78791	6.60115	48.12655	48.96845	0.58136	7.27062	41.8542
1152.35117	7.19728	4.09699	7.99125	9.03890	44.10284	1.00000	7.40580	5.11651	8.87496	-1.5443	8.07272	7.39937	7.80081	32.24245	5.35986	4.43810	50.75767
1111.75806	7.75159	4.61544	8.32263	8.34006	61.04352	1.00000	5.79878	10.63919	7.72456	-2.68758	5.42591	6.87953	49.76563	52.24695	7.52228	4.43860	53.69786
1118.35428	7.65766	9.17577	5.65982	5.56251	64.06129	0.00000	6.55044	7.84558	8.44787	-120.45794	9.09253	10.04577	33.87238	34.54953	27.36506	5.58231	34.63915
1151.85802	8.02267	7.51265	7.85365	9.20705	54.25107	1.00000	7.06031	7.35417	6.86057	-0.74934	5.99705	7.81397	47.69142	38.84804	13.26137	7.32081	51.62907
1176.85638	7.17125	8.83163	7.90060	6.95176	74.05256	0.00000	5.55311	6.10057	6.93260	11.04979	5.53825	9.62052	37.23872	45.35681	16.91818	3.40407	44.59445
1053.25566	5.52712	3.37845	8.16404	6.35659	69.73498	1.00000	3.51455	3.48031	7.33834	2.35739	8.09988	10.55591	54.24808	43.03461	9.82407	3.57720	41.63976
1083.80498	6.84118	8.51347	7.87457	9.68885	61.04526	1.00000	7.58905	6.70745	8.49293	46.83187	11.38420	6.67010	59.67107	54.08756	6.22201	3.58151	14.53767
1078.74045	8.21031	8.92862	7.77622	7.26225	56.96727	0.00000	10.60674	6.15857	6.11980	56.36091	9.09758	8.46364	50.91445	55.17959	19.81681	7.66427	51.78771
1168.02372	7.12869	8.72600	5.37589	6.78671	46.90021	0.00000	9.58653	7.96823	6.02159	86.59509	9.57986	7.71113	37.16115	32.17579	-0.85127	2.26969	26.11527
1061.77573	5.10070	5.21966	7.72818	7.64856	42.23469	1.00000	3.38678	4.34187	8.33217	112.9	8.06040	10.21638	51.68243	71.36797	11.46600	1.07878	27.85
1058.49790	7.20158	5.93112	6.75387	10.83964	45.52934	1.00000	5.86269	8.69267	5.29905	73	5.58072	9.62203	28.08878	21.76488	16.75897	3.03818	40.93333
1126.42516	6.06684	3.90536	6.51736	7.37912	56.04080	1.00000	4.99590	4.80402	6.93732	37.73333	7.22157	9.52200	55.27685	72.75833	28.33494	1.79255	-4.06667
1102.79211	7.59223	8.55482	6.09938	6.42213	69.73968	0.00000	6.37437	6.81872	7.50938	144.09638	7.76242	7.83105	44.63819	44.59776	20.09619	4.17844	43.82634
1108.65248	9.34733	4.59871	6.69177	6.30456	44.17965	1.00000	5.88335	3.42441	7.60436	-40.7475	11.75970	10.28432	35.51000	51.72397	-0.48407	17.32074	-4.16694
1199.26101	7.30128	8.44607	8.62472	4.88412	30.70946	0.00000	8.21187	5.76383	7.59294	-74.38987	7.44309	4.40196	46.19427	50.03858	47.67138	3.76348	40.65538
1085.15904	6.84805	5.88884	7.02688	7.49819	72.26489	1.00000	5.68372	4.53102	7.59704	8.4493	11.21356	9.74438	75.23608	59.44898	9.38545	3.17132	50.09019
1189.43312	7.30950	7.59675	7.63442	6.45219	49.78482	1.00000	5.65139	5.98657	7.16908	-41.88778	8.49221	7.07691	60.95672	35.81138	22.07852	3.70875	-21.205
1106.01341	8.01233	7.48229	7.42300	9.23104	63.37562	1.00000	5.31353	7.22025	7.85578	-73.89125	8.85072	8.13915	17.84279	45.61554	-0.14829	6.03100	40.67705
1121.32320	6.91988	4.58723	8.26079	7.52179	67.88200	1.00000	7.02338	6.20951	6.35376	33.9162	5.72890	9.90028	43.58933	61.34646	6.34128	4.81450	51.67822
1091.25556	7.80415	7.69218	7.86167	9.66748	36.95289	0.00000	6.79352	6.49600	6.54981	4.62744	6.17020	8.56393	38.25815	57.20041	18.42029	3.74035	36.06386
1172.51228	8.50070	7.18381	8.37689	6.52736	62.63099	1.00000	7.39404	6.95633	7.37695	127.08472	7.15909	5.74949	49.53788	59.26092	9.23417	8.64896	36.20389
1056.58901	5.61146	9.91756	6.62926	6.18272	76.38840	0.00000	8.76813	9.21268	6.09685	-117.70755	9.39648	8.00368	43.64149	45.70593	18.58500	2.63911	33.52253
1191.78196	8.16290	2.85775	6.29342	10.67830	62.61599	1.00000	4.90290	8.28313	7.52423	10.5511	6.04799	12.20366	48.15915	42.47896	15.37509	6.37606	52.47774
1141.35459	4.38470	6.22573	7.68828	8.15312	49.86516	1.00000	7.29917	9.80020	8.81318	-84.13722	3.43159	7.60565	38.35802	43.46692	13.10599	3.94076	9.92787
1179.02200	7.46847	9.04293	7.73530	5.64145	29.22855	0.00000	8.01657	8.85220	7.31283	3.39467	5.66553	8.18729	49.21565	40.76996	33.24275	3.78965	6.45407
1130.19346		7.63371	6.10277	9.59284	57.01054	1.00000	7.66882	6.57250	5.89351	1.15597	5.78138	7.61941	57.50947	71.70879	20.78426	5.54802	51.78967
