revision	location	latitude	longitude	station	QoS
25 Mar 2021	Europe/Paris	48.90982	2.45012	Bobigny	excellent
03/07/2016, 00:00:00	America/Guayaquil	-2.13404	-79.59415	Milagro	maintenance
2016-01-01	Asia/Kolkata	12.1277	78.15794	Dharmapuri	building
12 Jul 2019	Asia/Kolkata	21.53889	71.57737	Gariadhar	building
2021/05/23	Asia/Bangkok	13.44581	101.18445	Phanat Nikhom	excellent
2015/05/30	America/Argentina/Buenos_Aires	-34.64167	-60.47389	Chacabuco	average
2013/07/30	Asia/Manila	14.62578	121.12251	Antipolo	accep
03 Sep 2022	Europe/Rome	40.72586	8.55552	Sassari	good
2021-05-20	America/New_York	40.72816	-74.07764	Jersey City	accep
2019-12-30	Asia/Shanghai	46.08333	122.08333	Ulanhot	excellent
12/07/2016, 00:00:00	Europe/Moscow	53.53395	33.72798	Zhukovka	accep
2016/06/19	Europe/Berlin	51.08468	7.11393	Burscheid	accep
2016/09/21	Europe/London	53.81667	-3.05	Blackpool	good
2017-07-20	Asia/Tokyo	35.815	139.6853	Shimotoda	building
2013-12-05	Asia/Dushanbe	38.55632	69.01354	Vahdat	good
2012-12-09	America/Havana	20.14298	-77.43532	Media Luna	maintenance
2014-11-12	America/Los_Angeles	33.72255	-116.37697	Palm Desert	accep
02 Feb 2020	America/Vancouver	50.26729	-119.27337	Vernon	excellent
2014-06-09	Europe/Vienna	48.25	16.4	Floridsdorf	maintenance
2013-04-11	Europe/London	53.81667	-3.05	Blackpool	good
12 Feb 2017	America/Santiago	-32.45242	-71.23106	La Ligua	good
2014-11-25	America/Detroit	42.7392	-84.62081	Waverly	building
2012-11-22	Europe/Moscow	44.92934	37.99117	Krymsk	good
2020-09-13	America/Sao_Paulo	-26.22861	-52.67056	Pato Branco	building
2015-05-18	Europe/Paris	48.98693	2.44892	Gonesse	excellent
2019-08-18	Africa/Dar_es_Salaam	-4.83	29.65806	Mwandiga	accep
2019/03/19	Asia/Shanghai	30.24706	115.04814	Huangshi	excellent
07 Mar 2018	Europe/Amsterdam	51.44889	5.51978	Tongelre	good
2021-04-02	Europe/Brussels	51.21187	4.25633	Beveren	accep
08/05/2020, 00:00:00	Europe/Berlin	51.08468	7.11393	Burscheid	accep
2020/07/04	Asia/Kolkata	12.1277	78.15794	Dharmapuri	good
03 Feb 2014	Asia/Kolkata	15.45144	78.14797	Betamcherla	accep
2013/04/20	Asia/Samarkand	40.11583	67.84222	Jizzax	average
2013-05-05	America/Los_Angeles	33.93113	-117.54866	Norco	good
31 May 2022	Africa/Lagos	7.6	4.18333	Olupona	accep
03/29/2015, 00:00:00	Europe/London	50.82882	-0.32247	Lancing	accep
17 May 2020	Asia/Shanghai	37.65181	120.33063	Longgang	building
02 Nov 2018	America/New_York	41.16704	-73.20483	Bridgeport	maintenance
2012/12/22	America/New_York	39.08367	-84.50855	Covington	good
2017/04/27	Pacific/Auckland	-38.65333	178.00417	Gisborne	good
2015-07-15	Europe/Warsaw	50.20528	19.27498	Jaworzno	excellent
31 Dec 2021	Pacific/Auckland	-44.39672	171.25364	Timaru	accep
25 Apr 2017	America/Chicago	29.53885	-95.44744	Fresno	accep
2015-01-21	Asia/Jakarta	-7.57897	112.23109	Diwek	average
2016-05-29	Asia/Ulaanbaatar	47.90771	106.88324	Ulan Bator	good
21 May 2014	Asia/Kolkata	12.04161	75.35927	Talipparamba	excellent
07/19/2015, 00:00:00	Africa/Algiers	35.06544	1.04945	Frenda	excellent
2015-03-02	Africa/Freetown	8.48714	-13.2356	Freetown	good
2016/06/11	America/New_York	41.54566	-71.29144	Middletown	maintenance
2016/05/09	America/Maceio	-10.91722	-37.65	Lagarto	excellent
2021/01/16	Asia/Kolkata	14.46693	75.92694	Davangere	maintenance
08/24/2017, 00:00:00	Africa/Djibouti	11.15583	42.7125	'Ali Sabieh	accep
06/27/2017, 00:00:00	Australia/Sydney	-33.88096	151.07986	Strathfield	good
08/22/2021, 00:00:00	America/Havana	23.15678	-81.24441	Varadero	maintenance
27 Nov 2018	America/El_Salvador	13.73417	-89.71472	Sonzacate	good
05/26/2015, 00:00:00	Europe/Berlin	52.86147	9.5926	Walsrode	excellent
2016-07-07	Africa/Addis_Ababa	6.03333	37.55	Arba Minch	average
27 Apr 2013	Europe/Kiev	51.67822	33.9162	Hlukhiv	average
2018-11-21	Asia/Yekaterinburg	51.78771	56.36091	Saraktash	good
2019/06/04	America/Los_Angeles	34.09668	-117.71978	Claremont	accep
25 Jun 2019	America/New_York	33.54428	-84.23381	Stockbridge	accep
27 Jan 2019	Europe/Moscow	53.53395	33.72798	Zhukovka	average
2017-03-18	America/Bogota	3.8801	-77.03116	Buenaventura	accep
29 Jun 2021	Africa/Dar_es_Salaam	-2.68333	33	Usagara	building
01/28/2021, 00:00:00	Asia/Yekaterinburg	56.11281	69.49015	Ishim	accep
2020-04-03	Asia/Shanghai	32.54278	111.50861	Danjiangkou	good
29 Dec 2014	Asia/Kolkata	11.00599	77.5609	Kangayam	good
13 Feb 2013	Asia/Shanghai	27.85	112.9	Xiangtan	maintenance
02/08/2013, 00:00:00	Asia/Manila	10.20898	123.758	Naga	excellent
2013-12-23	Australia/Sydney	-33.88096	151.07986	Strathfield	average
2013/03/30	Europe/Madrid	37.35813	-6.03731	San Juan de Aznalfarache	excellent
15 Aug 2017	Africa/Lagos	7.62789	4.74161	Ilesa	maintenance
17 Feb 2021	Europe/Moscow	44.92934	37.99117	Krymsk	good
10/12/2013, 00:00:00	Europe/Vienna	47.05	15.46667	Sankt Peter	accep
28 Feb 2021	Pacific/Auckland	-44.39672	171.25364	Timaru	acceptable
2014/11/09	America/Mexico_City	20.28527	-103.42897	Jocotepec	maintenance
03 May 2015	Europe/Moscow	55.64776	38.02486	Malakhovka	average
03/03/2017, 00:00:00	America/Chicago	42.16808	-88.42814	Huntley	average
2018/08/23	Africa/Lagos	10.61285	12.19458	Biu	maitennce
09/15/2017, 00:00:00	America/Chicago	30.16688	-96.39774	Brenham	accep
26 Feb 2017	Europe/Paris	43.71032	-1.05366	Dax	accep
2015/06/18	Europe/Madrid	42.06166	-1.60452	Tudela	accep
10/08/2019, 00:00:00	America/Mexico_City	21.01858	-101.2591	Guanajuato	average
2016/08/22	Asia/Shanghai	34.86472	117.55417	Zaozhuang	excellent
2019-07-12	America/Managua	11.84962	-86.19903	Jinotepe	maintenance
2016/01/12	Europe/Brussels	50.8	3.16667	Wevelgem	average
2017-03-31	Asia/Manila	6.95194	121.96361	Recodo	excellent
2015-07-11	America/New_York	40.24537	-75.64963	Pottstown	building
2022-02-09	Asia/Kolkata	25.87498	86.59611	Saharsa	accep
2016/05/14	Europe/Volgograd	50.06	43.2379	Mikhaylovka	excellent
03/22/2020, 00:00:00	Europe/Amsterdam	52.71083	5.74861	Emmeloord	building
2015-05-25	America/Fortaleza	-4.42472	-41.45861	Pedro II	building
2016/03/10	Asia/Kolkata	11.00599	77.5609	Kangayam	excellent
04 Dec 2015	Europe/Amsterdam	52.26083	7.00417	Losser	good
07/22/2020, 00:00:00	Asia/Shanghai	34.86472	117.55417	Zaozhuang	excellent
02/23/2021, 00:00:00	America/Chicago	29.53885	-95.44744	Fresno	maintenance
19 Dec 2020	Europe/Moscow	56.03361	35.96944	Volokolamsk	good
28 Nov 2015	America/Mexico_City	20.22816	-103.5687	Zacoalco de Torres	average
20 Oct 2020	Africa/Algiers	36.06386	4.62744	El Achir	excellent
2015/03/23	Asia/Manila	12.35275	121.06761	San Jose	accep
2022/02/22	Europe/Paris	49.28669	1.00288	Elbeuf	maintenance
21 Feb 2017	America/New_York	41.55838	-81.56929	Collinwood	excellent
14 Jun 2016	Asia/Bangkok	6.25947	102.05461	Tak Bai	building
2020-06-30	Europe/Moscow	53.59782	34.33825	Dyat’kovo	building
15 Dec 2012	America/New_York	37.60876	-77.37331	Mechanicsville	accep
2013/09/02	America/New_York	41.24255	-82.61573	Norwalk	good
2015/03/20	Europe/London	52.66277	-2.01111	Great Wyrley	excellent
21 Mar 2021	Asia/Tokyo	34.75856	136.13108	Ueno-ebisumachi	good
11/13/2012, 00:00:00	Asia/Damascus	34.5624	38.28402	Tadmur	average
05/27/2014, 00:00:00	Asia/Kolkata	20.88197	85.83334	Bhuban	building
2017/01/13	Europe/Warsaw	54.58048	16.86194	Ustka	good
2022/05/01	America/Chicago	37.95143	-91.77127	Rolla	good
2016/09/30	Europe/Berlin	48.21644	9.02596	Albstadt	average
2022/03/16	Europe/Zaporozhye	49.41029	38.15035	Svatove	average
02/18/2019, 00:00:00	America/Los_Angeles	34.63915	-120.45794	Lompoc	good
2016-07-30	Europe/Helsinki	65.84811	24.14662	Tornio	excellent
2021-04-12	Europe/Madrid	42.64685	-5.55835	Villaquilambre	good
25 Oct 2017	Europe/Rome	41.24264	16.50104	Bisceglie	excellent
2016/12/31	Europe/Moscow	57.30185	39.85331	Gavrilov-Yam	excellent
2019-09-01	Europe/Paris	43.71032	-1.05366	Dax	good
2021-03-27	America/New_York	40.68066	-73.47429	Massapequa	excellent
01 Sep 2022	Europe/Madrid	37.35813	-6.03731	San Juan de Aznalfarache	maintenance
2013-10-17	Asia/Karachi	27.55898	68.21204	Larkana	maintenance
2021/10/29	Asia/Bangkok	13.51825	99.95469	Damnoen Saduak	maintenance
2022/05/17	Europe/Rome	40.72586	8.55552	Sassari	good
2021-02-08	Asia/Tokyo	36.65	138.31667	Suzaka	average
06 Jul 2016	Europe/London	52.41667	0.75	Thetford	building
13 Aug 2019	Asia/Jakarta	-7.57897	112.23109	Diwek	excellent
05/31/2018, 00:00:00	Africa/Mogadishu	-0.35817	42.54536	Kismayo	good
2022-02-23	Pacific/Honolulu	20.88953	-156.47432	Kahului	good
01 Jan 2014	Europe/Paris	48.90472	2.2469	La Garenne-Colombes	acceptable
16 Dec 2015	Europe/Madrid	41.41204	2.18247	el Camp de l'Arpa del Clot	accep
18 Mar 2022	Asia/Shanghai	37.19723	122.05228	Tianfu	average
07/30/2015, 00:00:00	Asia/Kolkata	31.28092	74.85849	Patti	maintenance
2018-09-13	Asia/Kolkata	21.53889	71.57737	Gariadhar	accep
2014/01/31	Africa/Lubumbashi	0.76755	24.43973	Yangambi	good
09/15/2019, 00:00:00	America/New_York	38.70734	-77.02303	Fort Washington	average
10/31/2018, 00:00:00	America/Los_Angeles	40.58654	-122.39168	Redding	excellent
2018/10/02	Europe/Berlin	53.94313	10.30215	Bad Segeberg	accep
2014-08-04	Europe/Kiev	47.56494	31.33078	Voznesensk	excellent
05/11/2021, 00:00:00	America/Los_Angeles	40.58654	-122.39168	Redding	good
17 Jul 2018	Europe/London	50.7236	-3.52751	Exeter	good
03 Mar 2018	America/Mexico_City	20.74122	-100.44843	Santa Rosa Jauregui	average
12/01/2018, 00:00:00	Asia/Tehran	36.64852	51.49621	Nowshahr	good
06/09/2018, 00:00:00	America/New_York	30.17746	-81.38758	Palm Valley	accep
2015-07-14	America/Chicago	32.52515	-93.75018	Shreveport	excellent
2014/04/27	Europe/Paris	46.32313	-0.45877	Niort	excellent
2015-07-22	Asia/Karachi	26.9423	68.11759	Tharu Shah	accep
08/15/2015, 00:00:00	Asia/Kolkata	23.1959	86.51499	Kenda	average
2014-12-11	America/Havana	23.04419	-82.00919	Jaruco	excellent
11/20/2012, 00:00:00	America/Lima	-11.94306	-76.70944	Chosica	average
