CH4	TEMP	PRES	PM10	H2CO	warning	Pb	SO2	CFCs	CO	PAHs	NOx	PM2.5	latitude	C2H3NO5	longitude	O3	NH3
7.90038	16.97371	1191.97831	6.28168	62.38780	0.00000	38.28704	5.83984	51.51050	6.40272	7.13609	9.91597	9.54708	47.48444	3.08764	36.25361	9.69092	6.46275
7.92550	10.60456	1062.23996	6.77945	52.78792	0.00000	60.70620	9.25606	60.12703	7.38726	6.75694	5.51090	8.44627	10.12268	2.83089	77.54372	4.21198	6.98025
8.06798	13.45018	1127.82869	6.82062	49.75568	1.00000	42.26826	5.71731	58.46419	8.72518	6.86435	6.09394	6.98774	43.31667	2.50070	-2.68333	6.09286	8.29084
7.49371	12.71615	1149.55986	7.65189	48.97478	0.00000	59.77137	9.51231	82.99938	5.77485	5.65693	4.88404	8.24395	35.85	3.80985	117.7	6.44668	7.53867
6.92931	31.35763	1131.62249	6.85939	58.26643	1.00000	59.87841	6.62155	62.11306	7.08773	8.76178	4.51950	4.29660	11.12018	2.81141	76.11996	5.75570	7.80600
6.96819	27.63727	1063.94078	6.89167	39.95880	0.00000	44.45744	6.12912	58.17148	7.27035	7.22678	8.82717	8.92507	50.64336	2.23821	7.2278	9.50429	8.07354
6.50286	23.90900	1157.58434	7.50897	43.29192	1.00000	52.11850	5.55904	58.37849	7.04101	5.62081	6.79754	5.03501	21.46527	4.55529	83.97573	6.79383	7.80041
7.43094	34.35805	1126.49050	6.50525	47.18945	0.00000	34.45884	6.17122	61.46886	7.58643	9.59369	9.95462	8.50975	47.83333	2.74094	59.6	9.48560	5.45238
9.14023	-0.50493	1133.35182	6.96601	33.74833	1.00000	31.37221	8.09429	62.64193	5.89991	8.98378	5.66227	4.91654	40.55851	3.13417	17.80774	6.47500	5.40232
8.80442	18.13722	1157.18650	7.42145	50.84410	1.00000	33.78311	5.79116	62.30373	6.95042	6.48393	4.83223	8.17105	41.50343	3.42312	-74.01042	7.81322	7.38183
7.36760	9.09903	1149.89036	7.44451	66.11764	0.00000	15.82059	5.06463	67.47797	7.26354	10.40262	9.75056	8.03433	53.93361	2.98665	37.92792	8.91056	7.17046
7.89860	16.00031	1068.29275	8.08185	57.68197	1.00000	64.41770	5.08330	74.55248	8.51420	8.69127	8.47862	9.22916	38.47917	5.98863	-1.325	5.27210	6.73329
8.08724	-4.70629	1148.15567	7.36060	46.25269	0.00000	50.69688	7.94744	70.33612	6.24501	4.95292	6.03842	10.14249	37.05944	3.95318	37.3825	6.39093	5.96629
7.31714	19.34056	1098.90294	8.03873	27.81816	1.00000	53.87481	7.48050	63.02564	7.21547	7.01025	6.54589	7.24637	38.38479	6.75914	-0.76773	8.09792	8.99024
9.23392	28.06056	1168.01435	7.13575	47.83870	0.00000	46.49793	11.43663	53.64083	7.36166	7.24572	6.23757	9.22525	51.47805	2.21326	6.8625	4.18746	6.14008
8.81984	17.42874	1119.58673	6.97114	42.16990	1.00000	36.09076	6.55757	69.10137	8.50929	5.48921	4.72968	7.33037	33.86419	2.71972	48.26258	6.03460	10.76471
8.50991	20.48275	1150.03823	6.39379	52.15808	1.00000	62.00246	6.74366	68.20139		9.37947	7.57802	7.64703	-28.81833	2.49706	-52.51028	5.72732	4.22566
8.01310	17.60818	1193.29382	6.93515	48.03704	1.00000	64.14321	7.92901	83.64420	5.29228	8.43173	6.36339	6.58793	38.45598	3.84958	48.87498	8.05479	5.67520
7.50279	18.25258	1095.07170	6.87822	38.37848	0.00000	41.39133	8.70589	55.73945	7.05609	6.65347	6.51093	8.32156	65.84811	3.14545	24.14662	8.14095	7.01062
8.35906	-3.35517	1110.10691	9.09212	43.88701	0.00000	39.71663	9.85591	62.83078	7.33657	4.52498	5.80330	10.44276	35.05266	12.22375	-78.87836	7.78241	5.49332
7.31256	19.38751	1176.97195	7.22985	30.20052	1.00000	55.52215	7.11899	51.43240	6.11858	8.21240	6.56846	8.26046	-3.74912	3.41607	-73.25383	6.72327	6.68757
7.86222	16.53387	1183.26375	4.56825	40.24011	1.00000	38.80491	6.83452	69.85136	7.17024	5.97475	6.25681	6.10561	51.168	1.41969	7.973	6.13919	6.30379
8.34119	20.94799	1106.01521	6.89946	44.88020	1.00000	74.47119	6.70738	65.56349	8.61626	8.75873	6.00327	5.78724	1.6	3.96151	103.81667	6.47781	6.77596
7.68590	30.30650	1183.10721	7.84574	44.34667	1.00000	57.52989	4.61771	59.91515	9.02552	9.47080	8.15436	8.93701	42.97086	4.36633	-82.42491	4.95102	5.22124
7.48064	13.83945	1114.73796	6.00808	69.58275	0.00000	34.07973	5.21725	58.31190	6.24856	8.65391	11.86214	7.50848	55.82737	2.75819	-4.0573	10.13918	7.01009
7.16366	9.96694	1175.97078	7.78804	49.35351	1.00000	50.88968	6.85862	73.11817	8.86257	5.60601	5.95387	6.62654	43.1009	4.32687	-75.23266	8.16739	8.08511
7.74228	30.23904	1127.99248	7.46071	38.45319	1.00000	51.89021	4.75001	55.63230	8.73418	9.76689	6.56749	6.43267	35.06667	4.18139	135.21667	6.76784	5.56876
7.55138	7.62008	1072.04507	9.11554	27.67103	1.00000	66.08713	4.52426	89.06680	7.09167	5.98842	6.88149	5.00999	10.10649	13.85864	76.35484	6.23761	8.81088
6.68282	2.31620	1065.97521	8.34812	50.06133	1.00000	43.43468	5.50267	56.41131	6.70666	6.64028	5.42638	7.01092	42.97086	8.02066	-82.42491	6.28458	11.58130
5.12988	11.17740	1139.06974		51.90873	1.00000	51.64428	6.91807	54.22504	6.73577	7.37957	5.00400	6.09781	38.13708	5.94973	41.00817	6.26433	9.61331
8.59613	15.57650	1147.91790	9.79604	27.81965	1.00000	62.84722	5.85346	74.56622	7.13004	9.14749	7.09756	7.86023	35.05266	24.02380	-78.87836	6.73082	5.44205
6.38031	11.24831	1117.63104	9.52822	29.65876	0.00000	61.05167	6.03069	73.07468	6.58512	6.72933	6.85854	8.73775	31.28092	19.49566	74.85849	4.12470	5.79120
8.81517	24.97746	1167.95219	7.85441	41.25100	0.00000	45.61791	7.55898	65.95816	8.22408	7.20146	6.82042	9.34334	40.68066	5.14187	-73.47429	3.77749	8.58478
7.83609	19.59019	1059.61185	7.87618	55.35360	0.00000	32.12168	6.86361	67.70260	6.92282	9.23455	7.53272	9.09610	26.91756	4.51887	-82.07842	9.81218	6.45030
7.72713	9.82601	1089.48776	7.44176	44.09627	1.00000	42.64303	5.96241	67.38594	7.90271	6.32948	5.09992	7.12624	41.91886	3.82739	8.73812	6.50964	6.99970
8.21438	17.96733	1055.58651	6.63145	56.72147	0.00000	57.57830	5.75310	70.67499	7.23987	8.02585	9.25368	9.49809	-1.63333	3.13190	13.58357	9.33420	6.55946
7.45006	34.56762	1051.43535	9.83937	55.69110	1.00000	60.76798	6.52419	72.58212	8.62188	6.62607	5.69473	7.29739	50.72043	24.87779	11.34046	7.93567	5.75208
7.97351	19.65512	1102.19815	3.71883	52.42013	0.00000	65.25956	5.43779	76.27596	8.38684	9.67348		5.58756	54.84444	1.86914	38.16694	5.25255	7.13607
7.60295	3.45766	1089.75713	8.30974	62.75596	1.00000	60.90206	4.44439	72.71643	7.89463	9.12637	5.98987	6.42139	45.69558	7.71234	4.7934	6.03666	7.34669
7.45613	16.13425	1165.50244	6.46676	29.42563	0.00000	44.59253	5.46857	70.10466	8.42556	12.35016	8.82816	7.65420	32.9156	1.52401	-117.14392	9.20702	6.43334
6.66453	-3.24426	1113.40733	5.21003	36.31063	0.00000	43.54633	6.14826	68.16836	8.40523	9.27474	9.61727	9.26236	-29.2975	1.58276	-51.50361	7.44944	5.37125
7.02875	16.44009	1052.28070	9.71649	35.99298	0.00000	44.17986	5.72603	63.24926	6.97979	9.92056	7.47753	8.58093	35	23.55016	136.51667	9.20128	8.16964
7.95886	-14.33184	1102.93634	7.96910	41.70381	0.00000	41.04422	6.39089		5.79333	10.05773	9.15464	8.54138	14.37395	5.03942	100.48528	9.60619	5.56798
8.55631	17.68095	1074.10203	7.44900	13.23834	0.00000	75.08735	8.73047	67.82389	6.80142	5.10168	5.69721	9.32998	48.77644	3.80804	2.29026	7.78652	6.86418
7.98950	18.65445	1118.81466	8.20009	56.31278	1.00000	56.58960	4.73646	50.68471	8.32246	6.06085	5.90323	5.44644	37.51803	6.24116	15.00913	5.58638	8.24777
9.70824	2.17208	1194.33437	8.68205	54.20889	1.00000	53.03193	5.08345	74.78556	6.65154	6.23395	5.81214	6.21272	-1.9487	8.51479	30.4347	5.79907	9.48001
8.94190	10.56846	1055.50505	7.50809	39.54874	1.00000	16.49548	4.77299	42.68250	6.25506	5.79447	7.23520	4.92219	49.03685	5.32581	8.70745	6.41927	9.61044
6.79050	13.16593	1167.49011	5.74061	23.80215	1.00000	58.04254	6.26149	67.85583	6.04088	10.05973	6.58749	5.75676	11.15583	2.41128	42.7125	3.75022	4.62731
9.75899	7.74600	1130.48230	8.23467	46.98843	0.00000		6.51746	57.16532	7.49539	10.40299	9.13510	9.11412	-10.95817	6.95373	-38.79084	9.58854	4.30991
7.37898	29.88050	1071.34970	8.81010	38.79841	1.00000	44.22364	8.26627	61.71769	8.35893	6.78971	5.15179	9.71631	40.1675	11.28214	34.37389	7.72038	7.05571
7.73637	17.75572	1066.42632	5.92589	58.69617	1.00000	61.01233	7.30329	63.43121	8.66608	6.29586	6.58047	6.73197	27.0174	1.66549	49.62251	8.77099	5.09343
6.59336	27.40582	1174.73424	6.13513	52.26549	1.00000	37.53499	7.24458	70.63299	9.21936	8.28117	5.70371	5.47894	42	1.87895	21.32778	7.76105	7.13405
9.19490	2.96129	1147.81399	8.01841	41.65457	0.00000	53.78256	8.45592	55.20628	7.50950	6.76747	6.62341	8.31657	52.68333	5.91607	0.93333	6.52479	5.55133
6.95191		1131.57591	9.31486	47.92128	0.00000	55.69497	9.73283		9.32627	9.54708	6.69593	6.57900	-1.6	16.36811	103.61667	3.80508	7.68698
6.81028	22.66378	1053.78324	5.87614	41.58736	1.00000	56.19475	7.61047	70.32445	7.75506	5.31408	7.53122	5.03446	37.65181	1.96530	120.33063	6.40812	7.55108
7.18832	13.28020	1144.92551	6.89701	51.67743	1.00000	40.54789	4.63001	62.78242	6.99962	7.58363	6.62664	6.86118	38.13708	2.22924	41.00817	3.79268	12.60840
8.28408	21.16677	1080.44712	8.34171	54.83775	0.00000	57.16193	6.35784	73.53560	5.52198	11.84969	5.33247	9.71256	43.32393	8.28833	5.4584	7.37731	6.36130
8.49718	10.31875	1050.00250	6.70046	50.78595	0.00000	59.81251	11.29346	64.71077	6.48145	8.95436	8.70731	8.38831	5.6561	1.90899	-75.87877	8.14439	7.10540
8.49369	11.63623	1129.96082	7.52949	47.73601	1.00000	47.41223	3.50973	70.97091	6.20508	6.85267	7.00302		54.39635	3.57005	24.04142	4.56107	11.62472
7.68047	15.98100	1093.98801	8.10099	42.52890	0.00000	46.89669	8.97780	56.67541	8.94857	5.89530	6.56197	9.41624	36.82167	5.79420	128.63083	6.93510	6.22105
7.82148	17.38591	1159.91560	7.25167	38.27496	1.00000	41.80476	7.15692	57.81465	6.48573	7.82095	6.67359	8.11973	41.94175	3.40448	123.50266	6.66254	7.29446
7.49265	-5.00627	1175.91936	7.49589	56.96595	0.00000	59.73687	6.67123	64.48216	5.99399	8.29116	7.08278	9.72608	45.47885	3.03563	133.42825	7.44933	7.30117
8.17094	22.41179	1199.29837	6.72024	56.56616	0.00000	57.99993	4.59231	54.45530	8.47595	9.35265	7.71939	9.47524	36.65	2.21438	138.31667	9.02178	8.51396
6.60744	10.85720	1177.43332	8.57430	40.39293	1.00000	40.72457	5.57551	65.66241	6.89376	9.38277	8.77874	10.80791	14.93333	7.27515	-91.11667	6.40782	3.92887
9.76731	3.37955	1107.32514	8.26023	27.74217	0.00000	52.19566	6.44649	54.50598	9.89357	5.58404	8.39782	11.15980	40.93333	6.15485	73	8.02339	5.77049
6.93078	-2.37798	1194.50921	6.99983	48.59231	0.00000	30.75265	8.28412	71.79519	7.06367	8.05194	9.48237	8.84297	15.45144	2.95800	78.14797	7.70599	4.45000
7.58432	6.97709	1115.47104	8.98148	34.35261	1.00000	71.50373	6.32783	57.59545	7.62273	6.20262	7.69139	5.29811	41.15376	11.34838	-87.88754	6.42836	11.86306
8.52763	10.13122	1071.29435	7.20880	47.67184	0.00000	33.42089	9.88062	65.76758	7.38953	5.98508	4.73313	7.81949	40.98894	2.74619	28.67582	5.87415	5.05049
6.55238	21.04460	1194.56031	8.81345	35.76821	0.00000	62.05389	9.86826	55.30028	7.41879	7.54794	4.61477	6.71034	35.74788	10.39388	-95.36969	3.87190	8.12674
7.04974	4.64367	1191.96531	9.43248	51.02911	1.00000	57.99549	4.38843	69.63196	8.38956	9.99257	7.20031	6.92525	42.16808	17.35207	-88.42814	5.44611	5.37006
6.17462	11.24284	1157.91640	7.86040	38.93883	1.00000	52.83245	5.47699	72.74269	8.50958	8.58976	6.14791	6.77921	44.92934	4.64744	37.99117	6.69897	7.20470
9.38718	9.98696	1190.26774	7.88804	38.22143	1.00000	60.01264	5.79505	66.14578	8.13413	6.09302	7.45723	4.66128	-7.54972	4.84059	110.71639	7.34340	8.71505
8.50284	15.14823	1135.77142	8.01458	20.62280	0.00000	41.09025	7.13733	69.02544	7.72035	6.68467	11.81364	8.51647	61.78491	5.92093	34.34691	11.13816	4.77672
8.35243	20.38320	1089.01886	8.13208	54.21873	1.00000	28.85691	7.83576	74.98066	7.26482	10.03748	6.50542	3.99795	35.30889	5.74884	139.55028	6.22052	3.66024
6.49423	20.71363	1109.64009	8.72832	62.48925	0.00000	70.12384	5.93832	74.84175	5.76746	10.33617	8.05836	8.87743	27.85	9.51314	112.9	10.04280	6.41539
8.58506	33.45625	1141.94070	8.22707	32.78608	0.00000	48.54719	6.25333	60.34656	7.03765	4.16438	4.83064	10.20288	11.86064	6.58150	9.0027	3.77717	4.14284
8.35391	16.92498	1054.89963	6.88802	48.24462	1.00000	59.71308	6.44049	80.65222	7.20661	9.16141	6.23867	5.87165	37.49073	2.86873	-2.77259	5.22091	6.39218
8.93151	5.70495	1119.16358	6.91357	43.15039	0.00000	64.29926	7.30605	57.11574	7.34802	10.29695	7.06444	9.00509	32.55531	3.15714	76.12647	6.40652	6.00967
7.95911	33.98157	1056.50813	8.52179	50.91332	0.00000	65.55104	6.21687	70.31109	7.36831	7.56243	7.92090	9.45727	-21.44236	7.96356	27.46153	7.49737	8.03291
7.60042	18.39362	1179.11330	8.55427	39.18234	1.00000	60.89414	6.22709	69.40479	7.09668	7.79726	6.56102	7.46438	22.37066	7.22797	114.10479	6.21474	8.09365
9.66263	24.76388	1050.49678	7.18630	31.60639	0.00000	43.47851	6.86507	66.23853	8.03787	6.84599	8.38019	9.76162	-21.44345	2.55873	-65.71875	6.71118	4.88242
8.27421	7.92668	1141.17069	7.10669	50.55368	1.00000	37.13739	6.26175	70.56245	9.65349	10.05505	8.41573	8.48525	42.819	2.47794	47.1192	3.76779	3.75047
7.88746	7.26899	1140.56631	6.97029	41.07359	0.00000	38.06489	6.91654	58.18884	9.42295	10.45610	9.00115	9.23551	20.88197	2.91234	85.83334	8.93842	3.78312
7.10116	11.47345	1111.44397	7.67955	47.14377	0.00000	74.48347	9.99872	56.59342	6.51815	4.65445	5.14860	10.30456	-1.6	3.60875	103.61667	5.52453	3.85869
6.61880	13.92893	1169.29325	8.89376	42.10731	1.00000	35.60982	6.19578	70.09718	6.30584	10.59325	7.12500	5.07021	36.19278	10.49861	117.65694	4.64153	3.60977
5.97254	37.90506	1125.39939	8.41811	45.08130	0.00000	65.41782	7.95899	55.56770	7.61440	4.69674	5.66448	10.76085	34.06635	7.12011	-84.67837	5.16214	6.86121
7.95134	20.11067	1081.62007	6.52154	60.58778	1.00000	36.20419	8.22325	69.59624	8.73811	8.66115	4.31159	3.34689	35.85	2.21561	117.7	8.30074	6.56454
8.09737	10.12371	1055.35418	7.05566	60.14948	0.00000	27.74759	5.16921	84.22845	7.14260	9.91530	8.13155	9.08503	34.61667	2.97072	135.6	9.65067	7.40558
7.39639	23.17778	1073.53662	5.70924	64.91585	1.00000	39.31790	7.89601	79.22672	8.49543	6.19557	6.39815	6.63269	5.6561	3.11087	-75.87877	6.77161	11.32785
6.39785	11.80045	1079.45657	8.59829	37.29267	0.00000	65.41738	10.83759	63.08508	8.32215	5.24227	4.85142	8.18840	19.04222	8.92431	-98.11889	7.54043	4.04060
8.24272	2.84424	1069.73566	8.48612	52.23243	1.00000	34.65757	6.38267	64.99830	8.35891	6.17221	6.54678	5.91908	39.00622	7.63800	-77.4286	6.11629	8.14429
9.21440	16.20666	1165.16313	7.58797	42.30287	1.00000	29.16311	6.67715	69.24929	9.72487	10.18386	8.62798	7.37331	-34.88422	3.91811	150.60036	3.62757	3.30515
8.16745	11.39183	1190.02735	6.31067	56.12018	1.00000	51.87486	5.70902	41.92704	7.66241	10.08328	6.58676	5.41467	14.93333	2.51786	-91.11667	5.86172	4.76525
7.55404	27.48223	1056.99313	7.23269	59.23432	1.00000	45.34463	5.18930	59.63309	9.95488	10.74675	7.83225	6.56965	37.31065	2.23795	13.57661	6.31839	3.05875
6.33844	12.27071	1140.29058	6.58694	39.90176	0.00000	76.80243	6.80681	58.51298	6.50237	9.50669	10.28519	8.10895	-44.39672	2.31410	171.25364	9.18291	5.11669
7.56761	20.81925	1124.59781	6.80474	55.76107	0.00000	60.30623	4.92860	61.31296	7.08344	10.01271	9.87673	7.82072	35.06544	2.40337	1.04945	7.41229	8.08437
6.66453	14.71577	1168.56789	9.05666	69.80273	0.00000	49.42413	9.37902	57.76747	9.20851	6.81067	6.24940	7.93535	27.92333	11.63491	118.53333		5.48865
