latitude	location	longitude	QoS	revision	code
5.84752	Africa/Abidjan	-5.682	average	02 Sep 2020	CI
-21.42917	America/Sao_Paulo	-45.94722	good	2019/01/18	BR
39.09112	America/Chicago	-94.41551	excellent	2018-11-07	US
-17.73648	Pacific/Efate	168.31366	average	04 Oct 2019	VU
51.95838	Europe/Amsterdam	4.47124	good	12/03/2014, 00:00:00	NL
40.98894	Europe/Istanbul	28.67582	maintenance	2014/10/18	TR
-2.90055	America/Guayaquil	-79.00453	building	2016/11/17	EC
25.95533	Asia/Karachi	68.88871	average	05/02/2013, 00:00:00	PK
36.65	Asia/Tokyo	138.31667	accep	2022-04-11	JP
-21.44236	Africa/Gaborone	27.46153	excellent	2016/07/19	BW
54.39304	Europe/Moscow	53.26023	maintenance	2019-01-06	RU
52.48173	Europe/London	-2.12139	excellent	2014-01-22	GB
50.50301	Europe/Prague	13.63617	average	08/29/2020, 00:00:00	CZ
32.9156	America/Los_Angeles	-117.14392	accep	31 Jul 2019	US
5.6561	America/Bogota	-75.87877	accep	05 Aug 2017	CO
45.99194	Europe/Kiev	29.41824	average	2018/10/24	UA
38.07789	Europe/Rome	13.44275	excellent	07/09/2016, 00:00:00	IT
50.64336	Europe/Berlin	7.2278	average	2017-02-02	DE
3.7278	Asia/Jakarta	98.6738	maintenance	2020/08/06	ID
51.82721	Asia/Irkutsk	107.60627	good	2018-10-28	RU
50.9803	Europe/Berlin	11.32903	good	2018/11/30	DE
38.47917	Europe/Madrid	-1.325	accep	19 Apr 2019	ES
14.46693	Asia/Kolkata	75.92694	good	2015/04/30	IN
52.59319	Europe/Berlin	13.32127	accep	2019-08-16	DE
45.75279	Asia/Shanghai	130.57211	average	15 Sep 2022	CN
38.40917	Asia/Shanghai	112.73333	average	27 Jul 2015	CN
-3.14306	America/Manaus	-58.44417	excellent	31 Oct 2021	BR
-34.88422	Australia/Sydney	150.60036	excellent	20 Dec 2012	AU
37.60876	America/New_York	-77.37331	good	2015-09-25	US
20.88197	Asia/Kolkata	85.83334	accep	22 Jun 2017	IN
40.1675	Europe/Istanbul	34.37389	good	16 Aug 2021	TR
-26.22861	America/Sao_Paulo	-52.67056	accep	21 Oct 2019	BR
41.9001	America/New_York	-71.08977	excellent	02/27/2016, 00:00:00	US
45.0408	America/Chicago	-93.263	average	2020-02-23	US
37.31309	Europe/Istanbul	40.74357	building	22 Sep 2021	TR
40.81	America/New_York	-73.9625	excellent	02/22/2014, 00:00:00	US
50.88506	Europe/Brussels	4.07601	excellent	2018-01-28	BE
4.73245	America/Bogota	-74.26419	maintenance	09 Aug 2014	CO
6.45407	Africa/Lagos	3.39467	maintenance	10/09/2017, 00:00:00	NG
53.7446	Europe/London	-0.33525	accep	06/08/2014, 00:00:00	GB
28.90054	America/New_York	-81.26367	good	25 Aug 2014	US
51.12794	Europe/Brussels	4.21372	average	03 Feb 2017	BE
53.49389	Europe/London	-1.29243	average	06/26/2018, 00:00:00	GB
50.86079	Europe/Warsaw	17.4674	average	05 Sep 2021	PL
40.78206	Asia/Tashkent	72.34424	good	07/26/2015, 00:00:00	UZ
51.21187	Europe/Brussels	4.25633	excellent	2015-10-12	BE
-8.05389	America/Recife	-34.88111	good	2015-07-30	BR
55.25	Europe/Vilnius	24.75	good	2018-09-09	LT
