TEMP	CFCs	PM10	warning	NH3	Pb	PM2.5	O3	PRES	CO	longitude	H2CO	CH4	C2H3NO5	PAHs	NOx	SO2	latitude
9.18903	62.00900	6.14136	1.00000	8.82534	34.21169	9.48501	8.03553	1160.64156	5.41762	70.91106	65.97074	7.38229	3.29146	8.61157	5.76426	6.19404	29.38242
32.48471	58.55225	6.94050	0.00000	5.11914	36.56039	7.75050	8.22220	1156.82154	9.92952	-118.25508	56.16150	8.11126	2.21707	9.90730	11.17948	8.00504	34.14251
5.71563	40.42786	8.38653	0.00000	4.77401	42.60175	4.74329	7.49068	1098.15326	12.23313	1.15597	65.89604	8.00786	6.64765	9.23082	10.96034	6.71294	51.78967
36.04644	64.78318	7.92349	1.00000	8.93996	59.43652	10.42394		1125.90884	5.02653	41.77921	37.92225	7.20908	4.04572	8.68008	4.89303	6.20749	41.82143
24.92600	64.41406	7.00636	0.00000	4.55971	56.03715	6.46145	8.06076	1084.18842	11.45193	10.03988	51.95562	6.72896	2.32782	8.70136	11.37423	6.58379	53.6052
26.62205	42.07015	7.73588	0.00000	7.07666	51.71933	11.30622	5.91770	1186.77079	5.91855	-2.16	60.85798	8.17056	4.08933	8.98765	6.10968	6.87721	34.31
0.89525	62.11141	8.75303	1.00000	7.82607	56.85333	7.92330	5.63972	1091.47042	7.34904	70.91106	42.66130	6.92717	9.06630	9.74816	5.88081	6.22481	29.38242
3.45540	46.85886	8.21567	0.00000	6.31728	44.31303	5.84398	8.12447	1094.08326	7.16852	10.58082	48.57013	7.33302	6.54120	8.36190	7.98674	9.50183	35.72917
21.63352	42.29720	8.74277	0.00000	4.88694	46.80163	6.31893	6.80227	1123.80510	4.43312	-82.32483	62.55471	7.39403	8.77829	11.08443	11.77326	9.94021	29.65163
35.47476	57.67709	6.62428	0.00000	7.97319	38.71009	5.17347	8.75324	1066.45862	7.94256	68.88871	47.24983	5.73736	3.05167	8.99428	7.57415	10.40277	25.95533
-1.17257	33.78292	6.55002	1.00000	6.24096	52.51069	7.83424	7.01034	1058.42208	5.80331	38.02486	55.06031	7.95378	2.18197	6.75556	6.38570	9.25996	55.64776
16.91435	60.35853	8.89739		6.08281	58.02702	8.42854	7.49693	1062.70364	6.94033	142.45778	37.46182	8.26033	10.43990	6.95421	6.27304	8.31338	44.35056
3.45565	70.91303	8.27750	1.00000	7.14400	54.36284	8.76277	6.98176	1173.03433	6.37846	6.26667	78.92018	7.16744	5.36836	9.03034	6.87474	4.93706	51.21667
13.78819	46.60994	9.76835	1.00000	4.22245	57.11623	8.18076	8.23243	1135.13739	5.78913	-70.92866	50.96924	8.23055	20.23306	7.03019	5.96255	9.44682	42.52787
16.92290	38.94740	6.84538	1.00000	7.08998	62.33468	10.03743	9.37656	1100.56316	7.23858	-68.30472	90.09522	7.59010	3.24089	10.14281	4.80534	4.91369	9.91861
5.68977	42.80844	7.77760	1.00000	4.60019	77.20819	9.89700	9.07418	1160.38418	5.69655	37.99117	45.59732	6.77336	3.25325	7.84740	7.63693	10.32693	44.92934
16.79143	69.25231	8.19102	1.00000	7.06351	60.70944	6.00957	8.21595	1053.79132	5.99284	77.9129	32.50788	8.67053	6.11684	5.70979	5.71547	6.37125	25.6439
35.44634	46.36437	7.82786	0.00000	5.26057	67.05258	8.52760	7.10358	1196.60298	10.17189	-75.69947	60.66224	7.97684	4.62843	9.40800	8.62098	6.79278	8.79577
27.08000	66.75580	4.10874	0.00000	5.52946	11.31150	7.83663	9.17571	1174.38396	5.94417	-0.76773	54.85384	6.36995	2.44268	8.98929	7.04341	7.79744	38.38479
17.20591	66.54140	5.26029	1.00000	11.09637	69.53934	11.19051	6.68490	1089.21610	3.10946	-2.68333	36.50404	7.87155	1.58392	6.57353	5.87709	6.16433	43.31667
11.89003	54.34334	8.45392	0.00000	5.21049	54.50488	8.22386	8.07359	1163.83181	3.96249	115.88782	62.95421	7.41108	6.01332	11.68428	9.67213	8.91833	-32.05251
10.92173	56.73911	7.63738	1.00000	10.29073	64.20545	8.77307	7.06826	1123.03022	10.09657	-37.03861	47.48844	9.63973	3.25297	4.72047	6.22618	6.22228	-10.90889
