code	latitude	QoS	longitude	revision	location
AR	-34.64167	average	-60.47389	16 Jun 2019	America/Argentina/Buenos_Aires
PH	9.3337	building	122.8637	29 Oct 2021	Asia/Manila
RU	58.63667	good	59.80222	2013-06-02	Asia/Yekaterinburg
PA	8.88988	average	-79.62603	2014/06/11	America/Panama
CL	-30.60106	good	-71.19901	22 Nov 2021	America/Santiago
US	43.61062	average	-72.97261	2017-04-12	America/New_York
US	33.50921	excellent	-111.89903	2020/09/24	America/Phoenix
MM	14.0823	excellent	98.19151	03/08/2017, 00:00:00	Asia/Yangon
JP	36.24624	good	139.07204	2019-02-12	Asia/Tokyo
BR	-3.20333	good	-52.20639	2015-06-02	America/Santarem
CN	23.73333	average	114.68333	07/19/2013, 00:00:00	Asia/Shanghai
JP	44.35056	average	142.45778	05/20/2021, 00:00:00	Asia/Tokyo
RO	44.43579	building	26.01649	03/20/2022, 00:00:00	Europe/Bucharest
GB	50.75767	average	-1.5443	12/04/2018, 00:00:00	Europe/London
BR	-22.57306	excellent	-47.1725	2022-07-16	America/Sao_Paulo
UA	51.67822	accep	33.9162	2020-11-30	Europe/Kiev
BR	-28.44917	good	-52.2	2016-05-28	America/Sao_Paulo
BR	-3.14306	accep	-58.44417	2018-01-07	America/Manaus
CN	35.85	excellent	117.7	2015/12/07	Asia/Shanghai
DE	53.59337	good	9.47629	2012-10-25	Europe/Berlin
PH	14.95472	excellent	120.89694	07/09/2017, 00:00:00	Asia/Manila
US	36.02506	good	-86.77917	2022-03-29	America/Chicago
US	30.16688	excellent	-96.39774	27 Dec 2019	America/Chicago
US	32.5007	average	-94.74049	12 Aug 2014	America/Chicago
UY	-33.38056	good	-56.52361	2013/02/19	America/Montevideo
US	33.50921	accep	-111.89903	17 Dec 2017	America/Phoenix
US	36.91023	excellent	-121.75689	11 Jan 2021	America/Los_Angeles
GB	53.69786	excellent	-2.68758	16 Mar 2016	Europe/London
US	34.95303	accep	-120.43572	12 May 2018	America/Los_Angeles
CN	34.65918	good	109.22921	07 Dec 2021	Asia/Shanghai
ID	-1.6	accep	103.61667	08 Nov 2014	Asia/Jakarta
RU	55.75556	excellent	60.70278	2022/01/23	Asia/Yekaterinburg
PE	-15.21194	accep	-75.11028	12/07/2019, 00:00:00	America/Lima
FR	43.11667	average	1.6	2020-04-20	Europe/Paris
BE	50.88506	maintenance	4.07601	05/30/2016, 00:00:00	Europe/Brussels
RU	53.53041	average	43.67663	07/01/2016, 00:00:00	Europe/Moscow
CN	28.88162	average	120.03308	01 Oct 2012	Asia/Shanghai
RU	53.95278	average	32.86389	11 Jun 2018	Europe/Moscow
BA	44.75874	maintenance	19.21437	2021/06/17	Europe/Sarajevo
HN	15.48131	average	-86.57415	2021/09/22	America/Tegucigalpa
BE	50.74497	building	3.20639	2014-05-23	Europe/Brussels
CF	4.94273	accep	15.87735	06 Apr 2019	Africa/Bangui
US	42.52787	average	-70.92866	2015/08/01	America/New_York
MA	33.92866	maitennce	-6.90656	2017-12-22	Africa/Casablanca
DE	51.19139	average	6.51352	2017/03/23	Europe/Berlin
CH	47.30997	building	8.52462	08/28/2021, 00:00:00	Europe/Zurich
US	40.5576	good	-74.28459	08/22/2020, 00:00:00	America/New_York
NL	52.09	good	5.23333	01/30/2020, 00:00:00	Europe/Amsterdam
CN	23.73333	building	114.68333	2018/06/25	Asia/Shanghai
US	39.72943	excellent	-104.83192	2018-07-14	America/Denver
TH	13.51825	average	99.95469	03 Jul 2014	Asia/Bangkok
IN	9.57046	average	76.32756	2014/06/02	Asia/Kolkata
MZ	-23.85972	building	35.34722	2013-08-11	Africa/Maputo
US	25.67927	excellent	-80.31727	2020/10/16	America/New_York
JP	33.3213	excellent	130.94098	25 Mar 2022	Asia/Tokyo
ID	-3.5403	excellent	118.9707	08/16/2020, 00:00:00	Asia/Makassar
KE	3.11988	maintenance	35.59642	2014-11-07	Africa/Nairobi
JP	33.3213	excellent	130.94098	2022-03-23	Asia/Tokyo
DE	51.08468	excellent	7.11393	2021/03/03	Europe/Berlin
BR	-8.05389	average	-34.88111	2021-12-19	America/Recife
US	47.76232	good	-122.2054	2021-07-13	America/Los_Angeles
CU	23.04419	maintenance	-82.00919	2017-02-23	America/Havana
BR	-28.44917	excellent	-52.2	01/13/2014, 00:00:00	America/Sao_Paulo
PH	15.72892	maitennce	120.57224	2019-10-07	Asia/Manila
DZ	36.76775	average	2.95924	06 Oct 2012	Africa/Algiers
RU	44.98901	accep	38.94324	2021/07/29	Europe/Moscow
BR	-20.25333	accep	-43.80139	2014/08/14	America/Sao_Paulo
TH	14.64056	average	104.64992	2015/02/23	Asia/Bangkok
IN	20.88197	building	85.83334	27 Apr 2013	Asia/Kolkata
CA	45.40008	maintenance	-73.58248	01/14/2022, 00:00:00	America/Toronto
RU	53.93361	good	37.92792	23 Sep 2014	Europe/Moscow
US	27.71809	good	-82.35176	2019/09/07	America/New_York
CU	22.98212	accep	-80.58556	02/25/2018, 00:00:00	America/Havana
BR	-19.32556	excellent	-41.25528	2020-04-21	America/Sao_Paulo
IT	45.50369	good	11.412	07/28/2020, 00:00:00	Europe/Rome
IN	17.54907	average	82.85749	29 Nov 2016	Asia/Kolkata
IN	25.92493	accep	73.66633	11/04/2013, 00:00:00	Asia/Kolkata
IN	20.88098	average	75.11937	10/27/2020, 00:00:00	Asia/Kolkata
US	43.1009	average	-75.23266	06/19/2020, 00:00:00	America/New_York
PK	25.95533	excellent	68.88871	2014-02-10	Asia/Karachi
US	47.4943	average	-122.24092	10 Mar 2021	America/Los_Angeles
NG	12.74482	good	4.52514	12 Feb 2021	Africa/Lagos
US	40.58654	accep	-122.39168	28 Sep 2014	America/Los_Angeles
FR	48.77644	excellent	2.29026	2018/07/04	Europe/Paris
ES	38.96667	maintenance	-0.18333	06 May 2014	Europe/Madrid
IT	41.24264	average	16.50104	2022/01/29	Europe/Rome
RU	65.93381	accep	111.4834	2013-01-12	Asia/Yakutsk
UA	47.56494	accep	31.33078	08 Oct 2015	Europe/Kiev
MX	20.74122	excellent	-100.44843	2013-04-23	America/Mexico_City
US	33.52253	accep	-117.70755	2021-02-21	America/Los_Angeles
EE	59.37722	accep	28.19028	04/19/2020, 00:00:00	Europe/Tallinn
VE	10.22677	good	-67.33122	29 Mar 2019	America/Caracas
RU	53.95278	accep	32.86389	2015-11-03	Europe/Moscow
CU	23.04419	excellent	-82.00919	11/09/2012, 00:00:00	America/Havana
BR	-10.91722	maintenance	-37.65	06 Apr 2021	America/Maceio
IN	21.46527	accep	83.97573	2018/03/20	Asia/Kolkata
TZ	-4.83	accep	29.65806	2018-08-01	Africa/Dar_es_Salaam
DE	51.21667	excellent	6.26667	2020-01-05	Europe/Berlin
US	37.73604	good	-120.93549	01/31/2021, 00:00:00	America/Los_Angeles
US	39.72943	good	-104.83192	05/27/2014, 00:00:00	America/Denver
FR	48.90472	excellent	2.2469	2016/05/12	Europe/Paris
RU	56.9083	excellent	60.8019	11/06/2015, 00:00:00	Asia/Yekaterinburg
US	33.92946	excellent	-116.97725	10/26/2018, 00:00:00	America/Los_Angeles
BR	-0.71667	building	-48.52333	12/04/2021, 00:00:00	America/Belem
US	29.84576	maintenance	-90.10674	05 Nov 2020	America/Chicago
JP	44.35056	average	142.45778	01/24/2021, 00:00:00	Asia/Tokyo
GB	52.66277	excellent	-2.01111	05/07/2013, 00:00:00	Europe/London
BR	-28.81833	excellent	-52.51028	09 Dec 2019	America/Sao_Paulo
KR	34.8825	average	128.62667	2018/10/25	Asia/Seoul
PH	12.35275	good	121.06761	28 Jan 2019	Asia/Manila
NG	9.58126	excellent	8.2926	04/09/2022, 00:00:00	Africa/Lagos
DE	50.80019	average	7.20769	06/07/2021, 00:00:00	Europe/Berlin
BE	51.21187	excellent	4.25633	18 Mar 2020	Europe/Brussels
GH	5.30383	building	-1.98956	2019-06-24	Africa/Accra
PL	50.5107	good	18.30056	11/21/2020, 00:00:00	Europe/Warsaw
PH	16.0438	good	120.4861	10/25/2012, 00:00:00	Asia/Manila
RU	55.64776	accep	38.02486	2017-02-24	Europe/Moscow
US	37.71715	accep	-122.40433	2013/02/28	America/Los_Angeles
TN	36.08497	accep	9.37082	01/02/2022, 00:00:00	Africa/Tunis
AR	-27.4338	excellent	-65.61427	2017/06/13	America/Argentina/Tucuman
UZ	40.11583	good	67.84222	2020-03-23	Asia/Samarkand
TH	13.8196	excellent	100.04427	06/26/2019, 00:00:00	Asia/Bangkok
BE	51.03427	accep	5.37429	2019-01-06	Europe/Brussels
US	34.09668	excellent	-117.71978	12/06/2017, 00:00:00	America/Los_Angeles
CA	53.51684	average	-113.3187	2020-11-14	America/Edmonton
MW	-13.7804	maintenance	34.4587	2014-07-13	Africa/Blantyre
IR	36.64852	excellent	51.49621	02/07/2018, 00:00:00	Asia/Tehran
IN	10.58806	excellent	77.24779	2017/01/15	Asia/Kolkata
DE	50.82709	accep	6.9747	12/31/2012, 00:00:00	Europe/Berlin
ES	43.48961	accep	-8.2194	13 Mar 2014	Europe/Madrid
BR	-10.91111	average	-37.07167	2020-11-22	America/Maceio
UY	-33.38056	building	-56.52361	21 Mar 2015	America/Montevideo
US	40.93121	accep	-73.89875	29 Nov 2019	America/New_York
JP	35.815	good	139.6853	08/27/2015, 00:00:00	Asia/Tokyo
ES	40.42386	building	-3.53261	04/26/2020, 00:00:00	Europe/Madrid
CU	20.14298	good	-77.43532	2021-02-13	America/Havana
US	47.92526	good	-97.03285	2019/05/27	America/Chicago
CD	-8.73508	good	24.99798	2016-05-18	Africa/Lubumbashi
MG	-22.9	building	44.53333	12/19/2015, 00:00:00	Indian/Antananarivo
ID	-1.26424	maintenance	104.09701	13 Apr 2021	Asia/Jakarta
DE	52.21099	excellent	7.02238	09/03/2014, 00:00:00	Europe/Berlin
MG	-17.83333	accep	48.41667	10/25/2018, 00:00:00	Indian/Antananarivo
BR	-10.90889	maintenance	-37.03861	23 Mar 2017	America/Maceio
PK	27.55898	accep	68.21204	2019-07-02	Asia/Karachi
CU	23.04419	building	-82.00919	2018/04/08	America/Havana
US	34.63915	excellent	-120.45794	2016-12-19	America/Los_Angeles
AU	-34.28853	average	146.05093	16 Jan 2013	Australia/Sydney
IN	26.11527	excellent	86.59509	18 Nov 2020	Asia/Kolkata
KE	0.03813	average	36.36339	01/14/2019, 00:00:00	Africa/Nairobi
TR	40.98894	good	28.67582	2017-11-24	Europe/Istanbul
GB	50.76306	average	-1.29772	13 Feb 2018	Europe/London
CN	30.35028	average	112.19028	2013-01-12	Asia/Shanghai
US	35.05266	accep	-78.87836	2013-02-26	America/New_York
BY	52.4089	accep	31.3237	2019/11/03	Europe/Minsk
RU	53.53395	average	33.72798	10/30/2016, 00:00:00	Europe/Moscow
IN	10.58806	maintenance	77.24779	04/14/2014, 00:00:00	Asia/Kolkata
TR	40.98894	accep	28.67582	13 Jun 2016	Europe/Istanbul
FR	48	good	-4.1	2015/06/30	Europe/Paris
CA	46.1351	building	-60.1831	05 Dec 2013	America/Glace_Bay
PH	10.20898	good	123.758	11 May 2017	Asia/Manila
NO	68.79833	excellent	16.54165	2019/12/12	Europe/Oslo
ES	38.68712	excellent	-4.10734	2020-04-29	Europe/Madrid
TH	14.37395	accep	100.48528	2014/07/08	Asia/Bangkok
IR	35.6803	average	51.0193	2013-06-07	Asia/Tehran
RU	57.30185	good	39.85331	2022-07-18	Europe/Moscow
