longitude	Pb	NH3	PRES	H2CO	SO2	latitude	PM2.5	TEMP	C2H3NO5	CO	PM10	CFCs	PAHs	CH4	O3	NOx	warning
13.39954	54.17236	5.98261	1112.99308	41.01754	6.69716	43.62558	8.65222	6.54705	3.18816	5.21904	7.97260	32.76751	11.39381	7.01060	7.76003	4.14593	1.00000
46.83187	41.23249	8.94645	1129.09493	33.99179	6.36779	14.53767	7.51920	4.15772	3.54867	6.78689	7.65224	38.45910	5.71004	6.79190	7.69271	8.28910	0.00000
15.16554	41.83912	4.80746	1183.06463	57.78094	7.28108	-4.5833	7.54448	24.23496	4.07414	6.38247	8.27962	25.43261	8.55372	8.70552	7.60071	8.03765	1.00000
-78.87836	42.68123	6.69992	1109.06854	54.35916	11.38105	35.05266	8.88967	7.29643	9.87222	10.21312	9.21116	60.13172	9.40415	6.28459	7.62482	6.82799	0.00000
75.35927	55.64840	9.60906	1122.61144	70.51920	6.55225	12.04161	7.01317	3.31439	2.22840	6.62571	7.50621	25.17776	6.01248	10.09378	7.69475	7.93882	0.00000
130.94098	45.03031	7.07205	1175.85626	43.36522	7.97667	33.3213	11.82741	-1.16431	1.09006	7.17910	6.55392	51.20827	8.58484	10.83563	8.98341	6.85111	1.00000
-80.38297	70.87862	6.95924	1157.32207	45.32318	6.86071	42.8334	10.23991	30.78119	3.16660	6.39509	7.45556	77.68146		7.31816	10.52844	5.34153	1.00000
35.96944	67.92344	8.08395	1186.10286	42.85418	6.56369	56.03361	7.19109	14.31712	2.27148	7.26758	7.35798	59.94292	8.90762	8.94329	8.65568	6.25427	1.00000
13.57661	33.14616	7.78481	1166.42343	70.28905	5.13961	37.31065	8.88363	31.91923	2.01498	7.66340	6.75120	69.25101	5.54837	7.89784	7.13218	7.21167	0.00000
-7.35	40.34270	6.76953	1179.00942	31.56128	7.06675	53.53333	8.77242	28.63744	8.81882	7.32418	9.12712	36.50005	9.82799	8.76681	9.25428	7.17665	1.00000
-99.73314	48.77823	4.20598	1115.81203	18.23072	5.66096	32.44874	7.91994	12.39143	2.72300	4.08827	7.54171	49.57261	8.19987	9.08567	7.48708	12.09534	1.00000
